,titleabstract,decision
7,"Risk analysis of the mortality from the diseases of the circulatory system in the ural cohort of emergency-irradiated population for the years 1950-2015. [Russian]. The paper describes for the first time the results of the radiation effect study using the example of the analysis of circulatory system disease mortality in newly established cohort combining the population exposed in 1950-1960 due to 2 radiation incidents in the Southern Urals (the Techa River and East-Urals radioactive Trace). The cohort consists of 60,205 people. Over a 65-year follow up period 14,830 deaths from all diseases of the circulatory system were registered. Out of this number 6,163 deaths were from ischemic heart disease, and 4,388 deaths were from cerebrovascular diseases. Analysis was performed on the basis of individualized estimates of dose accumulated in muscle tissue (both internal and external components of the dose), calculated with new Techa River Dosimetry System 2016. As per the latest calculations, mean dose to muscle tissue in members of the combined cohort was 34 mGy, maximum dose was 995 mGy. Simple parametric model of excess relative risk (ERR) was used in the analysis. The number of person-years at risk was 1836,203. The findings of the analysis show linear increase of mortality risk per unit dose from all the disease of circulatory system (ERR/100 mGy was 3%; 95% CI: 0,8%; 5,2%) and from ischemic heart disease (ERR/100 mGy was 9,2%; 95% CI: 5,4%; 13,5%). with 15-year latent period. No statistically significant increase in mortality from the cerebrovascular diseases in the combined cohort of the population exposed in the Southern Urals over a 65-year period received evidence. The obtained results are in good agreement with those received in the analysis of the effect in the Techa River Cohort in 2013. The latter covered a 53-year period (with minimum latent period of 15 years) and revealed statistically significant linear dose response for all diseases of the circulatory system (ERR/100 mGy - 0.036) and ischemic heart disease (ERR/100 mGy - 0.056). Copyright © 2019 Saint-Petersburg Research Institute of Radiation Hygiene after Professor P.V. Ramzaev. All rights reserved.",Included
11,"Gene expression in rat vestibular and reticular structures during and after space flight. Space flight produces profound changes of neuronal activity in the mammalian vestibular and reticular systems, affecting postural and motor functions. These changes are compensated over time by plastic alterations in the brain. Immediate early genes (IEGs) are useful indicators of both activity changes and neuronal plasticity. We studied the expression of two IEG protein products [Fos and Fos-related antigens (FRAs)] with different cell persistence times (hours and days, respectively) to identify brainstem vestibular and reticular structures involved in adaptation to microgravity and readaptation to 1 G (gravity) during the NASA Neurolab Mission (STS-90). IEG protein expression in flight animals was compared to that of ground controls using Fisher 344 rats killed 1 and 12 days after launch and 1 and 14 days after landing. An increase in the number of Fos-protein-positive cells in vestibular (especially medial and spinal) regions was observed 1 day after launch and 1 day after landing. Fos-positive cell numbers were no different from controls 12 days after launch or 14 days after landing. No G-related changes in IEG expression were observed in the lateral vestibular nucleus. The pattern of FRA protein expression was generally similar to that of Fos, except at 1 day after landing, when FRA-expressing cells were observed throughout the whole spinal vestibular nucleus, but only in the caudal part of the medial vestibular nucleus. Fos expression was found throughout the entire medial vestibular nucleus at this time. While both Fos and FRA expression patterns may reflect the increased G force experienced during take-off and landing, the Fos pattern may additionally reflect recent rebound episodes of rapid eye movement (REM) sleep following forced wakefulness, especially after landing. Pontine activity sources producing rhythmic discharges of vestibulo-oculomotor neurons during REM sleep could substitute for labyrinthine signals after exposure to microgravity, contributing to activity-related plastic changes leading to G readaptation. Reticular structures exhibited a contrasting pattern of changes in the numbers of Fos- and FRA-positive cells suggestive of a major influence from proprioceptive inputs, and plastic re-weighting of inputs after landing. Asymmetric induction of Fos and FRAs observed in some vestibular nuclei 1 day after landing suggests that activity asymmetries between bilateral otolith organs, their primary labyrinthine afferents, and vestibular nuclei may become unmasked during flight.",Included
25,"The biosensitivity of certain organs in rats exposed to low doses of gamma-radiation. Trace elements as Fe, Cu, Zn and Ca are essential for life. They approximately involved in all living processes, they play an important role in the hormones and enzymes activities. The present study demonstrate the biosensitivity of certain organs (spleen, intestine, heart and brain) in rats exposed to low doses of gamma-radiation by determine the effectiveness on essential metal levels. Rats were exposed to 0.06, 0.126 and 0.227Gy as a total doses at a low dose rate 2.5mGy/h by two models of exposure, continuous and fractionated (along one and two weeks). Results indicated that the metal levels affected by the time exposure and organ sensitivity. Continuous exposure manifested increase in brain Fe, spleen Cu and Ca and decrease Ca in intestine and brain at all doses. After one week, intestine Cu and heart Zn decreased. After two weeks, decrease in Fe levels was observed in intestine, heart and brain at all doses. Also heart Zn and brain Ca decreased, Ca heart increased where Cu exhibit elevation in spleen and lowering in intestine at all doses. The statistic analysis presented significant effect between groups according the time factor and/or dose levels on Fe and Ca in all organs. Also significant effect present in Zn levels due to the time factor and/or dose levels in all organs except intestine. In conclusion, the rat organs have been responded to the low doses of gamma-radiation at low dose rate by significant changes in essential metals concentrations. © 2013 The Egyptian Society of Radiation Sciences and Applications.",Included
46,"Dose-response curves and tolerance doses for late functional changes in the normal rat brain after stereotactic radiosurgery evaluated by magnetic resonance imaging: influence of end points and follow-up time. Late reaction of normal tissue is still a limiting factor in radiotherapy and radiosurgery of patients with brain tumors. Few quantitative data in terms of dose-response curves are available. In the present study, 99 animals were irradiated stereotactically at the right frontal lobe using a linear accelerator and single doses between 26 and 50 Gy. The diameter of the spherical dose distribution was 4.7 mm (80% isodose). Dose-response curves for late changes in the normal brain at 20 months were measured using T1- and T2-weighted magnetic resonance imaging (MRI). The dependence of the dose-response curves on the follow-up time and the definition of the biological end point were determined. Tolerance doses were calculated at several effect probability levels and times after irradiation. The MRI changes were found to be dependent on dose and progressive in time. At 20 months, the tolerance doses at a 50% effect probability level were 39.6 +/- 1.0 Gy and 42.4 +/- 1.4 Gy for changes in T1- and T2-weighted images, respectively. These dose-response curves can be used for further quantitative investigations on the influence of various treatment parameters, such as the application of charged particles, radiopharmaceuticals or the variation of tissue oxygenation.",Included
49,"The influence of minor doses of ionizing radiation on the development of cerebrovascular diseases. [Russian]. Overall 1,104 persons exposed to industrial radiation were examined for the effect of minor doses of ionizing radiation on the development of the initial forms of cerebrovascular diseases (CVD). Use was made of an original method of five-factorial screening prediction of the development of CVD. As a result of the examination, 603 persons (54.6%) made up a group at greater risk for cerebrovascular insufficiency. Arterial hypertension was found to be the leading risk factor while the age 45-49 years turned out most dangerous from the standpoint of the onset of the diseases under consideration. No relationship was established between the total dose of external radiation and the risk of the development of cerebrovascular disorders. 96 persons at greater risk for CVD were subjected to a thorough clinical and instrumental examination. Of these, 79.2% appeared to have initial manifestations of brain circulatory insufficiency and stage I dyscirculatory encephalopathy.",Included
53,"Utility of Prophylactic Cranial Irradiation for Limited Stage Small Cell Lung Cancer in the Modern Era with Magnetic Resonance Imaging Surveillance. Aims: To retrospectively analyse the impact of prophylactic cranial irradiation (PCI) on survival and intracranial progression in patients with limited stage small cell lung cancer (LS-SCLC) in the modern era of widespread magnetic resonance imaging brain screening. Material(s) and Method(s): Patients with LS-SCLC treated within our network between 2009 and 2020 who responded to initial therapy were stratified by receipt of PCI and stage of disease. A propensity score match analysis was carried out for stage II-III patients. Overall and neurological survival were defined as time to death and presumed death due to uncontrolled intracranial disease, respectively. Brain metastasis-free survival and symptomatic brain metastasis-free survival were defined as freedom from intracranial progression and symptomatic intracranial progression, respectively. The effect of PCI on these outcomes was assessed using Kaplan-Meier and Cox proportional hazards models. Result(s): In total, 243 (69.6%) of 349 patients received PCI. On multivariate analysis in the propensity matched stage II-III cohort, PCI was a significant predictor of improved neurological survival (hazard ratio 0.23, 95% confidence interval 0.08-0.65; P = 0.01), brain metastasis-free survival (hazard ratio 0.25, 95% confidence interval 0.12-0.51; P < 0.01) and symptomatic brain metastasis-free survival (hazard ratio 0.21, 95% confidence interval 0.08-0.55; P < 0.01), but not improved overall survival. Two-year neurological survival estimates within the propensity matched cohort were 96.8% (95% confidence interval 87.6-99.2%) with PCI and 77.2% (95% confidence interval 63.0-86.4%) without PCI and 1- and 2-year estimates of incidence of brain metastases were 3.9% (95% confidence interval 1.3-11.7%) and 11.7% (95% confidence interval 5.6-23.5%) in the PCI group and 31.6% (95% confidence interval 22.1-43.9%) and 40.4% (95% confidence interval 29.2-54.0%) in the no PCI group, respectively. Conclusion(s): In the modern era of magnetic resonance imaging screening, PCI was associated with reduced incidence of intracranial progression in patients with stage II-III LS-SCLC who respond to initial therapy. This, importantly, translated to a decreased risk of neurological death within our propensity matched cohort, without significant improvement in overall survival. Copyright © 2021 The Royal College of Radiologists",Included
56,"Cellular and molecular mechanisms of pain caused by acute radiation injuries. Moderate to severe acute pain is a common consequence of fullcourse radiotherapy. Improved analgesics are needed, but therapeutic development requires an understanding of the mechanisms that underlie acute radiation-associated pain (RAP). Our preliminary data suggest that transient receptor potential (Trp) ion channels on sensory neurons play important roles in RAP. The purpose of this study was to investigate the role of various Trp channels in acute RAP using a mouse model of oral radiation-induced mucositis. Mice underwent high dose single fraction lingual irradiation or sham irradiation. This resulted in glossitis that was most severe at 10-12 days postirradiation and resolved within 20 days. Micewere euthanized on days 1, 5, 11, 21, and 45 post-irradiation. Functional analysis of trigeminal ganglia neurons was assessed via calcium imaging; this revealed significantly increased proportions of neurons that were sensitive to capsaicin (TRPV1 agonist), histamine (TRPV4 partial agonist), or TNF-alpha (a general inflammatory marker). These changes were seen as early as 1-day post-irradiation and lasted until the 21st day. Via quantitative RT-PCR and immunofluorescence microscopy, we documented Trpv1 overexpression in the trigeminal ganglia neurons of tongueirradiated mice on days 11 and 21. Together, these results indicate that both TRPV1 and TRPV4 are activated and upregulated, and contribute to the acute response of oral tissues to therapeutic irradiation. Thus, future studies should focus on assessing these two Trp channels as potential targets for RAP mitigation in human and animal cancer patients.",Included
60,"[Status of the nervous system in victims of the accident at the Chernobyl atomic power plant]. Under neurological investigation were 113 patients with different degrees of severity of acute radiation disease (ARD). The patients were relatively evenly irradiated by beta- and gamma-rays as a result of CPP accident. The onset time and markedness of the signs of primary reaction were related to ARD severity. Early appearance of the signs of disturbances in the central nervous system functional state suggested a stronger affliction, malignant course and fatal outcome of the disease. Ii ARD patients with IV-th and III-rd degree of severity the syndromes observed were these: acute radiation encephalopathy immediately caused by the ionizing irradiation of the CNS, and a secondary radiation-toxic encephalopathy. The hemorrhagic lesioning of CNS and cerebral hemispheres were noted in terminal stages. In rehabilitation phases, neurasthenic and neurovascular syndromes appeared irrespective of the ARD severity.",Included
69,Pathomorphological changes in rat brain at later times after exposure to carbon ions and gamma-radiation. [Russian],Included
83,"A study of the mechanism of cerebral hyperexcitability after irradiation. Whole-body irradiation at a lethal dose induced an early and transient perturbation of 3H-Muscimol specific binding in the mouse cerebellum. The density of high affinity binding sites was decreased and was associated with an increased affinity. This effect can explain early radio-induced cerebral hyperexcitability. Previous injection of cysteamine, which protects against cerebral hyperexcitability, also offers a good protection against this effect.",Included
