,titleabstract,decision
2784,"Arachidonic acid potentiates acid-sensing ion channels in rat sensory neurons by a direct action Acid-sensing ion channels (ASICs) are activated by a decrease in extracellular pH. ASICs are expressed in nociceptive sensory neurons, and several lines of evidence suggest that they are responsible for signaling the pain caused by extracellular acidification, but little is understood of the modulation of ASICs by pro-inflammatory factors. Using whole-cell patch clamp we demonstrate that low pH evokes three distinct inward currents in rat dorsal root ganglion neurons: a slowly inactivating transient current, a rapidly inactivating transient current, and a sustained current. All three currents were potentiated by arachidonic acid (AA), to 123%, 171%, and 264% of peak current, respectively. Membrane stretch had no effect on proton-gated currents, implying that AA is unlikely to act via local membrane deformation. The current carried by heterologously expressed ASIC1a and ASIC3 was also potentiated by AA. AA potentiates ASIC activation by a direct mechanism, because inhibition of AA metabolism had no effect on potentiation, and potentiation of single ASIC2a channels could be observed in cell-free patches. Potentiation by lipids with the same chain length as AA increased as the number of double bonds was increased. AA is known to be released in inflammation and the results suggest that AA may be an important pro-inflammatory agent responsible for enhancing acid-mediated pain.",Excluded
2973,"Low-Intensity Electrical Stimulation to Improve the Neurological Aspect of Weakness in Individuals with Chronic Anterior Cruciate Ligament Lesion Purpose: This study is aimed at investigating the effect of low-intensity electrical stimulation on the voluntary activation level (VA) and the cortical facilitation/inhibition of quadriceps in people with chronic anterior cruciate ligament lesion.Methods: Twenty former athletes with unilateral ACL deficiencies (ACL group) and 20 healthy subjects (healthy control group) participated in the study. The quadriceps VA level, motor-evoked potential (MEP), short-interval intracortical inhibition (SICI), and intracortical facilitation (ICF) elicited by transcranial magnetic stimulation were tested before and after 30 minutes of low-intensity electrical stimulation (ES).Results: Before ES, the quadriceps VA in the ACL lesion legs of the ACL group was lower compared to the legs of the healthy control group (P < 0.05). The MEP sizes in the ACL lesion legs and the healthy control were not significantly different. The ACL lesion legs showed lower SICI and higher ICF compared to the healthy control group (P < 0.05). After ES, the quadriceps VA level increased and the SICI-ICF was modulated only in the ACL lesion legs (P < 0.05) but not in the healthy controls.Conclusions: Low-intensity ES can normalize the modulation of intracortical inhibition and facilitation, thereby ameliorating the activation failure in individuals with ACL lesion.",Excluded
2004,"Transdermal patches loaded with L-cysteine HCL as a strategy for protection from mobile phone emitting electromagnetic radiation hazards Mobile phone usage has been increased in the last few years emitting electromagnetic radiation (EMR), which disturbs normal cellular processes via oxidative stress. L-cysteine, a glutathione precursor, prevents oxidative damage. Transdermal patches (TDPs) loaded with L-cysteine hydrochloride (L-CyS-HCL) were fabricated by dispersion of L-CyS-HCL 5% w/w and different concentrations of sorbitol as a plasticizer in room-temperature vulcanizable synthetic silicone matrices (RTV-Si). The effect of sorbitol on patch physicochemical parameters was assessed; in-vitro L-CyS-HCL release profiles and ex-vivo permeation were studied. Pharmacokinetic parameters of endogenous synthetized in-vivo glutathione, after receiving IV bolus dose of L-CyS-HCl and L-CyS-HCl-RTV-Si-TDPs were studied in rat model. The influence of L-CyS-HCL-RTV-Si-TDPs against damaging effects of mobile phone EMR on rats' blood and brain tissues was studied. The results revealed that patch plasticity, intensity reflections, surface porosity, L-CyS-HCL release rate and skin permeation increased with increasing sorbitol concentration. Pharmacokinetic profile for IV dose and L-CyS-HCl-RTV-Si-TDPs revealed that the L-CyS-HCl-RTV-Si-TDPs provided a sustained glutathione plasma concentration-time profile over entire patch application. High significant differences in biological parameters (blood and brain samples) were observed for radiated rats using the patch in study compared with positive control rats. Promising long-term strategy for protection against mobile phone hazards was obtained. Copyright © 2018 The Authors",Excluded
330,"IBS19.02 Novel Radiotherapy Approaches in Small Cell Lung Carcinoma - Has SABR and Radionuclide Therapy Got a Role to Play? Thoracic radiotherapy has been shown in to increase overall survival when added to systemic therapy in patients with small cell lung carcinoma (SCLC) and M0 stage. The dose, fractionation, treatment time and timing issues have not been fully resolved. A recent study did not show the superiority of 66Gy in 33 daily fractions over 6.5 weeks over twice-daily radiotherapy to a dose of 45 Gy in 30 fractions over 3 weeks twice daily [1]. For stage I non-small cell lung carcinoma (NSCLC), stereotactic ablative body radiotherapy (SABR) has been clearly shown to be superior to conventional fractionation [2]. Given the clear benefit seen in early stage NSCLC, it is postulated that SABR may have a role to play in early stage SCLC. A recent multi-institutional cohort study has reported favourable outcomes in this setting [3]. However, randomised data of equivalence or indeed superiority are lacking. Furthermore, questions remain as the timing and role of systemic therapy and prophylactic cranial irradiation when SABR is used in this setting. In advanced SCLC, many tumors display neuroendocrine clinical and cytological features and many SCLC tumors express somatostatin receptor and this can be imaged using radiolabeled somatostatin analogs such as <sup>68</sup>Ga-DOTATATE [4]. Given the uptake by some SCLC tumors of <sup>68</sup>Ga-DOTATATE, higher doses of the tracer have been used in an attempt to provide radiolabelled radiotherapy treatment in metastatic disease in what has been described as peptide receptor radionuclide therapy (PRRT) [5]. This molecularly target radiotherapy is a potentially exciting therapeutic approach, but the ideal positioning of such therapy in tumors which are suitable for treatment with PRRT and the safety of PRRT with systemic therapy have yet to be determined. References: 1. Faivre-Finn C, Snee M, Ashcroft L, et al. Concurrent once-daily versus twice-daily chemoradiotherapy in patients with limited-stage small-cell lung cancer (CONVERT): an open-label, phase 3, randomised, superiority trial. Lancet Oncol. 2017;18(8):1116-1125. ) 2. Ball D, Mai GT, Vinod S, et al. Stereotactic ablative radiotherapy versus standard radiotherapy in stage 1 non-small cell lung cancer (TROG 09.02. CHISEL): a phase 3, open-label, randomised controlled trial. The Lancet. 2019; 20: 494-503 3. Verma V, Simone CB, 2nd, Allen PK, et al. Multi-Institutional Experience of Stereotactic Ablative Radiation Therapy for Stage I Small Cell Lung Cancer. Int J Radiat Oncol Biol Phys 2017;97:362-71 4. Sollini M, Farioli D, Froio A, et al. Brief Report on the Use of Radiolabeled Somatostatin Analogs for the Diagnosis and Treatment of Metastatic Small-Cell Lung Cancer Patients. J Thor Oncol 2013;8(8):1095-1101. 5. Lapa C, Hanscheid H, Wild V, et al. Somatostatin receptor expression in small cell lung cancer as a prognostic marker and a target for peptide receptor radionuclide therapy. Oncotarget. 2016 Apr 12;7(15):20033-40. Keywords: SCLC, SABR, radiotherapy Copyright © 2019",Excluded
2299,"MRI changes in the rat hippocampus following proton radiosurgery PURPOSE: To define radiographic dose-response relationships for proton radiosurgery using a rat brain model.METHODS AND MATERIALS: A group of 23 rats was treated with Bragg peak proton beam irradiation involving the right hippocampus. Single doses of 5, 12, 20, 30, 60, 90 and 130 cobalt gray equivalents (CGE) were delivered to groups of 3 animals using single fraction technique. One extra animal was included at the 130- and 30-CGE doses. Animals were imaged using a standard 1.5-tesla GE Signa MRI. A 3-inch surface coil was employed to obtain T1-weighted sagittal images (TR 600 and TE 30) and dual echo T2-weighted coronal images (TR 3,000 and TE 30/90). Animals were imaged at 1.5, 3, 4.5, 6 and 9 months. Volumetric analysis with custom software was done to evaluate areas of increased signal on T2-weighted images, and signal change versus time curves were generated. Gadolinium-enhanced T1-weighted imaging was also done at the 9-month time point to further evaluate tissue injury. The development of hydrocephalus was also examined.RESULTS: Peak tissue injury was greater and occurred earlier with higher versus lower doses of radiation. Statistically significant differences were seen between the 130- and 90-CGE animals and between the 90- and 60-CGE animals (p < 0.0016) using ANOVA. Signal changes can be seen in at least 1 of the animals at 20 CGE. The largest volume of tissue enhancement at 9 months was seen in animals at 60 CGE, which may represent an intermediate zone of tissue injury and gliosis compared with greater tissue loss at higher doses and less injury at lower doses. Hydrocephalus developed first in the untreated hemisphere in 130- and 90-CGE animals as a result of mass effect while it occurred at a later time in the treated hemisphere in lower-dose animals.CONCLUSIONS: Following single-dose proton radiosurgery of rat hippocampus, serial MRIs show T2 signal changes in animals ranging from 130 down to 20 CGE as well as the development of hydrocephalus. Dose-effect relationships using proton radiosurgery in rats will be a helpful step in guiding further studies on radiation injury to brain tissue.",Included
3165,"Evaluation of radiochromic gel dosimetry and polymer gel dosimetry in a clinical dose verification A quantitative comparison of two full three-dimensional (3D) gel dosimetry techniques was assessed in a clinical setting: radiochromic gel dosimetry with an in-house developed optical laser CT scanner and polymer gel dosimetry with magnetic resonance imaging (MRI). To benchmark both gel dosimeters, they were exposed to a 6 MV photon beam and the depth dose was compared against a diamond detector measurement that served as golden standard. Both gel dosimeters were found accurate within 4% accuracy. In the 3D dose matrix of the radiochromic gel, hotspot dose deviations up to 8% were observed which are attributed to the fabrication procedure. The polymer gel readout was shown to be sensitive to B0 field and B1 field non-uniformities as well as temperature variations during scanning. The performance of the two gel dosimeters was also evaluated for a brain tumour IMRT treatment. Both gel measured dose distributions were compared against treatment planning system predicted dose maps which were validated independently with ion chamber measurements and portal dosimetry. In the radiochromic gel measurement, two sources of deviations could be identified. Firstly, the dose in a cluster of voxels near the edge of the phantom deviated from the planned dose. Secondly, the presence of dose hotspots in the order of 10% related to inhomogeneities in the gel limit the clinical acceptance of this dosimetry technique. Based on the results of the micelle gel dosimeter prototype presented here, chemical optimization will be subject of future work. Polymer gel dosimetry is capable of measuring the absolute dose in the whole 3D volume within 5% accuracy. A temperature stabilization technique is incorporated to increase the accuracy during short measurements, however keeping the temperature stable during long measurement times in both calibration phantoms and the volumetric phantom is more challenging. The sensitivity of MRI readout to minimal temperature fluctuations is demonstrated which proves the need for adequate compensation strategies.",Excluded
2727,"Clinical acceptability of SRS treatment of two simultaneous targets with varying magnitudes of rotation error Purpose/Objective(s): We investigated the target rotational errors (i.e., pitch, roll, yaw) and evaluated the dosimetric impact of simultaneous treatment ofmultiple brain lesionswith amono-isocentric technique of using image-guided stereotactic radiosurgery. The Elekta Synergy S with dissociated simultaneous multiple port (dose islands) within a single field. This simultaneous-treatment technique enables us to more efficiently treat two lesions concurrently when each target conforms to the radiosurgery protocol. Materials/Methods:We created a clinical reference plan (CRP), which has optimized dose coverage, conformity, homogeneity, and step-wise fall-off to zero dose.We then applied orthogonal-to-spherical coordinate system transformations about the isocenter, to each individual beam's parameters that simulated the multiple rotational errors for this research. For each patient (n = 10) 24 experimental treatment plan (ETP) calculations were. For each ETP , DVHs were computed for the two PTVs, optic nerves, optic chiasm and brainstem. From all of the DVH data, critical analytical indices were computed and compared to the CRP. These analytical indices include: Coverage, conformity, Dose Homogeneity, and Dose Gradient. A neurosurgical team evaluated the plans and subjectively evaluated the clinical suitability of each plan. The accumulated indices were scored and weighted to obtain a single value, the Unified Dosimetry Index (UDI). The UDI represents a plan's suitability vis-a-vis the CRP. Result(s): From the computed UDIs we observed that ETPs with 1-2 degrees of rotation remain within the defined range of suitability for clinical treatment. Rotation errors greater than 2 degrees resulted in UDI outside the clinically acceptable range. Conclusion(s): Isocenter rotations of 3 degrees or more significantly reduces the quality of clinical SRS treatments. Small lesions are especially vulnerable to loss of dosimetric coverage. SRS treatment setup should have a combined rotational error less than 2.5 degrees to effectively deliver the prescribed radiation dose using multiple brain lesions with mono-isocentric technique.",Excluded
1664,The early reaction of the neuroendocrine system to irradiation at high doses. [Russian] It has been found that in 2 hours after the total gamma irradiation of rats at doses of 20 and 100 Gy the ACTH and glucagon levels in plasma increased by 5-6 and 10-12 times correspondingly. No significant changes in levels of plasma insulin and glucose have been revealed.,Included
924,"Phase I study of weekly nedaplatin and concurrent pelvic radiotherapy as adjuvant therapy after radical surgery for cervical cancer Nedaplatin is an analog of cisplatin that was developed in Japan, and it exhibits less nephrotoxicity, neurotoxicity, and gastrointestinal toxicity than cisplatin. This study aimed to determine the recommended dose of weekly nedaplatin chemoradiotherapy in high-risk patients following radical surgery. Fifteen patients who required postoperative pelvic radiotherapy after radical surgery for cervical cancer were enrolled in the present study. Nedaplatin was designed to be administered for eight cycles (minimum five cycles) beginning at a weekly dose of 22.5 mg/m(2) and then escalating to 25, 27.5, and then to 30 mg/m(2). Dose-limiting toxicity was defined as a more than 7-day delay in the planned radiation therapy and/or planned chemotherapy (prior to the completion of five cycles) due to toxicity. Nedaplatin administration was interrupted prior to the completion of five cycles in one of six patients at a dose of 27.5 mg/m(2). A more than 7-day delay in the planned radiation therapy did not occur in any patient. Nedaplatin at a dose of 30 mg/m(2) was safely administered, and two of three patients could receive the planned chemotherapy consisting of eight cycles of weekly nedaplatin. Our recommended weekly nedaplatin dose was determined to be 30 mg/m(2) administered for more than five cycles and up to eight cycles if possible. Weekly administration of nedaplatin may be more tolerable and less toxic than weekly administration of cisplatin.",Excluded
1203,"Chronic administration of the angiotensin-converting enzyme inhibitor, ramipril, prevents fractionated whole-brain irradiation-induced perirhinal cortex-dependent cognitive impairment We hypothesized that chronic administration of the angiotensin-converting enzyme inhibitor, ramipril, to young adult male rats would prevent/ameliorate fractionated whole-brain irradiation-induced perirhinal cortex-dependent cognitive impairment. Eighty 12-14-week-old young adult male Fischer 344 rats received either: (1) sham irradiation, (2) 40 Gy of fractionated whole-brain irradiation delivered as two 5 Gy fractions/week for 4 weeks, (3) sham irradiation plus continuous administration of 15 mg/L of ramipril in the drinking water starting 3 days before irradiation, or (4) fractionated whole-brain irradiation plus ramipril. Cognitive function was assessed using a perirhinal cortex-dependent version of the novel object recognition task 26 weeks after irradiation. Microglial activation was determined in the perirhinal cortex and the dentate gyrus of the hippocampus 28 weeks after irradiation using the ED1 antibody. Neurogenesis was assessed in the granular cell layer and subgranular zones of the dentate gyrus using a doublecortin antibody. Fractionated whole-brain irradiation led to: (1) a significant impairment in perirhinal cortex-dependent cognitive function, (2) a significant increase in activated microglia in the dentate gyrus but not in the perirhinal cortex, and (3) a significant decrease in neurogenesis. Continuous administration of ramipril before, during, and after irradiation prevented the fractionated whole-brain irradiation-induced changes in perirhinal cortex-dependent cognitive function, as well as in microglial activation in the dentate gyrus. Thus, as hypothesized, continuous administration of the angiotensin-converting enzyme inhibitor, ramipril, can prevent the fractionated whole-brain irradiation-induced impairment in perirhinal cortex-dependent cognitive function.",Included
