,decision,titleabstract
3030,Excluded,"Space cycle: a human-powered centrifuge that can be used for hypergravity resistance training INTRODUCTION: This study represents the first step toward testing the hypothesis that hypergravity can be used as a unique resistance training modality for maintaining the health and function of skeletal muscle in microgravity. The primary objectives of this study were to use a human-powered short-arm centrifuge for the following: 1) to determine whether subjects could perform squats under hypergravity conditions without developing motion sickness or illusory motion; 2) to measure foot forces while performing squats under hypergravity conditions; and 3) to determine the mechanical power required to produce 1.5, 2.0, 2.5, and 3.0 Gz (head to foot) at the feet.METHODS: Subjects (22 males and 19 females) performed 10 squats each at 1.5, 2.0, 2.5, and 3.0 Gz on a human-powered short-arm centrifuge, the space cycle. Foot forces during each squat were monitored using insole force sensors, and normalized to foot forces measured at 1 Gz (relative foot forces).RESULTS: Illusory motion was minimized using a visual focal point, and did not affect the ability of subjects to perform squats. The mean standing relative foot forces at 3.0 Gz were 2.3 and 2.4 for the male and female subjects, respectively. The work rate required to power the space cycle was a linear function of Gz, and is well within the aerobic scope of untrained individuals.DISCUSSION: The findings of this study demonstrate that hypergravity can be used as an effective modality for loading skeletal muscle and that subjects can perform squat resistance exercise without developing motion sickness or illusory motion."
729,Excluded,"Radiation-induced optic neuritis after pituitary adenoma radiosurgery in a patient with multiple sclerosis: case report OBJECTIVE AND IMPORTANCE: To describe a rare case of optic neuritis onset after Gamma Knife stereotactic radiosurgery.CLINICAL PRESENTATION: Nine years after transsphenoidal subtotal resection of a pituitary adenoma, this 43-year-old woman had elevated serum prolactin levels and headaches.INTERVENTION: Gamma Knife stereotactic radiosurgery to residual pituitary tumor.CONCLUSION: To our knowledge, this is the first report of radiation-induced optic neuritis after radiosurgery in a patient with multiple sclerosis."
2358,Excluded,"Case of a patient with bilateral internal carotid artery stenosis presenting with photosensitive attacks State the Purpose: Photosensitive attacks are not generally known as TIA. We experienced a patient with photosensitive attacks induced by chronic cerebral hypoperfusion. Method(s): A 60-year-old man presented to our hospital because he experienced photosensitive attacks, which first occurred 3 months previously. In the case of our patient, sunlight always induced a photosensitive attack, during which he was blinded for approximately 10 minutes. He did not experience convulsions, loss of consciousness, headache, and symptoms of amaurosis. Ophthalmological examination, electroencephalography, and brain computed tomography (CT) did not indicate any abnormal findings. The patient was exposed to cervical radiation for pharyngeal cancer approximately 16 years previously. He did not have migraine, diabetes, and any previous cerebrovascular disease. The patient had hypertension and hyperlipidemia, both of which were not treated appropriately. Result(s): One month after visiting our hospital, he experienced transient ischemic attacks (TIA) with right hemiparesis. Thereafter, the patient underwent brain magnetic resonance imaging, which revealed small cerebral infarctions. Brain magnetic resonance angiography (MRA) showed no abnormalities; however, ultrasound of the carotid artery showed stenosis of the bilateral internal carotid artery (ICA). Cerebral angiography also showed bilateral ICA stenosis (approximately 90%). A 99m-Technetium- ECD single-photon emission CT scan revealed low bilateral occipital perfusion. Because the bilateral ICA stenosis was induced by radiation, we decided to perform carotid angioplasty and stenting (CAS) instead of carotid endarterectomy. After CAS of the left carotid artery, the patient's photosensitivity completely disappeared. Conclusion(s): Photosensitive attacks are not generally known as TIA. In the present case, photosensitive attacks appear to have been induced by chronic cerebral hypoperfusion."
2370,Excluded,"Radiosurgical Lesionectomy For Cavernomas Associated With Drug Resistant Epilepsy Purpose/Objective(s): Cavernous malformations (CMs) are congenital vascular malformations of the brain which cause hemorrhage and repetitive neurological deficits but the most frequent presenting symptom is epilepsy and is due to deposition of iron and blood products at the margin of the lesion. Microsurgical excision is preferred for cortical-subcortical epileptogenic CMs that are not located in functional cortex. For patients presenting with seizures arising from eloquent cortex surrounding the lesion, radiosurgery appears to be a suitable alternative. We evaluated the effectiveness of SRS in seizure cessation for drug-resistant seizures associated with CMs. Materials/Methods: This retrospective single center study where in 11 patients with cortical or subcortical CMs located in highly functional areas with severe long-term drug-resistant epilepsy underwent radiosurgery. The mean duration of epilepsy before these SRS procedures was 6yrs (+/-2.4) years. The mean frequency of seizures was 5 /month (+/-12). The mean marginal radiation dose was 18.5 Gy. Result(s): At median follow-up of 38mo, 54% were seizure free (Engel's class I), including 5 in class IA and 1 of the patients with occasional auras. A highly significant decrease in the number of seizures was achieved for 27% pts (class IIB). The remaining 19% patients showed little or no improvement. Outcomes were better for patients with simple partial seizures than for those with complex partial seizures. Location in the mesio-temporal region was associated with a poor outcome (2 of 11 patients), whereas location in the latero-temporal region was associated with a good outcome (5 of 11 patients). Location in the central region was also associated with an excellent outcome. Radiologically, 6 patients presented major reactional edema during the first year after SRS. In 2 of these patients, neuroradiological alterations were associated with clinical manifestations which included severe hemiparesis and speech impairment, but both patients fully recovered during the follow-up period with steroids. Post reactional edema correlates well with the response to the therapy. Conclusion(s): While radiosurgery role in controlling the bleeding in CM is controversial, it is a promising modality for epilepsy associated with CMs. The determination of the extent of the epileptogenic zone in CMs and dose selection are the critical steps towards successful radiosurgical outcome. Further prospective work is necessary. Copyright © 2020"
2709,Excluded,"Repeated delayed onset cerebellar radiation injuries after linear accelerator-based stereotactic radiosurgery for vestibular schwannoma A 63-year-old woman presented with right hearing disturbance and vertigo. Magnetic resonance (MR) imaging revealed the presence of right vestibular schwannoma (VS). Stereotactic radiosurgery (SRS) was performed with a tumor marginal dose of 14 Gy using two isocenters. She was followed up clinically and neuroradiologically using three-dimensional spoiled gradient-echo MR imaging. She experienced temporal neurological deterioration due to peritumoral edema in her right cerebellar peduncle and pons for a few months beginning 1.5 years after SRS, when she experienced transient right facial dysesthesia and hearing deterioration. Ten years after SRS, the patient presented with sudden onset of vertigo, gait disturbance, diplopia, dysarthria, and nausea. MR imaging demonstrated a new lesion in the right cerebellar peduncle, which was diagnosed as radiation-induced stroke. The patient was followed up conservatively and her symptoms disappeared within a few months.Multiple delayed onset radiation injuries are possible sequelae of SRS for VS."
1428,Excluded,"Small cell cancer of the anal canal - Case report of a rare tumor Background: We report on a rare case of small cell cancer located at the anal canal. Case report: A 41-year old woman presented with locally advanced small cell anal cancer and simultaneous hepatic and pulmonal deposits. Due to metastatic disease, chemotherapy with etoposide and cisplatin was performed with mixed response after four cycles of chemotherapy. After application of two additional chemotherapy cycles, locally progressive disease occurred causing symptomatic bowel obstruction. Pelvic irradiation was started and several days later, additional irradiation of cerebral metastases was initiated due to rapid progression of distant disease. Despite adequate local treatment the patient's condition further deteriorated and irradiation was stopped. The patient died 10 months after initial diagnosis due to rapid tumor progression. Conclusion(s): In patients with metastatic small cell anal cancer chemotherapy remains the mainstay of therapy. Radiotherapy exerts additional activity and remains a prime choice to gain local control and ameliorate symptoms. Careful histopathological examination, together with immunohistochemistry, is needed to determine the therapeutic strategy to be followed."
1566,Excluded,"Resident microglia, and not peripheral macrophages, are the main source of brain tumor mononuclear cells Gliomas consist of multiple cell types, including an abundant number of microglia and macrophages, whereby their impact on tumor progression is controversially discussed. To understand their unique functions and consequently manipulate either microglia or macrophages in therapeutic approaches, it is essential to discriminate between both cell populations. Because of the lack of specific markers, generally total body irradiated chimeras with labeled bone marrow cells were used to identify infiltrated cells within the brain. However, total body irradiation (TBI) affects the blood-brain barrier integrity, which in turn potentially facilitates immune cell infiltration. In this study, changes on the blood-brain barrier were avoided using head-protected irradiation (HPI). Head protection and total body irradiated chimeras exhibited similar reconstitution levels of the myeloid cell lineage in the blood, enabling the comparable analyses of brain infiltrates. We demonstrate that the HPI model impeded a massive unspecific influx of donor-derived myeloid cells into naive as well as tumor-bearing brains. Moreover, experimental artifacts such as an enlarged distribution of infiltrated cells and fourfold increased tumor volumes are prevented in head-protected chimeras. In addition, our data evidenced for the first time that microglia are able to up-regulate CD45 and represent an inherent part of the CD45(high) population in the tumor context. All in all, HPI allowed for the unequivocal distinction between microglia and macrophages without alterations of tumor biology and consequently permits a detailed and realistic description of the myeloid cell composition in gliomas."
1302,Excluded,"The incidence of myelitis after irradiation of the cervical spinal cord To further define the tolerance of the cervical spinal cord, the dose of radiation to the cervical spinal cord was calculated for all 2901 patients with malignancies of the upper respiratory tract treated at the University of Florida between October 1964 and December 1987. To further define the population evaluated, certain criteria were used: (a) a minimum of 3000 cGy to at least 2 cm of cervical spinal cord and (b) a minimum of 1 year of follow-up, unless a neurological complication occurred before 1 year. A total of 1112 patients were evaluable, of which 2 (0.18%) developed radiation myelitis. One received 4658 cGy to the cervical cord at 172.5 cGy per day, and the other patient received 4907 cGy to the cord at 169.2 cGy per day. The risk of myelitis at each dose level was 0/124 at 3000-3999 cGy, 0/442 at 4000-4499 cGy, 2/471 at 4500-4999 cGy, and 0/75 at a cord dose of 5000 cGy or greater."
1371,Excluded,"Muscle afferent-pituitary axis: a novel pathway for modulating the secretion of a pituitary growth factor Evidence is presented for a novel muscle-neuro-endocrine pathway for modulating the secretion of an unidentified pituitary growth factor by proprioceptive input from skeletal muscle afferents. Exercise stimulates the release of this growth factor, whereas chronic unloading associated with bed rest or spaceflight abrogates the normal exercise stimulus. [References: 14]"
519,Excluded,"Severity of esas symptoms in patients attending an outpatient palliative radiation clinic Introduction Cancer patients experience a multitude of symptoms that reduce their quality of life. Objectives To identify the frequency of severe symptoms as reported with the Edmonton Symptom Assessment System (ESAS) by advanced cancer patients who presented to an outpatient radiation clinic. Methods A prospective study was conducted including patient demographics and the Edmonton Symptom Assessment System (ESAS) score at first visit. ESAS assessed pain, tiredness, nausea, depression, anxiety, drowsiness, loss of appetite, general well-being, dyspnea, and the additional symptom of constipation from a score of 0 to 10. Symptom scores from 7-10 were considered severe. Results 182 patients with 263 visits were included (median age 70.5 years, 58% male). The most common cancers were prostate (24.7%), lung (24.7%), and breast (13.7%). The median KPS score was 70.0 and ranged from 30-100. 84.4% of patients had bone metastases, 25.8% had lymph metasta-ses, 23.6% had lung metastases, and 21.4% had brain metastases. Symptoms were reported as being severe for constipation (46.7% of patients), tiredness (30.2%), pain (28.2%), general well-being (22.8%), loss of appetite (16.6%), anxiety (15.0%), drowsiness (13.8%), depression (12.1%), dyspnea (7.2%), and nausea (2.8%). Conclusions Patients presenting to a palliative radiotherapy clinic had a multitude of symptoms, with constipation, tiredness and pain being the most common severe symptoms. Healthcare professionals should be aware of these symptoms when prescribing treatment."
