,titleabstract,decision
22,Irradiation of the pituitary gland for metastatic carcinoma of the breast; preliminary report,Included
25,[The role of whole-brain irradiation in the treatment of brain metastases],Included
26,"A Comparison between X-Ray and Carbon Ion Irradiation in Human Neural Stem Cells. Glioblastoma multiforme (GBM) is characterized by a poor prognosis and a median survival of ~12-18 months. GBM is usually managed by neurosurgery followed by both chemotherapy and radiotherapy. Since GBM develops resistance to conventional therapies, treatment with C-ions is promising to completely eradicate the tumoural mass. During cranial irradiation, exposure of healthy tissues is inevitable. Because of the presence of neural stem cells, a deep investigation on the effects of C-ion irradiation with respect to X-ray induced damage is mandatory to allow a better definition of treatments. In this work, the comparison of X-rays and C-ion irradiation-induced effects on human neural stem cell, focusing on multiple endpoints, such as cell viability, cytokine secretion and spheroid formation is presented. Results show different temporal and dose responses of human neural stem cells to the different radiation qualities, suggesting different underpinning mechanisms of radiation-induced damages.",Included
32,"Passive avoidance learning and memory of 56Fe sham-irradiated and irradiated human apoE transgenic mice. Cranial irradiation is associated with long-term cognitive impairments, including deficits in hippocampus-dependent learning and memory. Not all people exposed to cranial radiation develop cognitive injury, suggesting the involvement of genetic risk factors. There may also be sex differences in susceptibility to develop radiation-induced cognitive injury. The three major human apolipoprotein E (apoE) isoforms are encoded by distinct alleles (epsilon2, epsilon3, and epsilon4). Compared with epsilon3, epsilon4 increases the risk of cognitive impairments following various challenges while epsilon2 provides relative protection. Women are at higher risk to develop Alzheimer's disease (AD) than men, particularly those carrying epsilon4. In previous experiments using male and female mice expressing human apoE-isoforms E2, E3 or E4 under the mouse apoE promoter, we showed that cranial irradiation with 137Cs (10 Gy) results in hippocampus-dependent cognitive impairments that are sex- and apoE-isoform dependent. 137Cs is a form of irradiation often used in the clinical setting. To investigate whether 56Fe irradiation also has sex- and apoE-isoform dependent effects on hippocampus-dependent cognitive function in human apoE mice, we sham-irradiated and irradiated 2-month old male and female human apoE mice at 3 Gy and assessed their performance in a passive avoidance learning and memory test three to five months later.",Included
33,The Effects of Ionizing Radiations on the Biochemistry of Mammalian Tissues. Iii. Studies on the Toxicity and Mechanism of Action of 2-Mercaptoethylamine. Quart Progr Rep 50,Included
41,[Changes in the functional status of the hemato-encephalic barrier under the effect of x-irradiation],Included
47,"Spatial learning and memory deficits induced by exposure to iron-56-particle radiation. It has previously been shown that exposing rats to particles of high energy and charge (HZE) disrupts the functioning of the dopaminergic system and behaviors mediated by this system, such as motor performance and an amphetamine-induced conditioned taste aversion; these adverse behavioral and neuronal effects are similar to those seen in aged animals. Because cognition declines with age, spatial learning and memory were assessed in the Morris water maze 1 month after whole-body irradiation with 1.5 Gy of 1 GeV/nucleon high-energy (56)Fe particles, to test the cognitive behavioral consequences of radiation exposure. Irradiated rats demonstrated cognitive impairment compared to the control group as seen in their increased latencies to find the hidden platform, particularly on the reversal day when the platform was moved to the opposite quadrant. Also, the irradiated group used nonspatial strategies during the probe trials (swim with no platform), i.e. less time spent in the platform quadrant, fewer crossings of and less time spent in the previous platform location, and longer latencies to the previous platform location. These findings are similar to those seen in aged rats, suggesting that an increased release of reactive oxygen species may be responsible for the induction of radiation- and age-related cognitive deficits. If these decrements in behavior also occur in humans, they may impair the ability of astronauts to perform critical tasks during long-term space travel beyond the magnetosphere.",Included
55,"Impaired Attentional Set-Shifting Performance after Exposure to 5 cGy of 600 MeV/n <sup>28</sup>Si Particles. Astronauts on deep space missions will be required to work more autonomously than on previous missions, and thus their ability to perform executive functions could be critical to mission success. One of the most common measures of executive function in humans is the ability to perform attentional set shifting, which requires contributions from working memory, discrimination, reversal learning, attentional set shifting and attention. Rodent attentional set shifting assays require rats to form an association between the presence of the food reward and an associative cue, which is either the digging media or the scent that is placed in the bowl; by altering the combination of scent and digging media, progressively more complex cognitive processes can be tested. In this study, we have determined the effect that exposure to 5-20 cGy of 600 MeV/n <sup>28</sup>Si particles has on the ability of male retired breeder Wistar rats to perform attentional set shifting at three months postirradiation. All doses of Si resulted in a significant impairment in the ability of the rats to perform the first and most simple step of the ATSET assay, the simple discrimination (SD) task. If astronauts were to experience HZE-induced SD impairments, they would be unable to identify key factors to successfully resolve a situation. Performance in at least one other component of the ATSET test was impaired at all doses studied, however, these varied according to the dose. Compared with our previous studies using 1 GeV/n <sup>56</sup>Fe and <sup>48</sup>Ti particles, 600 MeV/n <sup>28</sup>Si ions impaired attentional set-shifting performance at lower doses than the heavier ions. However, when the effect of isofluences of the three HZE ions were compared, there were no significant differences in the severity of the impaired performance; there were, however, ion-specific decrements in the ability of rats to perform within the various stages of the test. This study further supports the notion that ""mission-relevant"" doses of HZE particles (<20 cGy) can impair certain aspects of attentional set-shifting performance in retired breeder rats, but there may be some ion-specific changes in the specific cognitive domains impaired.",Included
65,Interrelation between convulsant drugs and x-irradiation on the central nervous system of rats,Included
67,"The contribution of DNA and chromosome repair deficiencies to the radiosensitivity of ataxia-telangiectasia. Cells derived from individuals with ataxia-telangiectasia (AT) are more sensitive to ionizing radiation and radiomimetic drugs, as evidenced by decreased survival and increased chromosome aberrations at mitosis when compared with normal cell lines. Our previous studies showed that, despite similar initial levels of DNA double-strand breaks (DSBs), AT cells express higher initial chromosome damage than do normal cells as demonstrated by the technique of premature chromosome condensation. However, this finding accounted for only a portion of the increased sensitivity (T. K. Pandita and W. N. Hittelman, Radiat. Res. 130, 94-103, 1992). The purpose of the study reported here was to examine the contribution of DNA and chromosome repair to the radiosensitivity of AT cells. Exponentially growing AT and normal lymphoblastoid cells were fractionated into cell cycle phase-enriched populations by centrifugal elutriation, and their DNA and chromosome repair characteristics were evaluated by DNA neutral filter elution (for DNA DSBs) and by premature chromosome condensation, respectively. AT cells exhibited a reduced fast-repair component in both G1- and G2-phase cells, as observed at the level of both DNA DSBs and the chromosome; however, S-phase cells showed nearly normal DNA DSB repair. The findings that AT cells exhibit an increased level of chromosome damage and a deficiency in the fast component (but not the slow component) of repair suggest that chromatin organization might play a major role in the observed sensitivity of AT cells. When survival was plotted as a function of the residual amount of chromosome damage in G1- and G2- phase cells after 90 min of repair, the curves for normal and AT cells approached each other but did not overlap. These results suggest that, although higher initial levels of chromosome damage and reduced chromosome repair capability can explain much of the radiosensitivity of AT cells, other differences in AT cells must also contribute to their sensitivity phenotype.",Included
71,"Corilagin Attenuates Radiation-Induced Brain Injury in Mice. Cranial irradiation-induced inflammation plays a critical role in the initiation and progression of radiation-induced brain injury (RIBI). Anti-inflammation treatment may provide therapeutic benefits. Corilagin (beta-1-O-galloyl-3, 6-(R)-hexahydroxydiphenoyl-D-glucose, C<sub>27</sub>H<sub>22</sub>O<sub>18</sub>) was a novel member of the tannin family with anti-inflammatory properties and is isolated from some medicinal plants, such as Phyllanthus amarus and Caesalpinia coriaria. In this study, the effect of Corilagin on RIBI was investigated and the underlying mechanisms were explored. Spatial learning and memory ability of mice were investigated by the Morris water maze test. Evans blue leakage and electron microscopy were used to assess the integrity of blood-brain barrier (BBB). The mRNA and protein expressions of inflammatory cytokines, TNF-alpha and IL-1beta, were measured by using real-time PCR and Western blotting. The activation of microglial cells and expression of TNF-alpha were examined by immunofluorescence staining. Phosphorylated signal transducers and activators of transcription 3 (p-STAT3) and IkappaBalpha, and the translocation of p65 from cytoplasm to nucleus were detected by using Western blotting. Morris water maze test showed that Corilagin ameliorated the neurocognitive deficits in RIBI mice. Evans blue leakage and electron microscopy exhibited that Corilagin partially protected the BBB integrity from cranial irradiation-caused damage; immunofluorescence staining showed that Corilagin could inhibit microglial activation and TNF-alpha expression. Real-time PCR and Western blotting revealed that Corilagin downregulated the expression of TNF-alpha and IL-1beta and inhibited the irradiation-induced activation of NF-kappaB pathways by upregulating p-STAT3 expression. In conclusion, Corilagin could attenuate RIBI through inhibiting microglial activation and the expressions of inflammatory cytokines. Corilagin might inhibit the activation of NF-kappaB pathway in a STAT3-associated manner, thereby downregulating the inflammatory cytokine expressions.",Included
