,titleabstract,decision
1198,"Radiation necrosis or glioma recurrence: is computer-assisted stereotactic biopsy useful?. Fifty-one patients with supratentorial glioma treated with external beam radiotherapy (median dose 59.5 Gy) who then demonstrated clinical or radiographic evidence of disease progression underwent stereotactic biopsy to differentiate tumor recurrence from radiation necrosis. The original tumor histological type was diffuse or fibrillary astrocytoma in 21 patients (41%), oligodendroglioma in 13 (26%), and oligoastrocytoma in 17 (33%); 40 tumors (78%) were low-grade (Kernohan Grade 1 or 2). The median time to suspected disease progression was 28 months. Stereotactic biopsy showed tumor recurrence in 30 patients (59%), radiation necrosis in three (6%), and a mixture of both in 17 (33%); one patient (2%) had a parenchymal radiation-induced chondroblastic osteosarcoma. The tumor type at stereotactic biopsy was similar to the original tumor type and was astrocytoma in 24 patients (47%), oligodendroglioma in eight (16%), oligoastrocytoma in 16 (31%), unclassifiable in two (4%), and chondroblastic osteosarcoma in one patient (2%). At biopsy, however, only 19 tumors (37%) were low grade (Kernohan Grade 1 or 2). Subsequent surgery confirmed the stereotactic biopsy histological findings in eight patients. Follow-up examination showed 14 patients alive with a median survival of 1 year for the entire group. Median survival times after biopsy were 0.83 year for patients with tumor recurrence and 1.86 years for patients with both tumor recurrence and radionecrosis; these findings were significantly different (p = 0.008, log-rank test). No patient with radiation necrosis alone died. Other factors associated with reduced survival were a high proportion of residual tumor (p = 0.024), a low proportion of radionecrosis (p < 0.001), and a Kernohan Grade of 3 or 4 (p = 0.005). In conclusion, in patients with previously irradiated supratentorial gliomas in whom radionecrosis or tumor recurrence was clinically or radiographically suspected, results of stereotactic biopsy could be used to differentiate tumor recurrence, radiation necrosis, a mixture of both lesions, or radiation-induced neoplasm. In addition, biopsy results could predict survival rates.",Excluded
1199,"Short- and long-term morbidity after treatment for testicular cancer. Patients with testicular cancer are at risk of having severe short-term and life-threatening long-term effects; we reviewed previous reports of these sequelae. After orchidectomy and before further treatment patients have major mental distress which gradually decreases during the treatment phase. Gastrointestinal side-effects dominate during both chemo- and radiotherapy, with the risk of severe haematological, infectious and thromboembolic complications during chemotherapy. Long-term sequelae comprise second cancers, cardiovascular morbidity/mortality and gonadal dysfunction. Nevertheless, 70% of patients who attempt paternity after treatment are successful. About 20% of patients develop long-term neuro- and/or ototoxicity. The long-term quality of life of survivors of testicular cancer is comparable to that of controls. Risk-adapted treatment of patients with testicular cancer and adequate follow-up of those at risk of life-threatening toxicity are ways to reduce the short- and long-term morbidity in survivors. Patients should be informed about these potential complications and the importance of adjusting their lifestyle (e.g. smoking habits, physical activity and weight control). [References: 42]",Excluded
1200,"Interaction between tissue oxygen tension and NADH imaging during synaptic stimulation and hypoxia in rat hippocampal slices. Oxygen and NADH are essential components in the production of ATP in the CNS. This study examined the dynamic interaction between tissue oxygen tension (pO(2)) and NADH imaging changes within hippocampal tissue slices, during metabolic stresses including hypoxia and synaptic activation. The initiation of abrupt hypoxia (from 95% O(2) to 95% N(2)) caused a rapid decrease in pO(2), onset of hypoxic spreading depression (hsd; at 6.7+/-1.3 mm Hg; n=15), and a monophasic increase in NADH. Provided that reoxygenation was prompt, synaptic responses, pO(2) and NADH levels returned to baseline following hsd. Longer hypoxia caused irreversible neuronal dysfunction, an increase in pO(2) beyond baseline (due to decreased tissue demand), and hyperoxidation of NADH (10+/-2% decrease below baseline; n=7). Synaptic activation in ambient 95% O(2) caused a decrease or 'initial dip' in pO(2) and a biphasic NADH response (oxidation followed by reduction). The oxidizing phase of the NADH response was mitochondrial as it was synchronous with the 'initial' dip in pO(2). Following slow graded reductions in ambient oxygen levels to 8%, four of seven slices developed hsd following synaptic stimulation. The hypoxic threshold for graded oxygen reductions occurred at 7.9+/-5.8 mm Hg O(2) (n=7). Our hypoxic threshold range (6.7-7.9 mm Hg O(2) from abrupt and graded oxygen reduction, respectively) correlates well with reported in vivo values of <12 mm Hg O(2). The major findings of this study include: 1) determination of the critical physiological threshold of pO(2) (based upon hsd), which is a marker of imminent neuronal death if oxygen is not rapidly restored; 2) NADH hyperoxidation and an increase in pO(2) beyond baseline levels following longer periods of hypoxia; and 3) the occurrence of a pO(2) 'dip' during synaptic stimulation, which correlates with the early oxidizing phase of the biphasic NADH response.",Excluded
1201,Effects of laser irradiation on the central nervous system. II. The intracranial explosion,Excluded
1202,"Quantitative measurement of regional cerebral blood flow and oxygen metabolism in man using 15O and positron emission tomography: theory, procedure, and normal values. A method is described for quantifying regional cerebral blood flow (rCBF), oxygen extraction (rOER), and oxygen utilization (rCMRO2) in man non-invasively, using inhaled 15O-labeled CO2 and O2 and positron emission tomography. The theoretical considerations and practical aspects are described. The results of rCBF, rCMRO2, and rOER for gray and white matter in normal volunteers are presented. The significance and limitations of the results are discussed. The method appears suitable for the study of human cerebral aerobic metabolism and blood flow under differing physiological conditions and in a wide variety of neurological disorders.",Excluded
1203,"Potential role for LINAC-based stereotactic radiosurgery for the treatment of 5 or more radioresistant melanoma brain metastases. OBJECT: Linear accelerator (LINAC)-based stereotactic radiosurgery (SRS) is a treatment option for patients with melanoma in whom brain metastases have developed. Very limited data are available on treating patients with >=5 lesions. The authors sought to determine the effectiveness of SRS in patients with >=5 melanoma brain metastases.METHODS: A retrospective analysis of metastatic melanoma treated with SRS in a single treatment session for >=5 lesions was performed. Magnetic resonance imaging studies were reviewed post-SRS to evaluate local control (LC). Disease progression on imaging was defined using the 2009 Response Evaluation Criteria in Solid Tumors (RECIST). Survival curves were calculated from the date of brain metastases diagnosis or the date of SRS by using the Kaplan-Meier (KM) method. Univariate and multivariate analysis (UVA and MVA, respectively) were performed using the Cox proportional-hazards model.RESULTS: The authors identified 149 metastatic brain lesions treated in 28 patients. The median patient age was 60.5 years (range 38-83 years), and the majority of patients (24 [85.7%]) had extracranial metastases. Four patients (14.3%) had received previous whole-brain radiotherapy (WBRT), and 11 (39.3%) had undergone previous SRS. The median planning target volume (PTV) was 0.34 cm3 (range 0.01-12.5 cm3). Median follow-up was 6.3 months (range 1-46 months). At the time of treatment, 7% of patients were categorized as recursive partitioning analysis (RPA) Class I, 89% as RPA Class II, and 4% as RPA Class III. The rate of local failure was 11.4%. Kaplan-Meier LC estimates at 6 and 12 months were 91.3% and 82.2%, respectively. A PTV volume>=0.34 cm3 was a significant predictor of local failure on UVA (HR 16.1, 95% CI 3.2-292.6, p<0.0001) and MVA (HR 14.8, 95% CI 3.0-268.5, p=0.0002). Sixteen patients (57.1%) were noted to have distant failure in the brain with a median time to failure of 3 months (range 1-15 months). Nine patients with distant failures received WBRT, and 7 received additional SRS. Median overall survival (OS) was 9.4 and 7.6 months from the date of brain metastases diagnosis and the date of SRS, respectively. The KM OS estimates at 6 and 12 months were 57.8% and 28.2%, respectively, from the time of SRS treatment. The RPA class was a significant predictor of KM OS estimates from the date of treatment (p=0.02). Patients who did not receive WBRT after SRS treatment had decreased OS on MVA (HR 3.5, 95% CI 1.1-12.0, p=0.03), and patients who did not receive WBRT prior to SRS had improved OS (HR 0.11, 95% CI 0.02-0.53, p=0.007).CONCLUSIONS: Stereotactic radiosurgery for >=5 lesions appears to be effective for selected patients with metastatic melanoma, offering excellent LC. This is particularly important for patients as new targeted systemic agents are improving outcomes but still have limited efficacy within the central nervous system.",Excluded
1204,"Lipid bilayer and water proton magnetization transfer: effect of cholesterol. Magnetization transfer between macromolecules and water can be a significant factor contributing to tissue water 1H relaxation. Using saturation transfer techniques, the degree of magnetization transfer between the macromolecular matrix and bulk water 1H can be directly measured and magnetization transfer contrast (MTC) can be generated in MR images. A significant degree of MTC has been observed in tissues with high plasma membrane content such as kidney and brain. The purpose of this study was to establish whether lipid bilayers, as models for cell membranes, could exchange magnetization with the water solvent and whether this effect could contribute to MTC observed in intact tissues. Magnetization transfer was measured in aqueous dispersions of egg phosphatidylcholine (EPC) in the presence and absence of cholesterol. It was found that neither EPC bilayers nor cholesterol by themselves significantly exchanged magnetization with bulk water 1H. However, as the concentration of cholesterol was increased, the pseudo-first-order magnetization exchange rate increased to a maximum value of approximately 1 s-1. The cholesterol-induced 1H magnetization exchange may be related either to longer correlation times of the lipid or to an increase in the number of water molecules associated with the bilayer. These results indicate that EPC-cholesterol bilayers exchange 1H magnetization with bulk water. These results are consistent with lipid bilayer contributions to bulk water relaxation and MTC in intact biological tissues.",Excluded
1205,"Diffuse optical imaging of the whole head. Near-Infrared Spectroscopy (NIRS) and diffuse optical imaging (DOI) are increasingly used to detect hemodynamic changes in the cerebral cortex induced by brain activity. Until recently, the small number of optodes in NIRS instruments has hampered measurement of optical signals from diverse brain regions. Our new DOI system has 32 detectors and 32 sources; by arranging them in a specific pattern, we can cover most of the adult head. With the increased number of optodes, we can collect optical data from prefrontal, sensorimotor, and visual cortices in both hemispheres simultaneously. We describe the system and report system characterization measurements on phantoms as well as on human subjects at rest and during visual, motor, and cognitive stimulation. Taking advantage of the system's larger number of sources and detectors, we explored the spatiotemporal patterns of physiological signals during rest. These physiological signals, arising from cardiac, respiratory, and blood-pressure modulations, interfere with measurement of the hemodynamic response to brain stimulation. Whole-head optical measurements, in addition to providing maps of multiple brain regions' responses to brain activation, will enable better understandings of the physiological signals, ultimately leading to better signal processing algorithms to distinguish physiological signal clutter from brain activation signals.",Excluded
1206,"Local irradiation not only induces homing of human mesenchymal stem cells at exposed sites but promotes their widespread engraftment to multiple organs: A study of their quantitative distribution after irradiation damage. Mesenchymal stem cells (MSCs) have been shown to migrate to various tissues. There is little information on the fate and potential therapeutic efficacy of the reinfusion of MSCs following total body irradiation (TBI). We addressed this question using human MSC (hMSCs) infused to nonobese diabetic/severe combined immunodeficient (NOD/SCID) mice submitted to TBI. Further, we tested the impact of additional local irradiation (ALI) superimposed to TBI, as a model of accidental irradiation. NOD/SCID mice were transplanted with hMSCs. Group 1 was not irradiated before receiving hMSC infusion. Group 2 received only TBI at a dose of 3.5 Gy, group 3 received local irradiation to the abdomen at a dose of 4.5 Gy in addition to TBI, and group 4 received local irradiation to the leg at 26.5 Gy in addition to TBI. Fifteen days after irradiation, quantitative and spatial distribution of the hMSCs were studied. Histological analysis of mouse tissues confirmed the presence of radio-induced lesions in the irradiated fields. Following their infusion into nonirradiated animals, hMSCs homed at a very low level to various tissues (lung, bone marrow, and muscles) and no significant engraftment was found in other organs. TBI induced an increase of engraftment levels of hMSCs in the brain, heart, bone marrow, and muscles. Abdominal irradiation (AI) as compared with leg irradiation (LI) increased hMSC engraftment in the exposed area (the gut, liver, and spleen). Hind LI as compared with AI increased hMSC engraftment in the exposed area (skin, quadriceps, and muscles). An increase of hMSC engraftment in organs outside the fields of the ALI was also observed. Conversely, following LI, hMSC engraftment was increased in the brain as compared with AI. This study shows that engraftment of hMSCs in NOD/SCID mice with significantly increased in response to tissue injuries following TBI with or without ALI. ALI induced an increase of the level of engraftment at sites outside the local irradiation field, thus suggesting a distant (abscopal) effect of radiation damage. This work supports the use of MSCs to repair damaged normal tissues following accidental irradiation and possibly in patients submitted to radiotherapy. ©AlphaMed Press.",Excluded
1207,"Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans. Using new collecting techniques with the Johnson-Sea-Link submersible, eight species of deep-sea benthic crustaceans were collected with intact visual systems. Their spectral sensitivities and temporal resolutions were determined shipboard using electroretinography. Useable spectral sensitivity data were obtained from seven species, and in the dark-adapted eyes, the spectral sensitivity peaks were in the blue region of the visible spectrum, ranging from 470 to 497 nm. Under blue chromatic adaptation, a secondary sensitivity peak in the UV portion of the spectrum appeared for two species of anomuran crabs: Eumunida picta (lambda(max)363 nm) and Gastroptychus spinifer (lambda(max)383 nm). Wavelength-specific differences in response waveforms under blue chromatic adaptation in these two species suggest that two populations of photoreceptor cells are present. Temporal resolution was determined in all eight species using the maximum critical flicker frequency (CFF(max)). The CFF(max) for the isopod Booralana tricarinata of 4 Hz proved to be the lowest ever measured using this technique, and suggests that this species is not able to track even slow-moving prey. Both the putative dual visual pigment system in the crabs and the extremely slow eye of the isopod may be adaptations for seeing bioluminescence in the benthic environment.",Excluded
