,titleabstract,decision
1161,"Granulocytopenia associated with thymoma in a domestic shorthaired cat A 5-year-old, spayed female cat was referred because of a mass in the cranial mediastinum noted on thoracic radiographs. A thymoma was diagnosed following ultrasound and biopsy of the mass. Treatment was initiated with coarse-fraction radiation therapy using external-beam therapy (four fractions of 5 Gy). The mass responded, but granulocytopenia developed. Bone marrow examination showed a myeloid to erythroid ratio of approximately 1:1, with a left shift within the myeloid line. These findings, as well as the lack of toxic changes within the peripheral blood neutrophils, suggested immune-mediated destruction of peripheral granulocytes. Immune suppression with prednisone and cyclosporine was instituted. After 7 weeks, the neutrophil count returned to normal. The tumor was removed, and cyclosporine was reduced and eventually discontinued 3 weeks postsurgery.",Excluded
2851,"[Cushing's syndrome, pituitary radiotherapy and late unilateral optic atrophy]",Included
3582,"The relationship between mood symptoms and neuropsychological function in breast cancer survivors Objective: Breast cancer survivors show neuropsychological deficits in domains such as language and memory that are suspected to be a result of the harmful effects of cancer treatments. Mood symptoms may exacerbate these problems, however, little is known about the exact relationship between these variables. Participants and Methods: We examined a group of 87 breast cancer survivors, mean age 58.7 years, who had received diagnoses of breast cancer 2-22 years prior (mean 6.1 years). Participants completed a battery of neuropsychological tests that assessed intellectual function, executive function, and memory, and several self-report questionnaires that assessed mood, fatigue, and quality of life. Result(s): Pearson analyses demonstrated significant negative correlations between scores on the Beck Depression Inventory-II (BDI-II; Beck, Steer & Brown, 1996) and the Full Scale IQ,VerbalComprehension Index, and Processing Speed Index scores of theWechsler Adult Intelligence Scale-III(Wechsler, 1997). BDI-II scores also showed significant negative correlations with some measures of executive function, but not with measures of memory. Analysis of variance showed that breast cancer survivors who had been treated with chemotherapy reported more symptoms of depression than individuals who had not been treated with chemotherapy, F = 9.51, p = .003. A similar pattern was not found for individuals who had been treated with radiation. Patients' history of chemotherapy and radiation treatment did not show any relationship to subsequent neuropsychological function. Conclusion(s): Results suggest that elevated mood symptoms may be related to problems in some domains of neuropsychological performance in breast cancer survivors. Individuals who had received chemotherapy appeared more likely to experience subsequent mood problems. Further investigation is needed to determine if mood changes may increase susceptibility to the cognitive deficits experienced by breast cancer survivors. Acknowledgement: Study funded by Susan G. Komen for the Cure.",Excluded
3159,"Morphometric analysis of hypothalamic cells showing c-Fos proteins after movement restriction and EHF-irradiation A morphometric analysis of hypothalamic cells containing c-Fos-like protein detected by an indirect immunoperoxidase method was carried out to clarify the responses to movement restriction and skin electromagnetic high frequency (EHF) irradiation (7.1 mm, 42.2 GHz, 20 mW output power) simultaneously to three acupuncture projection areas. The morphometry of c-Fos-protein positive neurons by their number and type was analyzed. Movement restriction (40 min) induced c-Fos protein expression primarily in cells with 10-50 mum<sup>2</sup> sizes (associative type neurons) only in anterior hypothalamic nucleus and lateral hypothalamic area; while additional EHF-irradiation of acupuncture projection areas (under movement restriction) induced c-Fos expression in all hypothalamic structures and mostly in cells with 70-150 mum<sup>2</sup> sizes (relay type neurons), i.e. changed the pattern of activated cell type distribution. In conclusion, the findings show that modest stress under which experimental animals often are exposed increase c-Fos protein expression in hypothalamic centers and skin EHF-irradiation of acupuncture projection areas seem to increase that. © 2008.",Excluded
2219,[Radiation injuries of the internal carotid artery after radiogold implantation in the hypophysis],Included
2040,"Radiation as a local ablative therapy option for oligoprogressive EGFR-mutant non-small cell lung cancer after treatment with osimertinib Purpose/Objective(s): Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors (TKIs) have improved response rate and survival in patients with EGFR-mutant non-small cell lung cancer (NSCLC), but their efficacy is limited by acquired resistance and disease progression. Local ablative therapy (LAT) has shown a survival benefit in patients with oligometastatic disease in retrospective studies. At our institution, we are conducting a prospective single-arm Phase 2 study of EGFR-mutant NSCLC patients with oligoprogressive disease after treatment with osimertinib, a 3rd generation EGFR-TKI. Following LAT to the sites of progression with either radiation or surgery, patients are re-initiated on osimertinib. The primary endpoints are safety, tolerability, and efficacy of re-initiation of osimertinib, as assessed by progression-free survival (PFS). We hypothesize that osimertinib and radiation can be safely administered sequentially, and that LAT followed by re-initiation of osimertinib will result in improved PFS. Purpose/Objective(s): Patients with no prior EGFR-TKI exposure (cohort 1) or progression after 1st/2nd generation EGFR-TKIs with acquired T790M mutation (cohort 2) receive osimertinib. Upon progression, eligible patients with <=5 progressing sites undergo LAT by either radiation therapy or surgery, then resume osimertinib until further disease progression. Patients previously treated with osimertinib with disease progression who qualify for LAT are also eligible (cohort 3). Prior to beginning radiation, patients must be off osimertinib for at least 2 wks, and total time off osimertinib must be less than 8 wks. Result(s): Fifteen patients with a median age of 57 (range 36-71) were enrolled between 4/2016 and 1/2017 (cohorts 1/2/3: 9/3/3 patients). Overall, treatment has been well tolerated, with rash, diarrhea, thrombocytopenia, and alanine transaminase elevation the most common adverse events (AEs). Grade 3-4 AEs were observed in 4 (27%) patients. Objective response rates among evaluable patients prior to LAT in cohorts 1 and 2 were 71% (5/7) and 100% (2/2), respectively. Median PFS was 6.8 mo (95% CI: 3.4 mo-undefined) in cohort 1; there have been no progressions in cohort 2. To date, 2/5 patients receiving LAT have received radiation (both in cohort 3). One patient received 5 Gy x 5 to 2 lung lesions, while the other received 24 Gy and 18 Gy by stereotactic radiosurgery to 2 brain metastases. Additional endpoints include assessment of mechanisms of resistance to osimertinib by multi-omics analyses of tumor, blood, and saliva; results from these analyses will also be presented. Conclusion(s): Oligoprogressive disease can be safely treated with LAT, including radiation therapy, in patients with limited metastatic EGFR-mutant NSCLC after EGFR-TKI therapy. This approach could potentially prevent premature switching to other, less-effective systemic therapies by maximizing the duration and efficacy of EGFR-TKI treatment in selected patients.",Excluded
3081,"Low-dose radiation enhances survivin-mediated virotherapy against malignant glioma stem cells To improve the efficacy and selectivity of virotherapy for malignant glioma, we designed a strategy to amplify adenoviral replication in conjunction with radiotherapy using a radioinducible promoter. First, we compared the radiation-inducible activity of FLT-1, vascular endothelial growth factor, DR5, Cox2, and survivin. We then examined the capacity of the optimal promoter to modulate transgene expression followed by E1A activity in vitro and in vivo in a glioma stem cell model. In the presence of radiation, survivin mRNA activity increased 10-fold. Luciferase transgene expression was dose dependent and optimal at 2 Gy. A novel oncolytic adenovirus, CRAd-Survivin-pk7, showed significant toxicity and replication against a panel of passaged and primary CD133(+) glioma stem cells. On delivery of radiation, the toxicity associated with CRAd-Survivin-pk7 increased by 20% to 50% (P < 0.05). At the same time, the level of E1A activity increased 3- to 10-fold. In vivo, treatment of U373MG CD133(+) stem cells with CRAd-Survivin-pk7 and radiation significantly inhibited tumor growth (P < 0.05). At the same time, the level of E1A activity was 100-fold increased versus CRAd-Survivin-pk7 alone. Selected genes linked to radioinducible promoters whose expression can be regulated by ionizing radiation may improve the therapeutic ratio of virotherapy. In this study, we have identified a new radioinducible promoter, survivin, which greatly enhances the activity of an oncolytic adenovirus in the presence of low-dose radiotherapy.",Excluded
3423,"Noncancerous neurologic manifestations during development of malignant tumors. [French] The appearance of neurological signs during the course of treatment against cancer is not synonymous with a neoplastic or paraneoplastic lesion of the nervous system. The possibility of an iatrogenic disorder or of a curable pathological disease combination should always be considered during discussion of clinical and paraclinical data. Iatrogenic neurological diseases or benign tumors associated with a cancer have a variable prognosis but nevertheless, their diagnosis demands a specific attitude on the part of the staff treating the patient.",Excluded
1062,"Carotid ultrasound identifies high risk subclinical atherosclerosis in adults with low framingham risk scores BACKGROUND: Worldwide, cardiovascular (CV) disease remains the most common cause of morbidity and mortality. Although effective in predicting CV risk in select populations, the Framingham risk score (FRS) fails to identify many young individuals who experience premature CV events. Accordingly, the aim of this study was to determine the prevalence of high-risk carotid intima-media thickness (CIMT) or plaque, a marker of atherosclerosis and predictor of CV events, in young asymptomatic individuals with low and intermediate FRS (<2% annualized event rate) using the carotid ultrasound protocol recommended by the American Society of Echocardiography and the Society of Vascular Medicine.METHODS: Individuals aged < or = 65 years not taking statins and without diabetes mellitus or histories of coronary artery disease underwent CIMT and plaque examination for primary prevention. Clinical variables including lipid values, family history of premature coronary artery disease, and FRS and subsequent pharmacotherapy recommendations were retrospectively collected for statistical analysis.RESULTS: Of 441 subjects (mean age, 49.7 + or - 7.9 years), 184 (42%; 95% confidence interval, 37.3%-46.5%) had high-risk carotid ultrasound findings (CIMT > or = 75th percentile adjusted for age, gender, and race or presence of plaque). Of those with the lowest FRS of < or =5% (n = 336) (mean age, 48.0 + or - 7.6 years; mean FRS, 2.5 + or - 1.5%), 127 (38%; 95% confidence interval, 32.6%-43.0%) had high-risk carotid ultrasound findings. For individuals with FRS < or = 5% and high-risk carotid ultrasound findings (n = 127; mean age, 47.3 + or - 8.1 years; mean FRS, 2.5 + or - 1.5%), lipid-lowering therapy was recommended by their treating physicians in 77 (61%).CONCLUSIONS: Thirty-eight percent of asymptomatic young to middle-aged individuals with FRS < or = 5% have abnormal carotid ultrasound findings associated with increased risk for CV events. Pharmacologic therapy for CV prevention was recommended in the majority of these individuals. The lack of radiation exposure, relatively low cost, and ability to detect early-stage atherosclerosis suggest that carotid ultrasound for CIMT and plaque detection should continue to be explored as a primary tool for CV risk stratification in young to middle-aged adults with low FRS.",Excluded
561,Mitotic acceleration induced in grasshopper neuroblasts by small doses of monochromatic ultraviolet radiation,Excluded
