,titleabstract,decision
0,"Radiation and host factors in human thyroid tumors following thymus irradiation. In this paper thyroid tumor data from the 1971 survey of the Rochester, New York thymus irradiated population are further analyzed to study radiobiological and host factors. The analyses were based on the approximately 2650 irradiated subjects and 4800 sibling controls who had 5 or more years of follow-up. Twenty-four thyroid cancers and 52 thyroid adenomas were found in the irradiated group, and 0 thyroid cancers and 6 adenomas among the controls. The overall risk estimates were 3.8 thyroid cancers/106 PY-rad and 4.5 thyroid adenomas/106 PY-rad. The dose-response data (thyroid dose range of 5 to > 1000 rad) for thyroid cancer indicate both a linear and a dose-squared component, but no dose-squared component is evident for thyroid adenomas. At lower total doses (< 400 rad) there was a suggestion that dose fractionation diminished the thyroid cancer response, but a similar fractionation effect was not found for thyroid adenomas. The temporal pattern of tumors suggested an extended plateau of excess tumor production, rather than a 'wavelike' temporal pattern. There was no evidence for an inverse relationship between thyroid radiation dose and thyroid cancer latency. Female and Jewish subjects had a higher risk of radiation-induced thyroid cancer than did their respective counterparts. The additive and multiplicative models of radiation effects were compared with respect to sex differences; neither model provided a superior fit to the data. The tentative nature of the conclusion is stressed because of the relatively small number of thyroid cancers.",Included
1,"Sonographic characterisation of radiation-induced carotid artery stenosis. BACKGROUND AND PURPOSE: To study the distribution, extent and sonographic characterisation of radiation-induced carotid artery stenosis in nasopharyngeal carcinoma (NPC) patients., METHODS: The distribution of plaques, the extent of stenosis, and the sonographic characterisation of the plaque at maximum stenosis were recorded in 71 NPC patients. The results were compared with the ultrasound results of a control group of 142 patients presenting with symptoms of cerebrovascular disease or carotid bruit., RESULTS: NPC patients had a higher incidence of carotid stenosis (77 vs. 50.7%). The common carotid arteries were most commonly affected by radiation-induced stenosis (93/142 vs. 37/284 in the control group), whereas the carotid bulb was the most commonly affected (56/284) site in the control group. Significantly more NPC patients had moderate-to-severe stenosis (21/71 vs. 27/142). Analysis of the sonographic appearance of radiation-induced and atherosclerotic plaques showed more diffuse involvement in the post-radiation group. Non-calcified plaques and intraplaque hypoechoic foci were also more frequent in the post-radiation group., CONCLUSIONS: Radiation-induced carotid stenosis is more diffuse in distribution, is associated with more severe luminal stenosis and has different sonographic plaque characterisation compared with carotid stenosis without radiation exposure. Copyright 2002 S. Karger AG, Basel",Included
52,"Radiation metabolomics. 5. Identification of urinary biomarkers of ionizing radiation exposure in nonhuman primates by mass spectrometry-based metabolomics. Mass spectrometry-based metabolomics has previously demonstrated utility for identifying biomarkers of ionizing radiation exposure in cellular, mouse and rat in vivo radiation models. To provide a valuable link from small laboratory rodents to humans, gamma-radiation-induced urinary biomarkers were investigated using a nonhuman primate total-body-irradiation model. Mass spectrometry-based metabolomics approaches were applied to determine whether biomarkers could be identified, as well as the previously discovered rodent biomarkers of gamma radiation. Ultra-performance liquid chromatography-electrospray ionization quadrupole time-of-flight mass spectrometry analysis was carried out on a time course of clean-catch urine samples collected from nonhuman primates (n = 6 per cohort) exposed to sham, 1.0, 3.5, 6.5 or 8.5 Gy doses of (60)Co gamma ray (~0.55 Gy/min) ionizing radiation. By multivariate data analysis, 13 biomarkers of radiation were discovered: N-acetyltaurine, isethionic acid, taurine, xanthine, hypoxanthine, uric acid, creatine, creatinine, tyrosol sulfate, 3-hydroxytyrosol sulfate, tyramine sulfate, N-acetylserotonin sulfate, and adipic acid. N-Acetyltaurine, isethionic acid, and taurine had previously been identified in rats, and taurine and xanthine in mice after ionizing radiation exposure. Mass spectrometry-based metabolomics has thus successfully revealed and verified urinary biomarkers of ionizing radiation exposure in the nonhuman primate for the first time, which indicates possible mechanisms for ionizing radiation injury.",Included
63,"Mortality among diagnostic medical radiation workers in South Korea, 1996-2015. OBJECTIVES: To evaluate the risk for all-cause and cause-specific mortality in diagnostic medical radiation workers in South Korea., METHODS: The study population included all diagnostic medical radiation workers enrolled in the National Dosimetry Registry (NDR) between 1996 and 2011. NDR data were linked with mortality data obtained from national registries through 2015. Standardised mortality ratios (SMRs) and relative standardised mortality ratios (rSMRs) were calculated for external comparison and for adjustment of the cohort's overall healthiness., RESULTS: A total of 1099 deaths (974 in men and 125 in women) were reported from among 80 837 medical radiation workers. The SMRs for all causes of death were significantly lower than expected in both men (SMR 0.45, 95% CI 0.42 to 0.48) and women (SMR 0.49, 95% CI 0.41 to 0.58). No excesses were observed for any specific cause of death. The findings were similar by job title, calendar year of entry and year of birth. However, relative to all causes of death, mortality from all cancers (rSMR 1.60, 95% CI 1.41 to 1.82), leukaemia, colon cancer, stomach cancer and diseases of the circulatory system increased significantly among male workers. The results for female workers were limited due to small number of deaths; however, the rSMR for all cancers was significantly elevated (rSMR 1.70, 95% CI 1.17 to 2.46)., CONCLUSIONS: This cohort showed lower mortality among diagnostic medical radiation workers than in the general population. However, occupational factors may have been involved in the increased relative mortality for several causes of death. Copyright © Author(s) (or their employer(s)) 2018. No commercial re-use. See rights and permissions. Published by BMJ.",Included
64,[Enzyme activity in irradiated skin. Cytochrome oxidase and monoamine oxidase],Included
65,"Expanded Characterization of a Hemi-Body Shielded Gottingen Minipig Model of Radiation-induced Gastrointestinal Injury Incorporating Oral Dosing Procedures. In collaboration with the Biomedical Advanced Research and Development Authority (BARDA), the authors recently conducted a pilot study in a hemi-body shielded model of radiation-induced gastrointestinal (GI) injury in Gottingen minipigs following exposure to radiation dose levels between 8-16 Gy. Herein, the impact of oral dosing procedures is assessed, as well as the specific causes of death in animals exposed to radiation doses of 14 and 16 Gy (n = 64; 32 male, 32 female, between 6 and 8 mo of age). Oral dosing using a 2-tablet placebo system comprised of both immediate release and enteric-coated tablets starting 24 h post-irradiation resulted in inhibited gastric emptying of the enteric-coated tablets, which were found to be retained in the stomach and/or regurgitated. This finding appears to be species-specific, as similar findings have not been reported for other large animal species (e.g., non-human primates). Mortality was primarily dictated by decreased activity, body weight loss (>35%), and/or respiratory distress, despite shielding of the lung. The cause of respiratory distress in animals that were pre-terminally euthanized varied according to the timing of death, with interstitial inflammation and extensive fibrosis observed >20 days post-irradiation. Kidney damage was also identified in most animals after day 10. Changes in the GI tract were consistent with previous studies and included collagen deposition/fibrosis. Observations of inflammatory infiltrates and interstitial inflammation/fibrosis in both shielded and unshielded organs support a strong secondary inflammatory syndrome post-irradiation.",Included
72,Californium studies in beagles,Included
73,"[Influence of Professional Contact with Plutonium-239 on Indicators of the Immune Status of the Personnel at Siberian Chemical Plant]. The results of the examination and monitoring of the personnel at the Siberian Chemical Plant (SChP) and adult population of Seversk are presented. The results of primary examination of the personnel who professionally contact the ionizing radiation (IR) from external sources and incorporated 239Pu showed that clinical symptoms of dysfunction of the immune system manifested themselves with a frequency of 75.30%. Infectious-inflammatory diseases (46.95%) and the combined pathology of infectious and allergic character (20.12%) were the most widespread. The allergic diseases (AD) without manifestations of an infectious component were observed not often (7.62%). The monitoring which was carried out for 10 years revealed a decrease in a percentage of persons with clinical signs of disorders of the immune system up to 60.68% among the personnel at the Chemical-Steel Plant and even more among the whole group of the studied personnel at SChP--49.68% (389 : 783). Among the population their frequency made up 51.78%. Features of clinical manifestations of dysfunction ofthe immune system depending on accumulation of 239Pu in the organism are established. Similar dynamics of infectious and infectious and allergic syndromes is revealed when the activity of 239Pu is 40 nCi. AD frequency reliably increased .when the activity of 239Pu is 20 nCi, but if accumulation is higher than 20-40 nCi it decreases and again increases when the activity is over 40 nCi. Pathologies of infectious and allergic genesis are most often observed when the content of 239Pu in an organism is over 40 nCi. Indicators of the immune status (IS) of the personnel at SChP with incorporated 239Pu are analyzed. 59 people--carriers of 239Pu and 408 people without 239Pu accumulated in an organism are examined. In comparison with the control, IS indicators characteristic for all dose loading groups are revealed: increase of lymphocytes, existence of dissociation in indicators of relative and absolute values of the T-cellular link, CD16+56+(-) NK-cells and B-lymphocytes with increase of absolute values, decrease in markers of activation of HLA-DR+ and CD95+, increase of B-lymphocytes and low level of serum IgM. Features of IS in comparison with the group of the personnel with the absence of 239Pu in an organism and indicators of IS which depend on the activity of 239Pu are established. Among them are a decrease in the percentage of persons with increased number of lymphocytes with increased beam loading; increase of NK-T-cells when the activity of 239Pu is 10-20 nCi and the highest value at doses over40 nCi; the dynamics of CD16+56(+)-lymphocytes with the increase of the contents and a percentage of persons with the increase of the activity above 40 nCi; the highest frequenc of a regulatory imbalance with high frequency decrease of CD8(+)-T-lymphocytes at the content of 239Pu > 0-10 nCi; decrease in indicators of B-lymphocytes and serum IgA with an increase in the activity of 239Pu with the lowest values under internal radiation over 40 nCi; decrease in the percentage of persons with a weakening expression of HLA-DR+ with the increase in dose loading.",Included
81,"[Changes in the microcirculatory bed of the mesentery in the rat in the intestinal form of acute radiation disease (experimental morphologic study)]. Total mesentery preparations of the rat after single total irradiation at the dose levels of 15 and 30 Gy were examined by V. V. Kupriyanov 's method and staining by N.E. Yarigin and S.V. Panchenko . Monotonous pathomorphological changes characteristic of microcirculation disorders were revealed such as blood overdistribution into the venous part of microvasculature prestasis , stasis and lymphostasis. Apart from these qualitative alterations, morphometry of certain parts of microvasculature was performed and some indexes and ratios were calculated. Changes of quantitative parameters were as follows: increase of the capillaries, postcapillaries and venules diameter, increase of their surface and volume, increase of diameter of pericapillary diffusion zone; decrease of the correlation ratio between total arteriolar influx and total venular blood passage within a mesentery segment; decrease of the calculated linear speed of blood in capillaries, postcapillaries and venulas .",Included
82,Factor analysis of the laboratory blood examination in research workers with ionizing radiation,Included
