,titleabstract,decision
534,"Post-remission treatment with allogeneic stem cell transplantation in patients aged 60 years and older with acute myeloid leukaemia: A time-dependent analysis Background: Acute myeloid leukaemia mainly affects elderly people, with a median age at diagnosis of around 70 years. Although about 50-60% of patients enter first complete remission upon intensive induction chemotherapy, relapse remains high and overall outcomes are disappointing. Therefore, effective post-remission therapy is urgently needed. Although often no post-remission therapy is given to elderly patients, it might include chemotherapy or allogeneic haemopoietic stem cell transplantation (HSCT) following reduced-intensity conditioning. We aimed to assess the comparative value of allogeneic HSCT with other approaches, including no post-remission therapy, in patients with acute myeloid leukaemia aged 60 years and older. Method(s): For this time-dependent analysis, we used the results from four successive prospective HOVON-SAKK acute myeloid leukaemia trials. Between May 3, 2001, and Feb 5, 2010, a total of 1155 patients aged 60 years and older were entered into these trials, of whom 640 obtained a first complete remission after induction chemotherapy and were included in the analysis. Post-remission therapy consisted of allogeneic HSCT following reduced-intensity conditioning (n=97), gemtuzumab ozogamicin (n=110), chemotherapy (n=44), autologous HSCT (n=23), or no further treatment (n=366). Reduced-intensity conditioning regimens consisted of fludarabine combined with 2 Gy of total body irradiation (n=71), fludarabine with busulfan (n=10), or other regimens (n=16). A time-dependent analysis was done, in which allogeneic HSCT was compared with other types of post-remission therapy. The primary endpoint of the study was 5-year overall survival for all treatment groups, analysed by a time-dependent analysis. Finding(s): 5-year overall survival was 35% (95% CI 25-44) for patients who received an allogeneic HSCT, 21% (17-26) for those who received no additional post-remission therapy, and 26% (19-33) for patients who received either additional chemotherapy or autologous HSCT. Overall survival at 5 years was strongly affected by the European LeukemiaNET acute myeloid leukaemia risk score, with patients in the favourable risk group (n=65) having better 5-year overall survival (56% [95% CI 43-67]) than those with intermediate-risk (n=131; 23% [19-27]) or adverse-risk (n=444; 13% [8-20]) acute myeloid leukaemia. Multivariable analysis with allogeneic HSCT as a time-dependent variable showed that allogeneic HSCT was associated with better 5-year overall survival (HR 0.71 [95% CI 0.53-0.95], p=0.017) compared with non-allogeneic HSCT post-remission therapies or no post-remission therapy, especially in patients with intermediate-risk (0.82 [0.58-1.15]) or adverse-risk (0.39 [0.21-0.73]) acute myeloid leukaemia. Interpretation(s): Collectively, the results from these four trials suggest that allogeneic HSCT might be the preferred treatment approach in patients 60 years of age and older with intermediate-risk and adverse-risk acute myeloid leukaemia in first complete remission, but the comparative value should ideally be shown in a prospective randomised study. Funding(s): None.Copyright © 2015 Elsevier Ltd.",Excluded
471,"Chromatographic determination of methyl glyoxal in blood plasma as the test for glycotoxicity and accumulation of glycation end-products We developed a method of measuring methyl glyoxal concentration in blood serum using HPLC with UV detection. Methyl glyoxal concentration was determined in healthy subjects. The method was developed for indirect but reliable measurement of the levels of glycation end-products in patients with diabetes, hyperlipidemia, and cardiovascular pathologies. © 2012 Springer Science+Business Media, Inc.",Excluded
3405,"Guided Punctures with Ultrasound Volume Navigation in Percutaneous Transforaminal Endoscopic Discectomy: A Technical Note Objective: Ultrasound volume navigation (UVN) has been widely used for accurate guidance and decreased radiation exposure. However, few studies have focused on the clinical significance of UVN in guiding percutaneous puncture in percutaneous transforaminal endoscopic discectomy (PTED). We evaluated UVN to guide percutaneous puncture in PTED. Method(s): We retrospectively reviewed the medical records of 12 patients (8 men and 4 women), who had undergone PTED with the help of UVN or fluoroscopic guidance for lumbar disc herniation from November 2017 to December 2017. Result(s): The age of these 12 patients range was 26-71 years, and the body mass index range was 18.19-26.91 kg/m2. Of the 12 patients, 6 were in UVN group and 6 were in fluoroscopy group. The mean number of punctures was 1.00 in UVN group and 3.83 in fluoroscopy group. The mean exposure time was 3.60 and 13.80 seconds in UVN and fluoroscopy groups, respectively. The mean operation time was 48.17 minutes and 61.33 minutes in UVN and fluoroscopy groups, respectively. A positive relationship was found between operation time and exposure time (P < 0.05). All patients achieved excellent or good clinical outcomes. The Oswestry Disability Index and visual analog scales for leg pain and back pain all showed significant improvement after the procedure (P < 0.05). None of patients experienced a complication. Conclusion(s): UVN decreased the number of puncture attempts, radiation exposure, and operation time compared with fluoroscopic guidance in PTED. Therefore, UVN is a feasible and efficient method for guiding percutaneous puncture in PTED.Copyright © 2018 Elsevier Inc.",Excluded
3042,[Ozone therapy for radiation reactions and skin lesions after neutron therapy in patients with malignant tumors] The article discusses the problem of radiation complications from normal tissues in patients after therapy with fast neutrons of 6.3 MeV. The methods of treatment using ozone technologies in patients with radiation reactions and skin lesions on the areas of irradiation after neutron and neutron-photon therapy have been worked out. Ozone therapy showed its harmlessness and increased efficiency of complex treatment of these patients.,Excluded
795,"Baseline analysis of use of denosumab in osteoporotic patients: Indications, compliance, adverse effect and tolerability Background Denosumab is a fully human monoclonal antibody that inhibits osteoclast activity, reducing bone loss. In the UK, use of denosumab was approved by National Institute for Health and Clinical Excellence (NICE) from October 2010 (TA204) [1]. Denosumab was used in Rheumatology Department, Queen Elizabeth Hospital, London from October 2010. Objectives We audited the indications for use of denosumab in these patients. Drug compliance, adverse effect and tolerability of the drug were also analysed. Methods 81 patients (female 77, male 4, age range 52 to 92 years, mean age 72 years) who commenced denosumab between October 2010 and December 2011 were identified retrospectively. 97% (79/81) of the patients come from their own home and 3% (2/81) come from nursing home. Patients' demographics, risk factors, fracture history, bone mineral density (BMD), spine and hip T score and previous osteoporosis treatment were assessed. 58 patients had follow up data and renal function was monitored every six months. Side effects were documented. Results Pre-treatment Dual-emission X-ray Absorptiometry (DXA) was available on all patients (mean BMD spine and hip 0.686 gm/cm2 and 0.705 gm/cm2, mean T score spine and hip -3.025 and -1.776). 87% (75/81) had failed treatment with both oral and intravenous bisphosphonates. 11% (9/81) had breast cancer and were on aromatase inhibitors. 16% (13/81) had mild renal impairment and 7% (6/81) had moderate renal impairment at the base line. 35.8% (29/81) of patients were found to have vitamin D deficiency at baseline and were treated. 9% (7/81) were on denosumab treatment for primary prevention of osteoporosis (T score range -2.3 to -4.1). All of these had failed oral medication previously. Four patients swapped from intravenous Ibandronate due to poor venous access. Use of denosumab was indicated clinically despite lack of specific risk factors suggested by NICE. All patients treated with denosumab for secondary prevention of osteoporosis (91%,74/81) met NICE criteria by virtue of previous fracture and failure of other treatments. Four men were treated off-license. 44% (36/81) had completed six month treatment and 27% (22/81) had completed one year treatment. All these patients were compliant to the drug. Conclusions Denosumab seems well tolerated and no serious side effect has been observed. Patients' renal function appears stable on treatment. Patients' compliance with denosumab is good.",Excluded
1362,"Incidence of Breast Cancer in the Life Span Study of Atomic Bomb Survivors: 1958-2009 The importance of reproductive history in breast tissue development and etiology of sporadic breast cancer in females is well established. However, there is limited evidence of factors, other than age, that modify risk of radiation-related breast cancer. In this study, we evaluated breast cancer incidence in the Life Span Study cohort of atomic bomb survivors, adding 11 years of follow-up and incorporating reproductive history data. We used Poisson regression models to describe radiation risks and modifying effects of age and reproductive factors. Among 62,534 females, we identified 1,470 breast cancers between 1958 and 2009. Of 397 new cases diagnosed since 1998, 75% were exposed before age 20. We found a strong linear dose response with excess relative risk (ERR) of 1.12 per Gy [95% confidence interval (CI): 0.73 to 1.59] for females at age 70 after exposure at age 30. The ERR decreased with increasing attained age ( P = 0.007) while excess absolute rate (EAR) increased with attained age up to age 70 ( P < 0.001). Age at menarche was a strong modifier of the radiation effect: for a given dose, both the ERR and EAR decreased with increasing age at menarche ( P = 0.007 and P < 0.001). Also, independently, age-at-exposure effects on ERR and EAR differed before and after menarche ( P = 0.043 and P = 0.015, respectively, relative to log-linear trends), with highest risks for exposures around menarche. Despite the small number of male breast cancers (n = 10), the data continue to suggest a dose response (ERR per Gy = 5.7; 95% CI: 0.3 to 30.8; P = 0.018). Persistently increased risk of female breast cancer after radiation exposure and its modification pattern suggests heightened breast sensitivity during puberty.",Excluded
1569,"Prognostic significance of serum carcinoembryonic antigen normalization on survival in rectal cancer treated with preoperative chemoradiation Purpose: The purpose of this retrospective study was to identify factors predictive of survival in rectal cancer patients who received surgery with curative intent after preoperative chemoradiotherapy (CRT). Material(s) and Method(s): Between July 1996 and June 2010, 104 patients underwent surgery for rectal cancer after preoperative CRT. The median dose of radiotherapy was 50.4 Gy (range, 43.2 to 54.4 Gy) for 6 weeks. Chemotherapy was a bolus injection of 5-fluorouracil and leucovorin for the first and last week of radiotherapy (n=84, 77.1%) or capecitabine administered daily during radiotherapy (n=17, 16.3%). Low anterior resection (n=86, 82.7%) or abdominoperineal resection (n=18, 17.3%) was performed at a median 47 days from the end of radiotherapy, and four cycles of adjuvant chemotherapy was administered. The serum carcinoembryonic antigen (CEA) level was checked at initial diagnosis and just before surgery. Result(s): After a median follow-up of 48 months (range, 9 to 174 months), 5-year disease free survival (DFS) was 74.5% and 5-year overall survival (OS) was 86.4%. Down staging of T diagnoses occurred in 32 patients (30.8%) and of N diagnoses in 40 patients (38.5%). The CEA change from initial diagnosis to pre-surgery (high-high vs. highnormal vs. normal-normal) was a statistically significant prognostic factor for DFS (p=0.012), OS (p=0.002), and distant metastasis free survival (p=0.018) in a multivariate analysis. Conclusion(s): Patients who achieve normal CEA level by the time of surgery have a more favorable outcome than those who retain a high CEA level after preoperative CRT. The normalization of CEA levels can provide important information about the prognosis in rectal cancer treatment. © 2013 by the Korean Cancer Association.",Excluded
15,"Radioembolization of symptomatic, unresectable neuroendocrine hepatic metastases using yttrium-90 microspheres PURPOSE: To evaluate safety, efficacy, and symptom-control of radioembolization in patients with unresectable liver metastases from neuroendocrine tumors (NETLMs)., MATERIALS AND METHODS: Forty-two patients (mean age of 62 years) with treatment-refractory NETLMs underwent radioembolization using yttrium-90 ((90)Y) resin microspheres. Posttreatment tumor response was assessed by cross-sectional imaging using the Response Evaluation Criteria in Solid Tumors (RECIST) and tumor-marker levels. Laboratory and clinical toxicities and clinical symptoms were monitored., RESULTS: The median activity delivered was 1.63 GBq (range 0.63-2.36). Imaging follow-up using RECIST at 3-month follow-up demonstrated partial response, stable disease, and progressive disease in 22.5, 75.0, and 2.5% of patients, respectively. In 97.5% of patients, the liver lesions appeared hypovascular or partially necrotic. The mean follow-up was 16.2 months with 40 patients (95.2%) remaining alive. The median decrease in tumor-marker levels at 3 months was 54.8% (chromogranin A) and 37.3% (serotonin), respectively. There were no acute or delayed toxicities greater than grade 2 according to Common Terminology Criteria for Adverse Events [CTCAE (v3.0)]. No radiation-induced liver disease was noted. Improvement of clinical symptoms 3 months after treatment was observed in 36 of 38 symptomatic patients., CONCLUSION: Radioembolization with (90)Y-microspheres is a safe and effective treatment option in patients with otherwise treatment-refractory NETLMs. Antitumoral effect is supported by good local tumor control, decreased tumor-marker levels, and improved clinical symptoms. Further investigation is warranted to define the role of radioembolization in the treatment paradigm for NETLMs.",Excluded
1221,"Pericardiectomy for radiation-induced constrictive pericarditis INTRODUCTION: Of oncological patients who have undergone chest radiation therapy, 20% develop radiation-induced constrictive pericarditis. The purpose of this study was to review our clinic's experience of such cases, focusing on survival and the functional outcome., METHODS: Six patients with a history of previous radiation therapy, aged 33-61 years, most of whom had symptoms of heart failure, underwent radical (2 patients) or partial (4 patients) pericardiectomy., RESULTS: All patients were completely free of cardiovascular events during the 8 years covered by the study. Among the postoperative complications the most serious was low cardiac output syndrome in 4 patients, which was treated successfully., CONCLUSIONS: Radiation-induced constrictive pericarditis is a clinical entity that should be taken into account in the differential diagnosis of oncological patients who show signs of heart failure. Surgery is the only effective treatment. The results are satisfactory, but always depend on associated damage to the myocardium as a result of radiation and on the underlying cancer.",Excluded
3093,"Effects of beta radiation from organically bound tritium on cultured mouse embryonic mid brain cells Effects of beta radiation from four kinds of organically bound tritium compounds were investigated on cultured mouse embryonic mid brain cells, isolated from 11-d-old mouse embryos. The MBC showed a critical time when they were more radiosensitive. Although dose-dependent inhibition was found for both cellular proliferation and differentiation, the differentiation was more sensitive to radiation than proliferation when compared at ID50, the inhibitory dose that reduced assessment value by 50% of the control. Dose-dependent decrease of DNA and protein contents were also observed. The relative biological effectiveness values, ranging from 4.6 to 8.7, of beta ray from organically bound tritium compounds were obtained when compared with x irradiation at their ID50s on the inhibition of cell proliferation and differentiation, and on the decrease of DNA and protein contents of the cultures. The mixed exposure to x ray and one kind of organically bound tritium compound or to any two kinds of organically bound tritium compound resulted in a more efficiently inhibitory effect on differentiation than the exposure to x ray or to any one kind of organically bound tritium compound alone, especially when methyl-3H-thymidine was used. Doses as low as 0.05 Gy (5 cGy) from a mixed exposure resulted in detectable inhibitory effects.",Excluded
