,titleabstract,decision
276,"Treatment of locally advanced, high-grade, malignant tumors of major salivary glands A retrospective review of 45 patients with Stage III and IV malignant tumors of the major salivary glands was undertaken to determine tumor control and patient survival after treatment with surgery and conventional ionizing-radiation therapy. Eight of the 23 patients received early postoperative radiotherapy after initial surgical resection, with a local control rate of 75%. Twelve of 23 patients had surgery as definitive treatment and the tumor recurred locally in all; seven of these 12 patients were subsequently salvaged by further surgery plus postoperative radiotherapy or by radiotherapy alone, with 58% ultimate local control. The remaining three patients had unresectable tumors at diagnosis and received radiation alone, with a local tumor control rate of 33%. Patients were also analyzed according to the extent of surgical resection prior to radiation therapy and according to radiation dose. Eighty-eight percent of completely resected, 50% of partially resected, and 44% of unresected tumors were locally controlled for an overall local control rate of 61%. The 5-year survival rate was significantly higher for patients with local tumor control than for patients who failed locally (31% vs. 0%).",Excluded
1305,"Response Evaluation of Choroidal Melanoma After Brachytherapy Using Diffusion-Weighted Magnetic Resonance Imaging (DW-MRI): Preliminary Findings Purpose: To evaluate the role of diffusion-weighted magnetic resonance imaging (DW-MRI) in the assessment of therapeutic response in patients with choroidal melanoma treated with brachytherapy. Material(s) and Method(s): We performed a prospective, unicentric study which included patients with choroidal melanoma and indication for brachytherapy. Three DW-MRI examinations were proposed for each patient, one before and two after treatment. The apparent diffusion coefficient (ADC) value was calculated on DW-MRI and compared with local tumor control assessed by ophthalmologic follow-up. Result(s): From 07/2018 to 06/2019, 19 patients were recruited, 13 of whom underwent follow-up examinations. Patients' ages ranged from 24 to 78 years and 52.9% were male. At the ocular ultrasound, the mean tumor thickness and diameter were 6.3 and 11.5 mm, respectively. Two patients (15.4%) showed signs of tumor progression during follow-up (7 and 9 months after treatment). There was no statistically significant difference in tumor size between MR before and after treatment, however, there was a significant reduction in mean ADC in patients with progression (p = 0.02). Conclusion(s): DW-MRI is a promising method for monitoring patients with choroidal melanoma; reduction in the mean ADC values between pre-treatment MRI and the first post-treatment MRI may be related to the lack of response to brachytherapy and increased risk of disease progression.© Copyright © 2020 Bitencourt, Bitencourt, Chojniak, Souza, Castro, Pellizzon and Chojniak.",Excluded
3054,"Successful introduction of robotic-assisted percutaneous coronary intervention system into Japanese clinical practice: a first-year survey at single center In Japan, a robotic-assisted PCI (R-PCI) system, the CorPath GRX System (Corindus Inc.), has been approved for clinical use in 2018, which is the first introduction of R-PCI into Japan. In this study, the clinical performance of the R-PCI system in the initial year at Kurume University Hospital was evaluated comparing with conventional manual PCI (M-PCI). A total of 30 R-PCI and 77 M-PCI procedures performed between April 2019 and March 2020, were retrospectively included. The primary outcome was the rate of clinical success defined as < 30% residual stenosis without in-hospital major adverse cardiovascular events (MACE). The secondary outcomes were fluoroscopy time, dose area product (DAP), amount of radiation exposure to operators and assistants, procedural time, and contrast volume. Propensity-matching technique was used to match each R-PCI lesion to the nearest M-PCI lesion without replacement. After propensity score matching, 30 R-PCI procedures in 28 patients and 37 M-PCI procedures in 35 patients were analyzed. Clinical success rate with R-PCI was favorable and comparable to M-PCI (93.3 vs. 94.6%, p = 0.97), without any in-hospital MACE. The operator radiation exposure was significantly lower in R-PCI (0 vs. 24.5 microSV, p < 0.0001). Radiation exposure to the patients was tended to be reduced by R-PCI (DAP: 77.6 vs. 100.2 Gycm2, p = 0.07). There were no statistically significant differences in radiation exposure to the assistant, fluoroscopy time, procedural time and contrast volume between the two groups (radiation exposure to the assistant: 10.5 vs. 10.0 microSV, p = 0.64, fluoroscopy time: 27.5 vs. 30.1 min, p = 0.55, procedural time: 72.4 vs. 61.6 min, p = 0.23, and contrast volume: 93.2 vs. 102.0 ml, p = 0.36). R-PCI in selected patients demonstrated favorable clinical outcomes with dramatical reduction of radiation exposure to operators.Copyright © 2021, Springer Japan KK, part of Springer Nature.",Excluded
2718,"Current psychological distress, post-traumatic stress, and radiation health anxiety remain high for those who have rebuilt permanent homes following the Fukushima nuclear disaster Objective: The Fukushima Daiichi nuclear disaster in 2011 produced psychological reactions among evacuees. Despite the harsh situation, subsequently, there has been gradual progress in reconstruction, with more than half of the evacuees returning after the evacuation. Our hypothesis is that evacuee mental health will now be better due to new stable living conditions. This study aims to clarify the statuses of psychological distress, post-traumatic stress, and radiation health anxiety among evacuees who have rebuilt permanent homes after evacuation. Method(s): A cross-sectional questionnaire survey of 1600 residents was conducted in 2020. As primary outcomes, the survey measured psychological distress (Kessler 6), post-traumatic stress (post-traumatic stress four-item checklist), and radiation health anxiety. The data are compared for residents who have rebuilt permanent home and those who did not evacuate. Result(s): In the co-variant analysis, the statuses of psychological distress (p < 0.001), post-traumatic stress (p < 0.001), and radiation health anxiety (p < 0.001) are found to still be high, with significant differences when compared to those who did not evacuate. These results are still at an equivalent level for the continuing evacuation. Conclusion(s): Our findings may indicate a necessity for continuing disaster-related mental health activities even though the living conditions have improved.Copyright © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Excluded
2552,"Comparative evaluation of the in vitro micronucleus test and the comet assay for the detection of genotoxic effects of X-ray radiation The genotoxic effects of X-ray radiation on human lymphocytes were measured using the single cell gel electrophoresis (SCGE) assay (comet assay) and the cytokinesis-blocked micronucleus (CBMN) test; both were carried out in vitro on isolated human lymphocytes in order to compare the relationship and sensitivity of these two detecting methods. The radiation-doses were 0.00, 0.02, 0.05, 0.10, 0.25, 0.50, 1.00 and 2.00 Gy. In the comet assay, the average comet length (38.6+/-0.8 microm) of 0.05 Gy was significantly longer than that (29.4+/-1.1 microm) of 0 Gy (P<0.01), moreover, the average comet length increased with the dose of X-ray radiation. In the CBMN, both the average micronucleus rate (MN) and micronucleated cell rate (MNC) of 0.05 Gy were 11.5+/-4.5 per thousand, which showed no difference with that (7.5+/-0.5 per thousand) of 0 Gy (P>0.05). The lowest dose, which induced significant increase of average MN and MNC, was 0.25 Gy. The average MN and MNC rates increased with radiation-dose. The results showed that there was correlation between SCGE and CBMN, and the sensitivity of SCGE was significantly higher than that of CBMN.",Included
2113,"Variation with sex of irradiation induced chromosome damage in somatic cells of Drosophila melanogaster In Drosophila melanogaster, much information has been collected on chromosome mutations analysed by genetic methods, but there has so far been no cytological analysis of the chromosome mutations induced in somatic cells. By irradiating cells of D. melanogaster, in which somatic pairing was present, the influence of chromosome pairing on the type and frequency of induced chromosome aberrations was verified.",Included
492,"Case-control study on radiology work, medical x-ray investigations, and use of cellular telephones as risk factors for brain tumors CONTEXT: Ionizing radiation is a well-established risk factor for brain tumors. During recent years, microwave exposure from the use of cellular telephones has been discussed as a potential risk factor., OBJECTIVE: To determine risk factors for brain tumors., DESIGN: A case-control study, with exposure assessed by questionnaires., PARTICIPANTS: A total of 233 currently living men and women, aged 20 to 80 years, were included. The case patients had histopathologically verified brain tumors and lived in the Uppsala-Orebro region (1994-1996) or the Stockholm region (1995-1996). Two matched controls to each case were selected from the Swedish Population Register., MAIN OUTCOME MEASURES: Ionizing radiation and use of cellular telephones as risk factors for brain tumors., RESULTS: A total of 209 cases (90%) and 425 controls (91%) answered the questionnaire. Work as a physician yielded an odds ratio (OR) of 6.00, with a 95% confidence interval (CI) of 0.62 to 57.7. All three case patients had worked with fluoroscopy. Radiotherapy of the head and neck region yielded an OR of 3.61 (95% CI, 0.65-19.9). Medical diagnostic x-ray examination of the same area yielded an OR of 2.10 (95% CI, 1.25-3.53), with a tumor induction period of 5 years or more. Chemical industry work yielded an OR of 4.10 (95% CI, 1.25-13.4), and laboratory work yielded an OR of 3.21 (95% CI, 1.16-8.85). Ipsilateral use of cellular telephones increased the risk for tumors in the temporal, temporoparietal, and occipital lobes (OR, 2.42; 95% CI, 0.97-6.05), ie, the anatomic areas with highest exposure to microwaves from a mobile telephone. The result was further strengthened (OR, 2.62; 95% CI, 1.02-6.71) in a multivariate analysis that included laboratory work and medical diagnostic x-ray investigations of the head and neck., CONCLUSION: Exposure to ionizing radiation, work in laboratories, and work in the chemical industry increased the risk of brain tumors. Use of a cellular telephone was associated with an increased risk in the anatomic area with highest exposure.",Included
3,"New radiosensitization treatment (KORTUC-SC) for chemo-resistant supra-clavicular lymph nodes metastasis Purpose/Objective: Linear accelerator-based radiotherapy has little effect on most of locally-advanced neoplasmas that have grown to several centimeters or more. Such tumors contain numerous hypoxic cancer cells and/or large amounts of anti-oxidative enzymes, and are therefore resistant to low linear energy transfer (LET) radiation such as X-rays and electrons from linear accelerators (Linac). We have developed a new radiosensitizer containing hydrogen peroxide & sodium hyaluronate for topical tumor injection for various types of tumors which are not superficially exposed, and the method was named 'KORTUC II'. Safety and effectiveness of the method have already been successfully performed by our clinical trials for patients with unresectable and/or recurrent neoplasms. This study aimed to evaluate the safety and effectiveness of KORTUC II specifically for patients with chemotherapy-resistant supra-clavicular lymph nodes metastasis, and the method was named as KORTUC-SC (KORTUC for supra-clavicular lymph nodes metastasis). For these lesions, curative resection is impossible because of the direct invasion of neoplasms to surrounding cervical great vessels. Therefore new strategies for better local control have been needed. Material(s) and Method(s): This study was performed at Kochi Medical School Hospital between September 2006 and March 2010. Twelve patients (2 men,10 women) with chemotherapy-resistant supraclavicular lymph node metastasis were enrolled into the study after providing fully informed written consent. All the patients underwent PET-CT examinations prior to and at 3 ~ 6 months after KORTUC-SC. We compared these two examination results. Patients were 58 to 77 years old (average age was 65).The radiotherapy regimen was 4 Gy/time, 3 times/week, for 4 weeks, and total dose was 48 Gy. The appropriate energy level of electron beams was selected for individual patients in terms of depth of the target lesion. The injection of 3 to 6 ml of the agent was started from the 5th session of radiotherapy, and was performed twice a week under ultrasonographic guidance. Result(s): The numbers of the patients were 12. Therapeutic effects were evaluated by the FDG-PET performed prior to and following the KORTUC-SC treatment. Treatment was well tolerated, with minimal adverse effects. Of the 12 patients, 6 (50%) showed complete response (CR), 1 (8.3%) showed partial response (PR), 3 (25%) showed stable disease(SD), and another 2 (16.6%) showed progressive disease (PD). Overall survival rate was 83% at 1 year (10/12 patients) and 75% at 2 years (9/12 patients). The mean duration of follow-up at the end of February 2011 was 35.1 months. Conclusion(s): Based on the findings of FDG-PET study, remarkable therapeutic effects of the KORTUC II treatment for chemotherapyresistant supra-clavicular lymph nodes metastasis (KORTUC-SC) were clearly identified. The treatment was well tolerated, with minimal adverse effects such as local pain at the injection site. The treatment outcomes were satisfactory and the adverse events were within the permissible range. This therapy is much less expensive than molecular-targeted therapies in current use, such as Cetuximab. Some well designed prospective randomized clinical trials are needed to confirm the therapeutic efficacy of KORTUC-SC.",Excluded
1308,"Treatment approach and survival from glioblastoma: Results from a population-based retrospective cohort study from Western Norway Objectives To evaluate treatment and survival from glioblastoma in a real-world setting. Design and settings A population-based retrospective cohort study from Western Norway. Participants 363 patients aged 18 years or older diagnosed with glioblastoma between 1 January 2007 and 31 December 2014. Primary and secondary outcome measures Overall survival and survival rates determined by Kaplan-Meier method, groups compared by log-rank test. Associations between clinical characteristics and treatment approach assessed by logistic regression. Associations between treatment approach and outcome analysed by Cox regression. Results Median overall survival was 10.2 months (95% CI 9.1 to 11.3). Resection was performed in 221 patients (60.9%), and was inversely associated with age over 70 years, higher comorbidity burden, deep-seated tumour localisation and multifocality. Median survival was 13.7 months (95% CI 12.1 to 15.4) in patients undergoing tumour resection, 8.3 months (95% CI 6.6 to 9.9) in patients undergoing biopsy and 4.5 months (95% CI 4.0 to 5.1) in patients where no surgical intervention was performed. Chemoradiotherapy according to the Stupp protocol was given to 157 patients (43%). Age over 70 years, higher comorbidity burden and cognitive impairment were associated with less intensive chemoradiotherapy. Median survival was 16.3 months (95% CI 14.1 to 18.5), 7.9 months (95% CI 6.7 to 9.0) and 2.0 months (95% CI 0.9 to 3.2) in patients treated according to the Stupp protocol, with less intensive chemoradiotherapy and with best supportive care, respectively. Surgical resection (HR 0.61 (95% CI 0.47 to 0.79)) and chemoradiotherapy according to the Stupp protocol (HR 0.09 (95% CI 0.06 to 0.15)) were strongly associated with favourable overall survival, when adjusted for clinical variables. Conclusions In a real-world setting, less than half of the patients received full-course chemoradiotherapy, with a median survival comparable to results from clinical trials. Survival was considerably worse in patients receiving less intensive treatment. Our results point out a substantial risk of undertreating glioblastoma, especially in elderly patients.Copyright © Author(s) (or their employer(s)) 2021. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.",Excluded
1244,"Pathogenesis of post-irradiation infections. I. Yersinia enterocolitica administered to normal and irradiated rats Infections after irradiation can be due to a great variety of microorganisms many of which are normally non-pathogenic or conditionally pathogenic for the host. The strain of Y. enterocolitica used was not pathogenic to a variety of unirradiated rats nor to athymic or B lymphocyte deprived, macrophage depleted rats, nor to normal rats irradiated by 5.7 Gy 24 hours before. However similarly irradiated rats receiving Y. enterocolitica 5 to 10 days later showed a substantial mortality. It is concluded that the radiosensitive mechanism for protection against Y. enterocolitica is not humoral nor cellular immunity as mediated by T and B lymphocytes or macrophages.",Included
