,titleabstract,decision
1713,"DW-MRI-guided dose escalation improves local control of locally advanced nasopharyngeal carcinoma treated with chemoradiotherapy Background: Nasopharyngeal carcinoma (NPC) is one of the most highly radiosensitive malignancies; however, some locally advanced NPC patients experienced local recurrence even though they received aggressive treatment regimens. Defining the tumor volume precisely is important to escalate the total dose required for the primary tumor. In this study, we aimed to investigate the feasibility and efficacy of dose escalation guided by DW-MRI in patients with locally advanced NPC. Patients and Methods: A total of 230 patients with locally advanced NPC treated with intensive modulated radiotherapy (IMRT) at Sichuan Cancer Hospital between January 2010 and January 2015 were enrolled in this retrospective study. All the patients were treated with all-course of simultaneous integrated boost-IMRT. DW-MRI-guided dose escalation with 2.2-2.5 Gy/F, qd for 1-3daysor1.2-1.5 Gy/F, bid for 1-3 days were prescribed to 123 patients. Survival and complication of the patients were evaluated, and multivariate analysis was performed. Result(s): The median follow-up of patients in the DW-MRI-guided dose-escalation group and the conventional group was 48 months (range 8-88 months) and 52 months (range 6-90 months), respectively. The 5-year overall survival rate, distant metastasis-free survival rate, progression-free survival, and local recurrence-free survival (LRFS) of patients in the dose-escalation group and the conventional group were 88% vs 82.5% (p = 0.244), 86.1% vs 83.3% (p = 0.741), 82.2% vs 76.6% (p = 0.286), and 89.1% vs 80.1% (p = 0.029), respectively. Multivariate analysis showed that dose escalation was independent prognostic factor for LRFS (HR 0.386, 95% CI 0.163-0.909, p = 0.03). Conclusion(s): DW-MRI-guided dose escalation is a feasible strategy to improve local control of patients with locally advanced NPC. The treatment-related complications are tolerable.Copyright © 2020 Huang et al.",Excluded
2103,"Definitive radiotherapy with interstitial implant boost for squamous cell carcinoma of the tongue base BACKGROUND: The purpose of this study was to examine the long-term outcome of a cohort of patients with unresected base of tongue carcinoma who received interstitial brachytherapy after comprehensive external beam radiation therapy., METHODS: Between 1983 and 2000, 122 patients with primary or recurrent squamous cell carcinoma of the oropharynx or oral cavity received interstitial brachytherapy as part of their overall management. Forty patients had primary, unresected carcinoma of the base of tongue and are the subjects of this analysis. The median age was 54 years. Fifty-four percent had T3 or T4 disease, and 70% had clinical or radiographic lymphadenopathy. Twenty-four (60%) received two to three cycles of neoadjuvant chemotherapy. The oropharynx, bilateral neck, and supraclavicular fossae were comprehensively irradiated, and the tongue base received a median external beam dose of 61.2 Gy (50-72 Gy). The primary site was then boosted with an interstitial 192Iridium implant by use of a gold-button single-strand technique and three-dimensional treatment planning. The dose rate was prescribed at 0.4 to 0.5 Gy/hr. The median implant dose was 17.4 Gy (9.6-24 Gy) and adjusted to reach a total dose to the primary tumor of 80 Gy. N2 to 3 disease was managed by a planned neck dissection performed at the time of the implant., RESULTS: The median follow-up for all patients was 56 months, and the overall survival rates were 62% at 5 years and 27% at 10 years. The actuarial primary site control was 78% at 5 years and 70% at 10 years. The overall survival and primary site control were independent of T classification, N status, or overall stage. Systemic therapy was associated with an improvement in overall survival (p = .04) and a trend toward increased primary site control with greater clinical response. There were seven documented late effects, the most frequent being grade 3 osteonecrosis (n = 2), grade 2 swallowing dysfunction (n = 2), trismus (n = 2), and chronic throat pain (n = 1)., CONCLUSIONS: In an era of greatly improved dose distributions made possible by three-dimensional treatment planning and intensity-modulated radiation therapy, brachytherapy allows a highly conformal dose to be delivered in sites such as the oropharynx. If done properly, the procedure is safe and delivers a dose that is higher than what can be achieved by external beam radiation alone with the expected biologic advantages. The long-term data presented here support an approach of treating advanced tongue base lesions that includes interstitial brachytherapy as part of the overall management plan. This approach has led to a 78% rate of organ preservation at 5 years, with a 5% incidence of significant late morbidity (osteonecrosis) that has required medical management. Copyright 2005 Wiley Periodicals, Inc.",Excluded
3486,"Three-dimensional anatomic analysis and navigation templates for C1 pedicle screw placement perpendicular to the coronal plane: a retrospective study OBJECTIVE: To explore the corridor for atlas pedicle screw placement perpendicular to the coronal plane and to develop patient-specific navigation templates for pedicle screw placement., METHODS: This study is a retrospective analysis. A total of 71 patients (41 males and 30 females) were involved in this study from June 2016 to June 2018, and they were divided into a template group (39 patients) and a conventional group (32 patients). The CT-based 3D reconstruction models were analyzed in the template group. From the perspective of the 3D atlas in a coronal view, the pedicle corridor was obtained. Taking the center of the tangential circle of the pedicle as the entry point, we simulated screw placement perpendicular to the coronal plane. Then, the individual navigation template was designed and used in surgery. In the conventional group, free-hand pedicle screw placement was performed perpendicular to the coronal plane. The diameter of the maximum tangential circle and screw length of the pedicle corridor were measured in the template group. The surgical time, radiation exposure time, screw grading criteria and so on were evaluated and compared between the two groups after surgery., RESULTS: ;The diameter of the maximum tangential circle and the distance between the entry point and posterior tubercle were significantly greater in males than in females. The operation was successfully completed in all patients, without aggravation of nerve injury, and the follow-up was 12-20 months, with an average of 15.6 months. A total of 78 screws were inserted in the template group, and 64 screws were inserted in the conventional group. The surgical times in the template group and conventional group were 76.47+/-24.44 min and 125.63+/-36.41 min, respectively. The radiation exposure times in the template group and conventional group were 3.51+/-1.77 and 10.15+/-4.95, respectively, and there was a significant difference between the two groups. In the template group, the deviation in the screw entry point and screw angle were 1.92+/-1.67 mm and 2.08+/-1.98degree, respectively. The medial angle deviation between the left and right sides was 2.71+/-1.88degree in the template group, which was significantly less than the deviation of 3.76+/-2.22degree in the conventional group., CONCLUSION: A pedicle screw trajectory perpendicular to the coronal plane can be quickly obtained based on the perspective of 3D models. The technique of screw placement perpendicular to the coronal plane assisted by navigation templates has a shorter operative time, lessintraoperative fluoroscopy and a higher safety of screw placement than traditional surgery.",Excluded
1911,"Wear of high-dose gamma-irradiated polyethylene in total hip replacements Between 1971 and 1978, 62 patients underwent total hip replacements (THRs) with high-dose (100 Mrad) gamma-irradiated polyethylene sockets. After a mean follow-up of 17.3 years (range, 6-23 years), 28 hips in 26 patients were available for radiographic wear measurement. Twenty-three THRs with non- irradiated sockets were used as controls, although all these hips had loosened within 13 years. The rate of linear wear in irradiated sockets was significantly lower throughout the follow-up period (less than 2 years. 0.16 and 0.38 mm/year; 2-6 years, 0.05 and 0.29 mm/year; more than 6 years, 0.05 and 0.28 mm/year, respectively; mean, P < 0.0001). This result has demonstrated that high-dose gamma- irradiated, cross-linked polyethylene is a promising articulating material for THRs.",Excluded
3645,"Feasibility study of single agent cisplatin and concurrent radiotherapy in Japanese patients with squamous cell carcinoma of the head and neck: Preliminary results Background: Concurrent chemoradiotherapy with the single agent cisplatin (CDDP + RT) has been recognized worldwide as the standard treatment for unresectable locally advanced SCCHN. The objective of this study was to clarify the feasibility of CDDP + RT in Japanese patients. Patients and Methods: Patients with unresectable squamous cell carcinoma of the head and neck were given single daily fractionated radiation (70 Gy at 2 Gy/day) and chemotherapy consisting of a 2 h infusion of CDDP 100 mg/m2 on days 1, 22 and 43. The primary endpoint was the rate of completion of CDDP + RT. Result(s): Between November 2005 and January 2007, 20 patients were enrolled, 19 males and one female with a median age of 61.5 years (range 50-74). One patient had recurrent unresectable disease after surgery and the remaining 19 had stage IV disease. No grade 4 hematologic toxicities were observed. The incidence of grade 3 mucositis was 55% and no treatment-related death occurred. Full-dose irradiation was performed in all patients, with a median duration of radiotherapy of 50 days (range 48-54). Although all patients received the first two administrations of CDDP, the third dose was administed in 17 patients (85%). The rate of completion of CDDP + RT was 85% and the dose intensity of CDDP was 28.9 mg/m2/week (relative dose intensity 89%). Overall complete response rate was 50% and the rate of primary complete response was 90%. Conclusion(s): Concurrent chemoradiation therapy with the standard dose ofCDDP is feasible in Japanese patients. Treatment modification based on racial differences is not necessary. © 2007 Foundation for Promotion of Cancer Research.",Excluded
2472,"Effects of M-current modulators on the excitability of immature rat spinal sensory and motor neurones M-currents have been shown to control neuronal excitability in a variety of central and peripheral neurones. Here we studied the effects of specific M-current modulators on the excitability of spinal neurones and their response to synaptic activation. Experiments were performed in vitro using the hemisected spinal cord from 7- to 11-day-old rats. Intracellular recordings were obtained from lumbar deep dorsal horn and motor neurones. Neuronal excitability was assessed by applying outward current pulses and synaptic responses were elicited by activation of a lumbar dorsal root. The M-current antagonist 10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone (XE-991) and the agonist retigabine were superfused at 10 microM. Retigabine produced hyperpolarization and a large decrease in the excitability of motor (7/7) and dorsal horn neurones (11/12). The effects of retigabine were fully reversed by XE-991. XE-991 induced depolarization of most neurones tested and a large increase in the excitability of motor neurones (7/7) but only a weak increase in the excitability of a proportion of dorsal horn neurones (4/10). The effects of XE-991 were partly reversed by retigabine. Consistent with their effects on neuronal excitability, retigabine showed a general depressant effect on synaptic transmission, whereas XE-991 showed the opposite tendency to potentiate responses to dorsal root stimulation, particularly in motor neurones. The results show that retigabine can depress spinal excitability and the transmission of nociceptive information. Results also indicate a post-synaptic expression of functional M-currents in most motor neurones and a considerable proportion of deep dorsal horn neurones.",Excluded
1938,"Present status and self-reported diseases of the Korean atomic bomb survivors: a mail questionnaire survey Many Koreans were forced to move to Japan while Korea was occupied by Japan. Consequently, when the atomic bombs were dropped on Hiroshima and Nagasaki an estimated 40,000 Koreans died and 30,000 survived. In 2004, 2,235 Koreans were registered as A-bomb survivors in South Korea. A mail questionnaire survey to evaluate the present status and self-reported diseases of the Korean survivors was conducted. In total, 1,256 questionnaires were returned and analysed. The most frequent chronic diseases reported by Korean survivors were hypertension (40.1 per cent), peptic ulcer disease (25.7 per cent), anaemia (23.3 per cent) and cataracts (23.1 per cent). The most frequent malignant diseases were stomach cancer (1.9 per cent), colon cancer (0.5 per cent) and leukaemia/multiple myeloma (0.4 per cent). This study suggests that further investigations are needed into the health concerns of the survivors and into health protection measures.",Excluded
2946,"Radon testing in rapid access lung clinics: an opportunity for secondary prevention Background: Radon is a naturally occurring radioactive gas and a level 1 carcinogen. It acts synergistically with cigarette smoke to cause lung cancer. In Ireland, radon is estimated to be associated with 13 % of all lung cancers. Rapid access lung cancer clinics (RALC's) were established in the UK and Ireland to improve lung cancer management outcomes. There has been no attempt to date to provide advice on household radon exposure assessments in this setting. Aim(s): We performed a prospective feasibility study of radon assessment in our RALC to test the hypothesis that patients would avail of this service and that it would provide an opportunity for secondary prevention in at risk persons. Method(s): We investigated household radon levels in consecutive patients who were newly referred with symptoms of lung cancer to the RALC in Galway University Hospital, Ireland over a 6-month period. Result(s): Of 50 patients enrolled, 42 returned valid results. Overall 21 % of patients had radon levels recorded above the national reference level. Only 5 % of patients were aware of the association between radon gas and lung cancer. Smokers were significantly less likely to engage fully in radon testing. Conclusion(s): The development of RALC's offers a novel opportunity to integrate the concepts of radon exposure, cigarette smoking and the development of lung cancer, and to reinforce this message in the minds of at risk patients.Copyright © 2016, Royal Academy of Medicine in Ireland.",Excluded
964,Characterization of feline whole-blood cultures and determination of the frequency of radiation-induced dicentrics in human and feline lymphocytes The Ham's F-10 and PHA culture system was applied to whole feline blood and cell-cycle characteristics such as DNA synthesis and mitotic indices were studied. The results are comparable to those obtained from human whole-blood cultures. The yields of dicentrics were also determined in lymphocytes from X-irradiated human and feline blood. The ratio between the experimental yields of dicentrics in human as compared to feline lymphocytes was 1:0.27.,Included
3561,"Augmented fluoroscopic bronchoscopy (AFB) versus percutaneous computed tomography-guided dye localization for thoracoscopic resection of small lung nodules: a propensity-matched study BACKGROUND: Dye localization is a useful method for the resection of unidentifiable small pulmonary lesions. This study compares the transbronchial route with augmented fluoroscopic bronchoscopy (AFB) and conventional transthoracic CT-guided methods for preoperative dye localization in thoracoscopic surgery., METHODS: Between April 2015 and March 2019, a total of 231 patients with small pulmonary lesions who received preoperative dye localization via AFB or percutaneous CT-guided technique were enrolled in the study. A propensity-matched analysis, incorporating preoperative variables, was used to compare localization and surgical outcomes between the two groups., RESULTS: After matching, a total of 90 patients in the AFB group (N = 30) and CT-guided group (N = 60) were selected for analysis. No significant difference was noted in the demographic data between both the groups. Dye localization was successfully performed in 29 patients (96.7%) and 57 patients (95%) with AFB and CT-guided method, respectively. The localization duration (24.1 +/- 8.3 vs. 21.4 +/- 12.5 min, p = 0.297) and equivalent dose of radiation exposure (3.1 +/- 1.5 vs. 2.5 +/- 2.0 mSv, p = 0.130) were comparable in both the groups. No major procedure-related complications occurred in either group; however, a higher rate of pneumothorax (0 vs. 16.7%, p = 0.029) and focal intrapulmonary hemorrhage (3.3 vs. 26.7%, p = 0.008) was noted in the CT-guided group., CONCLUSION: AFB dye marking is an effective alternative for the preoperative localization of small pulmonary lesions, with a lower risk of procedure-related complications than the conventional CT-guided method.",Excluded
