,decision,titleabstract
826,Included,"Effects of prolonged low-dose gamma irradiation on testes of rats. [Russian] Dose-dependent characteristics of rat testicular cytosol androgen reception at varied terms after prolonged whole-body gamma-irradiation (0.1, 0.25 and 0.5 Gy at dose rate of 5.83 x 10(-7) Gy/s) coupled with an electron microscopy morphological characteristics of Sertoli cells. Leydig's cells and other populations of testicular cells, were examined. Analysis of the data obtained suggests the existence of gamma-sensor in brain of mammals, that involved on hypothalamic-pituitary-testicular levels in realisation of radiation stress suppression of Sertoli cell functions at a relatively ""low"" (0.1-0.5 Gy) doses by means of hypothalamic releasing factors and, therefore pituitary gonadotropins hypersecretion."
1095,Excluded,"[Changes of leg compliance during weightlessness or simulated weightlessness] Weightlessness or simulated weightlessness causes increase of leg compliance. It leads to more blood pooling in the legs and less blood returning to the heart during orthostatic test, which may partly explain the occurrence of orthostatic intolerance induced by weightlessness or simulated weightlessness. This article is a review covering published materials about the methods of measurement, mechanisms and countermeasures of the increase of leg compliance during weightlessness or simulated weightlessness. [References: 22]"
825,Included,"[Effects of prolonged low-dose gamma irradiation on testes of rats] Dose-dependent characteristics of rat testicular cytosol androgen reception at varied terms after prolonged whole-body gamma-irradiation (0.1, 0.25 and 0.5 Gy at dose rate of 5.83 x 10(-7) Gy/s) coupled with an electron microscopy morphological characteristics of Sertoli cells. Leydig's cells and other populations of testicular cells, were examined. Analysis of the data obtained suggests the existence of gamma-sensor in brain of mammals, that involved on hypothalamic-pituitary-testicular levels in realisation of radiation stress suppression of Sertoli cell functions at a relatively ""low"" (0.1-0.5 Gy) doses by means of hypothalamic releasing factors and, therefore pituitary gonadotropins hypersecretion."
297,Excluded,"Placebo-controlled chronic high-frequency stimulation of the subthalamic nucleus preserves dopaminergic nigral neurons in a rat model of progressive Parkinsonism Chronic high-frequency stimulation (HFS) of the subthalamic nucleus (STN) protects nigral dopaminergic neurons from neurodegeneration in animal models of Parkinson's disease (PD). However, these data are challenged by the lack of control for neuroprotective effects that might be related to tissue damage due to electrode insertion or STN-HFS. Here we report the first placebo-controlled study on continuous STN-HFS in a rat model of PD using an implantable microstimulation system. We found a significant increase of preserved dopaminergic nigral neurons on the lesioned side (expressed as ratio to the non-lesioned side) of approximately 50% in comparison to STN sham-stimulated and STN-naive rats. These data provide evidence for the phenotypic rescue of nigral dopamine neurons by long-term STN-HFS in this animal model of PD."
1475,Included,"Changes of aggressive behavior and brain serotonin turnover after very low-dose X-irradiation of mice Social isolation has been widely described to induce compulsive aggressive behavior and produce a large decrease of brain serotonin turnover in male mice. The aggressiveness by isolation in mice has been often used as a means for a better understanding of disturbed behavior in human beings. We found that male ICR white Swiss mice exhibiting isolation-induced aggression became gradually calm and showed remarkably quiet behavior 7 to 10 days after whole body irradiation of very low-dose X-rays (5-15 cGy). Higher doses (25-35 cGy), however, could not induce such effects. We also obtained the data on brain biochemistry giving a further support for the above low-dose effects on the mouse behavior. Brain serotonin turnover which has been known to be related to aggressive behavior in 5 or 15 cGy irradiated mice was faster than in aggressive control animals."
1326,Excluded,"Significant reduction of beta-amyloid in the CNS following external radiation: Implications for treatment in alzheimer's disease Purpose/Objective(s): Alzheimer's disease (AD), the most frequent form of dementia in the elderly population, is characterized by the progressive accumulation of extracellular beta-amyloid (Ab) plaques and neurofibrillary Tau protein tangles. These events are especially prevalent in the hippocampus region which is responsible for long term memory. In this animal study, we investigated if cranial X-irradiation could reduce the formation of Ab plaques as a potential novel clinical treatment for Alzheimer's disease, the rationale being that external beam radiotherapy has been used previously as an effective clinical treatment for systemic amyloidosis. Materials/Methods: A transgenic mouse model was used that expresses a chimeric mouse/human amyloid precursor protein (Mo/HuAPP695swe) and a mutant human presenilin 1 (PS1-dE9) both directed to CNS neurons. Both mutations are associated with early-onset AD. Radiation treatments were either a single dose (5 Gy, 10 Gy or 15 Gy) or daily fractionation (1 Gy, 2 Gy) to a dose of 10 Gy to a single side of the head. Brains were harvested at various times post-irradiation (2-8 wks) and coronal sections were evaluated for H&E and antibody specific immunohistochemistry to detect beta-amyloid plaques and assess radiation response, staining for IL1, TGF-beta, TNF-alpha, microglia cells (CD11b) and activated microglia cells (CD68). Result(s): Radiation treatments were well-tolerated. H&E stained tissue sections indicated no evidence of a significant decrease in cell density (Nissl staining) and no compelling evidence of significant cellular necrosis. No signs of devitalization, malacia or spongiosus or classic acute or chronic inflammatory features were evident. The number and size of beta-amyloid plaques were compared between the irradiated and shielded halves of the brain. The average number of plaques in the unirradiated brain increased with age, the values for 32, 34 and 38 week old animals were 43.9 (SD +/- 17.6; n = 9), 61.7 (SD +/- 19.8, n = 9) and 109 (SD +/- 26.9, n = 9) respectively. Radiation treatment was associated with a statistically significant reduction of plaques throughout the brain (paired t-test p = 0.002).This effect was more significant in the hippocampus region (p = 0.0004). At 4 weeks post-treatment 5, 10 and 15 Gy caused a 71 +/- 3%, 87 +/- 24%, 92 +/- 34% reduction in plaque incidence in the hippocampus. The greatest reductions were noted at longer times post-treatment. TGF-beta staining was restricted to the irradiated side of the brain, little or no site-specific staining of IL1 or TNF-alpha was seen. A trend was evident of activated microglia in the irradiated brain. Conclusion(s): We report the first experience that external beam irradiation can produce a significant reduction in beta-amyloid plaques associated with AD."
189,Excluded,"Morning and evening peaks of activity rely on different clock neurons of the Drosophila brain In Drosophila, a 'clock' situated in the brain controls circadian rhythms of locomotor activity. This clock relies on several groups of neurons that express the Period (PER) protein, including the ventral lateral neurons (LN(v)s), which express the Pigment-dispersing factor (PDF) neuropeptide, and the PDF-negative dorsal lateral neurons (LN(d)s). In normal cycles of day and night, adult flies exhibit morning and evening peaks of activity; however, the contribution of the different clock neurons to the rest-activity pattern remains unknown. Here, we have used targeted expression of PER to restore the clock function of specific subsets of lateral neurons in arrhythmic per(0) mutant flies. We show that PER expression restricted to the LN(v)s only restores the morning activity, whereas expression of PER in both the LN(v)s and LN(d)s also restores the evening activity. This provides the first neuronal bases for 'morning' and 'evening' oscillators in the Drosophila brain. Furthermore, we show that the LN(v)s alone can generate 24 h activity rhythms in constant darkness, indicating that the morning oscillator is sufficient to drive the circadian system."
2445,Excluded,"1MBq/kg may be sufficient for brain F18-FDG PET in integrated PET/MR system Objectives: Integrated PET/MR offers multiple advantages for brain examinations, regards to superior soft-tissue contrast of MRI compared to CT, but also because of the substantial reduction in patient ionizing radiation exposure due to the absence of CT scan. 2 MBq/kg of 18F-FDG are usually administered for brain PET/CT in clinical settings. Taking into account the high sensitivity of PET/MR systems with time-of-flight capability and, considering that a 20-30 min MR acquisition time is usually mandatory in neurological indications, we assume that the administered dose could be significantly decreased in brain PET/MR examination without degrading qualitative and quantitative characteristics of 18F-FDG PET images. Method(s): A retrospective single-institution study was performed on 100 patients (mean age 66.9 +/- 10.5 years, 51 men, 49 females) explored for cognitive impairment or suspicion of neurodegenerative disease, between March 2016 and May 2016. Simultaneous brain 18F-FDG-PET/MR was acquired with the SIGNA PET/MR system (GE Healthcare) for 30 min, 30-60 min after tracer injection (18F-FDG, 2MBq/kg), including a 20 min single-bed-position PET emission scan. In each patient, list-mode acquisition was reconstructed to generate two sets of PET images: a 20-minute summation image used in clinical routine (PET<inf>20min</inf>), and a ten-minute summation image (PET<inf>10min</inf>) to simulate a low-dose injection by reducing the amount of collected data. Two independent nuclear physicians were asked to classify brain metabolic pattern into 6 diagnostic classes: Alzheimer's disease (AD), logopenic progressive aphasia (LPA), semantic dementia (SD), frontotemporal dementia (FTD), normal or non-evaluable (NE). The first set of 100 images (PET<inf>20min</inf>) was analyzed once and, the second one (PET<inf>10min</inf>) 2-3 months later. Regional SUV ratios were extracted with CortexID Suite (GE Healthcare) from PET<inf>20min</inf> (SUV<inf>20min</inf>) and PET<inf>10min</inf> (SUV<inf>10min</inf>) images and compared pairwise. Intraclass correlation coefficient was measured. Bland-Altman graphical analyses were also conducted. Result(s): Brain metabolism was suggestive of AD in 37% patients, LPA (3%), SD (12%), FTD (10%). It was classified as normal in 37% and NE in only one case. Very good agreement (kappa=0.951) was found between PET<inf>20min</inf> and PET<inf>10min</inf> visual assessments for both readers. Regional SUV<inf>20min</inf> and SUV<inf>10min</inf> were strongly correlated (r = 0.988). Differences between SUV<inf>20min</inf> and SUV<inf>10min</inf> ranged from-0.19 to 0.14 (median-0.01; 95% limits of agreement:-0.08 to 0.08). Such differences were too mild to modify the interpretation of brain PET metabolism in clinical settings. Conclusion(s): 50% dose reduction of 18F-FDG could be performed for brain PET/MR imaging without modifying diagnostic performances and PET/MR examination duration. A dose of 1 MBq/kg of 18F-FDG may be sufficient for rEliable measurements of regional SUV ratios in brain PET. The low-dose protocol will lead to a major reduction in patient ionizing radiation exposure (effective dose: 1.42 mSv for a 75kg subject) and could be useful in research studies requiring serial PET in healthy controls."
558,Excluded,"Clinical research on stereotactic radiosurgery combined with epithermal growth factor tyrosine kinase inhibitors in the treatment of brain metastasis of non-small cell lung cancer PURPOSE: To compare the clinical efficacy and safety of stereotactic radiosurgery (SRS) combined with epidermal growth factor receptor-tyrosine kinase inhibitors (EGFR-TKIs) versus whole-brain radiation therapy (WBRT) combined with EGFR-TKIs in the treatment of brain metastasis of non-small cell Lung cancer (NSCLC).METHODS: The clinical data of patients with brain metastatic NSCLC who had EGFR-sensitive mutation and followed between January 2014 and January 2016 was retrospectively analyzed. Patients were divided into two groups according to their treatment types. Fifty seven patients were treated with SRS combined with EGFR-TKIs, while another 57 patients were treated with WBRT combined with EGFR-TKIs. The clinical efficacy, intracranial progression-free survival (iPFS), systemic progression-free survival (sPFS), overall survival (OS,) and adverse reactions were compared between the two groups. Computed tomography (CT) or magnetic resonance imaging (MRI) were used for imaging evaluation in both groups and all patients underwent symptomatic treatment such as dehydration or hormone therapy according to the patient's condition. The efficacy was evaluated using the Response Evaluation Criteria in Solid Tumors (RECIST) (Version 1.1) and adverse reactions were assessed based on the criteria for toxic reaction of anti-cancer drugs of WHO.RESULTS: There were no statistically significant differences in general conditions between the two groups of patients. The median iPFS and median sPFS were similar between the two groups (12.2 months vs. 11.5 months and 10.7 months vs. 9.8 months respectively, p>0.05). The median OS of patients treated with SRS + EGFR-TKIs was significantly longer than in those treated with WBRT + EGFR-TKIs (25.1 months vs. 22.0 months, respectively, p=0.042). No statistically significant differences were found in the objective response rate (ORR), disease control rate (DCR), the incidence rates of cytopenia, gastrointestinal reaction and liver dysfunction between the two groups (p>0.05). There were 8 cases with radiotherapy-associated grade 3 or higher brain damage in SRS + EGFR-TKIs group compared to 19 cases in those treated with WBRT + EGFR-TKIs, suggesting that the incidence rate of radiation-induced brain injuries in SRS + EGFR-TKIs group was remarkably lower than those in WBRT + EGFR-TKIs group (p=0.026).CONCLUSION: The clinical efficacy of SRS combined with EGFR-TKIs is comparable to that of WBRT combined with EGFR-TKIs in the treatment of NSCLC patients with <=3 brain metastases and EGFR-sensitive mutation and the OS of patients is longer, with lower toxic side effect and higher safety, hence SRS combined with EGFR-TKIs should be used as the preferred therapeutic regimen."
3110,Included,"The inhibitory effect of minocycline on radiation-induced neuronal apoptosis via AMPKalpha1 signaling-mediated autophagy Due to an increasing concern about radiation-induced cognitive deficits for brain tumor patients receiving radiation therapy, developing and evaluating countermeasures has become inevitable. Our previous study has found that minocycline, a clinical available antibiotics that can easily cross the blood brain barrier, mitigates radiation-induced long-term memory loss in rats, accompanied by decreased hippocampal neuron apoptosis. Thus, in the present study, we report an unknown mechanism underlying the neuroprotective effect of minocycline. We demonstrated that minocycline prevented primary neurons from radiation-induced apoptosis and promoted radiation-induced autophagy in vitro. Moreover, using an immortalized mouse hippocampal neuronal cell line, HT22 cells, we found that the protective effect of minocycline on irradiated HT22 cells was not related to DNA damage repair since minocycline did not facilitate DNA DSB repair in irradiated HT22 cells. Further investigation showed that minocycline significantly enhanced X-irradiation-induced AMPKalpha1 activation and autophagy, thus resulting in decreased apoptosis. Additionally, although the antioxidant potential of minocycline might contribute to its apoptosis-inhibitory effect, it was not involved in its enhancive effect on radiation-induced AMPKalpha1-mediated autophagy. Taken together, we have revealed a novel mechanism for the protective effect of minocycline on irradiated neurons, e.g. minocycline protects neurons from radiation-induced apoptosis via enhancing radiation-induced AMPKalpha1-mediated autophagy."
