Unnamed: 0,titleabstract,decision,prediction
0,"ASCO 2014: High prevalence of FLT-3 ITD mutations in patients (pts) with AML who present with CNS relapse Background: Despite CR rates of 70% with modern chemotherapeutic regimens, most pts with AML relapse. CNS relapses have become uncommon with the use of high-dose cytarabine based regimens. The features associated with a higher risk of CNS relapse are not defined. Method(s): We analyzed adults who presented with AML and CNS relapses from 2000 until 2014. CNS leukemia was diagnosed by the presence of blasts in a cytocentrifuge preparation of CSF. Pts with blasts in the CSF together with high numbers of red blood cells (> 5) were not considered to have CNS disease if the blasts were high in the PB. Result(s): Of the 1312 pts with AML treated at our institution, 71 (5%) had CNS disease. Median age was 57 years. CNS involvement was detected after a median of 8 months from the initial diagnosis. 4 pts (6%) had isolated CNS relapse that was followed by systemic relapse after a median of 2 weeks. CNS involvement was detected in the setting of refractory AML in 31 pts (44%). 64 pts (90%) received previous high-dose cytarabine. 54 pts (76%) had neurologic symptoms at time of CNS relapse. CNS imaging was performed in 67 pts (94%): 41 (61%) had abnormal findings by MRI suggestive of CNS disease. 4 pts had zero cells with blasts detected on cytocentrifuge preparation only. None of the 4 pts had circulating blasts and all had abnormal findings on brain MRI suggestive of CNS relapse. 18 pts (25%) were FLT3-ITD mutated. CNS involvement was more commonly observed in young pts with increased WBC, BM blasts, and LDH, with M4/M5 phenotype, and FLT3/ITD mutated (12% versus 5%, p=0.003). Treatment for CNS disease consisted of IT chemotherapy in all pts, whole brain radiation therapy in 14, and spinal radiation in 8. Therapy was successful in clearing all signs of CNS disease in 29 (41%). 19 of the 29 pts (65%) subsequently had additional CNS relapses after a median of 3 months. The 2-year survival rate after CNS relapse was 13%. There was no difference in overall survival among patients with or without CNS disease. Conclusion(s): CNS relapse is a rare occurrence in AML (5%) and is associated with a poor prognosis. A high prevalence of FLT3-ITD mutations was observed in these pts. FLT3 mutational status and LDH level may identify patients with AML who may benefit from CNS prophylaxis.",Excluded,0.08233998
1,"Intracavitary radioimmunotherapy to treat solid tumors Radioimmunotherapy (RIT) potentially is an attractive treatment for radiosensitive early-stage solid tumors and as an adjuvant to cytoreductive surgery. Topical administration of RIT may improve the efficacy because higher local concentrations are achieved. We reviewed the results of locally applied radiolabeled monoclonal antibodies for the treatment of solid tumors. Intracavitary RIT in patients with ovarian cancer and glioma showed improved targeting after local administration, as compared to the intravenous administration. In addition, various studies showed the feasibility of locally applied RIT in these patients. In studies that included patients with small-volume disease, adjuvant RIT in ovarian cancer and glioma showed to be at least as effective as standard therapy. The information about RIT for peritoneal carcinomatosis of colorectal origin is scarce, while results from preclinical data are promising. RIT may be applied for other, relatively unexplored indications. Studies on the application of radiolabeled antibodies in early urothelial cell cancer have been performed, showing that intracavitary RIT may hold a promise. Moreover, in patients with malignant pleural mesothelioma or malignant pleural effusion, RIT may play a role in the palliative treatment. Intracavitary RIT limits toxicity and improves tumor targeting. RIT is more effective in patients with small-volume disease of solid cancers. RIT may have potential for palliation in patients with malignant pleural mesothelioma or malignant pleural effusion. The future of RIT may, therefore, not only be in the inclusion in contemporary multimodality treatment, but also in the expansion to palliative treatment. © Mary Ann Liebert, Inc. 2008.",Excluded,0.063671105
2,Carotid surgery or stenting following neck irradiation: time to address the assumptions,Excluded,0.9827555
3,"Possible role of vitamin E, coenzyme Q10 and rutin in protection against cerebral ischemia/reperfusion injury in irradiated rats PURPOSE: To investigate the possible role of vitamin E, coenzyme Q10 and rutin in ameliorating the biochemical changes in brain and serum induced by cerebral ischemia/reperfusion (I/R) in whole body gamma-irradiated rats.MATERIALS AND METHODS: Cerebral ischemia was induced in male Wistar rats (either irradiated or non-irradiated) followed by reperfusion.RESULTS: I/R increased brain content of malondialdehyde (MDA) and depleted its glutathione (GSH) content with a compensatory elevation in cytosolic activities of glutathione peroxidase (GPx) and glutathione reductase (GR) enzymes. It also raised brain cytosolic lactate dehydrogenase (LDH) activity and calcium (Ca(2+)) level. Furthermore, I/R provoked an inflammatory response reflected by an increment in serum levels of the proinflammatory cytokines tumour necrosis factor-alpha (TNF-alpha) and interlukin-1beta (IL-1beta). Moreover, induction of I/R in irradiated rats resulted in a further increase in brain oxidative stress and cytosolic LDH activity, disturbed brain Ca(2+) homeostasis and exaggerated the inflammatory reaction. During irradiation, administration of each of vitamin E, coenzyme Q10 (CoQ10) and rutin to irradiated rats before induction of I/R, alleviated the brain oxidative stress. Moreover, these antioxidants caused attenuation of the rise of the cytosolic activities of GPx and GR. A lowering effect of the cytosolic LDH activity and Ca(2+) level were caused by treatment with antioxidants. Each of vitamin E and rutin revealed an anti-inflammatory action of these antioxidants, while CoQ10 had no effect on serum levels of TNF-alpha and IL-1beta.CONCLUSION: These findings indicate that supplementation with either vitamin E, CoQ10 or rutin ameliorated most of the biochemical changes induced by I/R in irradiated rat brain and serum.",Included,0.98467654
4,"Investigating molecular biomarkers in SCLC Aim: Small cell lung cancer (SCLC) is an aggressive cancer that relapses quickly after conventional treatment. Molecular biomarkers have been investigated in non-small cell lung cancer (NSCLC) and targeted treatments in advanced disease are established. Currently there are no established targeted therapies in SCLC and the aim of this study was to examine for the presence of known molecular targets in patients with SCLC. Method(s): A panel of histopathologically proven formalin fixed paraffin embedded (FFPE) specimens of SCLC diagnosed between 1990 and 2010 were analysed for EGFR, KRAS, NRAS, BRAF mutations, ALK gene rearrangements and MET amplification. EGFR and KRAS testing were done using real time-polymerase chain reaction (RT-PCR cobas), BRAF and NRAS using capillary electrophoresis-single strand conformation analysis (CE-SSCA) and ALK and MET using fluorescent in situ hybridization (FISH). Any positive results were repeated for confirmation. Any inconsistent results were sequenced using the direct Sanger sequencing. . Result(s): A hundred and five cases of SCLC were identified and 75 FFPE blocks retrieved. Sixty samples were suitable for molecular testing, with 25 examined for all 6 molecular targets successfully. No mutations in EGFR were detected in 31 cases suitable for analysis. KRAS and NRAS mutational analysis was successful in 35 and 37 cases respectively; all of which were wild type. Fifty-eight cases were assessed for ALK gene rearrangements and 42 cases for MET gene amplifications; no rearrangements or amplifications were detected. Forty-seven samples were successfully analysed for BRAF gene mutation, with one V600E mutation detected (2.1% of cases). This patient was a 55 years old Caucasian male smoker who was diagnosed as SCLC, limited stage. He had a history of squamous cell carcinoma diagnosed 6 months prior to the SCLC diagnosis (treated by lobectomy). He responded well to his SCLC treatment (radical chemoradiotherapy and prophylactic cranial irradiation). He died nine months after diagnosis. Conclusion(s): EGFR, KRAS, NRAS, ALK and MET were not detected in the examined panel of SCLC patients. A BRAF mutation was identified in a single patient with a recent diagnosis of squamous cell carcinoma of the lung, suggesting a mixed pathology tumour rather than a biomarker in SCLC. This panel of biomarkers should no longer be explored in SCLC.",Excluded,0.081242114
5,"Effect of gamma-radiation of an extremely high dose on the cerebral cortex of the rat (ultrastructural aspects). [Russian] For 24 h after total gamma-radiation of mature Wistar male rats (180-210 g) in the dose of 150 Gy, ultrastructural rearrangements of the cerebral sensomotor cortex are presented as small destructive changes in neurons, neuroglia and vascular endothelium. Total combination of the changes in ultrastructure of the blood capillaries and perivascular astrocytes makes it possible to suppose that permeability of the microvascular bed wall is increased. At this period, together with the destructive changes there are evidently certain compensatory-restorative processes, developing in the cerebral tissue. It is possible to suppose that already during the first hours after the radiation the ultrastructural changes of neurons are resulted not only from the direct effect of radiation, but from certain influences of the radiation damage of neuroglia and microvessels.",Included,0.9849304
6,"[Indices of the status of the cholinergic processes in the rat sensorimotor cortex and caudate nucleus at early periods after gamma-irradiation at a dose of 150 Gr] An insignificant increase in the content of acetylcholine-like substances was registered in the rat brain cortex and caudate nucleus 15 min after whole-body gamma-irradiation with a dose of 150 Gy. After 24 h, the number of these substances appreciably decreased. Total acetylcholinesterase activity in the above brain parts gradually decreased throughout the entire period of observation. These indices changed more markedly in the caudate nucleus than in the cortex of the brain.",Included,0.98487407
7,"Increase of mtDNA number and its mutant copies in rat brain after exposure to 150 MeV protons Proton beam therapy is widely used for treating brain tumor. Despite the efficacy of treatment, the use of this therapy has met some limitations associated with possible damage to normal brain tissues located beyond the tumor site. In this context, the exploration of the harmful effects of protons on the normal brain tissues is of particular interest. We have investigated changes in the total mitochondrial DNA (mtDNA) copy number and identified mtDNA mutant copies in three brain regions (the hippocampus, cortex and cerebellum) of rats after irradiation their whole-head with 150 MeV protons at doses of 3 and 5 Gy. The study was performed in 2-months old male Spraque Dawley rats (n = 5 each group). The mtDNA copy numbers were determined by real-time PCR. The level of mtDNA heteroplasmy was estimated using Surveyor nuclease technology. Our results show that after head exposure to protons, levels of mtDNA copy number in three rat brain regions increase significantly as the levels of mtDNA mutant copies increase. The most significant elevation is observed in the hippocampus. In conclusion, an increase in mtDNA mutant copies may contribute to mitochondrial dysfunction accompanied by increased oxidative stress in different brain regions and promote the development of neurodegenerative diseases and the induction of carcinogenesis.",Included,0.9849674
8,Recent management of metastatic brain tumors. [Japanese],Excluded,0.5539158
9,"Functional analysis of the hippocampus using optofMRI In recent years the technique of optogenetics has been thoroughly developed. By inducing the expression of ChR2 (light-gated cation channel) in the neuronal cells of the rat brain, we can operate the activity of neurons by using light. Functional magnetic resonance imaging (fMRI) based on the blood oxygenation level-dependent (BOLD) signals is widely used to measure brain activity. In a recent paper, optogenetics and fMRI were combined. This technique was called opto-fMRI (ofMRI) and enabled us to observe the entire brain noninvasively. Our study focused on hippocampus, due to its role in neurogenesis and memory formation. We investigated how the dentate gyrus of the hippocampus responds when it is stimulated by light. FMRI data was analyzed statistically using spm5 software. As a result, when the DG was stimulated by light, we observed significant BOLD change of the CA1 and CA3 regions. In this study, we succeeded in measuring opto-fMRI BOLD signals of the hippocampus. We also investigated how the new born cells of the adult hippocampus play the functional role in the hippocampal network, after neurogenesis were inhibited by gamma-ray irradiation.",Excluded,0.063620955
