,titleabstract,decision,prediction
864,"The contribution of DNA and chromosome repair deficiencies to the radiosensitivity of ataxia-telangiectasia Cells derived from individuals with ataxia-telangiectasia (AT) are more sensitive to ionizing radiation and radiomimetic drugs, as evidenced by decreased survival and increased chromosome aberrations at mitosis when compared with normal cell lines. Our previous studies showed that, despite similar initial levels of DNA double-strand breaks (DSBs), AT cells express higher initial chromosome damage than do normal cells as demonstrated by the technique of premature chromosome condensation. However, this finding accounted for only a portion of the increased sensitivity (T. K. Pandita and W. N. Hittelman, Radiat. Res. 130, 94-103, 1992). The purpose of the study reported here was to examine the contribution of DNA and chromosome repair to the radiosensitivity of AT cells. Exponentially growing AT and normal lymphoblastoid cells were fractionated into cell cycle phase-enriched populations by centrifugal elutriation, and their DNA and chromosome repair characteristics were evaluated by DNA neutral filter elution (for DNA DSBs) and by premature chromosome condensation, respectively. AT cells exhibited a reduced fast-repair component in both G1- and G2-phase cells, as observed at the level of both DNA DSBs and the chromosome; however, S-phase cells showed nearly normal DNA DSB repair. The findings that AT cells exhibit an increased level of chromosome damage and a deficiency in the fast component (but not the slow component) of repair suggest that chromatin organization might play a major role in the observed sensitivity of AT cells. When survival was plotted as a function of the residual amount of chromosome damage in G1- and G2- phase cells after 90 min of repair, the curves for normal and AT cells approached each other but did not overlap. These results suggest that, although higher initial levels of chromosome damage and reduced chromosome repair capability can explain much of the radiosensitivity of AT cells, other differences in AT cells must also contribute to their sensitivity phenotype.",Included,0.058026314
937,"YKL-40 expression is associated with poorer response to radiation and shorter overall survival in glioblastoma PURPOSE: YKL-40 is a secreted protein that has been reported to be overexpressed in epithelial cancers and gliomas, although its function is unknown. Previous data in a smaller sample set suggested that YKL-40 was a marker associated with a poorer clinical outcome and a genetically defined subgroup of glioblastoma. Here we test these findings in a larger series of patients with glioblastoma, and in particular, determine if tumor YKL-40 expression is associated with radiation response.EXPERIMENTAL DESIGN: Patients (n=147) with subtotal resections were studied for imaging-assessed changes in tumor size in serial studies following radiation therapy. An additional set (n=140) of glioblastoma patients who underwent a gross-total resection was tested to validate the survival association and extend them to patients with minimal residual disease.RESULTS: In the subtotal resection group, higher YKL-40 expression was significantly associated with poorer radiation response, shorter time to progression and shorter overall survival. The association of higher YKL-40 expression with poorer survival was validated in the gross-total resection group. In multivariate analysis with both groups combined (n = 287), YKL-40 was an independent predictor of survival after adjusting for patient age, performance status, and extent of resection. YKL-40 expression was also compared with genetically defined subsets of glioblastoma by assessing epidermal growth factor receptor amplification and loss at chromosome 10q, two of the common recurring aberrations in these tumors, using fluorescent in situ hybridization. YKL-40 was significantly associated with 10q loss.CONCLUSIONS: The findings implicate YKL-40 as an important marker of therapeutic response and genetic subtype in glioblastomas and suggest that it may play an oncogenic role in these tumors.",Included,0.058034915
247,"Effect of Exposure to Gadodiamide and Brain Irradiation on T<inf>1</inf>-Weighted Images and ADC Maps of the Dentate Nucleus Background: Brain irradiation is considered a cofactor influencing the dentate nucleus (DN) signal intensity (SI) on unenhanced T<inf>1</inf>-weighted images in patients exposed to gadolinium-based contrast agents (GBCAs). Purpose(s): To assess the effect of gadodiamide and whole-brain radiation therapy (WBRT) on T<inf>1</inf>-weighted images and on apparent diffusion coefficient (ADC) maps of DN. Study Type: Single-center retrospective. Population: In all, 125 patients who underwent brain MRIs were classified into four groups: 1) patients who did neither receive intravenous GBCAs injections nor irradiation (controls); 2) patients having >=3 GBCAs-enhanced scans and no WBRT; 3) patients having WBRT and < 3 GBCAs-enhanced scans; and 4) patients having WBRT and >= 3 GBCAs-enhanced scans. Field Strength/Sequence: 1.5T magnet, echo-planar diffusion weighted imaging (DWI) and unenhanced T<inf>1</inf>-weighted sequences. Assessment: The DN-to-pons SI ratio on unenhanced T<inf>1</inf>-weighted images and ADC values of the DN were calculated. Values were compared between groups and relative to the cumulative gadolinium dose and to the time delay after WBRT. Statistical Tests: Statistical analysis included the Mann-Whitney U-test and Spearman's rank-order correlation. Result(s): DN ADC values were not significantly different (P = 0.34) between patients exposed to gadodiamide (0.81 +/- 0.06) and controls (0.83 +/- 0.07). There were no differences in DN ADC values (P = 0.28) and DN-to-pons SI ratios (P = 0.42) between patients exposed to WBRT (ADC values: 0.85 +/- 0.09; SI ratio: 1.11 +/- 0.10) and controls (ADC values: 0.83 +/- 0.06; SI ratio: 1.09 +/- 0.06). There was a significant negative correlation between DN ADC values and the time (days) since the end of WBRT (r = - 0.33; 95% confidence interval [CI]: -0.55, -0.06; P < 0.05). Data Conclusion(s): We did not find changes suggestive of gadolinium-related tissue microstructural damage of the DN. The ADC values of the DN are associated with the time from WBRT. Level of Evidence: 3. Technical Efficacy Stage: 5. Copyright © 2020 International Society for Magnetic Resonance in Medicine",Included,0.058093138
589,"Sparing of tissue by using micro-slit-beam radiation therapy reduces neurotoxicity compared with broad-beam radiation therapy Micro-slit-beam radiation therapy (MRT) using synchrotron-generated X-ray beams allows for extremely high-dose irradiation. However, the toxicity of MRT in central nervous system (CNS) use is still unknown. To gather baseline toxicological data, we evaluated mortality in normal mice following CNS-targeted MRT. Male C57BL/6 J mice were head-fixed in a stereotaxic frame. Synchrotron X-ray-beam radiation was provided by the SPring-8 BL28B2 beam-line. For MRT, radiation was delivered to groups of mice in a 10 x 12 mm unidirectional array consisting of 25-mum-wide beams spaced 100, 200 or 300 mum apart; another group of mice received the equivalent broad-beam radiation therapy (BRT) for comparison. Peak and valley dose rates of the MRT were 120 and 0.7 Gy/s, respectively. Delivered doses were 96-960 Gy for MRT, and 24-120 Gy for BRT. Mortality was monitored for 90 days post-irradiation. Brain tissue was stained using hematoxylin and eosin to evaluate neural structure. Demyelination was evaluated by Kluver-Barrera staining. The LD<sub>50</sub> and LD<sub>100</sub> when using MRT were 600 Gy and 720 Gy, respectively, and when using BRT they were 80 Gy and 96 Gy, respectively. In MRT, mortality decreased as the center-to-center beam spacing increased from 100 mum to 300 mum. Cortical architecture was well preserved in MRT, whereas BRT induced various degrees of cerebral hemorrhage and demyelination. MRT was able to deliver extremely high doses of radiation, while still minimizing neuronal death. The valley doses, influenced by beam spacing and irradiated dose, could represent important survival factors for MRT.",Included,0.05810548
1152,"Irradiation of intracerebral 9L gliosarcoma by a single array of microplanar x-ray beams from a synchrotron: balance between curing and sparing The purpose of this work was the understanding of microbeam radiation therapy at the ESRF in order to find the best compromise between curing of tumors and sparing of normal tissues, to obtain a better understanding of survival curves and to report its efficiency. This method uses synchrotron-generated x-ray microbeams. Rats were implanted with 9L gliosarcomas and the tumors were diagnosed by MRI. They were irradiated 14 days after implantation by arrays of 25 microm wide microbeams in unidirectional mode, with a skin entrance dose of 625 Gy. The effect of using 200 or 100 microm center-to-center spacing between the microbeams was compared. The median survival time (post-implantation) was 40 and 67 days at 200 and 100 microm spacing, respectively. However, 72% of rats irradiated at 100 microm spacing showed abnormal clinical signs and weight patterns, whereas only 12% of rats were affected at 200 microm spacing. In parallel, histological lesions of the normal brain were found in the 100 microm series only. Although the increase in lifespan was equal to 273% and 102% for the 100 and 200 microm series, respectively, the 200 microm spacing protocol provides a better sparing of healthy tissue and may prove useful in combination with other radiation modalities or additional drugs.",Included,0.058263563
381,"Effects of combined immune and radiation cancer therapy on inflammatory environment in the brain of a mouse model Purpose/Objective(s): Cancer patients often report behavioral and cognitive changes following cancer treatment. These can include difficulty concentrating, memory impairment, and increased anxiety. Though changes are often associated with cytotoxic chemotherapy and/or cranial irradiation, these effects are also seen in patients who receive peripheral but no cranial irradiation and no chemotherapy. A proinflammatory environment in the brain may mediate these effects. Neuroinflammation mediates cognitive impairments in other neurological disorders. Its role in cancer-related neurological dysfunction is likely relevant given novel treatments combining peripheral radiotherapy (RT) with immune activation. However, little is known about how these treatments might affect the brain, in individuals with or without tumors. Our preliminary research has identified an association between treatments combining immune activation and RT and impairments in cognitive measures. Here, we investigate the role of neuroinflammation in these effects. We hypothesize that cognitive impairments following treatment with immunotherapy and RT will be associated with increased expression of neuromodulatory inflammatory cytokines. Materials/Methods: Our project utilizes anti-CTLA4 checkpoint inhibitor immunotherapy preceding precision CT-guided peripheral RT to closely model clinical treatment. C57BL/6J mice with or without injected hind flank 3LL lung carcinoma were used. Mice received sham, RT-only, anti-CTLA4-only, or RT+anti-CTLA4 treatment. Mice were exposed to two identical objects and 24 hours later reintroduced to one familiar object and one novel object. Mice that recognize the familiar object will spend more time exploring the novel object. The percent time exploring the novel object out of the total time exploring both objects is calculated to determine object recognition. Following cognitive testing, brain tissue was harvested and used in an inflammatory cytokine and chemokine 20-plex (GM-CSF, TNF-a, IL-2, IL-1b, IL-4, MIG, KC, VEGF, IL-17, MIP-1a, IL-12, IL-10, IL-6, IL-5, FGF-Basic, IL-1a, IFN-g, IL-13, MCP-1, and IP-10). Result(s): In the animals that did not receive tumors, object recognition was seen in control mice and mice receiving either RT or anti-CTLA-4 alone, but not in mice receiving both treatments. In mice receiving tumors, only the mice that received RT alone showed novel object recognition. Conclusion(s): While combining immune activation and RT optimizes tumor control, it is associated with cognitive impairments. Data from 20-plex are currently being analyzed. We will determine how levels of cytokines and chemokines might be altered by the various treatments and whether they are associated with behavioral and cognitive performance. These results will be presented at the meeting.",Included,0.05836988
457,"Spine stereotactic radiosurgery with concurrent tyrosine kinase inhibitors for metastatic renal cell carcinoma OBJECT Systemic control of metastatic renal cell carcinoma (mRCC) has substantially improved with the development of VEGF, mTOR, and checkpoint inhibitors. The current first-line standard of care is a VEGF tyrosine kinase inhibitor (TKI). In preclinical models, TKIs potentiate the response to radiotherapy. Such improved efficacy may prolong the time to salvage therapies, including whole-brain radiotherapy or second-line systemic therapy. As the prevalence of mRCC has increased, the utilization of spine stereotactic radiosurgery (SRS) has also increased. However, clinical outcomes following concurrent treatment with SRS and TKIs remain largely undefined. The purpose of this investigation was to determine the safety and efficacy of TKIs when delivered concurrently with SRS. The authors hypothesized that first-line TKIs delivered concurrently with SRS significantly increase local control compared with SRS alone or TKIs alone, without increased toxicity. METHODS A retrospective cohort study of patients undergoing spine SRS for mRCC was conducted. Patients undergoing SRS were divided into 4 cohorts: those receiving concurrent first-line TKI therapy (A), systemic therapy-naive patients (B), and patients who were undergoing SRS with (C) or without (D) concurrent TKI treatment after failure of first-line therapy. A negative control cohort (E) was also included, consisting of patients with spinal metastases managed with TKIs alone. The primary outcome was 12-month local failure, defined as any in-field radiographic progression. Multivariate competing risks regression was used to determine the independent effect of concurrent first-line TKI therapy upon local failure. RESULTS One hundred patients who underwent 151 spine SRS treatments (232 vertebral levels) were included. At the time of SRS, 46% were receiving concurrent TKI therapy. In each SRS cohort, the median prescription dose was 16 Gy in 1 fraction. Patients in Cohort A had the highest burden of epidural disease (96%, p < 0.01). At 12 months, the cumulative incidence of local failure was 4% in Cohort A, compared with 19%-27% in Cohorts B-D and 57% in Cohort E (p < 0.01). Multivariate competing risks regression demonstrated that concurrent first-line TKI treatment (Cohort A) was independently associated with a local control benefit (HR 0.21, p = 0.04). In contrast, patients treated with TKIs alone (Cohort E) experienced an increased rate of local failure (HR 2.43, p = 0.03). No toxicities of Grade 3 or greater occurred following SRS with concurrent TKI treatment, and the incidence of post-SRS vertebral fracture (overall 21%) and pain flare (overall 17%) were similar across cohorts. CONCLUSIONS The prognosis for patients with mRCC has significantly improved with TKIs. The present investigation suggests a local control benefit with the addition of concurrent first-line TKI therapy to spine SRS. These results have implications in the oligometastatic setting and support a body of preclinical radiobiological research.",Included,0.058490165
353,"Effects of Radiotherapy in the treatment of multiple myeloma: a retrospective analysis of a Single Institution BACKGROUND: Palliative irradiation of osteolytic lesions is a considerable component in the treatment for patients with multiple myeloma. In this study, we analyzed the efficacy of irradiation in these patients.PATIENTS AND METHODS: We retrospectively analyzed 153 patients with multiple myeloma who were admitted to our department between 1989 and 2013. According to the staging system of Durie & Salmon 116 patients were classified as stage III. 107/153 patients were treated with radiotherapy of at least one and up to 6 bony lesions at different times. In order to evaluate the effect of local radiotherapy on pain relief and bone recalcification a uni- and multivariate analysis was performed using a binary logistic regression model to correct for multiple measurements. Complete information on dose, fractionation and volume of radiotherapy was available from 81 patients treated in 136 target volumes for pain relief, and from 69 patients treated in 108 target volumes for recalcification. Total radiation doses varied between 8 Gy to 50 Gy (median dose 25 Gy in 2.5 Gy fractions, 5 times a week).RESULTS: Radiotherapy resulted in complete local pain relief in 31% and partial local pain relief in 54% of the patients. In the univariate analysis, higher total radiation doses (p = 0.023) and higher age (p = 0.014) at the time of radiotherapy were significantly associated with a higher likelihood of pain relief, whereas no significant association was detected for concurrent systemic treatment, type and stage of myeloma and location of bone lesions. The same variables were independent predictors for pain relief in the multivariate analysis. Recalcification was observed in 48% of irradiated bone lesions. In the uni- and multivariate analysis higher radiation doses were significantly associated (p = 0.048) with an increased likelihood of recalcification. Side effects of radiotherapy were generally mild.CONCLUSIONS: Higher total biological radiation doses were associated with better pain relief and recalcification in this retrospective evaluation of multiple myeloma patients. In addition, in the elderly the therapeutic measures appear to develop a better analgesic effect.",Included,0.05891058
1089,"MRI changes in the rat hippocampus following proton radiosurgery PURPOSE: To define radiographic dose-response relationships for proton radiosurgery using a rat brain model.METHODS AND MATERIALS: A group of 23 rats was treated with Bragg peak proton beam irradiation involving the right hippocampus. Single doses of 5, 12, 20, 30, 60, 90 and 130 cobalt gray equivalents (CGE) were delivered to groups of 3 animals using single fraction technique. One extra animal was included at the 130- and 30-CGE doses. Animals were imaged using a standard 1.5-tesla GE Signa MRI. A 3-inch surface coil was employed to obtain T1-weighted sagittal images (TR 600 and TE 30) and dual echo T2-weighted coronal images (TR 3,000 and TE 30/90). Animals were imaged at 1.5, 3, 4.5, 6 and 9 months. Volumetric analysis with custom software was done to evaluate areas of increased signal on T2-weighted images, and signal change versus time curves were generated. Gadolinium-enhanced T1-weighted imaging was also done at the 9-month time point to further evaluate tissue injury. The development of hydrocephalus was also examined.RESULTS: Peak tissue injury was greater and occurred earlier with higher versus lower doses of radiation. Statistically significant differences were seen between the 130- and 90-CGE animals and between the 90- and 60-CGE animals (p < 0.0016) using ANOVA. Signal changes can be seen in at least 1 of the animals at 20 CGE. The largest volume of tissue enhancement at 9 months was seen in animals at 60 CGE, which may represent an intermediate zone of tissue injury and gliosis compared with greater tissue loss at higher doses and less injury at lower doses. Hydrocephalus developed first in the untreated hemisphere in 130- and 90-CGE animals as a result of mass effect while it occurred at a later time in the treated hemisphere in lower-dose animals.CONCLUSIONS: Following single-dose proton radiosurgery of rat hippocampus, serial MRIs show T2 signal changes in animals ranging from 130 down to 20 CGE as well as the development of hydrocephalus. Dose-effect relationships using proton radiosurgery in rats will be a helpful step in guiding further studies on radiation injury to brain tissue.",Included,0.05925485
161,"Long-term hearing status after radiotherapy for nasopharyngeal carcinoma This paper evaluates the hearing status in the long-term, of patients who have had radiotherapy for nasopharyngeal carcinoma (NPC) and also discusses the hearing losses from a disability point of view, which takes into account binaural hearing. Forty patients who have had NPC successfully treated by a single radical course of radiotherapy of 70-80 Gy were studied at 2-12 years (mean 6.2 years) after radiotherapy. Each patient was examined clinically and with a pure-tone audiogram. Averaged hearing thresholds over 0.5, 1.0, 2.0 and 4.0 kHz were evaluated and a value > 30 dB was considered abnormal. The findings were compared with age-matched controls. The median hearing threshold for each ear in NPC patients was found to be 31.9 dB (range 10.0-86.3 dB) and that for controls 17.5 dB (7.5-38.8 dB) (P < 0.0005, Wilcoxon's matched pairs test). In NPC patients, 44 ears (55.0%) had abnormal hearing, of which 17 (21.3%), 5 (6.3%) and 22 (27.5%) ears had predominantly sensori-neural, conductive and mixed hearing losses, respectively. Nineteen ears had middle ear effusions, accounting for the majority of mixed and conductive hearing losses. In terms of individual patients, 8 (20.0%) and 18 (45.0%) patients had abnormal hearing in one year (monaural hearing disability) and both ears (binaural hearing disability), respectively. In conclusion, a substantial proportion of patients who have had radiotherapy for NPC, have hearing disability in the long-term, as compared to normal controls.",Included,0.06033196
