,titleabstract,decision,prediction
460,"[Influence of whole-body X-ray irradiation and 2, 4, 6-triethyleneimino- 1, 3, 5-triazine on the hypnotic effect of hexobarbital in mice (author's transl)] The hypnotic effect of hexobarbital, measured in male NMRI-mice, was reduced during the first 24 hours after a unique or fractionated whole-body X-ray irradiation with 700 and 1400 R resp. 70 to 280 R and twelve hours after a unique intravenous injection of 16,0 mg tretamine per kilogram of body weight. Immediately after a unique injection of a high dose of tretamine and 24 hours after the last of four applications of 0,25 to 2,0 mg/kg which were repeated each after one day, the sleeping time after hexobarbital was prolonged. 24 hours after fractionated injection of tretamine (0,5 mg/kg each time), the concentration of hexobarbital in the brain showed a significant increase compared with the control animals. These results show that the decreased effect of hexobarbital in the early post-irradiation phase is based on pharmacodynamic processes while the increase of the effect produced by continued administration of tretamine can be explained by pharmaco-cinetic reasons.",Excluded,0.94245607
97,"Temperature dependence of radiation-induced DNA-protein crosslinks formed under hypoxic conditions Recently, we demonstrated that the oxygen dependence of the formation of DNA-protein crosslinks (DPCs) in irradiated mammalian cells measured by the alkaline elution technique is the mirror image of the oxygen dependence of radiation-induced cell killing. Consequently, these radiation-induced DPCs could be used to detect hypoxic cells or estimate the hypoxic fraction of cells in solid tumors. Although several techniques, including alkaline elution, gas chromatography/mass spectrometry (GC/MS) and nitrocellulose filter binding, have been used to measure radiation-induced DPCs, the published reports suggest that the characteristics of these DPCs may depend on both the type of sample irradiated (cellular compared to model systems, oxygenated compared to hypoxic, etc.) and the technique used to measure these radiation-induced DPCs. In the present study, the radiation-induced DPCs measured by our alkaline elution technique with and without proteinase K in the lysis solution were characterized by studying the dependence of their formation on temperature in hypoxic rat 9L brain tumor cells. Exponentially growing 9L rat brain tumor cells were rendered hypoxic at 4degreeC or at 37degreeC and then irradiated with either 7.5 Gy or 15 Gy. The cells were trypsinized at 4degreeC, either immediately after the irradiation or after one half-time of strand break repair at 37degreeC. The results demonstrated that the radiation- induced DPCs produced in 9L cells under hypoxic conditions, measured by our alkaline elution technique after low to moderate radiation doses, required metabolism for their formation, unlike the radiation-induced DPCs reported by others using the GC/MS or nitrocellulose filter binding technique.",Excluded,0.94244874
753,"Mitigation of radiation myelopathy and reduction of microglial infiltration by Ramipril, ACE inhibitor STUDY DESIGN: Experimental study.OBJECTIVES: To evaluate the efficacy of Angiotensin-converting enzyme inhibitor Ramipril, as a mitigator of radiation-induced spinal cord injury.SETTING: Stony Brook University, Stony Brook, NY, USA.METHODS: Total of 22 rats were irradiated with single doses of 23.6-33 Gy at the C4-T2 spinal levels. After irradiation, the rats were randomized to the radiation only control group and the Ramipril-treated (radiation + Ramipril) experimental group. Ramipril 1.5 mg/kg/day was given in the drinking water starting 1 week after radiation through the study duration.RESULTS: All the rats irradiated with 28.5-33 Gy became paralyzed at 125 +/- 4 days, whereas no rats became paralyzed after 23.6 Gy. The time to develop paralysis was delayed to 135 +/- 4 days in Ramipril-treated group (P < 0.001). H&E and LFB showed microscopic structural restoration and remyelination with Ramipril treatment. VEGF expression was increased in the irradiated spinal cord, and the number of VEGF-positive cells was significantly decreased by Ramipril treatment (P < 0.001). Immunohistochemical stain with Iba-1 showed increased microglial infiltration in the irradiated spinal cords. The number of Iba-1-positive microglia was significantly reduced by Ramipril treatment (P < 0.05).CONCLUSION: Ramipril reduced the rate of paralysis even at the paralysis-inducing radiation doses. It also significantly delayed the onset of paralysis. Neuroinflammation and endothelial cell damage may be the key mediators of radiation injury. Ramipril can be readily translatable to clinical application as a mitigatory of radiotherapeutic toxicity.",Excluded,0.9424462
1089,"A Comparison of Ramipril and Bevacizumab to Mitigate Radiation-Induced Brain Necrosis: An Experimental Study BACKGROUND: Bevacizumab, an anti-vascular endothelial growth factor (VEGF) antibody, is a new treatment approach for radionecrosis. In our study, we compared the prophylactic and therapeutic usage of a promising agent, ramipril (an angiotensin-converting enzyme inhibitor), with that of bevacizumab for reducing radiation-induced brain injury after high-dose stereotactic radiosurgery (SRS).METHODS: A total of 60 Wistar rats were used. The rats were irradiated with a single dose of 50 Gy using a Leksell Gamma Knife device. Bevacizumab and ramipril were administered in the prophylactic protocol (starting the first day of SRS) and in the therapeutic protocol (starting the fourth week of SRS). Their usage was continued until 12 weeks, and the right frontal lobes of the rats were examined histologically (hematoxylin and eosin stain) and immunohistochemically (hypoxia-inducible factor [HIF]-1alpha, VEGF, and CD31 antibody expression).RESULTS: The expression of VEGF, HIF-1alpha, and CD31 had significantly increased at 12 weeks after SRS compared with the control group. The addition of bevacizumab or ramipril to SRS significantly mitigated the histological severity of radiation injury and the expression of VEGF, HIF-1alpha, and CD31. However, the prophylactic use of bevacizumab and ramipril seemed to be more effective than therapeutic administration. Our results also revealed that the greatest benefit was achieved with the use of prophylactic administration of bevacizumab compared with other treatment protocols.CONCLUSIONS: Ramipril might be a promising agent for patients with radionecrosis. Clinical studies are required to investigate the effective and safe doses of ramipril, which is an inexpensive, well-tolerated drug that can cross the blood-brain barrier.",Excluded,0.94241315
105,"Use of non-ablative dose of radiation to enhance delivery of unmodified morpholino oligonucleotides in a brain tumor model to silence mgmt and enhance the efficacy of chemo-radiation Objective: Non-ablative Ionizing radiation ( XRT) is well known to alter neuro-vascular unit (NVU) permeability. We evaluate the use of XRT to enhance delivery of intravenously administered Morpholino Oligonucleotides designed to silence O6-methylguanine DNA methyltransferase (MGMT) in a MGMT expressing human derived brain tumor xenograft model. Background(s): MGMT, a key DNA repair enzyme is associated with resistance to temozolomide (TMZ). We have previously reported the use of a non-ablative dose of ionizing radiation (XRT) to prime human cancer cells to enhance the uptake of unmodified anti-MGMT morpholino oligonucleotides (AMONs) to achieve statistically significant reduction in the in-vitro proliferation index and cell viability with a single dose of AMONs and TMZ. Our prior work has demonstrated that this is by enlarge mediated by up regulation of physiologic endocytosis after XRT. Design/Methods: Intracranial tumor (MGMT expressing human derived H460 non-small cell lung cancer, n=12) bearing athymic nude rats received a single dose of cranial radiation (2Gy) with oral TMZ for 4 consecutive days starting on the day of XRT. In addition, six animals were randomly selected to receive AMON (10.5mg/kg) 24 hrs after XRT, the remaining served as controls. All animals were euthanized and brains harvested 7 days after XRT and tumor volumes measured by immunoblotting. This experiments was repeated in human derived D283 medulloblastoma xenografts (n=12) Results: A 60% (p=0.034) reduction in MGMT expression was noted in brain tumors treated with XRT and iv AMONs. Although not significant, a 40% reduction in tumors volumes were noted in the animals treated with a single dose of AMONs and chemo-radiation. Conclusion(s): We demonstrate the first use of XRT to guide and enhance delivery of AMONS to brain tumors. In this proof of concept study, silencing MGMT enhances the toxicity of XRT and TMZ. This approach warrants further evaluation and may improve outcomes in patients with tumors with un-methylated MGMT.",Excluded,0.942401
144,"26th Annual Meeting of the working group ""Experimental NeuroOncology"" The proceedings contain 11 papers. The topics discussed include: effect of fractionated and hyperfractionated ionizing irradiation on inflammatory and neural progenitor cell markers in murine hippocampal tissue slices; preclinical model development for pilocytic astrocytoma; interference with the function of MYC - novel insights into the consequences of class I HDAC inhibition in group 3 medulloblastoma; development of a novel assay suitable for preclinical testing of MAPK inhibitors in low-grade glioma; preventing cellular interactions as novel treatment strategy; characterization of oncogene-induced senescence and the role of the senescence-associated secretory phenotype in pilocytic astrocytoma; the role of HDACs in the transcriptional regulation of autophagy in neuroblastoma; and in combinatorial treatment approaches parvovirus H1 increases antineoplastIc efficacy in High grade glioma and neuroblastoma models.",Excluded,0.9423689
633,"Radiation injury to the normal brain measured by 3D-echo-planar spectroscopic imaging and diffusion tensor imaging: initial experience BACKGROUND AND PURPOSE: Whole brain radiation therapy (WBRT) may cause cognitive and neuropsychological impairment and hence objective assessment of adverse effects of radiation may be valuable to plan therapy. The purpose of our study was to determine the potential of echo planar spectroscopic imaging (EPSI) and diffusion tensor imaging (DTI) in detecting subacute radiation induced injury to the normal brain.MATERIALS AND METHODS: Four patients with brain metastases and three patients with lung cancer underwent cranial irradiation. These patients were subjected to 3D-EPSI and DTI at two time points (pre-radiation, and 1 month post-irradiation). Parametric maps of N-acetyl aspartate (NAA), creatine (Cr), choline (Cho), mean diffusivity (MD), and fractional anisotropy (FA) were generated and co-registered to post-contrast T1-weighted images. Normal appearing gray-matter and white-matter regions were compared between the two time points to assess sub-acute effects of radiation using independent sample t-tests.RESULTS: Significantly increased MD (P = .02), Cho/Cr (P = .02) and a trend towards a decrease in NAA/Cr (P = .06) was observed from the hippocampus. Significant decrease in FA (P = .02) from the centrum-semiovale and a significant increase in MD (P = .04) and Cho/Cr (P = .02) from genu of corpus-callosum was also observed.CONCLUSIONS: Our preliminary findings suggest that 3D-EPSI and DTI may provide quantitative measures of radiation induced injury to the normal brain.",Excluded,0.94236034
948,Astrocytic gliomas associated with previous radiotherapy. [Spanish],Excluded,0.9423515
253,"Adenoviral vector-mediated gene transfer: Timing of wild-type p53 gene expression in vivo and effect of tumor transduction on survival in a rat glioma brachytherapy model Objective. This study sought to investigate modification of the radiation response in a rat 9L brain tumor model in vivo by the wild-type p53 gene (wtp53). Determination of the timing and dose of radiation therapy required the assessment of the duration of the effect of wtp53 expression on 9L tumors after in vivo transfection. Methods. Anesthetized male F-344 rats each were stereotactically inoculated with 4 x 10<sup>4</sup> 9L gliosarcoma cells through a skull screw into the cerebrum in the right frontal region. Twelve-day-old tumors were inoculated through the screw with recombinant adenoviral vectors under isoflurane anaesthesia: control rats with Ad5/RSV/GL2 (carrying the luciferase gene), and study rats with Ad5CMV-p53 (carrying the wtp53 gene). Brain tumors removed at specific times after transfection were measured, homogenized, and lysed and wtp53 expression determined by Western blot analysis. Four groups of nine rats were, subsequently, implanted with iodine-125 seeds 15 days post-tumor inoculation to give a minimum tumor dose of 40 or 60 Gy. Results. We demonstrated transfer of wtp53 into rat 9L tumors in vivo using the Ad5CMV-p53 vector. The expression of wtp53 was demonstrated to be maximum between days 1 and 3 post-vector inoculation. Tumors expressing wtp53 were smaller than controls transfected with Ad5/RSV/GL2 but this difference was not statistically significant. Radiation made a significant difference to the survival of tumor-bearing rats. Moreover, wtp53 expression conferred a significant additional survival advantage. Conclusion. The expression of wtp53 significantly improves the survival of irradiated tumor-bearing rats in our model.",Excluded,0.9423436
963,"The mTOR inhibitor Temsirolimus reduces cell proliferation and enhances radiosensitivity of primary meningioma cells irradiated by photons or carbon ions-preliminary results Background. The mammalian target of rapamycin (mTOR) complex 1 (mTORC1) was found to be dysregulated in various cancers and an association of the activation of mTORC1 with meningioma and schwannoma growth was reported. The pharmaceutical inhibition of mTOR was identified as a potential strategy for the augmentation of radiation-induced cell damages in different cancers although the detailed molecular mechanisms are not completely understood. Furthermore as mTOR inhibitors particularly show suppression of double-strand break repair a role for a combined therapy by mTOR-inhibitors and carbon ion irradiation is to hypothesize. Our aim was to analyse the effect of the mTOR inhibitor Temsirolimus alone and in combination with irradiation by photons or carbon ions in primary human meningioma cells. Methods. Tumour specimens from 6 patients suffering from meningiomas, 4 with WHO Grad I and 2 with WHO Grade II, were obtained after surgical resection from the Department of Neurosurgery, University Hospital of Saarland, Homburg/Saar, Germany, plated on tissue culture plates and cultured under standard conditions as previously described. Primary cells up to passage 7 were treated with irradiation by carbon ions (0.125 to 2 Gy) or photons (0.5 to 8 Gy) alone and in combination with Temsirolimus (0.5 to 2 muM). Furthermore meningioma cells were treated with Temsirolimus alone (0.5 to 5 muM). Cell proliferation was measured by counting cells 6 days after treatment. Results. A dose-dependent reduction of meningioma cells was observed after irradiation by photons as well as by carbon ions. The biological impact on cell reduction after irradiation by carbon ions seems to be four times stronger in comparison to irradiation by photons. The treatment with Temsirolimus alone in a concentration up to 5 muM causes a cell reduction of 69% in benign WHO Grade I meningioma cells whereas WHO Grade II meningioma cells were only reduced by 31%. The combination of irradiation and Temsirolimus in concentrations up to 2 muM effects a further cell reduction for both carbon ions (0.5 Gy) and photons (2 Gy) up to 30% in comparisons to irradiation alone. Conclusion. Our study shows promising preliminary results regarding the antiproliferative effect on meningioma cells by mTOR inhibitor Temsirolimus alone and as a radiosensitizer in combination with irradiation by photons or carbon ions. Further experiments have to be performed to confirm these results.",Excluded,0.9423309
