Unnamed: 0,titleabstract,decision,prediction
2151,"Expression changes of ERK1/2, STAT3 and SHP-2 in bone marrow cells from gamma-ray induced leukemia mice The aim is to clarify expression changes of ERK1/2, STAT3 and SHP-2 in bone marrow cells from gamma-ray induced leukemia mice. A mouse model of gamma-ray induced leukemia was produced, and by means of quantitative real-time PCR, immunoprecipitation, Western blotting and electrophoretic mobility shift assays (EMSA), the expression of mRNA and protein, phosphorylation level, and protein activity of ERK1/2, STAT3 and SHP-2 in bone marrow cells were investigated in these mice. The results indicated that mRNA and protein expressions of ERK1/2 were upregulated, with significant increase of phosphorylation level and protein activity, but with insignificant differences in mRNA and protein expressions, phosphorylation level and protein activity of STAT3 and SHP-2 in bone marrow cells from gamma-ray induced leukemia mice compared to the radiation/tumor-free or control mice. It is concluded that in the pathogenesis of gamma-ray induced leukemia in Balb/C mice, activated ERK1/2 pathway may play a role, without involving STAT3 pathway; meanwhile, SHP-2 exerts no regulative effect on pathways of Ras-ERK1/2 and JAK-STAT.",Included,0.97248536
2155,"Reduction of Delayed Homologous Recombination by Induction of Radioadaptive Response in RaDR-GFP Mice (Yonezawa Effect): An Old Player With a New Role Radiotherapy (RT) treats cancer effectively with high doses of ionizing radiation (IR) to killing cancer cells and shrinking tumors while bearing the risk of developing different side effects, including secondary cancer, which is most concerning for long-term health consequences. Genomic instability (GI) is a characteristic of most cancer cells, and IR-induced GI can manifest as delayed homologous recombination (HR). Radioadaptive response (RAR) is capable of reducing genotoxicity, cell transformation, mutation, and carcinogenesis, but the rational evidence describing its contributions to the reduction of radiation risk, in particular, carcinogenesis, remains fragmented. In this work, to investigate the impact of RAR on high-dose, IR-induced GI measured as delayed HR, the frequency of recombinant cells was comparatively studied under RAR-inducible and -uninducible conditions in the nucleated cells in hematopoietic tissues (bone marrow and spleen) using the Rosa26 Direct Repeat-green fluorescent protein (RaDR-GFP) homozygote mice. Results demonstrated that the frequency of recombinant cells was significantly lower in hematopoietic tissues under RAR-inducible condition. These findings suggest that reduction in delayed HR may be at least a part of the mechanisms underlying decreased carcinogenesis by RAR, and application of RAR would contribute to a more rigorous and scientifically grounded system of radiation protection in RT.Copyright © The Author(s) 2019.",Included,0.9725637
2159,"The age-dependent effect of high-dose X-ray radiation on NFkappaB signaling, structure, and mechanical behavior of the intervertebral disc Purpose: Ionizing radiation damages tissue and provokes inflammatory responses in multiple organ systems. We investigated the effects of high-dose X-ray radiation on the molecular inflammation and mechanical function of the intervertebral disc (IVD). Methods: Functional spine units (FSUs) containing the vertebrae-IVDs-vertebrae structure extracted from 1-month, 6-month, and 16-month-old NFkappaB-luciferase reporter mice and from 6-month-old myeloid differentiation factor 88 (MyD88)-null mice. After a preconditioning period in culture, the FSUs were subjected a single dose of ionizing X-ray radiation at 20 Gys, and then NFkappaB expression was monitored. The IVDs were then subjected to mechanical testing using dynamic compression, glycosaminoglycan (GAG) quantification, and histological analyses. Results: In the 1-month-old FSUs, the NFkappaB-driven luciferase activity was significantly elevated for 1 day following the exposure to radiation. The 6-month-old FSUs showed increased NFkappaB activity for 3 days, while the 16-month-old FSUs sustained elevated levels of NFkappaB activity throughout the 10-day culture period. All irradiated groups showed significant loss of disc height, GAG content, mechanical function and changes in structure. Ablation of MyD88 blunted the radiation-mediated NFkappaB signaling, and preserved GAG content, and the IVDs' structure and mechanical performance. Conclusions: These results suggest that high-dose radiation affects the IVDs' NFkappaB-dependent inflammatory processes that subsequently lead to functional deterioration. Blocking the transactivation potential of NFkappaB via MyD88 ablation preserved the structure and mechanical function of the FSUs. The long-term effects of radiation on IVD homeostasis should be considered in individuals susceptible to occupational and medical exposure.",Included,0.97216344
2175,"The effects of radiation and dose-fractionation on cancer and non-tumor disease development The Janus series of radiation experiments, conducted from 1970 to 1992, explored the effects of gamma and neutron radiation on animal lifespan and disease development. Data from these experiments presents an opportunity to conduct a large scale analysis of both tumor and non-tumor disease development. This work was focused on a subset of animals from the Janus series of experiments, comparing acute or fractionated exposures of gamma or neutron radiation on the hazards associated with the development of tumor and non-tumor diseases of the liver, lung, kidney or vascular system. This study also examines how the co-occurrence of non-tumor diseases may affect tumor-associated hazards. While exposure to radiation increases the hazard of dying with tumor and non-tumor diseases, dose fractionation modulates these hazards, which varies across different organ systems. Finally, the effect that concurrent non-cancer diseases have on the hazard of dying with a tumor also differs by organ system. These results highlight the complexity in the effects of radiation on the liver, lung, kidney and vascular system.",Included,0.9732131
2182,"Gamma-radiation sensitivity and polymorphisms in RAD51L1 modulate glioma risk BACKGROUND: DNA strand breaks pose the greatest threat to genomic stability. Genetically determined mutagen sensitivity predisposes individuals to a variety of cancers, including glioma. However, polymorphisms in DNA strand break repair genes that may determine mutagen sensitivity are not well studied in cancer risk, especially in gliomas., METHODS: We correlated genotype data for tag single-nucleotide polymorphisms (tSNPs) of DNA strand break repair genes with a gamma-radiation-induced mutagen sensitivity phenotype [expressed as mean breaks per cell (B/C)] in samples from 426 glioma patients. We also conducted analysis to assess joint and haplotype effects of single-nucleotide polymorphisms (SNPs) on mutagen sensitivity. We further validate our results in an independent external control group totaling 662 subjects., RESULTS: Of the 392 tSNPs examined, we found that mutagen sensitivity was modified by one tSNP in the EME2 gene and six tSNPs in the RAD51L1 gene (P < 0.01). Among the six RAD51L1 SNPs tested in the validation set, one (RAD51L1 rs2180611) was significantly associated with mutagen sensitivity (P = 0.025). Moreover, we found a significant dose-response relationship between the mutagen sensitivity and the number of adverse tSNP genotypes. Furthermore, haplotype analysis revealed that RAD51L1 haplotypes F-A (zero adverse allele) and F-E (six adverse alleles) exhibited the lowest (0.42) and highest (0.93) mean B/C values, respectively. A similar dose-response relationship also existed between the mutagen sensitivity and the number of adverse haplotypes., CONCLUSION: These results suggest that polymorphisms in and haplotypes of the RAD51L1 gene, which is involved in the double-strand break repair pathway, modulate gamma-radiation-induced mutagen sensitivity.",Included,0.97054124
2188,"Cell cycle radiosensitivity of progeny of irradiated primary cultured human hepatocarcinoma cells Aim: To evaluate the change of growth characteristics and radiosensitivity of irradiated primary cultured human hepatocarcinoma cells. Method(s): All tumor tissue samples were obtained from 39 hepatocarcinoma patients with a mean age of 49.6 years (range 22-76 years). We divided the samples into irradiated group and non-irradiated group and measured their plating efficiency (PE), population doubling time (PDT), radiosensitivity index SF2 and cell cycle. Result(s): The PDT of primary culture of hepatocarcinoma cells was 91.0+/-6.6 h, PE was 12.0+/-1.4%, SF2 was 0.41+/-0.05%. The PDT of their irradiated progeny was 124.8+/-5.8 h, PE was 5.0+/-0.7%, SF2 was 0.65+/-0.09%. The primary cultured human hepatocarcinoma cells showed significant S reduction and G2 arrest in a dose-dependent manner. The progeny of irradiated primary cultured hepatocarcinoma cells grew more slowly and its radiosensitivity increased. Conclusion(s): The progeny of irradiated primary cultured human hepatocarcinoma cells grows more slowly and its radiosensitivity increases. ©2005 The WJG Press and Elsevier Inc. All rights reserved.",Included,0.9385957
2209,"Up-regulation of peroxisome proliferator-activated receptor gamma in radiation-induced heart injury in rats To explore the expression level and the role of peroxisome proliferator-activated receptor gamma (PPAR-gamma) in radiation-induced heart injury in a rat model, thirty-two Sprague-Dawley rats were divided into three groups (the control group, the 15-Gy irradiation group and the 18-Gy irradiation group). Experimental animals were exposed to radiation generated by a linear accelerator at the chest and killed after 3 months. Heart tissues from these animals were removed for Masson staining, PPAR-gamma immunohistochemical staining, Western blot analysis and real-time polymerase chain reaction assay (RT-PCR). In addition, the protein expression of matrix metalloprotein-1 (MMP-1), tissue inhibitor of metalloproteinase-1 (TIMP-1) and transforming growth factor type beta1 (TGF-beta1), all of which are associated with fibrosis, was measured. Masson staining revealed significant myocardial fibrosis, degeneration and necrosis in rats exposed to radiation. The results of immunohistochemical staining and Western blot analysis showed that PPAR-gamma protein expression in hearts of the irradiation groups was significantly higher than in the control group, especially in myocardium and vascular endothelial (p < 0.05). RT-PCR results also showed a parallel increase in PPAR-gamma mRNA expression in the heart of the irradiation groups compared with the control group (p < 0.05). The expression of MMP-1 protein was not significantly different in three groups (p > 0.05). The expression of TIMP-1 and TGF-beta1 proteins was, however, higher in two irradiation groups than in the control group (p < 0.05). These data demonstrate that PPAR-gamma expression is up-regulated on both mRNA and protein levels in heart injured by radiation. PPAR-gamma may play an important role in radiation-induced heart injury.",Included,0.97322255
2223,"G2 repair and chromosomal damage in lymphocytes from workers occupationally exposed to low-level ionizing radiation The effect of the G2 repair of chromosomal damage in lymphocytes from workers exposed to low levels of X- or gamma-rays was evaluated. Samples of peripheral blood were collected from 15 radiation workers, 20 subjects working in radiodiagnostics, and 30 healthy control donors. Chromosomal aberrations (CA) were evaluated by scoring the presence of chromatid and isochromatid breaks, dicentric and ring chromosomes in lymphocytes with/without 5 mM caffeine plus 3 mM-aminobenzamide (3-AB) treatment during G2. Our results showed that the mean value of basal aberrations in lymphocytes from exposed workers was higher than in control cells (p < 0.001). The chromosomal damage in G2, detected with caffeine plus 3-AB treatment was higher than the basal damage (untreated conditions), both in control and exposed populations (p < 0.05). In the exposed workers group, the mean value of chromosomal abnormalities in G2 was higher than in the control (p < 0.0001). No correlation was found between the frequency of chromosome type of aberrations (basal or in G2), and the absorbed dose. Nevertheless, significant correlation coefficients (p < 0.05) between absorbed dose and basal aberrations yield (r = 0.430) or in G2 (r = 0.448) were detected when chromatid breaks were included in the total aberrations yield. Under this latter condition no significant effect of age, years of employment or smoking habit on the chromosomal aberrations yield was detected. However, analysis of the relationship between basal aberrations yield and the efficiency of G2 repair mechanisms, defined as the percentage of chromosomal lesions repaired in G2, showed a significant correlation coefficient (r = -0.802; p < 0.001). These results suggest that in addition to the absorbed dose, the individual G2 repair efficiency may be another important factor affecting the chromosomal aberrations yield detected in workers exposed to low-level ionizing radiation.",Included,0.9734031
2229,"Segmental Differences in Radiation-Induced Alterations of Tight Junction-Related Proteins in Non-Human Primate Jejunum, Ileum and Colon Dysfunction of the intestinal epithelial barrier and leakage of luminal antigens and bacteria across the barrier have been linked to various human diseases. Intestinal permeability is regulated by intercellular structures, termed ""tight junction"" (Tj), which are disrupted after total-body irradiation (TBI). In this study, we investigated radiation-induced alterations in Tj-related proteins in the jejunum, ileum and colon of a non-human primate (NHP) model. NHPs were total-body irradiated with 6.7 and 7.4 Gy and intestines were procured at day 4, 7 and 12. Radiation exposure was found to induce significant increases in claudin-10 mRNA early (day 4) in all three gut segments and claudin-4 mRNA levels were repressed through day 12. TNF-alpha was highly induced in the jejunum and colon at early time points, but little induction was found in the ileum. Claudin-1 was induced only in the colon on day 4 postirradiation. Unlike the colon and jejunum, the ileum levels of claudin-7 were significantly downregulated through day 12 postirradiation. Western blot analysis revealed increased levels of claudin-2 on day 4 and of JAM-1 on day 7 postirradiation in all three gut segments. E-cadherin was downregulated on day 4 postirradiation in all segments, but remained reduced in the jejunum only until day 12. Taken together, these data suggest that exposure to radiation causes segment-specific alterations in the expression of Tj-related proteins. Interruption of Tjs may be a key factor contributing to injury to the intestinal mucosal barrier and increased intestinal permeability.",Included,0.9730334
2232,"Nucleoid sedimentation analysis of DNA superstructure, gamma-radiation-induced damage and repair in human and chacma baboon (Papia ursinus) peripheral lymphocytes The use of the chacma baboon (Papio ursinus) in radiobiological investigations justifies special attention because it answers many of the criteria of parallelism to the human. The present study was undertaken to establish whether in vitro gamma-radiation effects in chacma baboon and human lymphocytes are comparable. The sensitive and rapid nucleoid sedimentation technique was employed to evaluate in vitro DNA superstructure, damage and repair in readily obtainable radiosensitive peripheral lymphocytes. Dose-response curves after 60Co gamma-irradiation were obtained, and by applying single-hit kinetics of the target theory, an estimation of molecular masses of the supercoiled domains was made. The baboon and human lymphocytes produced analogous results, while an ethidium bromide intercalation study also revealed a similarity in average DNA superhelical density. Lymphocyte DNA repair after 0.5-4.0 Gy gamma-irradiation and repair times from 0.5 to 5.0 h were evaluated. The repair data obtained from baboon and human cells after 2.0 Gy irradiation compared favourably in extent of DNA repair as well as the profiles of the kinetic curves. These findings indicate that the chacma baboon would be a useful and relevant model for further in vivo radiobiological studies on lymphocytes. The effects of sedimentation conditions and advantages of using vertical-tube rotors in the nucleoid sedimentation technique are also discussed.",Included,0.35667473
