,titleabstract,decision,prediction
977,"Three-dimensional conformal versus non-graphic radiation treatment planning for apocrine gland adenocarcinoma of the anal sac in 18 dogs (2002-2007) Differences in dose homogeneity and irradiated volumes of target and surrounding normal tissues between 3D conformal radiation treatment planning and simulated non-graphic manual treatment planning were evaluated in 18 dogs with apocrine gland adenocarcinoma of the anal sac. Overall, 3D conformal treatment planning resulted in more homogenous dose distribution to target tissues with lower hot spots and dose ranges. Dose homogeneity and guarantee of not under-dosing target tissues with 3D conformal planning came at the cost, however, of delivering greater mean doses of radiation and of irradiating greater volumes of surrounding normal tissue structures. Copyright © 2011 Blackwell Publishing Ltd.",Included,0.07480868
810,"16. The fraction of cancer attributable to lifestyle and environmental factors in the UK in 2010 This chapter summarises the results of the preceding sections, which estimate the fraction of cancers occurring in the UK in 2010 that can be attributed to sub-optimal, past exposures of 14 lifestyle and environmental risk factors. For each of 18 cancer types, we present the percentage of cases attributable to one or all of the risk factors considered (tobacco, alcohol, four elements of diet (consumption of meat, fruit and vegetables, fibre, and salt), overweight, lack of physical exercise, occupation, infections, radiation (ionising and solar), use of hormones, and reproductive history (breast feeding)).Exposure to less than optimum levels of the 14 factors was responsible for 42.7% of cancers in the UK in 2010 (45.3% in men, 40.1% in women)-a total of about 134 000 cases.Tobacco smoking is by far the most important risk factor for cancer in the UK, responsible for 60 000 cases (19.4% of all new cancer cases) in 2010. The relative importance of other exposures differs by sex. In men, deficient intake of fruits and vegetables (6.1%), occupational exposures (4.9%) and alcohol consumption (4.6%) are next in importance, while in women, it is overweight and obesity (because of the effect on breast cancer)-responsible for 6.9% of cancers, followed by infectious agents (3.7%).Population- attributable fractions provide a valuable quantitative appraisal of the impact of different factors in cancer causation, and are thus helpful in prioritising cancer control strategies. However, quantifying the likely impact of preventive interventions requires rather complex scenario modelling, including specification of realistically achievable population distributions of risk factors, and the timescale of change, as well as the latent periods between exposure and outcome, and the rate of change following modification in exposure level. © 2011 Cancer Research UK All rights reserved.",Included,0.08136401
239,[Reconstruction of the irradiated oropharynx: musculocutaneous pectoralis major island flap versus microanastomosis of latissimus dorsi flap],Included,0.10016692
1163,"Estimating the incidence of leukemia attributable to occupational exposure in Iran Objective: The aim this study was to estimate the fraction of leukemia incidence in Iran attributable to occupational exposure to benzene, ionizing radiation, and ethylene oxide. Method(s): Nationwide exposure to each of these leukemogens was estimated using workforce data available at the ILO (International Labor Organization) website. The prevalence of exposure to leukemogens in each industry was estimated using exposure data from the CAREX (CARcinogen EXposure) database. The magnitude of the relative risk of leukemia for each leukemogen was from published literature. Using the Levin's population attributable risk (incidence), fractions of leukemia incidences attributed to workplace leukemogens were then estimated. Result(s): The total workforce in Iran according to the 1995 census included 12,488,020 men and 677,469 women. Agriculture was the largest sector with 24.5% of the males and 0.27% of the females, and the electricals-related sector was the smallest with 1.16% of the males and 0.66% of the females. After applying the CAREX exposure estimates to each sector, the proportion exposed to leukemogens was 0.016% for male workers and 0.02% for female workers. Estimating a relative risk of 3.6 (95% CI of 3.2-4.2) for high exposure and 1.9 (95% CI 1.7-2.1) for low exposure and employing the Levin's formula, the fraction of leukemia attributed to leukemogens in the workplaces among females was 3.6% (95% CI of 3.1-4.5) and among males was 7.6% (95% CI of 6.4-9.2). These fractions corresponded to estimated incidences of 0.60 (95% CI of 0.50-0.70) and 0.22 (95% CI of 0.16-0.23) cases of leukemia per 100,000 populations for males and females, respectively. Conclusion(s): The incidence of leukemia due to occupational exposure is very low in Iran, although males are at greater risk than females.",Included,0.10344945
638,Radiation exposure of the physician and patient during transluminar dilatation as well as recanalization using Dotter's method,Included,0.1066931
996,"Salivary anionic changes after radiotherapy for nasopharyngeal carcinoma: A 1-year prospective study Objectives: To investigate the salivary anionic changes of patients with nasopharyngeal carcinoma (NPC) treated by radiotherapy. Material(s) and Method(s): Thirty-eight patients with T1-4, N0-2, M0 NPC received conventional radiotherapy. Stimulated whole saliva was collected at baseline and 2, 6 and 12 months after radiotherapy. Salivary anions levels were measured using ion chromatography. Result(s): A reduction in stimulated saliva flow and salivary pH was accompanied by sustained changes in anionic composition. At 2 months following radiotherapy, there was a significant increase in chloride, sulphate, lactate and formate levels while significant reductions in nitrate and thiocyanate levels were found. No further changes in these anion levels were observed at 6 and 12 months. No significant changes were found in phosphate, acetate, or propionate levels throughout the study period. Conclusion(s): Conventional radiotherapy has a significant and prolonged impact on certain anionic species, likely contributing to increased cariogenic properties and reduced antimicrobial capacities of saliva in NPC patients post-radiotherapy.Copyright © 2016 Pow et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Included,0.122115076
170,Cardiac CT cancer risks less than feared?,Included,0.1485958
682,"Occupational health hazards of working in the interventional laboratory: a multisite case control study of physicians and allied staff BACKGROUND: The occupational hazards of working in the interventional laboratory have been inadequately studied for physicians and remain unaddressed for nonphysician personnel., OBJECTIVES: This study sought to determine whether the prevalence of work-related musculoskeletal pain, cancer, and other medical conditions is higher among physicians and allied staff who work in interventional laboratories compared with employees who do not., METHODS: Mayo Clinic employees who work in affiliated hospitals with interventional cardiology or interventional radiology laboratories took an electronic survey. Results were stratified on the basis of self-reported occupational exposure to procedures that involve radiation., RESULTS: There were 1,543 employees (mean age 43 +/- 11.3 years, 33% male) who responded to the survey (response rate of 57%), and 1,042 (67.5%) reported being involved with procedures utilizing radiation. These employees reported experiencing work-related pain more often than the control group before (54.7% vs. 44.7%; p < 0.001) and after adjustment for age, sex, body mass index, pre-existing musculoskeletal conditions, years in profession, and job description (odds ratio: 1.67; 95% confidence interval: 1.32 to 2.11; p < 0.001). Musculoskeletal pain varied significantly by job description, with the highest incidence reported by technicians (62%) and nurses (60%) followed by attending physicians (44%) and trainees (19%; p < 0.001). There was no difference in cancer prevalence between groups (9% vs. 9%; p = 0.96)., CONCLUSIONS: Musculoskeletal pain is more common among healthcare workers who participate in interventional procedures and is highest in nonphysician employees. The diagnosis of cancer in employees who participate in procedures that utilize radiation was not elevated when compared to controls within the same departments, although any conclusion regarding causality is limited by the cross-sectional nature of the study, as well as the low overall prevalence of malignancy in our study group. Copyright © 2015 American College of Cardiology Foundation. Published by Elsevier Inc. All rights reserved.",Included,0.19270246
26,"The role of adjuvant radiotherapy in the local management of desmoplastic melanoma BACKGROUND In the current study, the authors sought to evaluate outcomes, specifically with respect to adjuvant radiotherapy (RT), for patients with desmoplastic melanoma. METHODS The records of 130 consecutive patients who presented between 1985 and 2009 with nonmetastatic desmoplastic melanoma and were treated curatively with either surgery alone (59 patients; 45%) or surgery and postoperative RT (71 patients; 55%) were retrospectively reviewed. Ages ranged from 21 years to 97 years (median age, 66 years). The location of the primary tumor was in the head and neck region in 62% of patients. Only 5 patients (4%) had lymph node involvement at the time of presentation. RESULTS The median follow-up was 6.6 years (range, 11 months-24 years). Overall survival rates at 5 years and 10 years were 69% and 53%, respectively. Disease-specific survival rates were 84% and 80%, respectively, at 5 years and 10 years. The actuarial rate of local recurrence was 17% at 5 years and beyond. Of the patients who underwent surgery without receiving postoperative RT, 14 (24%) experienced local recurrence. Of the 71 patients treated with surgery and postoperative RT, 5 (7%) experienced local recurrence. In a Cox multivariate regression model, improved local control was significantly associated with the receipt of postoperative RT (P = .009). CONCLUSIONS Surgery followed by postoperative RT appears to provide superior local control compared with surgery alone for patients with desmoplastic melanoma. Cancer 2014;120:1361-1368. © 2013 American Cancer Society. The authors performed a retrospective review of 130 consecutive patients presenting for definitive treatment of nonmetastatic desmoplastic melanoma. It was observed that patients treated with surgery followed by postoperative radiotherapy had superior local control compared with patients treated with surgery alone. © 2013 American Cancer Society.",Included,0.19610563
58,"Validation of the cytokinesis-block micronucleus (CBMN) assay for use as a triage biological dosimetry tool Traditionally, the dicentric chromosome assay (DCA) has been used to derive biological dose estimates for unknown radiological exposures. While sensitive, this assay requires highly trained evaluators and is extremely time consuming. The cytokinesis-block micronucleus (CBMN) assay has been suggested as an alternative to the DCA, as it is much faster to evaluate samples and requires less technical expertise. In order to validate this assay for triage biodosimetry, dose-response curves were generated for six donors at eight doses of gamma-radiation (0-4.0 Gy). Each sample was evaluated by 12 individuals, among three different laboratories and the incidence of micronuclei was determined after counting 50-500 binucleated cells. This study demonstrated that the CBMN assay was capable of detecting radiation doses >or=1 Gy after scoring only 200 binucleated cells. As such, the CBMN assay may provide a sensitive and reliable technique for deployment as an initial screening tool in a large-scale radiological emergency where large numbers of biological dose estimates are required.",Included,0.22048941
