,titleabstract,decision,prediction
1043,"Lauriston Taylor lecture. 70 years of radiation genetics: fruit flies, mice and humans",Excluded,0.974109
1106,Shaping of the dosage fields in various radiation therapy methods,Excluded,0.974096
1180,The dose rate factor from interstitial irradiation with 103-palladium and 109-palladium,Excluded,0.97383183
133,"[Adaptive response of blood lymphocytes as a marker of hemopoiesis status in exposed persons] An obvious correlation between the type of reaction manifested by peripheral blood lymphocytes to low dose irradiation in vitro (adaptive potential), the RBM cell composition (during the period of the major exposure), and the peripheral blood cell composition (at a late time period coincident with the studies of induced radioresistance) has been found in the Techa riverside residents in the later periods after the onset of a long-term low-dose rate radiation exposure (55-60 years later) within a range of individual red bone marrow doses from 0.01 to 1.79 Gy. The nature of these dependences observed in chronically exposed individuals differs from that revealed in the controls. It can be suggested based on the results of the study that the capacity for the adaptive response shown by peripheral blood lymphocytes donated by exposed persons in the remote period after exposure can be regarded as a biological marker of the functional state of the hemopoietic stem cell pool.",Excluded,0.9733993
807,"Reanalysis of Hanford data: 1944-1986 deaths Reanalysis of Hanford data by a method, which is new only in the sense that it makes new uses of standard epidemiological procedures, has produced evidence of a cancer risk at low dose levels. By a conservative estimate, about three per cent of the pre-1987 cancer deaths of Hanford workers had occupational exposures to external radiation as the critical (induction) event. These radiogenic cancers were evenly distributed between five diagnostic groups, but as a result of there being much greater sensitivity to cancer induction by radiation"" after, rather than before, 50 years of age, they were concentrated among the cancers which proved fatal after 70 years of age. The reanalysis provides no support for the idea that radiation is more likely to cause leukemia than solid tumors, or the idea that there is reduced cancer effectiveness of radiation at low dose levels (dose rate effectiveness factor or DREF hypothesis), but the estimated proportion of radiogenic cancers was much higher for the 175 nonfatal cancers (which had other certified causes of death) than for the 1,732 fatal cases. Finally, according to the latest publication of the US Committee on Biological Effects of Ionizing Radiation (BEIR V), dose rate is more important than exposure age, and even a single exposure to 10 rem would only increase the normal cancer risk by four percent. Nevertheless, for all recorded exposures of Hanford workers, the estimated doubling dose was close to 26 rem; for exposures after 58 years, it was close to 5 rem, and for exposures after 62 years, it was less than 1 rem.""",Excluded,0.97339046
217,Oral absorption of metronidazole in rabbits irradiated with cobalt-60 gamma radiation The absorption of oral metronidazole in control rabbits and in rabbits irradiated with cobalt-60 gamma radiation was studied. It was observed that the bioavailability of metronidazole was significantly reduced in irradiated animals the reduction being dependent on the dose of radiation. The maximum decrease in absorption was seen 48 h post-irradiation.,Excluded,0.97337127
200,"X-ray induced sex-chromosome loss, when ring-X chromosome males are irradiated and mated to females carrying mei-9, mei-41 or mei-218 Radiation damage induced in the sperm nucleus is repaired after this nucleus has entered the oocyte. The yield of induced genetic damage is known to be dependent on maternal genotype and can also be modified by treatment of the females with metabolic inhibitors. The experiments reported here were designed to find out whether a more specific analysis of the interaction between male gamete and oocyte cytoplasm can be carried out using mutants that are known to affect repair processes. Males carrying ring-X chromosomes were exposed to X-ray doses up to 1000 R and mated to females homozygous for a repair-deficient mutant. The mutants used were mei-9a, mei-9L1, mei-41A10, and mei-41D5. In addition a yellow (y) X chromosome was used as a control and an attempt was made to obtain data using mei-21815, a mutant at a locus not thought to affect repair. With mei-9 mutants there is an enhancement of the spontaneous and induced rates of paternal sex-chromosome loss. The mei-41 mutants did not affect the rates of paternal sex-chromosome loss. Mei-218 females were difficult to work with because they gave very few progeny. From these data it can be argued that repair-deficient mutants will indeed be useful for an analysis of the fixation of radiation-induced genetic damage.",Excluded,0.97320414
323,"Alkylation damage and repair in Alzheimer's disease lymphocytes We have previously shown that lymphocytes from Alzheimer's disease (AD) patients are hypersensitive to ionising radiation, as revealed by their higher levels of dicentrics than those from age-matched, normal individuals. We have now examined the sensitivity of these cells to N-methyl-N-nitrosourea or methyl methanesulphonate, using a variety of assays, namely unscheduled DNA synthesis, viability, sister chromatid exchange and, via high performance liquid chromatography, level of methylation and repair of the adducts, 7-methylguanine, 0(6)-methylguanine and 3-methyladenine. We have found that AD lymphocytes and age-matched normal lymphocytes respond similarly to methylation damage, as assessed by all these techniques.",Excluded,0.9731765
334,"Immediate mechanical reactions of isolated human detrusor muscle on x-irradiation The mechanical activity (isotonic registration) of isolated detrusor (smooth) muscle preparations from the human urinary bladder (surgical material) is investigated. The preparations reacted on X-irradiation (50 kV) with an immediate dose-dependent tonic contraction at threshold-doses of 100 to 1000 R (1 to 3 kR/min). The contraction was either reversible, semireversible or persistent, and the basal muscle tone was elevated. A tachyphylactic reaction was observed. The phasic activity of the preparations was temporarily increased, then inhibited after irradiation. The radiation-induced changes of the human and guinea-pig detrusor muscle are compared and their possible relation to the functional disturbances of the urinary bladder after radiotherapy is discussed.",Excluded,0.9731463
605,"Effects on female fertility and germinal cells in prepubertal and adult rats (Rattus norvegicus) after X-ray irradiation In this work we analyse the effects of ionizing radiation in prepubertal and adult female rats, using as parameters, implantation sites, embryonic loss, and synaptonemal complex (SC) analysis of the female F1 of the pregnant rats. Our preliminary results show a decrease statistically significant in fertility of irradiated groups, but cytogenetic analysis did not shown any inherited damage attributed to radiation. At the same time, our results seem to indicate a higher resistance of oocytes from prepubertal rats and support the possible use of GnRH agonists as oestrus cycle suppressors to turn adult rats into gonadal quiescence.",Excluded,0.9731356
170,"The genome-wide effects of ionizing radiation on mutation induction in the mammalian germline The ability to predict the genetic consequences of human exposure to ionizing radiation has been a long-standing goal of human genetics in the past 50 years. Here we present the results of an unbiased, comprehensive genome-wide survey of the range of germline mutations induced in laboratory mice after parental exposure to ionizing radiation and show irradiation markedly alters the frequency and spectrum of de novo mutations. Here we show that the frequency of de novo copy number variants (CNVs) and insertion/deletion events (indels) is significantly elevated in offspring of exposed fathers. We also show that the spectrum of induced de novo single-nucleotide variants (SNVs) is strikingly different; with clustered mutations being significantly over-represented in the offspring of irradiated males. Our study highlights the specific classes of radiation-induced DNA lesions that evade repair and result in germline mutation and paves the way for similarly comprehensive characterizations of other germline mutagens.Copyright © 2015 Macmillan Publishers Limited.",Excluded,0.97310424
