,titleabstract,decision,prediction
177,"Cancer incidence and mortality in populations living near uranium milling and mining operations in grants, New Mexico, 1950-2004 In a previous cohort study of workers engaged in uranium milling and mining activities near Grants, Cibola County, New Mexico, we found lung cancer mortality to be significantly increased among underground miners. Uranium mining took place from early in the 1950s to 1990, and the Grants Uranium Mill operated from 1958-1990. The present study evaluates cancer mortality during 1950-2004 and cancer incidence during 1982-2004 among county residents. Standardized mortality (SMR) and incidence (SIR) ratios and 95% confidence intervals (CI) were computed, with observed numbers of cancer deaths and cases compared to expected values based on New Mexico cancer rates. The total numbers of cancer deaths and incident cancers were close to that expected (SMR 1.04, 95% CI 1.01-1.07; SIR 0.97, 95% CI 0.92-1.02). Lung cancer mortality and incidence were significantly increased among men (SMR 1.11, 95% CI 1.02-1.21; SIR 1.40, 95% CI 1.18-1.64) but not women (SMR 0.97, 95% CI 0.85-1.10; SIR 1.01, 95% CI 0.78-1.29). Similarly, among the population of the three census tracts near the Grants Uranium Mill, lung cancer mortality was significantly elevated among men (SMR 1.57; 95% CI 1.21-1.99) but not women (SMR 1.12; 95% CI 0.75-1.61). Except for an elevation in mortality for stomach cancer among women (SMR 1.30; 95% CI 1.03-1.63), which declined over the 55-year observation period, no significant increases in SMRs or SIRs for 22 other cancers were found. Although etiological inferences cannot be drawn from these ecological data, the excesses of lung cancer among men seem likely to be due to previously reported risks among underground miners from exposure to radon gas and its decay products. Smoking, socioeconomic factors or ethnicity may also have contributed to the lung cancer excesses observed in our study. The stomach cancer increase was highest before the uranium mill began operation and then decreased to normal levels. With the exception of male lung cancer, this study provides no clear or consistent evidence that the operation of uranium mills and mines adversely affected cancer incidence or mortality of county residents.",Excluded,0.628068
647,"Radioprotective effect of the Barbados Cherry (Malpighia glabra L.) against radiopharmaceutical Iodine-131 in Wistar rats in vivo Background: The increasing consumption of fruits and vegetables has contributed to the improvement of populational health, due in part, to the abundance of antioxidants in these foods. Antioxidants reduce the level of oxidative damage to DNA caused by free radicals and ionizing radiation, including the radioisotope iodine-131 (131I). This isotope is used for the diagnosis and treatment of thyroid injuries, such as hyperthyroidism and cancer. Method(s): This study aimed to evaluate the radioprotective and cytotoxic activity of acute and subchronic treatments with Barbados Cherry (BC) (Malpighia glabra L.) fruit juice (5 mg), which is rich in potent antioxidants such as vitamin C, phenols, carotenoids, anthocyanins and yellow flavonoids and its activity against the mutagenic activity of the therapeutic dose of 25 muCi of radioiodine for hyperthyroidism. The test system used was the bone marrow cells of Wistar rats (Rattus norvegicus) that were treated in vivo by gavage. Result(s): BC showed radioprotective activity in acute treatments, which is most likely due to the joint action of its antioxidant components. In subchronic treatments, the continuous treatment presented an effective radioprotective activity, which was significantly different from treatment with the radiopharmaceutical only. Treatment with BC prior to (PRE) and simultaneous with (SIM) ionizing radiation decreased the number of induced chromosomal alterations, while post-treatment produced no protective effect. In addition, BC exhibited no cytotoxic activity. Conclusion(s): These data serve as evidence that BC can be used as a preventive health measure to improve public health quality by countering the action of inevitable exposure to mutagens, such as 131I. © 2014 Dusman et al.; licensee BioMed Central Ltd.",Excluded,0.62806463
1037,"Increased incidence of haematological cancer among physicians in a University Hospital OBJECTIVES: The oral report of eight cases of cancer over a period of 3 years among physicians working in a French University Hospital led us to conduct a retrospective cohort study to compare the incidence of cancer in these physicians with that of the general population living in the same area., METHOD: The cohort consisted of 940 physicians (72% male, 28% female) who had worked for at least 1 year in this hospital between 1945 and 1994 (a total of 10,693 person-years). The incidence of cancer among physicians was compared with that of the general population using a local cancer registry which has recorded all cancer cases occurring in the Department between 1979 and 1994. Standardised incidence ratio (SIR) was calculated for all causes of cancer and site by site., RESULTS: Although the global incidence of cancer did not differ from that of the general population (SIR=0.97; 95% confidence interval (CI) 0.59-1.5), a significantly increased incidence of haematological malignancy was found among physicians (SIR=5.45; 95% CI 2-11.9)., CONCLUSIONS: These findings pointed out the risk of lymphatic and haematopoietic cancer among physicians who started working after 1945 when the first rules pertaining to protection from ionising radiation came into effect. However, limitations of this study such as limited statistical power and lack of individual exposure data should be considered in the interpretation of these findings. Possible aetiological factors responsible for these risks are discussed. Education about general safety protection programmes against carcinogenic risk factors including physical, biological and chemical agents still remains a priority among physicians.",Excluded,0.6280618
548,"Analysis of EPR and FISH studies of radiation doses in persons who lived in the upper reaches of the Techa River Waterborne radioactive releases into the Techa River from the Mayak Production Association in Russia during 1949-1956 resulted in significant doses to about 30,000 persons who lived in downstream settlements. The residents were exposed to internal and external radiation. Two methods for reconstruction of the external dose are considered in this paper, electron paramagnetic resonance (EPR) measurements of teeth, and fluorescence in situ hybridization (FISH) measurements of chromosome translocations in circulating lymphocytes. The main issue in the application of the EPR and FISH methods for reconstruction of the external dose for the Techa Riverside residents was strontium radioisotopes incorporated in teeth and bones that act as a source of confounding local exposures. In order to estimate and subtract doses from incorporated (89,90)Sr, the EPR and FISH assays were supported by measurements of (90)Sr-body burdens and estimates of (90)Sr concentrations in dental tissues by the luminescence method. The resulting dose estimates derived from EPR to FISH measurements for residents of the upper Techa River were found to be consistent: The mean values vary from 510 to 550 mGy for the villages located close to the site of radioactive release to 130-160 mGy for the more distant villages. The upper bound of individual estimates for both methods is equal to 2.2-2.3 Gy. The EPR- and FISH-based dose estimates were compared with the doses calculated for the donors using the most recent Techa River Dosimetry System (TRDS). The TRDS external dose assessments are based on the data on contamination of the Techa River floodplain, simulation of air kerma above the contaminated soil, age-dependent lifestyles and individual residence histories. For correct comparison, TRDS-based doses were calculated from two sources: external exposure from the contaminated environment and internal exposure from (137)Cs incorporated in donors' soft tissues. It is shown here that the TRDS-based absorbed doses in tooth enamel and muscle are in agreement with EPR- and FISH-based estimates within uncertainty bounds. Basically, this agreement between the estimates has confirmed the validity of external doses calculated with the TRDS.",Excluded,0.6280577
329,"Harderian Gland Tumorigenesis: Low-Dose and LET Response Increased cancer risk remains a primary concern for travel into deep space and may preclude manned missions to Mars due to large uncertainties that currently exist in estimating cancer risk from the spectrum of radiations found in space with the very limited available human epidemiological radiation-induced cancer data. Existing data on human risk of cancer from X-ray and gamma-ray exposure must be scaled to the many types and fluences of radiations found in space using radiation quality factors and dose-rate modification factors, and assuming linearity of response since the shapes of the dose responses at low doses below 100 mSv are unknown. The goal of this work was to reduce uncertainties in the relative biological effect (RBE) and linear energy transfer (LET) relationship for space-relevant doses of charged-particle radiation-induced carcinogenesis. The historical data from the studies of Fry et al. and Alpen et al. for Harderian gland (HG) tumors in the female CB6F1 strain of mouse represent the most complete set of experimental observations, including dose dependence, available on a specific radiation-induced tumor in an experimental animal using heavy ion beams that are found in the cosmic radiation spectrum. However, these data lack complete information on low-dose responses below 0.1 Gy, and for chronic low-dose-rate exposures, and there are gaps in the LET region between 25 and 190 keV/mum. In this study, we used the historical HG tumorigenesis data as reference, and obtained HG tumor data for 260 MeV/u silicon (LET ~70 keV/mum) and 1,000 MeV/u titanium (LET ~100 keV/mum) to fill existing gaps of data in this LET range to improve our understanding of the dose-response curve at low doses, to test for deviations from linearity and to provide RBE estimates. Animals were also exposed to five daily fractions of 0.026 or 0.052 Gy of 1,000 MeV/u titanium ions to simulate chronic exposure, and HG tumorigenesis from this fractionated study were compared to the results from single 0.13 or 0.26 Gy acute titanium exposures. Theoretical modeling of the data show that a nontargeted effect model provides a better fit than the targeted effect model, providing important information at space-relevant doses of heavy ions.",Excluded,0.62805325
1144,"Association of radiation risk in the second and third generations with polymorphisms in the genes CYP1A1, CYP2E1, GSTP1 and changes in the thyroid Background: To study the association of radiation risk in the 2nd-3rd generations with polymorphisms in the genes CYP1A1, CYP2E1, GSTP1 and changes in the thyroid. Method(s): 5 polymorphic gene variants (rs1048943, rs4646421, rs2070676, rs3813867, rs1695) were studied in 399 people living in the East Kazakhstan region in this research. 248 people of the 2nd-3rd generation lived in the territory with radiation exposure in Abai, Borodulikha areas, and 151 people the comparison group lived in Kurchum district without radiation exposure comparable in sex and age with control group. Result(s): The results show that there is a significant association of rs1048943 in exposed and unexposed groups (p < 0.003), and the absence of association of rs4646421, rs2070676, rs3813867, rs1695 in the studied groups. The mean value of thyroxine in carriers of the AG + GG genotype of rs4646421 is significantly lower than in AA genotype carriers (p = 0.04); no significant changes were found in genotypes' distribution with thyroid-stimulating hormone and anti-thyroid peroxidase indicators. Significant changes were in levels of anti-thyroid peroxidase between exposed and unexposed groups (p = 0.007). The thyroxine-thyroid-stimulating hormone levels were not significantly different in exposed and unexposed groups (p > 0.3). Conclusion(s): This study demonstrated the association of rs1048943 polymorphism with living in the radiation zone in the 2nd and 3rd generations for the first time. Thyroxine levels decrease was identified in the 2nd and 3rd generation residents of the exposed area, as well as a significant increase of anti-thyroid peroxidase occurs in individuals of the 2nd and 3rd generation living in areas with radiation exposure.Copyright © 2019 The Author(s).",Excluded,0.6280518
252,"In vitro fertilization rate of mouse oocytes with spermatozoa from the F1 offspring of males irradiated with 1.0 Gy 137Cs gamma-rays Previous studies suggest that the spermatozoa from acutely irradiated male mice exhibit a reduced fertilization rate in vitro with the maximum decrease occurring for spermatozoa produced 6 weeks after irradiation (Y. Matsuda et al., Mutation Res. 142 (1985) 59-63). We have found that spermatozoa from unirradiated F1 males conceived 6 weeks after paternal F0 irradiation also exhibit a significantly reduced fertilization rate in vitro. After acute 137Cs gamma-irradiation yielding an absorbed dose of 1.0 Gy, adult CD1 F0 male mice were mated at weekly intervals with unirradiated female CD1 mice. Unirradiated adult males from F1 litters conceived 5 and 6 weeks after paternal F0 irradiation were allowed to mature. Their epididymal spermatozoa were evaluated for in vitro fertilization rates using oocytes from unirradiated 8-12-week-old CD1 females. The mean fertilization rate for spermatozoa from F1 males conceived 5 weeks after paternal F0 irradiation (80.74 +/- 15.74 SD %, n = 5) did not differ significantly from the control fertilization rate (89.40 +/- 10.94 SD %, n = 8). However, the fertilization rate for spermatozoa from F1 males conceived 6 weeks after paternal F0 irradiation (56.14 +/- 21.93 SD %, n = 5) was significantly less than the fertilization rate for control spermatozoa (p < 0.006) or for that of the F1 males conceived 5 weeks after paternal F0 irradiation (p < 0.04). These data suggest that spermatozoa obtained 6 weeks after paternal F0 irradiation can transmit a decrease in fertilization rate to the F1 generation males as well as exhibit decreased fertilization rate themselves when tested directly in vitro.",Excluded,0.62805015
1029,"Radionuclide monitoring in Northern Ireland of the Chernobyl nuclear reactor accident Northern Ireland received higher radiation doses due to the radionuclide contamination from the Chernobyl nuclear reactor accident than did the south of England. Levels of radioactive iodine ((131)I) and caesium ((137)Cs) in cows' milk in Northern Ireland increased to 166 and 120 Bq/l respectively in May 1986, but had decreased by factors of one million, and of twenty-five, respectively, by 1 September 1986. The resultant radiation doses represent less than one per cent of those received by a Northern Ireland individual over a period of 40 years from natural background radiation sources. The added risk to any individual from the Chernobyl accident will therefore be very small and may best be judged in the context of the enormously greater risk of death due to potentially preventable diseases, such as smoking-related lung cancer, and coronary heart disease.",Excluded,0.62804747
210,"Incidence of Breast Cancer in the Life Span Study of Atomic Bomb Survivors: 1958-2009 The importance of reproductive history in breast tissue development and etiology of sporadic breast cancer in females is well established. However, there is limited evidence of factors, other than age, that modify risk of radiation-related breast cancer. In this study, we evaluated breast cancer incidence in the Life Span Study cohort of atomic bomb survivors, adding 11 years of follow-up and incorporating reproductive history data. We used Poisson regression models to describe radiation risks and modifying effects of age and reproductive factors. Among 62,534 females, we identified 1,470 breast cancers between 1958 and 2009. Of 397 new cases diagnosed since 1998, 75% were exposed before age 20. We found a strong linear dose response with excess relative risk (ERR) of 1.12 per Gy [95% confidence interval (CI): 0.73 to 1.59] for females at age 70 after exposure at age 30. The ERR decreased with increasing attained age ( P = 0.007) while excess absolute rate (EAR) increased with attained age up to age 70 ( P < 0.001). Age at menarche was a strong modifier of the radiation effect: for a given dose, both the ERR and EAR decreased with increasing age at menarche ( P = 0.007 and P < 0.001). Also, independently, age-at-exposure effects on ERR and EAR differed before and after menarche ( P = 0.043 and P = 0.015, respectively, relative to log-linear trends), with highest risks for exposures around menarche. Despite the small number of male breast cancers (n = 10), the data continue to suggest a dose response (ERR per Gy = 5.7; 95% CI: 0.3 to 30.8; P = 0.018). Persistently increased risk of female breast cancer after radiation exposure and its modification pattern suggests heightened breast sensitivity during puberty.",Excluded,0.6280467
1019,"Statistical modeling of carcinogenic risks in dogs that inhaled 238PuO2 Combined analyses of data on 260 life-span beagle dogs that inhaled 238PuO2 at the Inhalation Toxicology Research Institute (ITRI) and at Pacific Northwest National Laboratory (PNNL) were conducted. The hazard functions (age-specific risks) for incidence of lung, bone and liver tumors were modeled as a function of cumulative radiation dose, and estimates of lifetime risks based on the combined data were developed. For lung tumors, linear-quadratic functions provided an adequate fit to the data from both laboratories, and linear functions provided an adequate fit when analyses were restricted to doses less than 20 Gy. The estimated risk coefficients for these functions were significantly larger when based on ITRI data compared to PNNL data, and dosimetry biases are a possible explanation for this difference. There was also evidence that the bone tumor response functions differed for the two laboratories, although these differences occurred primarily at high doses. These functions were clearly nonlinear (even when restricted to average skeletal doses less than 1 Gy), and evidence of radiation-induced bone tumors was found for doses less than 0.5 Gy in both laboratories. Liver tumor risks were similar for the two laboratories, and linear functions provided an adequate fit to these data. Lifetime risk estimates for lung and bone tumors derived from these data had wide confidence intervals, but were consistent with estimates currently used in radiation protection. The dog-based lifetime liver tumor risk estimate was an order of magnitude larger than that used in radiation protection, but the latter also carries large uncertainties. The application of common statistical methodology to data from two studies has allowed the identification of differences in these studies and has provided a basis for common risk estimates based on both data sets.",Excluded,0.6280465
208,"Genotoxic effects of intermediate frequency magnetic fields on blood leukocytes in vitro The widespread presence of electromagnetic sources in daily life has initiated several studies on the effects of radiofrequency and power frequency fields. Only few investigations on the genotoxic effects of exposure to intermediate frequency magnetic fields (IF-MF) have been done so far. Therefore, the aim of this study was to evaluate possible genotoxic effects of exposure to 123.90 kHz and 250.80 kHz IF-MF on canine and human blood. Blood was exposed to IF-MF at 630 A/m (0.79 mT) and 80 A/m (0.10 m T) with exposure durations of 1-5 h (hourly), 20 and 24 h. Cylindrically divided Petri dish system was developed for in vitro exposures where different induced current could be achieved in the samples at the same magnetic flux density level. For the assessment of genotoxicity the alkaline comet assay was applied. We detected a statistically significant increase in DNA damage only following 20 h exposure to IF-MF. Copyright © 2019 Elsevier B.V. All rights reserved.",Excluded,0.62804604
211,"Incidence of breast cancer in the life span study of atomic bomb survivors: 1958-2009 The importance of reproductive history in breast tissue development and etiology of sporadic breast cancer in females is well established. However, there is limited evidence of factors, other than age, that modify risk of radiation-related breast cancer. In this study, we evaluated breast cancer incidence in the Life Span Study cohort of atomic bomb survivors, adding 11 years of follow-up and incorporating reproductive history data. We used Poisson regression models to describe radiation risks and modifying effects of age and reproductive factors. Among 62,534 females, we identified 1,470 breast cancers between 1958 and 2009. Of 397 new cases diagnosed since 1998, 75% were exposed before age 20. We found a strong linear dose response with excess relative risk (ERR) of 1.12 per Gy 95% confidence interval (CI): 0.73 to 1.59 for females at age 70 after exposure at age 30. The ERR decreased with increasing attained age (P = 0.007) while excess absolute rate (EAR) increased with attained age up to age 70 (P < 0.001). Age at menarche was a strong modifier of the radiation effect: for a given dose, both the ERR and EAR decreased with increasing age at menarche (P = 0.007 and P < 0.001). Also, independently, age-At-exposure effects on ERR and EAR differed before and after menarche (P = 0.043 and P = 0.015, respectively, relative to log-linear trends), with highest risks for exposures around menarche. Despite the small number of male breast cancers (n = 10), the data continue to suggest a dose response (ERR per Gy = 5.7; 95% CI: 0.3 to 30.8; P = 0.018). Persistently increased risk of female breast cancer after radiation exposure and its modification pattern suggests heightened breast sensitivity during puberty.Copyright © 2018 by Radiation Research Society.",Excluded,0.62804496
462,"Three-dimensional structures of avian beta-microseminoproteins: insight from the chicken egg-specific beta-microseminoprotein 3 paralog Beta-microseminoproteins (MSMBs) are small disulfide-rich proteins that are conserved among vertebrates. These proteins exhibit diverse biological activities and were mainly reported to play a role in male fertility, immunity, and embryogenesis. In this work, we focused on the chicken MSMB3 protein that was previously depicted as an egg antibacterial protein. We report that MSMB3 protein is exclusively expressed in the reproductive tissues of laying hens (in contrast to chicken MSMB1 and MSMB2 paralogs), to be incorporated in the egg white during the process of egg formation. We also showed that chicken MSMB3 possesses highly conserved orthologs in bird species, including Neognathae and Palaeognathae. Chicken MSMB3 was purified from egg white using heparin affinity chromatography and was analyzed by top-down and bottom-up proteomics. Several proteoforms could be characterized, and a homodimer was further evidenced by NMR spectroscopy. The X-ray structure of chicken MSMB3 was solved for the first time, revealing that this protein adopts a novel dimeric arrangement. The highly cationic MSMB3 protein exhibits a distinct electrostatic distribution compared with chicken MSMB1 and MSMB2 structural models, and with published mammalian MSMB structures. The specific incorporation of MSMB3 paralog in the egg, and its phylogenetic conservation in birds together with its peculiar homodimer arrangement and physicochemical properties, suggests that the MSMB3 protein has evolved to play a critical role during the embryonic development of avian species. These new data are likely to stimulate research to elucidate the structure/function relationships of MSMB paralogs and orthologs in the animal kingdom.Copyright © 2021 The Authors. FEBS Open Bio published by John Wiley & Sons Ltd on behalf of Federation of European Biochemical Societies.",Excluded,0.6280408
246,"Determinants of Sunburn and Sun Protection of Agricultural Workers during Occupational and Recreational Activities Objective: The aim of this study was to identify determinants of occupational sunburn in agricultural workers and assess their occupational and recreational sun protection habits. Method(s): Specific surveys of agricultural workers in Switzerland and France were conducted (N=1538). Multivariate logistic regressions identified occupational sunburn determinants. Occupational and recreational sun protection habits were estimated and correlated. Result(s): One-year occupational and recreational sunburn prevalences were 19.8% and 11.5%, respectively. Occupational sunburn increased with having a recent recreational sunburn, highly sensitive skin, young age, high perceived skin cancer risk, using sunscreen, and not wearing a hat. Correlation between protection habits during work and leisure was substantial (r s 0.5 to 0.7). Skin health knowledge was high and pro-tanning attitude moderate. Conclusion(s): Potentially modifiable sunburn determinants and suboptimal recreational and occupational sun protection practices were identified in agricultural workers. Refining and tailoring sun protection messages targeting the agricultural sector are needed.© Copyright 2017 American College of Occupational and Environmental Medicine.",Excluded,0.62804055
