,titleabstract,decision,prediction
1180,The dose rate factor from interstitial irradiation with 103-palladium and 109-palladium,Excluded,0.92527205
1106,Shaping of the dosage fields in various radiation therapy methods,Excluded,0.9247271
605,"Effects on female fertility and germinal cells in prepubertal and adult rats (Rattus norvegicus) after X-ray irradiation In this work we analyse the effects of ionizing radiation in prepubertal and adult female rats, using as parameters, implantation sites, embryonic loss, and synaptonemal complex (SC) analysis of the female F1 of the pregnant rats. Our preliminary results show a decrease statistically significant in fertility of irradiated groups, but cytogenetic analysis did not shown any inherited damage attributed to radiation. At the same time, our results seem to indicate a higher resistance of oocytes from prepubertal rats and support the possible use of GnRH agonists as oestrus cycle suppressors to turn adult rats into gonadal quiescence.",Excluded,0.923889
802,"Sex-specific differences in fetal germ cell apoptosis induced by ionizing radiation BACKGROUND: We have previously shown that male human fetal germ cells are highly radiosensitive and that their death depends on p53 activation. Male germ cell apoptosis was initiated with doses as low as 0.1 Gy and was prevented by pifithrin alpha, a p53 inhibitor. In this study, we investigated the radiosensitivity of early female and male fetal proliferating germ cells.
METHODS AND RESULTS: Both male and female fetal germ cells displayed a similar number of gamma H2AX foci in response to ionizing radiation (IR). In organ culture of human fetal ovaries, the germ cells underwent apoptosis only when exposed to high doses of IR (1.5 Gy and above). Accumulation of p53 was detected in irradiated male human fetal germ cells but not in female ones. Inhibition of p53 with pifithrin alpha did not affect oogonia apoptosis following irradiation. IR induced apoptosis similarly in mouse fetal ovaries in organ culture and in vivo during oogonial proliferation. Germ cell survival in testes from p53 knockout or p63 knockout mice exposed to IR was better than wild-type, whereas female germ cell survival was unaffected by p53 or p63 knockout.
CONCLUSIONS: These findings show that pre-meiotic male and female fetal germ cells behave differently in response to a genotoxic stress--irradiation--with oogonia being less sensitive and undergoing p53-independent apoptosis.",Excluded,0.9238261
109,Cytogenetic research on micropopulations of the root vole (Microtus oeconomus Pall.) living under various radioecological habitat conditions. [Russian] Percentage of aneuploid cells and that of cell with chromosome aberrations in Microtus oeconomus Pall. living in areas with the enhanced radiation background (the dose of external radiation is 50 times and that of internal irradiation of bone marrow by incorporated 226Ra 10 times higher than the controls) exceeds significantly (p less than 0.05) the control values. It is concluded that mutations occur in the experimental animals more frequently than in the controls.,Excluded,0.92372185
217,Oral absorption of metronidazole in rabbits irradiated with cobalt-60 gamma radiation The absorption of oral metronidazole in control rabbits and in rabbits irradiated with cobalt-60 gamma radiation was studied. It was observed that the bioavailability of metronidazole was significantly reduced in irradiated animals the reduction being dependent on the dose of radiation. The maximum decrease in absorption was seen 48 h post-irradiation.,Excluded,0.9236081
844,"Induction of malformations by X-ray exposure of various stages of the oogenesis of mice We studied the effects of ionizing radiation (X-rays, 0-3 Gy, dose rate 1 Gy/min) on various stages of oogenesis of a mouse strain (HLG/Zte) that had been shown previously to respond with an increased number of malformations after radiation exposure of preimplantation stages. Like the results obtained with preimplantation stages, we observed a statistically significant increase in the number of malformed fetuses (exclusively gastroschises) on day 19 of gestation, when oocytes within 1-4 weeks before ovulation were exposed to 2 or 3 Gy. Less mature oocytes were killed by radiation doses of 0.5 Gy and higher. In addition to the increased frequency of malformations, we found a dose-dependent increase of lethal effects (affecting either oocytes or specific gestational stages) and of runts ('dwarfs').",Excluded,0.92351246
133,"[Adaptive response of blood lymphocytes as a marker of hemopoiesis status in exposed persons] An obvious correlation between the type of reaction manifested by peripheral blood lymphocytes to low dose irradiation in vitro (adaptive potential), the RBM cell composition (during the period of the major exposure), and the peripheral blood cell composition (at a late time period coincident with the studies of induced radioresistance) has been found in the Techa riverside residents in the later periods after the onset of a long-term low-dose rate radiation exposure (55-60 years later) within a range of individual red bone marrow doses from 0.01 to 1.79 Gy. The nature of these dependences observed in chronically exposed individuals differs from that revealed in the controls. It can be suggested based on the results of the study that the capacity for the adaptive response shown by peripheral blood lymphocytes donated by exposed persons in the remote period after exposure can be regarded as a biological marker of the functional state of the hemopoietic stem cell pool.",Excluded,0.9234749
170,"The genome-wide effects of ionizing radiation on mutation induction in the mammalian germline The ability to predict the genetic consequences of human exposure to ionizing radiation has been a long-standing goal of human genetics in the past 50 years. Here we present the results of an unbiased, comprehensive genome-wide survey of the range of germline mutations induced in laboratory mice after parental exposure to ionizing radiation and show irradiation markedly alters the frequency and spectrum of de novo mutations. Here we show that the frequency of de novo copy number variants (CNVs) and insertion/deletion events (indels) is significantly elevated in offspring of exposed fathers. We also show that the spectrum of induced de novo single-nucleotide variants (SNVs) is strikingly different; with clustered mutations being significantly over-represented in the offspring of irradiated males. Our study highlights the specific classes of radiation-induced DNA lesions that evade repair and result in germline mutation and paves the way for similarly comprehensive characterizations of other germline mutagens.Copyright © 2015 Macmillan Publishers Limited.",Excluded,0.9234507
32,"Changes occurred in the testes and DNA pattern of males wax moth (Galleria mellonella) first generation as a result of irradiation of their parents Nowadays, the sterile insect technique is broadly used as a pest control measure. Therefore, the present study was conducted to investigate the alteration occurred in testes and DNA pattern as an effect of inherited sterility. Full grown pupae of the wax moth, Galleria mellonella were irradiated with 80 and 160 Gy of gamma irradiation. The size of the testes was decreased by increasing of gamma irradiation dose. Also, the size of the testes was decreased in F 1 males comparing with the size of the testes of both the parents and the untreated control. The effects of gamma rays on the DNA patterns of adult male parents and F 1 males showed alterations among the controls, the treated parents and F 1 individuals. Exposure to radiation caused very frequently the appearance of some extra bands and the deficiency of others in the arbitrary random amplified polymorphic DNA-polymerase chain reaction amplification patterns of the irradiated insects.",Excluded,0.92342705
