,titleabstract,decision,prediction
668,"Stage I-II non-small-cell lung cancer treated using either stereotactic ablative radiotherapy (SABR) or lobectomy by video-assisted thoracoscopic surgery (VATS): outcomes of a propensity score-matched analysis BACKGROUND: Video-assisted thoracoscopic surgery (VATS) lobectomy and stereotactic ablative radiotherapy (SABR) are both used for early-stage non-small-cell lung cancer. We carried out a propensity score-matched analysis to compare locoregional control (LRC).
PATIENTS AND METHODS: VATS lobectomy data from six hospitals were retrospectively accessed; SABR data were obtained from a single institution database. Patients were matched using propensity scores based on cTNM stage, age, gender, Charlson comorbidity score, lung function and performance score. Eighty-six VATS and 527 SABR patients were matched blinded to outcome (1:1 ratio, caliper distance 0.025). Locoregional failure was defined as recurrence in/adjacent to the planning target volume/surgical margins, ipsilateral hilum or mediastinum. Recurrences were either biopsy-confirmed or had to be PET-positive and reviewed by a tumor board.
RESULTS: The matched cohort consisted of 64 SABR and 64 VATS patients with the median follow-up of 30 and 16 months, respectively. Post-SABR LRC rates were superior at 1 and 3 years (96.8% and 93.3% versus 86.9% and 82.6%, respectively, P = 0.04). Distant recurrences and overall survival (OS) were not significantly different.
CONCLUSION: This retrospective analysis found a superior LRC after SABR compared with VATS lobectomy, but OS did not differ. Our findings support the need to compare both treatments in a randomized, controlled trial.",Included,0.121415675
540,"Comparison of three fractionation schedules in radiotherapy for early glottic squamous cell carcinoma Background/Aim: Radiotherapy is widely accepted as the treatment of choice for early glottic squamous cell carcinoma (EGSCC), although it varies greatly with respect to dose, dose per fraction, and treatment techniques. The study aim was to evaluate the use of accelerated fractionation strategy (AFS) for EGSCC in standard clinical practice. Patients and Methods: Patients treated with definitive radiotherapy for EGSCC between 2008 and 2019 were retrospectively identified and received either conventional fractionation, hypofractionation, or hyperfractionation. Result(s): One hundred six patients were analyzed, and 19, 71, and 16 patients underwent conventional fractionation, hypofractionation, and hyperfractionation, respectively. The median follow-up was 56 months. The 5-year local control and overall survival rates were 79% and 83%; 78% and 79%; and 87% and 77%, respectively, and no significant difference was observed between the fractionation schedules. Conclusion(s): Our findings confirmed the utility of AFS in standard clinical practice and support its use for patients with EGSCC.Copyright © 2020 International Institute of Anticancer Research. All rights reserved.",Included,0.124891914
752,"Randomized trial of 90Sr/90Y beta-radiation versus placebo control for treatment of in-stent restenosis BACKGROUND: After conventional treatment of in-stent restenosis, the incidence of recurrent clinical restenosis may approach 40%. We report the first multicenter, blinded, and randomized trial of intracoronary radiation with the use of a 90Sr/90Y beta-source for the treatment of in-stent restenosis., METHODS AND RESULTS: After successful catheter-based treatment of in-stent restenosis, 476 patients were randomly assigned to receive an intracoronary catheter containing either 90Sr/90Y (n=244) or placebo (n=232) sources. The prescribed dose 2 mm from the center of the source was 18.4 Gy for vessels between 2.70 and 3.35 mm in diameter and 23.0 Gy for vessels between 3.36 and 4.0 mm. The primary end point, ie, clinically driven target-vessel revascularization by 8 months, was observed in 56 (26.8%) of the patients assigned to placebo and 39 (17.0%) of the patients assigned to radiation (P=0.015). The incidence of the composite including death, myocardial infarction, and target-vessel revascularization was observed in 60 (28.7%) of the patients assigned to placebo and 44 (19.1%) of the patients assigned to radiation (P=0.024). Binary 8-month angiographic restenosis (> or =50% diameter stenosis) within the entire segment treated with radiation was reduced from 45.2% in the placebo-treated patients to 28.8% in the 90Sr/90Y-treated patients (P=0.001). Stent thromboses occurred in 1 patient assigned to placebo <24 hours after the procedure and in 1 patient assigned to 90Sr/90Y at day 244., CONCLUSIONS: The results of this study demonstrated that beta-radiation using 90Sr/90Y is both safe and effective for preventing recurrence in patients with in-stent restenosis.",Included,0.1252862
759,"Changes in symptom clusters in patients undergoing radiation therapy GOALS OF WORK: The goals of the study were to determine the occurrence rates for and the severity of symptoms at the middle, end, and 1 month after the completion of radiation therapy (RT), to determine the number and types of symptom clusters at these three time points, and to evaluate for changes over time in these symptom clusters., MATERIALS AND METHODS: Symptom occurrence and severity were evaluated using the Memorial Symptom Assessment Scale (MSAS) in a sample of patients (n = 160) who underwent RT for breast or prostate cancer. At each time point, an exploratory factor analysis was done to determine the number of symptom clusters (i.e., symptom factors) based on the MSAS symptom severity ratings., MAIN RESULTS: The majority of the patients were male and married with a mean age of 61.1 years. The five symptoms with the highest occurrence rates across all three time points were lack of energy, pain, difficulty sleeping, feeling drowsy, and sweats. Although the number of symptoms and the specific symptoms within each symptom cluster were not identical across the three time points, three relatively similar symptom clusters (i.e., mood-cognitive"" symptom cluster, ""sickness-behavior"" symptom cluster, ""treatment-related"", or ""pain"" symptom cluster) were identified in this sample. The internal consistency coefficients for the mood-cognitive symptom cluster and sickness-behavior symptom cluster were adequate at > or =0.68., CONCLUSIONS: Three relatively stable symptom clusters were found across RT. The majority of the symptom cluster severity scores were significantly higher in patients with breast cancer compared to patients with prostate cancer.""",Included,0.12867369
638,"Dose-response study of intracoronary beta-radiation with 32P in balloon- and stent-injured coronary arteries in swine Purpose: A dose-response study was performed in swine to investigate the vascular effects of 32P over a broad range of doses in order to define the therapeutic window of intracoronary radiotherapy (ICR) with 32P. Methods and Materials: A total of 131 porcine arteries were subjected to balloon injury or stenting followed by 0-36 Gy of ICR from a centered 32P source wire to 1 mm beyond lumen surface or a sham ICR procedure. Animals were euthanized at 4 weeks, and vessels were harvested for histomorphometry. Result(s): In the balloon-injured arteries, doses of 7 and 9 Gy did not impact restenosis. At doses of 14-36 Gy, neointima was markedly reduced, with mild dilatation at the highest dose, 36 Gy. In the stent-injured arteries, the lowest dose of 9 Gy failed to reduce neointimal growth, while 14-26 Gy showed the most favorable response. Conclusion(s): ICR with 32P features a broad therapeutic window. Doses of 14-26 Gy to 1 mm beyond lumen surface provided an optimal combination of efficacy and safety. Doses of 7 and 9 Gy were generally ineffective, suggesting a minimum threshold for ICR with 32P to effectively inhibit restenosis. Copyright © 2002 Elsevier Science Inc.",Included,0.13187088
254,"Long-term outcomes of fractionated stereotactic radiation therapy for pituitary adenomas at the BC cancer agency Purpose To assess the long-term disease control and toxicity outcomes of fractionated stereotactic radiation therapy (FSRT) in patients with pituitary adenomas treated at the BC Cancer Agency. Methods and Materials To ensure a minimum of 5 years of clinical follow-up, this study identified a cohort of 76 patients treated consecutively with FSRT between 1998 and 2007 for pituitary adenomas: 71% (54/76) had nonfunctioning and 29% (22/76) had functioning adenomas (15 adrenocorticotrophic hormone-secreting, 5 growth hormone-secreting, and 2 prolactin-secreting). Surgery was used before FSRT in 96% (73/76) of patients. A median isocenter dose of 50.4 Gy was delivered in 28 fractions, with 100% of the planning target volume covered by the 90% isodose. Patients were followed up clinically by endocrinologists, ophthalmologists, and radiation oncologists. Serial magnetic resonance imaging was used to assess tumor response. Results With a median follow-up time of 6.8 years (range, 0.6 - 13.1 years), the 7-year progression-free survival was 97.1% and disease-specific survival was 100%. Of the 2 patients with tumor progression, both had disease control after salvage surgery. Of the 22 patients with functioning adenomas, 50% (11/22) had complete and 9% (2/22) had partial responses after FSRT. Of the patients with normal pituitary function at baseline, 48% (14/29) experienced 1 or more hormone deficiencies after FSRT. Although 79% (60/76) of optic chiasms were at least partially within the planning target volumes, no patient experienced radiation-induced optic neuropathy. No patient experienced radionecrosis. No secondary malignancy occurred during follow-up. Conclusion In this study of long-term follow-up of patients treated for pituitary adenomas, FSRT was safe and effective. © 2013 Elsevier Inc.",Included,0.13229293
577,"Texture analysis for the assessment of structural changes in parotid glands induced by radiotherapy BACKGROUND AND PURPOSE: During radiotherapy (RT) for head-and-neck cancer, parotid glands undergo significant anatomic, functional and structural changes which could characterize pre-clinical signs of an increased risk of xerostomia. Texture analysis is proposed to assess structural changes of parotids induced by RT, and to investigate whether early variations of textural parameters (such as mean intensity and fractal dimension) can predict parotid shrinkage at the end of treatment., MATERIAL AND METHODS: Textural parameters and volumes of 42 parotids from 21 patients treated with intensity-modulated RT for nasopharyngeal cancer were extracted from CT images. To individuate which parameters changed during RT, a Wilcoxon signed-rank test between textural indices (first and second RT week; first and last RT week) was performed. Discriminant analysis was applied to variations of these parameters in the first two weeks of RT to assess their power in predicting parotid shrinkage at the end of RT., RESULTS: A significant decrease in mean intensity (1.7 HU and 3.8 HU after the second and last weeks, respectively) and fractal dimension (0.016 and 0.021) was found. Discriminant analysis, based on volume and fractal dimension, was able to predict the final parotid shrinkage (accuracy of 71.4%)., CONCLUSION: Textural features could be used in combination with volume to characterize structural modifications on parotid glands and to predict parotid shrinkage at the end of RT. Copyright © 2013 Elsevier Ireland Ltd. All rights reserved.",Included,0.13422754
160,"Anaplastic thyroid cancer in British Columbia 1985-1999: A population-based study Aims: To review the outcome of patients diagnosed with anaplastic thyroid carcinoma in British Columbia between January 1985 and December 1999. Material(s) and Method(s): Seventy-five patients were identified. Survival curves were calculated using Kaplan-Meier estimates, and the charts of the 62 patients referred to a British Columbia Cancer Agency (BCCA) facility were reviewed. Result(s): All cases: 51 out of 75 patients (68%) were women; median age of all patients was 74 years. The overall- and cancer-specific 5-year survival rates for the whole group were 5%. Non-referred cases: nine out of 13 patients were women; median age at diagnosis 84 years. Eleven of the 13 patients died within 1 month of diagnosis. Referred cases: 42 out of 62 patients were women; median age 72 years; median survival 5.1 months; 1-year survival 19%. Forty-eight patients presented with tumours that extended through the thyroid capsule, 10 presented with distant metastases. Four patients had a total thyroidectomy, nine a partial thyroidectomy, and 49 a biopsy only. Fifty-seven patients received radiotherapy, nine of these had concurrent chemotherapy: Thirty-three patients received less than 40 Gy and 24 patients received 40 Gy or more. Median survival was longer (9 vs 3 months) in patients receiving 40 Gy or more; this group included four patients who had prolonged survival. Conclusion(s): Long-term, disease-free survival was achieved in a few patients who were able to receive high-dose radiotherapy, preferably after adequate surgery. © 2005 The Royal College of Radiologists. Published by Elsevier Ltd. All rights reserved.",Included,0.14956823
198,"Long-term outcomes after radiosurgery for acoustic neuromas BACKGROUND: Stereotactic radiosurgery is the principal alternative to microsurgical resection for acoustic neuromas (vestibular schwannomas). The goals of radiosurgery are the long-term prevention of tumor growth, maintenance of neurologic function, and prevention of new neurologic deficits. Although acceptable short-term outcomes have been reported, long-term outcomes have not been well documented., METHODS: We evaluated 162 consecutive patients who underwent radiosurgery for acoustic neuromas between 1987 and 1992 by means of serial imaging tests, clinical evaluations, and a survey between 5 and 10 years after the procedure. The average dose of radiation to the tumor margin was 16 Gy, and the mean transverse diameter of the tumor was 22 mm (range, 8 to 39). Resection had been performed previously in 42 patients (26 percent); in 13 patients the tumor represented a recurrence of disease after a previous total resection. Facial function was normal in 76 percent of the patients before radiosurgery, and 20 percent had useful hearing., RESULTS: The rate of tumor control (with no resection required) was 98 percent. One hundred tumors (62 percent) became smaller, 53 (33 percent) remained unchanged in size, and 9 (6 percent) became slightly larger. Resection was performed in four patients (2 percent) within four years after radiosurgery. Normal facial function was preserved in 79 percent of the patients after five years (House-Brackmann grade 1), and normal trigeminal function was preserved in 73 percent. Fifty-one percent of the patients had no change in hearing ability. No new neurologic deficits appeared more than 28 months after radiosurgery. An outcomes questionnaire was returned by 115 patients (77 percent of the 149 patients still living). Fifty-four of these patients (47 percent) were employed at the time of radiosurgery, and 37 (69 percent) remained so. Radiosurgery was believed to have been successful by all 30 patients who had undergone surgery previously and by 81 (95 percent) of the 85 who had not. Thirty-six of the 115 patients (31 percent) described at least one complication, which resolved in 56 percent of those cases., CONCLUSIONS: Radiosurgery can provide long-term control of acoustic neuromas while preserving neurologic function.",Included,0.15752108
361,"Late side effects of radioactive iodine on salivary gland function in patients with thyroid cancer BACKGROUND: The purpose of this study was to assess the late side effects of radioiodine therapy (RIT) on salivary gland function. One hundred eighty two patients were evaluated., METHODS: Assessment of salivary gland function was performed with salivary gland scintigraphy (SGS), sialometry, and subjective open questions to determine common side effects of RIT on salivary gland function., RESULTS: RIT had a strong association with decreased elimination counts by SGS. Patient age was the only variable associated with sialometry; age and the use of xerostomic drugs were strongly associated with decreased mean values of salivary flow. Dysphagia was strongly associated with RIT. Using multiple logistic regression analysis, age was determined to be an important factor associated with salivary gland dysfunction, and RIT was associated with impairment of saliva excretion., CONCLUSION: These results show that patients subjected to RIT have more difficulty in draining saliva, mainly from the parotid glands, which is associated with clinical dysphagia in this subset of patients. Copyright © 2010 Wiley Periodicals, Inc.",Included,0.16078006
