Unnamed: 0,titleabstract,decision,prediction
3341,"Histopathologic Analysis of Lung Cancer Incidence Associated with Radon Exposure among Ontario Uranium Miners Although radon is a well-established contributor to lung cancer mortality among uranium miners, the effects of radon decay products on different histopathologies of lung carcinoma are not well established. Using a retrospective cohort design, this study aims to examine the risks of lung cancer by histological subtypes associated with exposure to radon decay products among the Ontario Uranium Miners cohort. Cases were stratified by histological groups, and associated risks were estimated for cumulative radon exposure after adjustment for attained age and calendar period. Between 1969 and 2005, 1274 incident cases of primary lung cancer were identified. Of these, 1256 diagnoses (99%) contained information on histology. Squamous cell carcinoma was most common (31%), followed by adenocarcinoma (20%), large cells (18%), small cell lung carcinoma (14%), and other or unspecified cell types (17%). Of the histological sub-groups, small cell lung carcinoma had the strongest association with cumulative radon exposure; compared to the reference group (<1 cumulative working level months (WLM)), the highest exposure category (>60 cumulative WLM) had a relative risk (RR) of 2.76 (95% CI: 1.67-4.57). Adenocarcinoma had the lowest risk and was not significantly associated with exposure to radon decay products (RR = 1.49, 95% CI: 0.96-2.31). An increasing, linear trend in relative risk was noted with increasing cumulative WLM across small cell, squamous cell, and large cell lung carcinomas (Ptrend < 0.05). Similarly, the excess relative risk (ERR) per WLM was highest for small cell lung carcinoma (ERR/WLM = 0.15, p < 0.01), followed by squamous cell carcinoma (ERR/WLM = 0.12, p < 0.01). Non-statistically significant excess risk was observed for adenocarcinoma (ERR/WLM = 0.004, p = 0.07). Our analysis of the Ontario Uranium Miners cohort data shows differences in the magnitude of the risks across four histological subtypes of lung carcinoma; the strongest association was noted for small cell lung carcinoma, followed by squamous cell, large cell, and lastly adenocarcinoma, which showed no significant associations with exposure to radon decay products.",Included,0.92712533
3343,"Multidrug resistance determinants in acute myeloid leukemia developed in persons exposed to ionizing radiation due to the Chernobyl accident The results of multidrug resistance determinants expression analysis on leukemic cells of 56 acute myeloid leukemia (AML) patients by immunophenotyping are presented. Of these, there were 21 persons exposed to ionizing radiation due to the Chemobyl accident with radiation-associated AML and 35 patients with spontaneous leukemia. The aim of this study was to determine if transport proteins (P-glycoprotein, LRP, and MDR1), apoptosis-related proteins (Fas, Bcl-2, Bax, p53, and Bcl-X(L)), and topoisomerase IIalpha expression in AML patients with the history of radiation exposure differed from those in spontaneous AML cases. Leukemic cells in patients with radiation-associated diseases compared to spontaneous AML more often overexpressed antiapoptotic oncoprotein Bcl-2 (12/21 vs. 6/35, p < 0.005) and less often demonstrated expression of Fas receptor (12/21 vs. 30/35, p < 0.05). Moreover, leukemic cells were simultaneously Fas negative and Bcl-2 positive in 4 out of 21 patients exposed to ionizing radiation but none of spontaneous cases had similar phenotype (p < 0.05). Leukemic cells in patients with radiation-associated AML compared to spontaneous cases more often were P-glycoprotein positive (12/20 vs 9/31, p < 0.05). P-glycoprotein overexpression significantly correlated with resistant disease in patients with radiation-associated AML (r = 0.47, p < 0.05), but was not a prognostic variable for the treatment outcome in terms of overall survival. Defects in pathways of drug-induced apoptosis and function of pump, that actively effluxes drugs could contribute significantly to developing drug resistance in radiation-associated AML.",Included,0.9261977
3347,"Low dose IR-induced IGF-1-sCLU expression: a p53-repressed expression cascade that interferes with TGFbeta1 signaling to confer a pro-survival bystander effect Inadvertent mammalian tissue exposures to low doses of ionizing radiation (IR) after radiation accidents, remediation of radioactive-contaminated areas, space travel or a dirty bomb represent an interesting trauma to an organism. Possible low-dose IR-induced bystander effects could impact our evaluation of human health effects, as cells within tissue are not equally damaged after doses of IR <=10 cGy. To understand tissue responses after low IR doses, we generated a reporter system using the human clusterin promoter fused to firefly luciferase (hCLUp-Luc). Secretory clusterin (sCLU), an extracellular molecular chaperone, induced by low doses of cytotoxic agents, clears cell debris. Low-dose IR (>=2 cGy) exposure induced hCLUp-Luc activity with peak levels at 96 h, consistent with endogenous sCLU levels. As doses increased (>=1 Gy), sCLU induction amplitudes increased and time-to-peak response decreased. sCLU expression was stimulated by insulin-like growth factor-1, but suppressed by p53. Responses in transgenic hCLUp-Luc reporter mice after low IR doses showed that specific tissues (that is, colon, spleen, mammary, thymus and bone marrow) of female mice induced hCLUp-Luc activity more than male mice after whole body (>=10 cGy) irradiation. Tissue-specific, non-linear dose- and time-responses of hCLUp-Luc and endogenous sCLU levels were noted. Colon maintained homeostatic balance after 10 cGy. Bone marrow responded with delayed, but prolonged and elevated expression. Intraperitoneal administration of alpha-transforming growth factor (TGF)beta1 (1D11), but not control (13C4) antibodies, immediately following IR exposure abrogated CLU induction responses. Induction in vivo also correlated with Smad signaling by activated TGFbeta1 after IR. Mechanistically, media with elevated sCLU levels suppressed signaling, blocked apoptosis and increased survival of TGFbeta1-exposed tumor or normal cells. Thus, sCLU is a pro-survival bystander factor that abrogates TGFbeta1 signaling and most likely promotes wound healing.",Included,0.9264612
3349,"Brugia malayi: effects of gamma radiation on adult worms and their intracellular Wolbachia bacteria Prior studies have shown that intracellular Wolbachia endobacteria are necessary for the normal development, reproduction, and survival of filarial nematodes. The purpose of this study was to examine effects of gamma radiation on Wolbachia and reproduction in Brugia malayi adult worms. Worms were exposed to 0, 10, 25, 45, 75, and 105 krad of gamma radiation from a 137cesium source and cultured in vitro for 10 days. Irradiation reduced production of microfilariae in a dose-dependent manner. Embryograms of irradiated female worms showed dose-related abnormalities with arrested development at the early embryo stage. Irradiation reduced the viability of adult worms in a dose-dependent manner, but no lethal effect was observed. Electron microscopy studies showed that irradiation cleared Wolbachia from worm tissues. Real-time polymerase chain reaction studies demonstrated greatly reduced Wolbachia DNA in irradiated worms. These effects are essentially the same as those observed in adult worms treated with doxycycline. These studies suggest that effects of irradiation on reproduction in Brugia malayi may be caused by effects of irradiation on Wolbachia.",Included,0.9240694
3368,"The characteristics of the cerebral asthenia syndrome in persons who were victims of the accident at the Chernobyl Atomic Electric Power Station A total of 107 patients (81 males, 26 females), their age ranging between 34 to 45 years, diagnosed as having discirculatory encephalopathy with underlying cerebrasthenic syndrome, were examined. All the examinees took part in the elimination of the Chernobyl accident effects in 1986. It was found out, that cerebrasthenia which is present in the structure of all clinical variants of organic affection of the brain is the most mobile (functional) link of the morbid process when a disorder sets in rather than the failure of the organ to perform its function. It ranks among other asthenic syndromes reflecting a specific character of exogenous radiation effect on the organism, being a result of a characteristic interaction between the organism and a health hazard. Measures to dispel the asthenic component at the initial stages of development of the disorder will make for reduction or arrest of progression of organic symptomatology.",Included,0.46863717
3373,"NOS1-, NOS3-, PIK3CA-, and MAPK pathways in skin following radiation therapy Background: Essential molecular pathways such as the MAPK pathway, NO system, or the influence of PIK3CA as an oncogene are known to regulate fundamental signalling networks. However, few knowledge about their role in the occurrence of wound healing disorders (WHD) following radiation therapy (RT) exists. This study aims to evaluate the expression profiles of specific molecular pathway marker genes. Method(s): Expression profiles of the genes encoding MAPK, NOS1, NOS3, and PIK3CA were analyzed, by RT-PCR, in specimens from patients with and without a history of RT to the head and neck. Clinical data on the occurrence of cervical WHDs were analyzed. Result(s): Expression analysis of patients with postoperative WHDs revealed a significant increase in MAPK expression compared to the control group without occurrence of postoperative WHDs. PIK3CA showed a significantly increased expression in patients with a history of RT. Expression analysis of all other investigated genes did not reveal significant differences. Conclusion(s): This current study is able to show the influence of RT on different molecular pathways. This underlines the crucial role of specific molecular networks, responsible for the occurrence of long-term radiation toxicity such as WHDs. Additional studies should be carried out to identify possible starting points for therapeutic interventions.Copyright © The Author(s). 2017.",Included,0.91524893
3381,"Estimating the incidence of leukemia attributable to occupational exposure in Iran Objective: The aim this study was to estimate the fraction of leukemia incidence in Iran attributable to occupational exposure to benzene, ionizing radiation, and ethylene oxide. Method(s): Nationwide exposure to each of these leukemogens was estimated using workforce data available at the ILO (International Labor Organization) website. The prevalence of exposure to leukemogens in each industry was estimated using exposure data from the CAREX (CARcinogen EXposure) database. The magnitude of the relative risk of leukemia for each leukemogen was from published literature. Using the Levin's population attributable risk (incidence), fractions of leukemia incidences attributed to workplace leukemogens were then estimated. Result(s): The total workforce in Iran according to the 1995 census included 12,488,020 men and 677,469 women. Agriculture was the largest sector with 24.5% of the males and 0.27% of the females, and the electricals-related sector was the smallest with 1.16% of the males and 0.66% of the females. After applying the CAREX exposure estimates to each sector, the proportion exposed to leukemogens was 0.016% for male workers and 0.02% for female workers. Estimating a relative risk of 3.6 (95% CI of 3.2-4.2) for high exposure and 1.9 (95% CI 1.7-2.1) for low exposure and employing the Levin's formula, the fraction of leukemia attributed to leukemogens in the workplaces among females was 3.6% (95% CI of 3.1-4.5) and among males was 7.6% (95% CI of 6.4-9.2). These fractions corresponded to estimated incidences of 0.60 (95% CI of 0.50-0.70) and 0.22 (95% CI of 0.16-0.23) cases of leukemia per 100,000 populations for males and females, respectively. Conclusion(s): The incidence of leukemia due to occupational exposure is very low in Iran, although males are at greater risk than females.",Included,0.9248918
3392,"Mortality from external causes among the personnel of Mayak's radiochemical plant The mortality rate from accidents, poisoning, and traumas was analyzed in 12,806 persons who started work at the radiochemical plant from 1948 to 1972. 559 persons died from these causes, which corresponds to 21.1% of the total number of deaths. The global and age-specific mortality rates appeared to be lower than those for the general population. The structure of mortality from external causes differed in some way from that of the general population: the percentage of accidents connected with transport and of murders was lower, whereas it was higher for suicides. The mortality rate from specific causes including suicides, however, was lower than in the general population. The level of radiation exposure did not influence the mortality rates from the studied causes.",Included,0.924531
3420,"Assessment of DNA damage in nuclear medicine personnel--comparative study with the alkaline comet assay and the chromosome aberration test Despite much research over the last few decades, there still remains considerable uncertainty as to the genetic impact of ionizing radiation on human populations, particularly at low levels. The aim of the present study was to provide data on the genetic hazards due to occupational exposure of low doses of ionizing radiation in nuclear medicine departments. The assessment of primary DNA damage in peripheral blood leukocytes of medical staff was performed using the alkaline comet assay and the data obtained were compared with the results of conventional cytogenetic biodosimetry using the chromosome aberration (CA) test. Altogether 120 subjects (60 exposed and 60 controls) participated in the study. Statistically significant increases in primary DNA damage and increased frequencies of CAs compared to controls were observed. Within the exposed population, significant inter-individual differences in DNA damage were found, indicating differences in genome sensitivity. Age and gender were not confounding factors, while smoking enhanced the levels of primary DNA damage only in control subjects, as revealed by both biomarkers studied. The present study suggests that genotoxic damage results from exposure to chronic low doses of ionizing radiation in nuclear medicine departments. Therefore, the exposed medical personnel should carefully comply with the radiation protection procedures and should minimize radiation exposure where possible to avoid potential genotoxic effects. The results obtained in this study point to the significance of biological indicators providing information on the actual risk to the radiation exposed individuals. According to our results, the alkaline comet assay and CA test are sensitive biomarkers that can be used as additional complements to physical dosimetry for assessing exposure to radiation in nuclear medicine personnel.",Included,0.9273976
3433,"Comparative genomic hybridization analysis of radiation-associated and sporadic meningiomas Ionizing irradiation to the skull is a known risk factor for meningioma development. To gain insight into the molecular mechanisms that underlie radiation-associated meningioma (RAM), we characterized the somatic genetic alterations in 16 RAMs by using comparative genomic hybridization and compared the pattern of alterations with 17 nonradiation-associated meningiomas (non-RAM). Most tumors (29/33;87.9%) displayed at least one DNA copy number alteration, and 11 out of 33 (33%) exhibited four or more changes. The mean number of DNA copy number changes was similar in RAMs (2.4+/-1.9) and in non-RAMs (2.5+/-1.9). The most common DNA losses were noted in chromosome 22 (56.2% in RAM, and 47% in non-RAM) and chromosome 1 (37.5% in RAM and 35.3% in non-RAM), with no significant differences between the two groups. Noteworthy, gain in DNA copy number of chromosomes 8 and 12 was detected in two RAM tumors only. In conclusion, no significant differences were noted between RAMs and non-RAMs regarding the number of genetic changes and the extent and frequency of chromosomes 1 and 22 losses. These preliminary data suggest that the tumorogenic pathways of meningioma formation are similar, regardless of previous skull irradiation.",Included,0.92548347
