,titleabstract,decision,prediction
138,"A system for focal intracavitary irradiation of bladder cancer with remote iridium-192 afterloading An afterloading system for remote-control focal intracavitary irradiation of bladder cancer is presented. With 192Ir as radiation source, we demonstrated the practicability of the method in 23 chinchilla rabbits. A system for focal intracavitary irradiation of bladder cancer in humans was developed. A guiding tube with an inflatable balloon led to a reproducible vesical diameter. The intravesical part of the tube was shielded with lead and had a slit for focal radiation exposure. Three variant guiding tubes with different positions of the slit were designed to allow irradiation of any part of the bladder. The application is planned in patients with locally advanced tumors who refuse radical cystectomy or who are medically inoperable.",Included,0.03811522
0,"Toxicity Related to Radiotherapy Dose and Targeting Strategy: A Pooled Analysis of Cooperative Group Trials of Combined Modality Therapy for Locally Advanced Non-Small Cell Lung Cancer OBJECTIVE: Concurrent chemoradiotherapy (CRT) was the standard treatment for locally advanced NSCLC (LA-NSCLC). This study was performed to examine thoracic radiotherapy (TRT) parameters and their impact on adverse events (AEs)., METHODS: We collected individual patient data from 3600 patients with LA-NSCLC who participated in 16 cooperative group trials of concurrent CRT. The TRT parameters examined included field design strategy (elective nodal irradiation [ENI] versus involved-field [IF] TRT [IF-TRT]) and TRT dose (60 Gy versus >=60 Gy). The primary end point of this analysis was the occurrence of AEs. ORs for AEs were calculated with univariable and multivariable logistic models., RESULTS: TRT doses ranged from 60 to 74 Gy. ENI was not associated with more grade 3 or higher AEs than IF-TRT was (multivariable OR = 0.77, 95% confidence interval [CI]: 0.543-1.102, p = 0.1545). Doses higher than 60 Gy (high-dose TRT) were associated with significantly more grade 3 or higher AEs (multivariable OR = 1.82, 95% CI: 1.501-2.203, p < 0.0001). In contrast, ENI was associated with significantly more grade 4 or higher AEs (multivariable OR = 1.33, 95% CI: 1.035-1.709, p = 0.0258). Doses higher than 60 Gy were also associated with more grade 4 or higher AEs (multivariate OR = 1.42, 95% CI: 1.191-1.700, p = 0.0001). Grade 5 AEs plus treatment-related deaths were more frequent with higher-dose TRT (p = 0.0012) but not ENI (p = 0.099)., CONCLUSIONS: For patients with LA-NSCLC treated with concurrent CRT, IF-TRT was not associated with the overall risk of grade 3 or higher AEs but was associated with significantly fewer grade 4 or higher AEs than ENI TRT. This is likely the result of irradiation of a lesser amount of adjacent critical normal tissue. Higher TRT doses were associated significantly with grade 3 or higher and grade 4 or higher AEs. On the basis of these findings and our prior report on survival, CRT using IF-TRT and 60 Gy (conventionally fractionated) were associated with more favorable patient survival and less toxicity than was the use of ENI or higher radiotherapy doses. Copyright © 2018 International Association for the Study of Lung Cancer. Published by Elsevier Inc. All rights reserved.",Included,0.03833635
260,"Diagnostic medical radiation in inflammatory bowel disease: Primum non-nocere? Background and Aims Patients with Inflammatory Bowel disease (IBD) are frequently exposed to diagnostic medical radiation for the diagnosis and evaluation of their disease. Despite increasing awareness of the potentially serious downstream effects, few studies have quantified radiation exposure in IBD patients. Methods We conducted a retrospective review of 225 consecutive patients attending IBD clinics at our hospital. Clinical data including demographics, disease characteristics and therapy were obtained from case note and electronic patient record review. All incidences of diagnostic medical radiation from initial diagnosis until 30 June 2010 inclusive were recorded from case note and computerised radiology database system review. The radiation dose for each procedure was obtained from published tables from the Royal College of Radiologists, UK. Effective dose for each procedure was calculated by multiplying this value by the number of procedures during the study period. The sum of doses received was the cumulative effective dose. Results One hundred and two of the 225 IBD patients reviewed were female, 123 were male. The median age was 48 (Range 17-88) and mean disease duration 9.8 years. One hundred and four patients had Crohn's disease, 113 patients had ulcerative colitis and 8 patients had an indeterminate colitis. The mean and median cumulative effective radiation doses were 11.35 mSv and 5.12 mSv respectively. A cumulative radiation dose greater than 10 mSv was seen in 40.9% (92) patients and greater than 25 mSv in 12.9% (29) patients. In 9 patients the cumulative effective dose was greater than 50 mSv. Crohn's disease was associated with a higher cumulative effective dose with exposure exceeding 10 mSv in 60.6%, 25 mSv in 22.1% and 50 mSv in 8.7% patients respectively. CT imaging accounted for 43% and barium studies for 32% of the total cumulative effective dose exposure. Thirty-nine patients had small bowel magnetic resonance (MR) studies as an alternative to ionising radiation in the last 3 years. Conclusions Patients with IBD, particularly those with Crohn's disease are exposed to significant amounts of diagnostic medical radiation in their lifetime. The increased risk of cancer from cumulative radiation coupled with the inherent risk of colorectal malignancy in long standing IBD and the potential for immunomodulator drugs such as azathioprine to increase the risk of cancers (e.g. lymphoma) is of great clinical and public health concern. Clinicians must remain vigilant to these risks when evaluating these patients and radiation exposure should be minimised and when possible alternatives such as intestinal ultrasound and MR imaging should be preferred.",Included,0.038402047
255,"The morphologic effects of radiation administered therapeutically for intracranial gliomas: a postmortem study of 25 cases To investigate the pathologic consequences of therapeutic radiation, this morphologic study evaluated the brains of 25 patients with intracranial gliomas treated both with and without this form of therapy. Although beneficial effects such as the retardation of tumor growth were evident in these studies, among the seventeen patients who received from 5000--6000 rads for malignant gliomas, four developed ""late delayed"" radiation necrosis. The strong predilection of this tissue response for the white matter adjacent to the neoplasm suggests a local sensitivity which may have been engendered or enhanced by cerebral edema. A fifth case disclosed focal demyelination in the mid-brain suggesting ""early delayed"" radiation necrosis, and an additional case had distinctive foci of necrosis within the brain stem. Changes of diffuse cerebral edema were noted in many of the radiated brains. It is concluded that radiation therapy in commonly employed dosages for malignant gliomas carries a risk of injury to surrounding cerebral tissues.",Included,0.03857131
820,"The risk of cataractogenesis after gamma knife radiosurgery: a nationwide population based case-control study BACKGROUND: Medical radiation is considered a factor responsible for cataractogenesis. However, the incidence of this ophthalmologic complication resulting from gamma knife radiosurgery (GKRS) has not yet been reported. The present study aimed to determine the risk of cataractogenesis associated with radiation exposure from GKRS., METHODS: This study used information from a random sample of one million persons enrolled in the nationally representative Taiwan National Health Insurance Research Database. The GK group consisted of patients who underwent GKRS between 2000 and 2009. The non-GK group was composed of subjects who had never undergone GKRS, but who were matched with the case group for time of enrollment, age, sex, history of coronary artery disease, hypertension, and diabetes., RESULTS: There were 277 patients in the GK group and 2770 matched subjects in the non-GK group. The GK group had a higher overall incidence of cataracts (10.11% vs. 7.26%; crude hazard ratio [cHR], 1.59; 95% CI, 1.07-2.36; adjusted hazard ratio [aHR], 1.25; 95% CI, 0.82-1.90) than the non-GK group. Patients who had undergone computed tomography and/or cerebral angiography (CT/angio) studies had a higher risk of developing cataracts than those who did not (10.82% vs. 6.64%; cHR, 1.74; 95% CI, 1.31-2.30; aHR, 1.65; 95% CI, 1.22-2.23). The age group between 30 and 50 years had the highest risk of cataractogenesis in both the GK and CT/angio groups (cHR, 3.50; 95% CI, 1.58-7.72; aHR, 2.43; 95% CI, 1.02-5.81; cHR, 2.96; 95% CI, 1.47-5.99; aHR, 2.27; 95% CI, 1.05-4.93, respectively)., CONCLUSIONS: Radiation exposure due to GKRS and CT/angio study may be independently associated with increased risk of cataractogenesis. We suggest routine dosimetry measurement of eye lens and proper protection for patients with benign lesions during GKRS. Regular follow-up imaging studies should avoid the use of CT/angio, and particular care should be taken in the 30-50-year-old age group, due to their significantly increased risk of cataract formation.",Included,0.03863881
108,"Risk evaluation of diagnostic x-ray examinations of the chest Mortality risk factors for individual organs for radiation-induced fatal malignancies were derived from epidemiological studies. A method to express the mortality risk due to diagnostic X-ray examinations of the chest in a single parameter, the somatically effective dose, is demonstrated. An estimate of the collective effective dose and the number of fatal malignancies as well as a calculation of the monies which could be justifiably spent in reducing the collective effective dose and hence the number of fatal malignancies by a shift from photofluorography to ""full size"" radiography will be given.",Included,0.03883
8,"A prospective quality of life study of patients with oral or pharyngeal carcinoma treated with external beam irradiation with or without brachytherapy The aim of this longitudinal quality of life (QL) study, was to study tumour-related symptoms and treatment side-effects of patients with oral or oropharyngeal cancer and to determine whether an increased local dose of irradiation (brachytherapy affected QL. The European Organisation for Research and Treatment of Cancer Quality of Life Core Questionnaire (EORTC QLQ-C30), a tumour-specific Head and Neck questionnaire and the Hospital Anxiety and Depression scale (HAD) were used repeatedly during 1 year. There were 105 patients, with a cumulative response rate of 89%. Most symptoms and problems were at their peak 2 or 3 months after the start of treatment. Nutrition and pain were found to be the major problems, and as many as 19-40% reported psychiatric distress. Patients having received additional brachytherapy did not report any increase in QL problems (except for pain) compared with those having had external radiation only. Quality of life does not seem to be affected by the increased irradiation local dose given when brachytherapy is included in the treatment regimen.",Included,0.038839318
12,"Initial evaluation of safety of wide-field irradiation in the treatment of hematopoietic neoplasia in the cat Localized radiation therapy is well tolerated in cats with confined tumors; however, the use of wide-field radiation therapy to treat disseminated neoplasia has not been evaluated systematically in this species. Wide-field external beam radiation therapy, which we define as irradiation of cranial or caudal halves of the body either individually or sequentially, was undertaken as an experimental option to treat cats with either chemotherapy-refractory or naive hematopoietic neoplasia considered to have a poor prognosis. Fifteen cats with hematopoietic malignancies received wide-field external beam radiation therapy between 2003 and 2006. Cats received 8Gy delivered in 4Gy fractions with 60Co photons. Treatment-related toxicity was scored according to criteria established by the Veterinary Cooperative Oncology Group. Animals without preexisting abnormalities on hemograms exhibited no or mild (Grade 1 or 2) hematopoietic toxicity. Although most cats (14 of 15) had preexisting gastrointestinal (GI) signs, these signs were stable (29%) or improved (42%) following irradiation. Worsening GI signs following irradiation occurred transiently in two cats and in association with progressive disease in two others. No pulmonary, renal, hepatic, or dermatologic toxicities were detected. In summary, wide-field external beam radiation therapy can be administered safely to, and may provide therapeutic benefit for, cats with disseminated hematopoietic neoplasia. © 2010 Veterinary Radiology & Ultrasound.",Included,0.03908968
105,"Does Vacuum-assisted Closure Reduce the Risk of Wound Complications in Patients With Lower Extremity Sarcomas Treated With Preoperative Radiation? BACKGROUND: Although preoperative radiation followed by wide local excision yields excellent local control in soft tissue sarcomas, the risk of wound complications is reported to be higher compared with the incidence in patients who were administered postoperative radiation therapy. Vacuum (vac)-assisted closure may improve wound healing, but it is unknown whether vac-assisted closure during soft tissue sarcoma resection may reduce the risk of wound complications or impair local disease control., QUESTIONS/PURPOSES: (1) Does the use of a wound vac application at the time of soft tissue sarcoma resection reduce the risk of developing wound complications after lower extremity sarcoma resection? (2) Is vac-assisted closure associated with an increased risk of local relapse?, METHODS: From 2000 to 2016, 312 patients with stage I to III soft tissue sarcomas were treated. Of these, 123 were treated with preoperative radiation +/- chemotherapy followed by limb-sparing resection based on tumor location, size, grade, histology, and patient age. There was a minimum followup of 12 months. Radiation was delivered generally based on tumor size, grade, superficial versus deep nature, and proximity to neurovascular structures. Chemotherapy was administered in patients < 70 years old with high-grade tumors and tumors > 5 cm. Patient, demographic, and treatment variables, including incisional vac application and wound outcomes, were retrospectively evaluated. Incisional vac-assisted closure took place at the time of primary resection in 32% (46 of 123) of patients. Vac-assisted closure was considered when there was a concern for risk of external contamination such as instances in which fixation of adhesives would be difficult or regions where there was a high risk of contamination. Vac-assisted closure may have also been used in instances with increased wound tension at closure or with heightened concern for shearing on the wound such as buttock wounds. Ten patients were lost to followup, two in the vac group and eight in the non-vac group. Potential factors associated with wound complications were evaluated using Fisher's exact test for univariate analysis and logistic regression for multivariate analysis. Local recurrence-free survival was evaluated using the Kaplan-Meier estimate., RESULTS: After taking into consideration factors such as tumor size, location, age, and patient comorbidities, it was shown that patients who underwent vac-assisted closure were less likely to experience wound complications compared with patients who did not undergo vac-assisted closure (odds ratio, 0.129; 95% confidence interval [CI], 0.041-0.398; p = 0.004). The local control incidence in the entire cohort was 98%. With the numbers available, Kaplan-Meier survivorship free from local recurrence did not differ between patients treated with or without the vac (100% [95% CI, 154.09-154.09] versus 96% [95% CI, 152.21-169.16]; p = 0.211), respectively., CONCLUSIONS: Vac-assisted closure at the time of resection of proximal lower extremity soft tissue sarcomas is associated with a lower risk of wound complications, and its use apparently did not compromise local control. We show that the use of vac-assisted closure may be worth considering in surgeons' attempts to reduce the risk of wound complications among patients with soft tissue sarcomas of the proximal lower extremities., LEVEL OF EVIDENCE: Level III, therapeutic study.",Included,0.039450888
17,"Mesenchymal stem cell therapy for cutaneous radiation syndrome Systemic and local radiation injuries caused by nuclear power reactor accidents, therapeutic irradiation, or nuclear terrorism should be prevented or properly treated in order to improve wound management and save lives. Currently, regenerative surgical modalities should be attempted with temporal artificial dermis impregnated and sprayed with a local angiogenic factor such as basic fibroblast growth factor, and secondary reconstruction can be a candidate for demarcation and saving the donor morbidity. Human mesenchymal stem cells and adipose-derived stem cells, together with angiogenic and mitogenic factor of basic fibroblast growth factor and an artificial dermis, were applied over the excised irradiated skin defect and were tested for differentiation and local stimulation effects in the radiation-exposed wounds. The perforator flap and artificial dermal template with growth factor were successful for reconstruction in patients who were suffering from complex underlying disease. Patients were uneventfully treated with minimal morbidities. In the experiments, the hMSCs are strongly proliferative even after 20 Gy irradiation in vitro. In vivo, 4 Gy rat whole body irradiation demonstrated that sustained marrow stromal (mesenchymal stem) cells survived in the bone marrow. Immediate artificial dermis application impregnated with cells and the cytokine over the 20 Gy irradiated skin and soft tissues demonstrated the significantly improved fat angiogenesis, architected dermal reconstitution, and less inflammatory epidermal recovery. Detailed understanding of underlying diseases and rational reconstructive procedures brings about good outcomes for difficult irradiated wound healing. Adipose-derived stem cells are also implicated in the limited local injuries for short cell harvesting and processing time in the same subject. Copyright © 2010 Health Physics Society.",Included,0.039724424
