Unnamed: 0,titleabstract,decision,prediction
1648,The biological behaviour of the transmissible venereal tumour in immunosuppressed dogs,Excluded,0.9247221
1649,"Simplified screening for immune complexes by laser nephelometry of ultracentrifuged serum. Serum samples were drawn from 14 healthy volunteers after an overnight fast and again after a meal. Each sample was divided into two aliquots. One aliquot was centrifuged at 20,000 rpm for 20 min, and a portion from the middle of the tube was removed by puncturing the tube's side. All samples were then added to cuvettes containing 0.14 M NaCl alone or 1, 2, 3, or 4% polyethylene glycol in 0.15 M KCl. The light scattering of each tube was measured. The centrifuged samples scattered 58% less light than the uncentrifuged controls. The range of values obtained with the centrifuged samples was also smaller as reflected in the standard deviation of the means obtained at each polyethylene glycol concentration. The coefficient of variation for replicate samples ranged from 0 to 16.6% (mean 5.8%), even when samples were processed differently. Storage at -70 degrees C significantly increased light scattering compared to baseline values. Serum samples were drawn from 44 patients with diseases that have been associated with immune complexes. Nephelometry selectively identified some groups of patients as abnormal. We conclude that preparative ultracentrifugation removes much of the background light scattering of serum samples, including that due to lipid, under conditions that do not sediment out immune complexes. Because it measures a physical property of immune complexes, this assay may provide information that is not available from biological receptor-based assays.",Excluded,0.10539675
1650,"Postirradiation sarcoma of the head and neck: a report of three late sarcomas following therapeutic irradiation for primary malignancies of the paranasal sinus, nasal cavity, and larynx. Sarcoma of the head and neck region following irradiation for primary malignancy other than retinoblastoma has rarely been reported. Three cases of postirradiation sarcoma arising in the head and neck region following definitive radiotherapy for primary malignancies of the nasal cavity, paranasal sinuses, and larynx are presented. The intervals from initial radiation to diagnosis of sarcoma were 10 years, 10 1/2 years, and 12 1/2 years, respectively. The dosage ranged from 6000--6400 rads using conventional fractionation (1750--1811 ret) on a 60Cobalt teletherapy unit. Methotrexate (25 mg I. V. every three days for seven doses) was utilized during the initial course of radiation in two of the three patients. The cases conform well to established criteria for the diagnosis of radiation-induced sarcoma. Postirradiation sarcoma of the head and neck region is a remote hazard that must be weighed against the benefits of curative radiation therapy, particularly when treating in the presence of bone disease or when treating retinoblastoma or benign lesions.",Excluded,0.8770942
1651,"Patterns of relapse following surgery and postoperative intensity modulated radiotherapy for oral and oropharyngeal cancer. Background. To investigate the patterns of relapse following intensity modulated radiotherapy (IMRT) given after radical surgery for oral and oropharyngeal squamous cell cancer. Patients and methods. One hundred and two patients with oral or oropharyngeal cancer were treated with radical surgery followed by IMRT up to a mean total dose of 60 Gy between years 2001 and 2007. Thirty-nine of the patients (%) also received concomitant weekly cisplatin. Forty of the patients had oral and 62 had oropharyngeal cancer. Data on the tumour, patient and treatment factors were collected. Following therapy the patients were followed by clinical examination, endoscopy and MRI/CT at 2- to 3-months interval up to 2 years and thereafter at 6-month intervals. Results. The mean follow-up time of the patients was 55 months (range, 26-106 months). The rate for local tumour control for the whole cohort was 92.2%: 87.5% for oral cancer patients and 96.7% for oropharyngeal cancer patients. The 5-year disease specific survival was 90.2% and 5-year overall survival 84.3%. During the follow-up eight locoregional recurrences were observed, three at the primary tumour site and one at regional nodal site and four at both sites. The mean time to primary tumour recurrence was seven months (range, 2-10 months) and to nodal recurrence seven months (range, 2-12 months). Distant metastasis occurred in six (6%) patients. The factors associated with poor prognosis were the primary tumour size and tumour site with oral cancers having worse outcome. The treatment was well tolerated with no unexpected toxicities. The most frequent late toxicity was dysphagia necessitating permanent PEG in five patients. This was correlated with the advanced primary tumour size and resulting in wide tumour excision and reconstruction. Conclusions. Surgery combined with postoperative radiotherapy given as IMRT results in low level of tumour recurrence. © 2011 Informa Healthcare.",Excluded,0.2773207
1652,"Comparison of two fixed activities of radioiodine therapy (370 vs. 555 MBq) in patients with Graves' disease. OBJECTIVE: Radioiodine therapy is the most commonly used therapy for patients with Graves' disease (GD) in the United Kingdom. It is considered safe, effective and relatively inexpensive. The aim of our study was to examine the outcome of 131Iodine therapy in patients with GD when two different activities of 131Iodine were used., DESIGN: A retrospective audit was undertaken to compare the efficacy of 370 (10 millicuries) versus 555MBq (15 millicuries) radioiodine therapy in patients with Graves' disease over a period of ten years., RESULTS: Overall, 90% of the patients had a successful outcome from treatment with no significant difference in the success rate between the lower and higher activities or between genders., CONCLUSIONS: 555 MBq of radioiodine was no more effective than 370 MBq in managing patients with Graves' disease. We therefore recommend that the higher activity should not be routinely used in these patients.",Excluded,0.112296045
1653,"CyberKnife radiosurgery for breast cancer spine metastases: A matched-pair analysis. BACKGROUND. There are few options for breast cancer patients with spinal metastases recurrent within a previous radiation treatment field. CyberKnife radiosurgery has been used in our institution to treat such patients. To evaluate their outcomes, as there are no comparable radiation treatment options, the outcomes were compared between 18 patients with spinal metastases from breast cancer treated with CyberKnife stereotactic radiosurgery, 17 of which had prior radiotherapy to the involved spinal region and were progressing, and 18 matched patients who received conventional external beam radiotherapy (CRT) up-front for spinal metastases. METHODS. Radiosurgery was delivered in 3 to 5 fractions to doses ranging from 2100 to 2800 cGy. Women were matched to patients in a CRT group with respect to time from original diagnosis to diagnosis of metastases, estrogen receptor / progesterone receptor (ER/PR) status, presence or absence of visceral metastases, prior radiotherapy, and prior chemotherapy. Survival and complications were compared between treatment groups. Surviving patients were followed out to 24 months. RESULTS. The CyberKnife and CRT groups were comparable along all matching dimensions and in performance status before treatment. Outcomes of treatment were similar for patients in both groups; ambulation, performance status, and pain worsened similarly across groups posttreatment. Survival and the number of complications appeared to favor the CyberKnife group, but the differences did not reach statistical significance. CONCLUSIONS. The statistical comparability of the CyberKnife and CRT groups reflects the small sample size and stringent requirements for significance of the matched-pair analysis. Nevertheless, comparability in these difficult cases shows that salvage CyberKnife treatment is as efficacious as initial CRT without added toxicity. © 2007 American Cancer Society.",Excluded,0.4847885
1654,"Simulation of inflorescence dynamics in oil palm and estimation of environment-sensitive phenological phases: a model based analysis. For oil palm, yield variation is in large part due to variation in the number of harvested bunches. Each successively-produced phytomer carries a female (productive), male or aborted inflorescence. Since phytomer development takes 3-4 years and nearly two phytomers are produced per month, many inflorescences develop in parallel but have different phenological stages. Environment-dependent developmental rate, sex and abortion probability determine bunch productivity, which, in turn, affects other phytomers via source-sink relationships. Water deficit, solar radiation, temperature and day length are considered key external factors driving variation. Their impact is difficult to predict because of system complexity. To address this question we built a simple model (ECOPALM) to simulate the variation in number of harvested bunches. In this model, trophic competition among organs, expressed through a plant-scale index (Ic), drives sex determination and inflorescence abortion during specific sensitive phases at phytomer level. As a supplemental hypothesis, we propose that flowering is affected by photoperiod at phytomer level during a sensitive phase, thus, contributing to seasonal production peaks. The model was used to determine by parameter optimisation the influence of Ic and day length on inflorescence development and the stages at which inflorescences are sensitive to these signals. Parameters were estimated against observation of number of harvested bunches in Ivory Coast using a genetic algorithm. The model was then validated with field observations in Benin and Indonesia. The sensitive phases determined by parameter optimisation agreed with independent experimental evidence, and variation of Ic explained both sex and abortion patterns. Sex determination seemed to coincide with floret meristem individualisation and occurred 29-32 months before bunch harvest. The main abortion stage occurred 10 months before harvest - at the beginning of rapid growth of the inflorescence. Simulation results suggest involvement of photoperiod in the determination of bunch growth dynamics. This study demonstrates that simple modelling approaches can help extracting ecophysiological information from simple field observations on complex systems.",Excluded,0.0989943
1655,"Prospective evaluation of early treatment outcome in patients with meningiomas treated with particle therapy based on target volume definition with MRI and 68Ga-DOTATOC-PET. Purpose. To evaluate early treatment results and toxicity in patients with meningiomas treated with particle therapy. Material and methods. Seventy patients with meningiomas were treated with protons (n = 38) or carbon ion radiotherapy (n = 26). Median age was 49 years. Median age at treatment was 55 years, 24 were male (34%), and 46 were female (66%). Histology was benign meningioma in 26 patients (37%), atypical in 23 patients (33%) and anaplastic in four patients (6%). In 17 patients (24%) with skull base meningiomas diagnosis was based on the typical appearance of a meningioma. For benign meningiomas, total doses of 52.2-57.6 GyE were applied with protons. For high-grade lesions, the boost volume was 18 GyE carbon ions, with a median dose of 50 GyE applied as highly conformal radiation therapy. Nineteen patients were treated as re-irradiation. Treatment planning with MRI and 68-Ga-DOTATOC-PET was evaluated. Results. Very low rates of side effects developed, including headaches, nausea and dizziness. No severe treatment-related toxicity was observed. Local control for benign meningiomas was 100%. Five of 27 patients (19%) developed tumor recurrence during follow-up. Of these, four patients had been treated as re-irradiation for recurrent high-risk meningiomas. Actuarial local control after re-irradiation of high-risk meningiomas was therefore 67% at six and 12 months. In patients treated with primary radiotherapy, only one of 13 patients (8%) developed tumor recurrence 17 months after radiation therapy (photon and carbon ion boost). Conclusion. Continuous prospective follow-up and development of novel study concepts are required to fully exploit the long-term clinical data after particle therapy for meningiomas. To date, it may be concluded that when proton therapy is available, meningioma patients can be offered a treatment at least comparable to high-end photon therapy.Copyright © 2013 Informa Healthcare.",Excluded,0.9168466
1656,"Detection of Upper Tract Urothelial Malignancies by Computed Tomography Urography in Patients Referred for Hematuria at a Large Tertiary Referral Center. Objective To evaluate the age-stratified prevalence of upper tract urothelial malignancies diagnosed on computed tomography urography in a large cohort of patients referred for initial evaluation of hematuria. Materials and Methods A total of 1123 consecutive adults without a history of urothelial cancer underwent initial computed tomography urography for gross hematuria (n = 652), microscopic hematuria (n = 457), or unspecified hematuria (n = 14) at a single institution from October 2006 to October 2012. Imaging findings suggestive of urothelial lesions were correlated with clinical information, including cystoscopy, cytology, and surgical pathology reports. Patients subsequently diagnosed with urothelial cancer following a normal radiographic evaluation were identified and analyzed. Age, gender, smoking history, and location and type of malignancy were analyzed. Results Upper tract urothelial cancer was detected in 4 (0.36%) patients, with a mean age of 66.5 years. All 4 patients presented with gross hematuria and were current or former smokers. None of the 535 patients under age 55 who underwent computed tomography urography were diagnosed with upper tract disease regardless of age, smoking history, or degree of hematuria. Likewise, no upper tract cancers were detected in patients referred for microscopic hematuria, regardless of age. Conclusion Detection of upper tract urothelial cancer by computed tomography urography is exceedingly rare in patients presenting at a tertiary referral center with hematuria, particularly in the lower risk strata (younger age, microscopic hematuria). Further investigation into risk-stratified approaches to imaging for hematuria workup is warranted to minimize unnecessary costs and radiation exposure.Copyright © 2016 Elsevier Inc.",Excluded,0.11256615
1657,"Loss of poly(ADP-ribose) polymerase-1 causes increased tumour latency in p53-deficient mice. PARP-1-deficient mice display a severe defect in the base excision repair pathway leading to radiosensitivity and genomic instability. They are protected against necrosis induced by massive oxidative stress in various inflammatory processes. Mice lacking p53 are highly predisposed to malignancy resulting from defective cell cycle checkpoints, resistance to DNA damage-induced apoptosis as well as from upregulation of the iNOS gene resulting in chronic oxidative stress. Here, we report the generation of doubly null mutant mice. We found that tumour-free survival of parp-1(-/-)p53(-/-) mice increased by 50% compared with that of parp- 1(+/+)p53(-/-) mice. Tumour formation in nude mice injected with oncogenic parp-1(-/-)p53(-/-) fibroblasts was significantly delayed compared with parp-1(+/+)p53(-/-) cells. Upon gamma-irradiation, a partial restoration of S-phase radiosensitivity was found in parp-1(-/-)p53(-/-) primary fibroblasts compared with parp-1(+/+)p53(-/-) cells. In addition, iNOS expression and nitrite release were dramatically reduced in the parp-1(-/-)p53(-/-) mice compared with parp-1(+/+)p53(-/-) mice. The abrogation of the oxydated status of p53(-/-) cells, due to the absence of parp-1, may be the cause of the delay in the onset of tumorigenesis in parp-1(-/-)p53(-/-) mice.",Excluded,0.8844824
