,Unnamed: 0,titles,abstracts,decision,titleabstract
0,0,ATM kinase inhibition preferentially sensitizes p-mutant glioma ionizing radiation,"PURPOSE: Glioblastoma multiforme (GBM) lethal form brain cancer median survival   months. Current standard treatment consists surgery followed chemoradiation. The poor survival patients GBM due aggressive tumor invasiveness, inability remove tumor tissue, innate tumor chemo- radioresistance. Ataxia-telangiectasia mutated (ATM) excellent target radiosensitizing GBM critical role regulating DNA damage response p, among cellular processes. As first step toward goal, recently showed novel ATM kinase inhibitor KU- reduced migration, invasion, growth, potently radiosensitized human glioma cells vitro. EXPERIMENTAL DESIGN: Using orthotopic xenograft models GBM, show KU- also effective radiosensitizer vivo. Human glioma cells expressing reporter genes monitoring tumor growth dispersal grown intracranially, KU- administered intratumorally convection-enhanced delivery osmotic pump. RESULTS: Our show combined effect KU- radiation significantly increased survival mice - -fold controls. Importantly, show glioma mutant p much sensitive KU- radiosensitization genetically matched wild-type glioma. CONCLUSIONS: Taken together, suggest ATM kinase inhibitor may effective radiosensitizer adjuvant therapy patients mutant p brain cancers.",Excluded,"ATM kinase inhibition preferentially sensitizes p-mutant glioma ionizing radiation. PURPOSE: Glioblastoma multiforme (GBM) lethal form brain cancer median survival   months. Current standard treatment consists surgery followed chemoradiation. The poor survival patients GBM due aggressive tumor invasiveness, inability remove tumor tissue, innate tumor chemo- radioresistance. Ataxia-telangiectasia mutated (ATM) excellent target radiosensitizing GBM critical role regulating DNA damage response p, among cellular processes. As first step toward goal, recently showed novel ATM kinase inhibitor KU- reduced migration, invasion, growth, potently radiosensitized human glioma cells vitro. EXPERIMENTAL DESIGN: Using orthotopic xenograft models GBM, show KU- also effective radiosensitizer vivo. Human glioma cells expressing reporter genes monitoring tumor growth dispersal grown intracranially, KU- administered intratumorally convection-enhanced delivery osmotic pump. RESULTS: Our show combined effect KU- radiation significantly increased survival mice - -fold controls. Importantly, show glioma mutant p much sensitive KU- radiosensitization genetically matched wild-type glioma. CONCLUSIONS: Taken together, suggest ATM kinase inhibitor may effective radiosensitizer adjuvant therapy patients mutant p brain cancers."
3,3,Effects coenzyme Q radiationinduced acute renal liver injuries rats,"Objective: Coenzyme Q (CoQ), one main cofactors oxidative phosphorylation mitochondria, known anti-oxidative effects used certain diseases heart failure, Parkinson's disease Alzheimer's disease purpose. Oxidative stress-induced acute toxic effects seen tissues organs radiation therapy. In previous studies, CoQ shown protective oxidative stress particularly organs heart, liver kidney. In study effects coenzyme Q acute oxidative renal liver injuries radiation induced rats investigated. Material(s) Method(s): The rats randomly divided four groups group included  rats; group  (Control group), group  (intraperitoneally CoQ administered), group  (radiation applied) group  (both radiation applied intraperitoneally CoQ administered). Rats administered dose mg/kg/day CoQ intraperitoneally, underwent radiation therapy posterior portal covering thorax abdomen. Malondialdehyde (MDA) CoQ levels activities superoxide dismutase, glutathione peroxidase, catalase enzymes renal tissue studied. Result(s): MDA levels significantly increased CoQ levels significantly decreased liver kidney tissues radiation applied group compared control group (p <.). Conclusion(s): These show CoQ adequate protective antioxidant effects acute renal liver tissue injuries radiation induced rats.",Included,"Effects coenzyme Q radiationinduced acute renal liver injuries rats. Objective: Coenzyme Q (CoQ), one main cofactors oxidative phosphorylation mitochondria, known anti-oxidative effects used certain diseases heart failure, Parkinson's disease Alzheimer's disease purpose. Oxidative stress-induced acute toxic effects seen tissues organs radiation therapy. In previous studies, CoQ shown protective oxidative stress particularly organs heart, liver kidney. In study effects coenzyme Q acute oxidative renal liver injuries radiation induced rats investigated. Material(s) Method(s): The rats randomly divided four groups group included  rats; group  (Control group), group  (intraperitoneally CoQ administered), group  (radiation applied) group  (both radiation applied intraperitoneally CoQ administered). Rats administered dose mg/kg/day CoQ intraperitoneally, underwent radiation therapy posterior portal covering thorax abdomen. Malondialdehyde (MDA) CoQ levels activities superoxide dismutase, glutathione peroxidase, catalase enzymes renal tissue studied. Result(s): MDA levels significantly increased CoQ levels significantly decreased liver kidney tissues radiation applied group compared control group (p <.). Conclusion(s): These show CoQ adequate protective antioxidant effects acute renal liver tissue injuries radiation induced rats."
6,6,Electrical stimulation primary somatosensory cortex inhibits spinal dorsal horn neuron activity,"Cortical stimulation demonstrated alleviate certain pain conditions. The aim study determine responses spinal cord dorsal horn neurons stimulation primary somatosensory cortex (SSC). We hypothesized direct stimulation SSC inhibit activity spinal dorsal horn neurons activating descending inhibitory system. Thirty-four wide dynamic range spinal dorsal horn neurons recorded response graded mechanical stimulation (brush, pressure, pinch) respective receptive fields stepwise electrical stimulation ( Hz, . ms, , ,  V) applied SSC bipolar tungsten electrode. The responses brush control,  V,  V,  V, recovery . +/- ., . +/- ., . +/- ., . +/- ., . +/- . spikes/s, respectively. The responses pressure control,  V,  V,  V, recovery . +/- ., . +/- ., . +/- ., . +/- ., . +/- . spikes/s, respectively. The responses pinch control,  V,  V,  V, recovery . +/- ., . +/- ., . +/- ., . +/- ., . +/- . spikes/s, respectively. Significant decreases dorsal horn neuronal responses pressure pinch observed SSC stimulation. It concluded electrical stimulation SSC produces transient inhibition responses spinal cord dorsal horn neurons higher intensity mechanical stimuli without affecting innocuous stimuli.",Excluded,"Electrical stimulation primary somatosensory cortex inhibits spinal dorsal horn neuron activity. Cortical stimulation demonstrated alleviate certain pain conditions. The aim study determine responses spinal cord dorsal horn neurons stimulation primary somatosensory cortex (SSC). We hypothesized direct stimulation SSC inhibit activity spinal dorsal horn neurons activating descending inhibitory system. Thirty-four wide dynamic range spinal dorsal horn neurons recorded response graded mechanical stimulation (brush, pressure, pinch) respective receptive fields stepwise electrical stimulation ( Hz, . ms, , ,  V) applied SSC bipolar tungsten electrode. The responses brush control,  V,  V,  V, recovery . +/- ., . +/- ., . +/- ., . +/- ., . +/- . spikes/s, respectively. The responses pressure control,  V,  V,  V, recovery . +/- ., . +/- ., . +/- ., . +/- ., . +/- . spikes/s, respectively. The responses pinch control,  V,  V,  V, recovery . +/- ., . +/- ., . +/- ., . +/- ., . +/- . spikes/s, respectively. Significant decreases dorsal horn neuronal responses pressure pinch observed SSC stimulation. It concluded electrical stimulation SSC produces transient inhibition responses spinal cord dorsal horn neurons higher intensity mechanical stimuli without affecting innocuous stimuli."
9,9,Treatment primary CNS lymphoma: next step,"PURPOSE: The use preradiotherapy (RT) methotrexate (MTX) improved disease control survival patients primary CNS lymphoma (PCNSL). The reported protocol designed optimize enhance chemotherapeutic component treatment. PATIENTS AND METHODS: Fifty-two patients treated five cycles high-dose MTX . g/m(), procarbazine  mg/m()/d, vincristine . mg/m(). Thirty patients received whole-brain RT ( Gy). Twenty-two older patients deferred RT diminish risk delayed neurotoxicity; patients compared  older patients completed entire treatment regimen. Most patients (n = ) received high-dose cytarabine RT. RESULTS: Objective response rate induction chemotherapy regimen %; overall median survival  months. Grade   myelosuppression seen  patients, primarily association cytarabine; grade  nephrotoxicity due MTX seen two patients. Older patients similar median survival without addition RT:  versus  months, respectively. However, late neurotoxicity significantly common older patients received RT (P: =.). Patients younger  years received complete treatment regimen reached median disease-free overall survival. CONCLUSION: Increasing dose MTX adding procarbazine vincristine improved disease control overall survival patients newly diagnosed PCNSL. Younger patients particular fared extremely well treatment regimen. In older patients, deferring whole-brain RT compromise overall survival reduce treatment-related toxicity.",Excluded,"Treatment primary CNS lymphoma: next step. PURPOSE: The use preradiotherapy (RT) methotrexate (MTX) improved disease control survival patients primary CNS lymphoma (PCNSL). The reported protocol designed optimize enhance chemotherapeutic component treatment. PATIENTS AND METHODS: Fifty-two patients treated five cycles high-dose MTX . g/m(), procarbazine  mg/m()/d, vincristine . mg/m(). Thirty patients received whole-brain RT ( Gy). Twenty-two older patients deferred RT diminish risk delayed neurotoxicity; patients compared  older patients completed entire treatment regimen. Most patients (n = ) received high-dose cytarabine RT. RESULTS: Objective response rate induction chemotherapy regimen %; overall median survival  months. Grade   myelosuppression seen  patients, primarily association cytarabine; grade  nephrotoxicity due MTX seen two patients. Older patients similar median survival without addition RT:  versus  months, respectively. However, late neurotoxicity significantly common older patients received RT (P: =.). Patients younger  years received complete treatment regimen reached median disease-free overall survival. CONCLUSION: Increasing dose MTX adding procarbazine vincristine improved disease control overall survival patients newly diagnosed PCNSL. Younger patients particular fared extremely well treatment regimen. In older patients, deferring whole-brain RT compromise overall survival reduce treatment-related toxicity."
12,12,Role gamma knife therapy management pituitary tumors,". Gamma knife therapy effective method delivering radiation pituitary tumors failed surgery may used primary treatment circumstances patient refuses unsuitable transsphenoidal procedure. . Stereotactic radiosurgery gamma knife unit generally administered single session unlike fractionated radiotherapy, administered four five times per week -week period. . Preliminary data suggest resolution pituitary hypersecretion faster gamma knife therapy conventional radiotherapy. . Because nature gamma knife therapy fact radiation dose conforms tumor shape, steep fall-off radiation surrounding tissue. Accordingly, radiation dose extrapituitary brain substantially less gamma knife radiosurgery conventional radiotherapy. This suggests development second brain tumors neurocognitive complications, significant risks conventional radiotherapy, much less likely gamma knife surgery. . Gamma knife radiosurgery used ablate tumors invading cavernous sinus. . Gamma knife radiosurgery safe long dose radiation optic structures kept  Gy. . Long-term follow-up required pituitary tumors treated gamma knife therapy determine efficacy well effects pituitary function resultant complications. [References: ]",Excluded,"Role gamma knife therapy management pituitary tumors. . Gamma knife therapy effective method delivering radiation pituitary tumors failed surgery may used primary treatment circumstances patient refuses unsuitable transsphenoidal procedure. . Stereotactic radiosurgery gamma knife unit generally administered single session unlike fractionated radiotherapy, administered four five times per week -week period. . Preliminary data suggest resolution pituitary hypersecretion faster gamma knife therapy conventional radiotherapy. . Because nature gamma knife therapy fact radiation dose conforms tumor shape, steep fall-off radiation surrounding tissue. Accordingly, radiation dose extrapituitary brain substantially less gamma knife radiosurgery conventional radiotherapy. This suggests development second brain tumors neurocognitive complications, significant risks conventional radiotherapy, much less likely gamma knife surgery. . Gamma knife radiosurgery used ablate tumors invading cavernous sinus. . Gamma knife radiosurgery safe long dose radiation optic structures kept  Gy. . Long-term follow-up required pituitary tumors treated gamma knife therapy determine efficacy well effects pituitary function resultant complications. [References: ]"
14,14,Physiological pathological observations rat middle cerebral arteries human AVM tissue cultures following single high-dose gamma irradiation,"In vitro isometric myograph histopathological studies performed rat middle cerebral arteries (MCAs) explore changes contractile capacity following experimental Gamma Knife radiosurgery. Right MCAs treated  Gy  Gy % isodose line, contralateral vessels received  Gy  Gy % isodose region. Survival period varied   months. Reduction contractile capacity irradiated normal rat MCAs detected lumina remained patent. In another study, investigated human AVM tissue cultures order detect genetic phenotypic modifications contributing vessel occlusion irradiation. In culture, proliferation index decreased considerably following -, -, - -Gy irradiation th posttreatment day remained depressed observation period  days. P, pWaf- mdm- mRNA contents elevated significantly irradiation, indicating enhanced apoptosis. Immunohistochemistry revealed vigorous vimentin positivity nonirradiated control AVM cultures, gradually decreased time irradiated specimens. Smooth muscle alpha-actin positivity prominent irradiated cultivated samples, suggesting transformation resting fibroblasts onto activated myofibroblastic elements contractile capacity. This transformation process confirmed appearance TGF-Beta irradiated AVM cell lines also. These data support hypothesis one contributing factors AVM shrinkage obliteration radiosurgery might fibrocyte-myofibroblastic cell transformation vessel wall.",Included,"Physiological pathological observations rat middle cerebral arteries human AVM tissue cultures following single high-dose gamma irradiation. In vitro isometric myograph histopathological studies performed rat middle cerebral arteries (MCAs) explore changes contractile capacity following experimental Gamma Knife radiosurgery. Right MCAs treated  Gy  Gy % isodose line, contralateral vessels received  Gy  Gy % isodose region. Survival period varied   months. Reduction contractile capacity irradiated normal rat MCAs detected lumina remained patent. In another study, investigated human AVM tissue cultures order detect genetic phenotypic modifications contributing vessel occlusion irradiation. In culture, proliferation index decreased considerably following -, -, - -Gy irradiation th posttreatment day remained depressed observation period  days. P, pWaf- mdm- mRNA contents elevated significantly irradiation, indicating enhanced apoptosis. Immunohistochemistry revealed vigorous vimentin positivity nonirradiated control AVM cultures, gradually decreased time irradiated specimens. Smooth muscle alpha-actin positivity prominent irradiated cultivated samples, suggesting transformation resting fibroblasts onto activated myofibroblastic elements contractile capacity. This transformation process confirmed appearance TGF-Beta irradiated AVM cell lines also. These data support hypothesis one contributing factors AVM shrinkage obliteration radiosurgery might fibrocyte-myofibroblastic cell transformation vessel wall."
15,15,Glioma-specific cytotoxic T cells effectively induced subcutaneous vaccination irradiated wild-type tumor cells without artificial cytokine production,"Effective induction systemic antitumor immunity crucial step success immune gene therapy intracerebral gliomas. We examined study ability induce glioma-specific cytotoxic T lymphocytes (CTL) subcutaneous (s.c.) immunization irradiated whole-tumor cell vaccine without artificial cytokine production, also examined vivo efficacy induced CTL rat brain tumor model L gliosarcoma cells. Murine neuroblastoma C cells transduced interleukin- (IL-), IL- granulocyte-macrophage colony-stimulating factor (GM-CSF) gene (C/IL-, C/IL- C/GM-CSF) used cytokine-producers. Glioma-specific CTL activity equivalently induced rats vaccinated s.c. irradiated L, irradiated IL--producing L cells mixed population irradiated L C/IL- cells, activity relatively lower rats vaccinated irradiated L cells mixed either C/IL- C/GM-CSF cells. In rats immunized s.c. irradiated L cells, intracerebral (i.c.) L tumors implanted together either C/IL- C/IL- completely rejected. Pre-established brain tumor also could eliminated s.c. immunization irradiated L cells i.c. transplantation IL--producers. These suggest glioma-specific CTLs could effectively induced s.c. immunization irradiated wild-type tumor cells without artificial cytokine production.",Excluded,"Glioma-specific cytotoxic T cells effectively induced subcutaneous vaccination irradiated wild-type tumor cells without artificial cytokine production. Effective induction systemic antitumor immunity crucial step success immune gene therapy intracerebral gliomas. We examined study ability induce glioma-specific cytotoxic T lymphocytes (CTL) subcutaneous (s.c.) immunization irradiated whole-tumor cell vaccine without artificial cytokine production, also examined vivo efficacy induced CTL rat brain tumor model L gliosarcoma cells. Murine neuroblastoma C cells transduced interleukin- (IL-), IL- granulocyte-macrophage colony-stimulating factor (GM-CSF) gene (C/IL-, C/IL- C/GM-CSF) used cytokine-producers. Glioma-specific CTL activity equivalently induced rats vaccinated s.c. irradiated L, irradiated IL--producing L cells mixed population irradiated L C/IL- cells, activity relatively lower rats vaccinated irradiated L cells mixed either C/IL- C/GM-CSF cells. In rats immunized s.c. irradiated L cells, intracerebral (i.c.) L tumors implanted together either C/IL- C/IL- completely rejected. Pre-established brain tumor also could eliminated s.c. immunization irradiated L cells i.c. transplantation IL--producers. These suggest glioma-specific CTLs could effectively induced s.c. immunization irradiated wild-type tumor cells without artificial cytokine production."
16,16,Selenium content distribution rat tissues irradiated gamma rays,"The effects supplementation selenous yeast ionizing radiation selenium (Se) content distribution evaluated rat tissues (liver, kidney, spleen, heart, muscle, blood, front brain, hind brain, hypothalamus, pituitary, adrenal glands, testes, hair). This study  Se-supplemented (. micrograms Se/d)  placebo adult male Wistar rats. One half animals (eight Se-supplemented eight placebos) irradiated single dose . Gy Co- source sacrificed  irradiation along nonirradiated animals analyzed Se content determination. The data obtained showed selenous yeast supplementation increased Se levels rat tissues (highest increases hypothalamus, %; hind brain, %; spleen, %; adrenal gland, %). Ionizing radiation induced significant changes Se content distribution (decrease liver, blood, hair, femoral muscle, spleen, hypothalamus; increase kidney, testes, adrenal glands, brain placebo group). Supplementation selenous yeast reduces changes Se content distribution irradiation. It seems animal tissue susceptibility oxidative damage may correlated ability retain Se tissues.",Included,"Selenium content distribution rat tissues irradiated gamma rays. The effects supplementation selenous yeast ionizing radiation selenium (Se) content distribution evaluated rat tissues (liver, kidney, spleen, heart, muscle, blood, front brain, hind brain, hypothalamus, pituitary, adrenal glands, testes, hair). This study  Se-supplemented (. micrograms Se/d)  placebo adult male Wistar rats. One half animals (eight Se-supplemented eight placebos) irradiated single dose . Gy Co- source sacrificed  irradiation along nonirradiated animals analyzed Se content determination. The data obtained showed selenous yeast supplementation increased Se levels rat tissues (highest increases hypothalamus, %; hind brain, %; spleen, %; adrenal gland, %). Ionizing radiation induced significant changes Se content distribution (decrease liver, blood, hair, femoral muscle, spleen, hypothalamus; increase kidney, testes, adrenal glands, brain placebo group). Supplementation selenous yeast reduces changes Se content distribution irradiation. It seems animal tissue susceptibility oxidative damage may correlated ability retain Se tissues."
18,18,Radiation dose neuroangiography using image noise reduction technology: population study based  patients,"INTRODUCTION: The study quantify reduction patient radiation dose X-ray imaging technology using image noise reduction system settings neuroangiography assess impact working habits physician. METHODS: Radiation dose data  neuroangiographies  interventional neuroprocedures performed state-of-the-art image processing reference system settings collected period January-June . The system configured extra image noise reduction algorithms system settings, enabled radiation dose reduction without loss image quality. Radiation dose data  neuroangiographies  interventional neuroprocedures collected period January-June . Procedures classified diagnostic interventional. Patient radiation exposure quantified using cumulative dose area product cumulative air kerma. Impact working habits physician quantified using fluoroscopy time number digital subtraction angiography (DSA) images. RESULTS: The optimized system settings provided significant reduction dose indicators versus reference system settings (p<.):   Gy cm() . . Gy neuroangiography,   Gy cm() . . Gy interventional neuroradiology. Differences significant two systems regard fluoroscopy time number DSA images. CONCLUSION: X-ray imaging technology using image noise reduction algorithm system settings provided approximately % radiation dose reduction neuroangiography interventional neuroradiology, without affecting working habits physician.",Excluded,"Radiation dose neuroangiography using image noise reduction technology: population study based  patients. INTRODUCTION: The study quantify reduction patient radiation dose X-ray imaging technology using image noise reduction system settings neuroangiography assess impact working habits physician. METHODS: Radiation dose data  neuroangiographies  interventional neuroprocedures performed state-of-the-art image processing reference system settings collected period January-June . The system configured extra image noise reduction algorithms system settings, enabled radiation dose reduction without loss image quality. Radiation dose data  neuroangiographies  interventional neuroprocedures collected period January-June . Procedures classified diagnostic interventional. Patient radiation exposure quantified using cumulative dose area product cumulative air kerma. Impact working habits physician quantified using fluoroscopy time number digital subtraction angiography (DSA) images. RESULTS: The optimized system settings provided significant reduction dose indicators versus reference system settings (p<.):   Gy cm() . . Gy neuroangiography,   Gy cm() . . Gy interventional neuroradiology. Differences significant two systems regard fluoroscopy time number DSA images. CONCLUSION: X-ray imaging technology using image noise reduction algorithm system settings provided approximately % radiation dose reduction neuroangiography interventional neuroradiology, without affecting working habits physician."
19,19,MR brain radiation injury: Experimental studies cats,"Two six cats receiving small-field, single-dose, brain irradiation  Gy  MeV photons developed brain abnormalities irradiated area MR images   months, respectively, treatment. The lesions high intensity T-weighted images enhance IV administration gadolinium-DTPA. An additional lesion one cats displayed high signal T-weighted images enhanced T-weighted images IV gadolinium-DTPA. Pathologic correlation revealed nonenhancing T-weighted lesions consisted edema demyelinated regions without inflammation gadolinium-enhanced lesion demonstrated necrosis inflammatory infiltrate. Focal brain irradiation may produce noninflammatory demyelination necrosis. These histologic entities may potentially distinguished MR IV gadolinium-DTPA.",Included,"MR brain radiation injury: Experimental studies cats. Two six cats receiving small-field, single-dose, brain irradiation  Gy  MeV photons developed brain abnormalities irradiated area MR images   months, respectively, treatment. The lesions high intensity T-weighted images enhance IV administration gadolinium-DTPA. An additional lesion one cats displayed high signal T-weighted images enhanced T-weighted images IV gadolinium-DTPA. Pathologic correlation revealed nonenhancing T-weighted lesions consisted edema demyelinated regions without inflammation gadolinium-enhanced lesion demonstrated necrosis inflammatory infiltrate. Focal brain irradiation may produce noninflammatory demyelination necrosis. These histologic entities may potentially distinguished MR IV gadolinium-DTPA."
