,decision,titleabstract
0,Included,symptoms years breast cancer radiotherapy data randomised swebcg rt trial postoperative radiotherapy decreases risk local recurrence improves overall survival women breast cancer we limited information radiotherapy induced symptoms years therapy material and between women lymph node negative breast cancer randomised swedish multi institutional trial breast conserving surgery without postoperative radiotherapy in years randomisation group included recurrence free women we collected data study specific questionnaire eight pre selected symptom groups for six symptom groups oedema breast arm erysipelas heart symptoms lung symptoms rib fractures decreased shoulder mobility found similar occurrence groups excess occurrence radiotherapy observed pain breast skin reported occur occasionally survivors undergone radiotherapy surgery versus surgery alone absolute difference p least week radiotherapy group versus absolute difference p daily life analgesic use differ groups ten years postoperative radiotherapy women weekly pain could attributed radiotherapy the symptoms significantly affect daily life thus reduced risk local recurrence seems outweigh risk long term symptoms women
1,Excluded,marked response cisplatin docetaxel temozolomide combination heavily pretreated patient metastatic large cell neuroendocrine lung carcinoma at present clear consensus appropriate treatment approach large cell neuroendocrine carcinoma lung large cell neuroendocrine carcinoma lesions differ nonsmall cell lung carcinomas particularly aggressive clinical behaviour extremely poor prognosis we report year old woman large cell neuroendocrine carcinoma patient progressive stage iv disease chest liver adrenal glands and particularly brain achieved marked response fourth line combination docetaxel cisplatin temozolomide this regimen significantly improved quality life survival the good response obtained heavily pretreated patient adds evidence regarding use temozolomide lung cancer brain metastases lippincott williams wilkins inc
2,Included,low dose total body carbon ion irradiations induce early transcriptional alteration without late alzheimer s disease like pathogenesis memory impairment mice the cause risk factors alzheimer s disease ad largely unknown studies possible radiation induced ad like pathogenesis behavioral consequences important humans exposed ionizing radiation ir various sources it reported total body irradiations tbi cgy low linear energy transfer let x rays mice triggered acute transcriptional alterations genes associated cognitive dysfunctions however unknown whether low doses ir could induce ad like changes late exposure we reported previously cgy x rays induced early transcriptional response several ad related genes hippocampi without late ad like pathogenesis memory impairment mice here studies two low doses cgy high let carbonion irradiations reported on expression ad related genes hippocampi hr tbi cgy induced significant upregulation three genes abca casp chat cgy led marked upregulation one gene chat downregulation three genes apoe ctsd ilalpha and year tbi one gene ilalpha significantly downregulated cgy irradiated animals changes spatial learning ability memory induction ad like pathogenesis detected vivo brain imaging amyloid beta peptide accumulation immunohistochemical staining amyloid precursor protein amyloid beta protein tau phosphorylated tau protein these findings indicate low doses carbon ion irradiations cause behavioral impairment ad like pathological change mice
3,Excluded,dye induced photolesion mammalian retina glial neuronal reactions irradiation presence dye applied extracellular space known produce degenerative features irradiated neurones fibers in present study confirmed potential use procedure lesion technique showing removal degenerating elements part glial reaction lesion the dye rose bengal applied vitreous body rat eye t shaped irradiation pattern projected onto retina within absorption band dye degenerative features restricted irradiated area could readily identified shape retinae examined various survival times showed macrophages invaded damaged area within day mitotic activity reactive glial cells subsequently occurred vicinity wound both cell types identified structural features macrophages also revealed staining technique using dye nile red whereas reactive glial cells immunolabeled antibody directed glial fibrillary acidic protein reactive glial cells helped macrophages gradually remove injured cells damaged processes their main task however appeared scar formation since processes seemed suture lips wound together restore limiting membrane inner retina after months survival time parent ganglion cells disrupted axon bundles retrogradely degenerated regenerating ganglion cell axons also observed these provide new data healing processes retina they demonstrate dye induced photolesion technique used either remove axotomize selected neurones neural networks made optically accessible
4,Excluded,role nanomedicine treatment brain cancer drug delivery cancerous brain challenging task surrounded efficient protective barrier the main hurdles delivery bioactive molecules cancerous brain blood brain barrier bbb invasive nature gliomas drug resistance difficult brain interstitium transportation therefore treatment brain cancer available drug regimen difficult shown little improvement recent years s we searched recent advancements use nanomedicine effective treatment brain cancer we focused use liposomes nanoparticles polymeric micelles dendrimers improve brain cancer therapy s nanomedicines well suited treatment brain cancer owing highly acceptable biological chemical physical properties smaller size nanomedicines also enhances anticancer potential penetration blood brain barrier bbb s recently nanomedicine based approaches developed investigated effective treatment brain cancer some translated clinical practice order attain therapeutic needs gliomas future advancements nanomedicines likely produce significant changes practice brain cancer therapy copyright bentham science publishers
5,Excluded,effect extremely low frequency magnetic fields time related pattern metabolism thiol groups products lipid peroxidation brain mice ukrainian the influence extremely low frequency magnetic fields lipid peroxidation products total thiol groups brain mongrel mice investigated certain changes time organization interrelation studied processes effect magnetic field depending frequency shown
6,Excluded,pion therapy triumf treatment astrocytoma grades pilot study at triumf located university b c campus supratentorial astrocytoma grades treated pions a dimensional spot scanning treatment technique proven practical the accuracy beam alignment system used treatment reproducible daily within mm low pion flux hindered optimal beam shaping soon remedied flux improves the overall median survival observed days date first radiation treatment younger less years significantly better survival older greater years p from base line dose gy photons whole brain gy pion boost doses escalated gy pions localised primary tumour median survival improved days survival curves treated localised pion techniques doses gy significantly better treated schedules pions mixed photons p it appears optimal pion dose brain tumours gy minimum possible maximum gy doses delivered fractions weeks requirements future trials discussed
7,Excluded,development microfluidic platform integrated power splitting waveguides optogenetic neural cell stimulation we present microfluidic platform integrated power splitting waveguides optogenetic neural cell stimulation a liquid core pdms cladding waveguide power splitter integrated neural cell culture chamber provide simple way precise localized optical stimulation the parallel on chip excitation individual neural cells using single optical fiber input demonstrated optogenetic neural cell studies excitation individual waveguide independently controlled pneumatic valves light delivery loss mechanisms waveguides studied characterized the waveguide power splitter platform capable providing sufficient irradiance evoke spikes chr expressing neural cells the system enables high resolution stimulation neural cells controllable manner the microfluidic platform described represents novel methodology studying optogenetics compact integrated system high spatial resolutions
8,Included,radiation protection palmitoyl ascorbic acid glucoside studies dna damage vitro ex vivo vivo oxidative stress vivo a palmitoyl derivative ascorbic acid glucoside palmitoyl ascorbic acid glucoside pasag possess good antioxidant properties examined radioprotection vitro ex vivo vivo models pasag protected plasmid dna gamma radiation induced damages vitro conditions presence mm pasag inhibited disappearance ccc covalently closed circular form plasmid pbr dose modifying factor comet assay studies mouse spleen cells exposed gy gamma radiation ex vivo presence absence pasag revealed cellular dna effectively protected compound radiation induced damages oral administration mg kg body weight pasag mice hour prior gy whole body gamma radiation exposure efficiently protected cellular dna tissues spleen bone marrow blood radiation induced damages indicated alkaline comet assay oxidative stress tissues liver brain mice following whole body exposure various doses gamma radiation gy monitored levels gsh peroxidation lipids found considerably reduced pasag orally administered mg kg body weight mice one hour prior radiation exposure pasag administration improved per cent survival mice following exposure gy whole body gamma radiation thus pasag could act radioprotector vitro ex vivo vivo conditions ionizing radiation exposure
9,Excluded,optogenetic control motor coordination gi o protein coupled vertebrate rhodopsin cerebellar purkinje cells g protein coupled receptors involved modulation complex neuronal networks brain to investigate impact cell specific g i o protein mediated signaling pathway brain function created new optogenetic mouse model g i o protein coupled receptor vertebrate rhodopsin cell specifically expressed aid cre recombinase here use mouse model study functional impact g i o modulation cerebellar purkinje cells pcs we show vivo light activation vertebrate rhodopsin specifically expressed pcs reduces simple spike firing comparable reduction firing observed activation cerebellar g i o coupled gaba b receptors notably light exposure cerebellar vermis freely moving mice changes motor behavior thus studies directly demonstrate spike modulation via g i o mediated signaling cerebellar pcs affects motor coordination show new promising approach studying physiological function g protein coupled receptor mediated signaling cell type specific manner
