,Unnamed: 0.1,Unnamed: 0,decision,titleabstract
0,308,308,Included,"Symptoms - years breast cancer radiotherapy data randomised SWEBCG-RT trial. BACKGROUND: Postoperative radiotherapy decreases risk local recurrence improves overall survival women breast cancer. We limited information radiotherapy-induced symptoms - years therapy. MATERIAL AND METHODS: Between  , women lymph node-negative breast cancer randomised Swedish multi-institutional trial breast conserving surgery without postoperative radiotherapy. In , - years randomisation, group included  recurrence-free women. We collected data study-specific questionnaire eight pre-selected symptom groups. RESULTS: For six symptom groups (oedema breast arm, erysipelas, heart symptoms, lung symptoms, rib fractures, decreased shoulder mobility) found similar occurrence groups. Excess occurrence radiotherapy observed pain breast skin, reported occur [']occasionally['] .% survivors undergone radiotherapy surgery versus .% surgery alone (absolute difference .%; p=.) least week .% radiotherapy group versus .% (absolute difference .%; p=.). Daily life analgesic use differ groups. CONCLUSIONS: Ten  years postoperative radiotherapy   women weekly pain could attributed radiotherapy. The symptoms significantly affect daily life thus reduced risk local recurrence seems outweigh risk long-term symptoms women."
3,3853,47,Excluded,"Marked response cisplatin/docetaxel/temozolomide combination heavily pretreated patient metastatic large cell neuroendocrine lung carcinoma. At present, clear consensus appropriate treatment approach large cell neuroendocrine carcinoma lung. Large cell neuroendocrine carcinoma lesions differ nonsmall cell lung carcinomas particularly aggressive clinical behaviour extremely poor prognosis. We report -year-old woman large cell neuroendocrine carcinoma patient progressive stage IV disease chest, liver, adrenal glands and, particularly, brain, achieved marked response fourth-line combination docetaxel, cisplatin temozolomide. This regimen significantly improved quality life survival. The good response obtained heavily pretreated patient adds evidence regarding use temozolomide patients lung cancer brain metastases. ©  Lippincott Williams & Wilkins, Inc."
4,2922,2922,Included,"Low-dose total-body carbon-ion irradiations induce early transcriptional alteration without late Alzheimer's disease-like pathogenesis memory impairment mice. The cause risk factors Alzheimer's disease (AD) largely unknown. Studies possible radiation-induced AD-like pathogenesis behavioral consequences important humans exposed ionizing radiation (IR) various sources. It reported total-body irradiations (TBI)  cGy low linear energy transfer (LET) X-rays mice triggered acute transcriptional alterations genes associated cognitive dysfunctions. However, unknown whether low doses IR could induce AD-like changes late exposure. We reported previously  cGy X-rays induced early transcriptional response several AD-related genes hippocampi without late AD-like pathogenesis memory impairment mice. Here, studies two low doses (  cGy) high LET carbonion irradiations reported. On expression  AD-related genes hippocampi,  hr TBI,  cGy induced significant upregulation three genes (Abca, Casp, Chat)  cGy led marked upregulation one gene (Chat) downregulation three genes (Apoe, Ctsd, Ilalpha), and,  year TBI, one gene (Ilalpha) significantly downregulated  cGy-irradiated animals. Changes spatial learning ability memory induction AD-like pathogenesis detected vivo brain imaging amyloid-beta peptide accumulation immunohistochemical staining amyloid precursor protein, amyloid-beta protein, tau, phosphorylated tau protein. These findings indicate low doses carbon-ion irradiations cause behavioral impairment AD-like pathological change mice."
6,3930,124,Excluded,"Dye-induced photolesion mammalian retina: glial neuronal reactions. Irradiation presence dye applied extracellular space known produce degenerative features irradiated neurones fibers. In present study, confirmed potential use procedure lesion technique showing removal degenerating elements part glial reaction lesion. The dye Rose Bengal applied vitreous body rat eye T-shaped irradiation pattern projected onto retina within absorption band dye. Degenerative features restricted irradiated area, could readily identified shape. Retinae examined various survival times showed macrophages invaded damaged area within  day, mitotic activity reactive glial cells subsequently occurred vicinity wound. Both cell types identified structural features. Macrophages also revealed staining technique using dye Nile Red, whereas reactive glial cells immunolabeled antibody directed glial fibrillary acidic protein. Reactive glial cells helped macrophages gradually remove injured cells damaged processes. Their main task, however, appeared scar formation, since processes seemed suture lips wound together restore limiting membrane inner retina. After  months' survival time, parent ganglion cells disrupted axon bundles retrogradely degenerated, regenerating ganglion cell axons also observed. These provide new data healing processes retina. They demonstrate dye-induced photolesion technique used either remove axotomize selected neurones neural networks made optically accessible."
9,1361,1361,Excluded,"Role nanomedicine treatment brain cancer. Background: Drug delivery cancerous brain challenging task surrounded efficient protective barrier. The main hurdles delivery bioactive molecules cancerous brain blood brain barrier (BBB), invasive nature gliomas, drug resistance, difficult brain interstitium transportation. Therefore, treatment brain cancer available drug regimen difficult shown little improvement recent years. Method(s): We searched recent advancements use nanomedicine effective treatment brain cancer. We focused use liposomes, nanoparticles, polymeric micelles, dendrimers improve brain cancer therapy. Result(s): Nanomedicines well suited treatment brain cancer owing highly acceptable biological, chemical, physical properties. Smaller size nanomedicines also enhances anticancer potential penetration blood brain barrier (BBB). Conclusion(s): Recently, nanomedicine based approaches developed investigated effective treatment brain cancer. Some translated clinical practice, order attain therapeutic needs gliomas. Future advancements nanomedicines likely produce significant changes practice brain cancer therapy. Copyright ©  Bentham Science Publishers."
12,1246,1246,Excluded,Effect extremely low frequency magnetic fields time-related pattern metabolism thiol groups products lipid peroxidation brain mice. [Ukrainian]. The influence extremely low-frequency magnetic fields lipid peroxidation products total thiol groups brain mongrel mice investigated. Certain changes time organization interrelation studied processes effect magnetic field depending frequency shown.
15,304,304,Excluded,"Pion therapy TRIUMF. Treatment astrocytoma grades  : pilot study. At TRIUMF, (located University B.C. Campus),  patients supratentorial astrocytoma grades   treated pions  . A -dimensional spot-scanning treatment technique proven practical. The accuracy beam alignment system used treatment reproducible daily within  mm. Low pion flux hindered optimal beam shaping soon remedied flux improves. The overall median survival observed ( patients)  days date first radiation treatment. Younger (less  years) patients significantly better survival older (greater  years) patients (p = .). From base line dose  Gy photons whole brain . Gy pion boost, doses escalated  Gy pions localised primary tumour median survival improved   days. Survival curves patients treated localised pion techniques doses  Gy significantly better treated schedules pions mixed photons (p = .). It appears optimal pion dose brain tumours  Gy minimum possible maximum  Gy doses delivered  fractions  weeks. Requirements future trials discussed."
18,2858,2858,Excluded,"Development microfluidic platform integrated power splitting waveguides optogenetic neural cell stimulation. We present microfluidic platform integrated power splitting waveguides optogenetic neural cell stimulation. A liquid-core/PDMS-cladding waveguide power splitter integrated neural cell culture chamber provide simple way precise localized optical stimulation. The parallel on-chip excitation individual neural cells using single optical fiber input demonstrated optogenetic neural cell studies, excitation individual waveguide independently controlled pneumatic valves. Light delivery loss mechanisms waveguides studied characterized. The waveguide power splitter platform capable providing sufficient irradiance evoke spikes ChR-expressing neural cells. The system enables high-resolution stimulation neural cells controllable manner. The microfluidic platform described represents novel methodology studying optogenetics compact integrated system high spatial resolutions."
21,1888,1888,Included,"Radiation protection -palmitoyl ascorbic acid--glucoside: studies DNA damage vitro, ex vivo, vivo oxidative stress vivo. A palmitoyl derivative ascorbic acid -glucoside, -palmitoyl ascorbic acid--glucoside (PAsAG), possess good antioxidant properties, examined radioprotection vitro, ex vivo vivo models. PAsAG protected plasmid DNA gamma-radiation induced damages vitro conditions. Presence . mM PAsAG inhibited disappearance ccc (covalently closed circular) form plasmid pBR dose modifying factor .. Comet assay studies mouse spleen cells exposed  Gy gamma-radiation (ex vivo) presence absence PAsAG revealed cellular DNA effectively protected compound radiation induced damages. Oral administration  mg/kg body weight PAsAG mice  hour prior  Gy whole body gamma-radiation exposure, efficiently protected cellular DNA tissues spleen, bone marrow blood, radiation induced damages indicated alkaline comet assay. Oxidative stress tissues liver brain mice, following whole body exposure various doses gamma-radiation (- Gy), monitored levels GSH peroxidation lipids, found considerably reduced PAsAG orally administered ( mg/kg body weight) mice one hour prior radiation exposure. PAsAG administration improved per cent survival mice following exposure  Gy whole body gamma-radiation. Thus PAsAG could act radioprotector vitro, ex vivo vivo conditions ionizing-radiation exposure."
24,4299,71,Excluded,"Optogenetic control motor coordination Gi/o protein-coupled vertebrate rhodopsin cerebellar Purkinje cells G protein-coupled receptors involved modulation complex neuronal networks brain. To investigate impact cell-specific G(i/o) protein-mediated signaling pathway brain function, created new optogenetic mouse model G(i/o) protein-coupled receptor vertebrate rhodopsin cell-specifically expressed aid Cre recombinase. Here use mouse model study functional impact G(i/o) modulation cerebellar Purkinje cells (PCs). We show vivo light activation vertebrate rhodopsin specifically expressed PCs reduces simple spike firing comparable reduction firing observed activation cerebellar G(i/o)-coupled GABA(B) receptors. Notably, light exposure cerebellar vermis freely moving mice changes motor behavior. Thus, studies directly demonstrate spike modulation via G(i/o)-mediated signaling cerebellar PCs affects motor coordination show new promising approach studying physiological function G protein-coupled receptor-mediated signaling cell type-specific manner."
