,decision,titleabstract
1224,Excluded,"Radiation necrosis or glioma recurrence: is computer-assisted stereotactic biopsy useful? Fifty-one patients with supratentorial glioma treated with external beam radiotherapy (median dose 59.5 Gy) who then demonstrated clinical or radiographic evidence of disease progression underwent stereotactic biopsy to differentiate tumor recurrence from radiation necrosis. The original tumor histological type was diffuse or fibrillary astrocytoma in 21 patients (41%), oligodendroglioma in 13 (26%), and oligoastrocytoma in 17 (33%); 40 tumors (78%) were low-grade (Kernohan Grade 1 or 2). The median time to suspected disease progression was 28 months. Stereotactic biopsy showed tumor recurrence in 30 patients (59%), radiation necrosis in three (6%), and a mixture of both in 17 (33%); one patient (2%) had a parenchymal radiation-induced chondroblastic osteosarcoma. The tumor type at stereotactic biopsy was similar to the original tumor type and was astrocytoma in 24 patients (47%), oligodendroglioma in eight (16%), oligoastrocytoma in 16 (31%), unclassifiable in two (4%), and chondroblastic osteosarcoma in one patient (2%). At biopsy, however, only 19 tumors (37%) were low grade (Kernohan Grade 1 or 2). Subsequent surgery confirmed the stereotactic biopsy histological findings in eight patients. Follow-up examination showed 14 patients alive with a median survival of 1 year for the entire group. Median survival times after biopsy were 0.83 year for patients with tumor recurrence and 1.86 years for patients with both tumor recurrence and radionecrosis; these findings were significantly different (p = 0.008, log-rank test). No patient with radiation necrosis alone died. Other factors associated with reduced survival were a high proportion of residual tumor (p = 0.024), a low proportion of radionecrosis (p < 0.001), and a Kernohan Grade of 3 or 4 (p = 0.005). In conclusion, in patients with previously irradiated supratentorial gliomas in whom radionecrosis or tumor recurrence was clinically or radiographically suspected, results of stereotactic biopsy could be used to differentiate tumor recurrence, radiation necrosis, a mixture of both lesions, or radiation-induced neoplasm. In addition, biopsy results could predict survival rates."
3363,Included,"Combined effect of irradiation and B-vitamins deficiency on the voluntary alcohol consumption in rats The accidents in atomic electric stations took place in many countries. The most severe catastrophe was happened in 1986 in Ukraine. The population in Chernobyl region is suffering both from the consequences of irradiation and polyvitamine deficiency. Can it be related with the increased alcohol consumption observed in that region? To test this hypotheses we have studied the influence of the thiamine and folate deficiency and low dose irradiation and their combination on the voluntary alcohol consumption in rats. 80 adult male rats waiting 140-180 g. were preliminary tested in the conditions of free choice between 10% ethanol and water (triple, during 2 days). Then they were divided into 4 groups (on 20 animals) equal on the alcohol consumption and preference. 2 weeks later they were treated by hidrochythiamine (vitamin B1 antagonist, 1 mg/kg, s.c.) and metotrexate (folic acid antagonist, 200 mg/kg, s.c.) weekly, three times. 2 days following the every administration the some animals were treated by the gamma-irradiation (Co60, 0.25 gray). The groups were: 1- control (isotonic solution of NaCl); 2- irradiation alone; 3- antivitamins; 4- antivitamins + irradiations. Next day following the last irradiation half of animals from every group were sacrificed and vitamins status in their tissues was studied. Others were tested during 14 days individually in situation of free choice between 10% ethanol solution and water. In groups 2-4 the decreased transketolase activity (marker thiamine-dependent enzyme) and thiamine diphosphate level in blood, liver and brain as well as signs of folic deficiency were found. In groups 3 and 4 the alcohol preference index on the first week of post-irradiation testing period increased on 40.8 and 112.7% (p<0.05); on the second week on 19,1 and 81.4% (P <0.05) accordingly. In conclusion, the combination of low dose irradiation and B-vitamins deficiency increases the alcohol preference and consumption in rats. Those factors may be one of the reason of alcohol addiction also in population of Chernobyl region."
1245,Excluded,"Histopathological Findings After Reirradiation Compared to First Irradiation of Spinal Bone Metastases With Stereotactic Body Radiotherapy: A Cohort Study BACKGROUND: Stereotactic body radiotherapy (SBRT) of the spine provides superior tumor control, but vertebral compression fractures are increased and the pathophysiological process underneath is not well understood. Data on histopathological changes, particularly after salvage SBRT (sSBRT) following conventional irradiation, are scarce.OBJECTIVE: To investigate surgical specimens after sSBRT and primary SBRT (pSBRT) regarding histopathological changes.METHODS: We assessed 704 patients treated with spine SBRT 2006 to 2012. Thirty patients underwent salvage surgery; 23 histopathological reports were available. Clinical and histopathological findings were analyzed for sSBRT (69.6%) and pSBRT (30.4%).RESULTS: Mean time to surgery after sSBRT/pSBRT was 8.3/10.3 mo (P = .64). Reason for surgery included pain (sSBRT/pSBRT: 12.5%/71.4%, P = .25), fractures (sSBRT/pSBRT: 37.5%/28.6%, P = .68), and neurological symptoms (sSBRT/pSBRT: 68.8%/42.9%, P = .24). Radiological tumor progression after sSBRT/pSBRT was seen in 71.4%/42.9% (P = .2). Most specimens displayed viable/proliferative tumor (sSBRT/pSBRT: 62.5%/71.4%, P = .68 and 56.3%/57.1%, P = .97). Few specimens showed soft tissue necrosis (sSBRT/pSBRT: 20%/28.6%, P = .66), osteonecrosis (sSBRT/pSBRT: 14.3%/16.7%, P = .89), or bone marrow fibrosis (sSBRT/pSBRT: 42.9%/33.3%, P = .69). Tumor bed necrosis was more common after sSBRT (81.3%/42.9%, P = .066). Radiological tumor progression correlated with viable/proliferative tumor (P = .03/P = .006) and tumor bed necrosis (P = .03). Fractures were increased with bone marrow fibrosis (P = .07), but not with osteonecrosis (P = .53) or soft tissue necrosis (P = .19). Neurological symptoms were common with radiological tumor progression (P = .07), but not with fractures (P = .18).CONCLUSION: For both, sSBRT and pSBRT, histopathological changes were similar. Neurological symptoms were attributable to tumor progression and pathological fractures were not associated with osteonecrosis or tumor progression."
3084,Excluded,"Small cell cancer of the anal canal - Case report of a rare tumor Background: We report on a rare case of small cell cancer located at the anal canal. Case report: A 41-year old woman presented with locally advanced small cell anal cancer and simultaneous hepatic and pulmonal deposits. Due to metastatic disease, chemotherapy with etoposide and cisplatin was performed with mixed response after four cycles of chemotherapy. After application of two additional chemotherapy cycles, locally progressive disease occurred causing symptomatic bowel obstruction. Pelvic irradiation was started and several days later, additional irradiation of cerebral metastases was initiated due to rapid progression of distant disease. Despite adequate local treatment the patient's condition further deteriorated and irradiation was stopped. The patient died 10 months after initial diagnosis due to rapid tumor progression. Conclusion(s): In patients with metastatic small cell anal cancer chemotherapy remains the mainstay of therapy. Radiotherapy exerts additional activity and remains a prime choice to gain local control and ameliorate symptoms. Careful histopathological examination, together with immunohistochemistry, is needed to determine the therapeutic strategy to be followed."
3369,Excluded,"Repolarized macrophages, induced by intermediate stereotactic dose radiotherapy and immune checkpoint blockade, contribute to long-term survival in glioma-bearing mice INTRODUCTION: Glioblastoma multiforme (GBM) is a deadly brain tumor with a short expected median survival, despite current standard-of-care treatment. We explored the combination of intermediate stereotactic dose radiation therapy and immune checkpoint inhibitor therapy as a novel treatment strategy for GBM.METHODS: Glioma xenograft-bearing mice were exposed to high dose brain-directed radiation (10 Gy single exposure) as well as mouse anti-PD-1 antibody. The tumor-bearing animals were randomized to four groups: no treatment, radiation alone, anti-PD-1 alone, and radiation + anti-PD-1. Survival was followed, and tumor growth was monitored using MRI. Immunohistochemistry, gene expression arrays, and flow cytometry were used to characterize the treatment-induced effects. Pharmacologic inhibitors of T-lymphocytes, bone marrow derived macrophages, and microglia were used to assess the respective roles of different immune populations in observed treatment effects.RESULTS: We found the combined treatment with high dose radiation and immunotherapy to be highly effective with a 75% complete pathologic response and dramatically improved survival outcomes. We found both CD8+ T-cells and macrophages to be necessary for the full effect of combined therapy, with T lymphocytes appearing to play a role early on and macrophages mediating a later phase of the combined treatment effect. Radiation treatment appeared to trigger macrophage repolarization, increasing M1/M2 ratio.CONCLUSIONS: These findings point to a novel immunologic mechanism underlying the interaction between radiotherapy and immunotherapy. They also provide the basis for clinical investigation of immunogenic dose radiation in combination with immune checkpoint blockade as a potential treatment approach for newly diagnosed high grade gliomas."
1782,Excluded,"Radiation retinopathy after orbital irradiation for Graves' ophthalmopathy Recent reports indicate that orbital irradiation for Graves' ophthalmopathy is sometimes beneficial, particularly for dysthyroid optic neuropathy, and is not associated with serious complications. We are aware, however, of four patients who were found to have radiation retinopathy after orbital irradiation for Grave's ophthalmopathy. All four patients have decreased central acuity, and three of the four are legally blind in one or both eyes. Computer reconstruction of the dosimetry, based on computed tomography and beam profiles, shows that errors in dosage calculations and radiotherapy technique probably account for the radiation retinopathy in three of the four patients. Radiotherapy for Graves' ophthalmopathy should be administered only by competent radiotherapists who are experienced in the treatment of this disease. Similar errors in dosage calculations and treatment techniques may account for other reports of radiation retinopathy after reportedly safe dosages."
2283,Excluded,"Association of Radioactive Iodine Treatment with Cancer Mortality in Patients with Hyperthyroidism Importance: Radioactive iodine (RAI) has been used extensively to treat hyperthyroidism since the 1940s. Although widely considered a safe and effective therapy, RAI has been associated with elevated risks of total and site-specific cancer death among patients with hyperthyroidism. Objective(s): To determine whether greater organ- or tissue-absorbed doses from RAI treatment are associated with overall and site-specific cancer mortality in patients with hyperthyroidism. Design, Setting, and Participant(s): This cohort study is a 24-year extension of the multicenter Cooperative Thyrotoxicosis Therapy Follow-up Study, which has followed up US and UK patients diagnosed and treated for hyperthyroidism for nearly 7 decades, beginning in 1946. Patients were traced using records from the National Death Index, Social Security Administration, and other resources. After exclusions, 18805 patients who were treated with RAI and had no history of cancer at the time of the first treatment were eligible for the current analysis. Excess relative risks (ERRs) per 100-mGy dose to the organ or tissue were calculated using multivariable-adjusted linear dose-response models and were converted to relative risks (RR = 1 + ERR). The current analyses were conducted from April 28, 2017, to January 30, 2019. Exposures: Mean total administered activity of sodium iodide I 131 was 375 MBq for patients with Graves disease and 653 MBq for patients with toxic nodular goiter. Mean organ or tissue dose estimates ranged from 20 to 99 mGy (colon or rectum, ovary, uterus, prostate, bladder, and brain/central nervous system), to 100 to 400 mGy (pancreas, kidney, liver, stomach, female breast, lung, oral mucosa, and marrow), to 1.6 Gy (esophagus), and to 130 Gy (thyroid gland). Main Outcomes and Measures: Site-specific and all solid-cancer mortality. Result(s): A total of 18805 patients were included in the study cohort, and the mean (SD) entry age was 49 (14) years. Most patients were women (14671 [78.0%]), and most had a Graves disease diagnosis (17615 [93.7%]). Statistically significant positive associations were observed for all solid cancer mortality (n = 1984; RR at 100-mGy dose to the stomach = 1.06; 95% CI, 1.02-1.10; P =.002), including female breast cancer (n = 291; RR at 100-mGy dose to the breast = 1.12; 95% CI, 1.003-1.32; P =.04) and all other solid cancers combined (n = 1693; RR at 100-mGy dose to the stomach = 1.05; 95% CI, 1.01-1.10; P =.01). The 100-mGy dose to the stomach and breast corresponded to a mean (SD) administered activity of 243 (35) MBq and 266 (58) MBq in patients with Graves disease. For every 1000 patients with hyperthyroidism receiving typical doses to the stomach (150 to 250 mGy), an estimated lifetime excess of 19 (95% CI, 3-40) to 32 (95% CI, 5-66) solid cancer deaths could occur. Conclusions and Relevance: In RAI-treated patients with hyperthyroidism, greater organ-absorbed doses appeared to be modestly positively associated with risk of death from solid cancer, including breast cancer. Additional studies are needed of the risks and advantages of all major treatment options available to patients with hyperthyroidism. Copyright © 2019 American Medical Association. All rights reserved."
1676,Included,"Senile amyloidosis and neuron binding antibody in the aging Syrian hamster The effects of age, sex, and irradiation on the genesis of amyloidosis, neuron-binding antibody (NBA), and the concomitant appearance of these two phenomena were studied in a colony of Syrian hamsters. In nonirradiated controls amyloidosis increased in prevalence with age after 12 months, and prevalence was higher in females than in males. Irradiation had the effect of advancing the appearance of amyloidosis to the 7-12 months group but did not intensify the amyloidotic process. IgG binding to the nucleus or cytoplasm of neurons was rare, and, despite the fact that IgM and IgA binding to these structures was present in about one-third of the animals, there was neither an aging nor an irradiation effect. The only statistically significant findings with respect to the concomitant occurrence of amyloid and NBA were negative correlations between nuclear IgM and IgA binding and amyloidosis. Of the various species thus far studied, the hamster is the first in which there has been no aging effect in respect to NBA."
1487,Included,"Postoperative radiation for lung cancer metastatic to the brain PURPOSE: Although resection of single brain metastases and postoperative whole-brain radiation therapy (WBRT) improves survival, compared with treatment using WBRT alone, the value of postoperative WBRT after resection of brain metastases is controversial. We analyzed the largest reported series of lung cancer patients with resected brain metastases to evaluate the impact of postoperative WBRT.MATERIALS AND METHODS: Between 1974 and 1989, 185 patients with non-small-cell lung cancer (NSCLC) underwent resection of brain metastases. Patients who had received preoperative WBRT (23%, 42 of 185) were excluded. The remaining patients were divided into group A (no WBRT; n = 32), group B (patients received WBRT and were prognostically matched to group A; n = 32), and group C (all other WBRT patients; n = 79). Most patients received postoperative doses of 30 Gy in 10 fractions. Higher doses were used in 16% of group B and 18% of group C patients.RESULTS: Overall 5-year survival rates were as follows: group A, 12%; B, 8%; C, 16%. Overall brain failures occurred in 38% of patients in group A, 47% in group B, and 42% in group C. The use of WBRT (group A v groups B plus C) had no apparent impact on survival or on overall brain failure rates. In particular, no improvement in either of these parameters could be demonstrated when group B was compared with group A. Focal failure (defined as failure within the brain adjacent to the site of the resected brain metastases) occurred as follows: group A, 34% (11 of 32); groups B plus C, 23% (25 of 111) (P = .07). WBRT significantly reduced focal failure for patients with adenocarcinoma (group A, 33% [eight of 24]; groups B plus C, 14% [11 of 79]; P = .05). Nonfocal failure (anatomically distinct from the resected metastasis) occurred in 9% of patients in group A (three of 32), 21% in groups B plus C (23 of 111) (P = .07).CONCLUSION: Long-term survival is possible when NSCLC brain metastases are resected. Postoperative WBRT as used in this series only had an impact on the focal control of brain metastases and this effect was of borderline significance. The lack of conclusive benefit supports the need for ongoing randomized trials to test the value of adjuvant postoperative WBRT. Brain failures were relatively common in all three groups of patients, which suggests that doses greater than 30 Gy need to be studied."
489,Excluded,"Characterization of structurally distinct, isoform-selective phosphoinositide 3'-kinase inhibitors in combination with radiation in the treatment of glioblastoma The phosphoinositide 3'-kinase (PI3K)-mediated signaling pathway plays a key role in fundamental cellular functions important in normal cellular homeostasis and malignant transformation. Deregulated signaling through this pathway contributes to development of gliomas and their resistance to radiation and chemotherapy. Targeting the PI3K signaling pathway has thus emerged as a promising approach to successful treatment of gliomas. We assessed the radiosensitizing potential of four small-molecule inhibitors that differ in their activities against specific isoforms of the PI3K 110-kDa catalytic subunit (p110). p110alpha inhibitors blocked phosphorylation of both protein kinase B/Akt and S6 in all cell lines examined, effectively decreased cellular proliferation, and produced additive cytotoxic effects in combination with radiation therapy. The p110beta inhibitor exhibited limited biochemical effects and failed to decrease cellular proliferation or viability as either a single agent or in combination with radiation or rapamycin. In vivo studies examining the effects of the p110alpha inhibitor in combination with radiation indicated a significant reduction in tumor growth rate induced by the combined treatment compared with each treatment modality alone. This translated into a trend toward prolonged time-to-failure for mice in the combination treatment group. In conclusion, PI3K inhibitors are promising agents in the treatment of glioblastomas, especially when used in combination with ionizing radiation."
