StudyId,Title,Authors,PublicationName,AlternateName,Abstract,Url,AuthorAddress,Year,Doi,ReferenceType,Keywords,PdfRelativePath,CustomId,DateTimeStudyAdded,SystematicSearchId,SystematicSearchName,InvestigatorIds,InvestigatorNames,DateTimeOfScreenings,ScreeningDecisions,ScreeningStatus
afbbed55-e8c0-4103-8f86-cb26a60dbc52,Texture analysis for the assessment of structural changes in parotid glands induced by radiotherapy,,,,"BACKGROUND AND PURPOSE: During radiotherapy (RT) for head-and-neck cancer, parotid glands undergo significant anatomic, functional and structural changes which could characterize pre-clinical signs of an increased risk of xerostomia. Texture analysis is proposed to assess structural changes of parotids induced by RT, and to investigate whether early variations of textural parameters (such as mean intensity and fractal dimension) can predict parotid shrinkage at the end of treatment., MATERIAL AND METHODS: Textural parameters and volumes of 42 parotids from 21 patients treated with intensity-modulated RT for nasopharyngeal cancer were extracted from CT images. To individuate which parameters changed during RT, a Wilcoxon signed-rank test between textural indices (first and second RT week; first and last RT week) was performed. Discriminant analysis was applied to variations of these parameters in the first two weeks of RT to assess their power in predicting parotid shrinkage at the end of RT., RESULTS: A significant decrease in mean intensity (1.7 HU and 3.8 HU after the second and last weeks, respectively) and fractal dimension (0.016 and 0.021) was found. Discriminant analysis, based on volume and fractal dimension, was able to predict the final parotid shrinkage (accuracy of 71.4%)., CONCLUSION: Textural features could be used in combination with volume to characterize structural modifications on parotid glands and to predict parotid shrinkage at the end of RT. Copyright © 2013 Elsevier Ireland Ltd. All rights reserved.",,,,,,,,,2023-09-20 11:18:52,ac813d6e-775e-41d1-8e84-c6d079ebe111,export 20092023,52f28b4e-210d-4c16-8305-041afa27acc4,Ilay Oeztuerk,2023-10-16 13:23:11,Included,InsufficientlyScreened
8c8b74ef-a5a3-49d0-a553-4f890f05c02c,Effects of low-level laser therapy on burning mouth syndrome,S ;P. Valenzuela Lopez-Jornet,Journal of oral rehabilitation,Journal of oral rehabilitation,"To investigate low-level laser therapy (LLLT) applied to treat burning mouth syndrome (BMS). This prospective, comparative, partially blinded, single-centre, clinical trial of GaAlAs Laser, with 815 nm wavelength, included 44 BMS patients divided randomly into three groups: Group I (n = 16): GaAlAs laser 815 nm wavelength, 1 W output power, continuous emissions, 4 s, 4 J and fluence rate 133.3 J cm-2 ; Group II (n = 16): GaAlAs infrared laser, 815 nm wavelength, 1 W output power, continuous emissions, 6 s, 6 J and fluence rate 200 J cm-2 ; Group III (n = 12) placebo group, sham laser. All groups received a weekly dose for 4 weeks. Pain intensity was recorded using a 10-cm visual analogue scale; patients responded to the oral health impact profile (OHIP-14), xerostomia severity test and the hospital anxiety-depression scale (HAD). These assessments were performed at baseline, 2 and 4 weeks. LLLT decreased pain intensity and improved OHIP-14 scores significantly from baseline to 2 weeks in groups I and II compared with the placebo group. No statistically significant differences were found from 2 to 4 weeks. Overall improvements in visual analogue scale (VAS) scores from baseline to the end of treatment were as follows: Group I 15.7%; Group II 15.6%; Group III placebo 7.3%. LLLT application reduces symptoms slightly in BMS patients. Copyright © 2016 John Wiley & Sons Ltd.",http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med14&NEWS=N&AN=27893167,,2017,https://dx.doi.org/10.1111/joor.12463,Journal Article,"Adult;Aged;Aged, 80 and over;*Burning Mouth Syndrome/rt [Radiotherapy];Burning Mouth Syndrome/th [Therapy];Female;Humans;*Lasers, Semiconductor/tu [Therapeutic Use];Low-Level Light Therapy/mt [Methods];*Low-Level Light Therapy;Male;Middle Aged;Prospective Studies;Radiation Dosage;Spain;Treatment Outcome;Visual Analog Scale;Xerostomia",,,2023-09-20 11:18:52,ac813d6e-775e-41d1-8e84-c6d079ebe111,export 20092023,,,,,InsufficientlyScreened
56533551-2aa1-4b20-90c2-98ec8960e466,Preclinical studies with the Faure high energy neutron facility: response of pig skin to fractionated doses of fast neutrons (66 MeVp----Be),G. Blekkenhorst;A. Hendrikse;C. Kent;D. Jones;G. J van den Aardweg,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,"The early and late responses of pig skin to fractionated doses of both unfiltered and filtered (i.e. hardened) neutrons using the Faure neutron therapy facility (66 MeVp----Be) were determined and compared with those following fractionated doses with 60Co gamma-rays. Dose-effect curves for the quantal responses of moist desquamation (early epithelial response) and dermal necrosis (late response) were fitted by probit analysis and ED50 values obtained. For a neutron fractionation scheme comprised of 12 fractions in 26 days, and using an unfiltered beam, the ED50 values for moist desquamation and dermal necrosis were 18.67 +/- 2.22 and 22.25 +/- 0.48 Gy, respectively, whereas in the case of the filtered beam, the corresponding ED50 values were 24.78 +/- 1.44 and 23.30 +/- 0.47 Gy. In order to provide a comparison, the values for 24 fractions of 60Co gamma-rays given in 39 days (a clinical protocol used in the Groote Schuur Hospital) were 74.02 +/- 2.92 and 66.72 +/- 1.93 Gy for moist desquamation and dermal necrosis, respectively. For the unfiltered beam, values for the comparative biological effectiveness (CBE) were 3.96 and 3.00 for the early and late skin response, respectively. The corresponding CBE values were for the filtered beam 2.99 and 2.86. These results for the Faure neutron therapy facility can be extrapolated to the human situation with a high degree of confidence, so that the neutron dose which would yield acceptable skin damage in patients may be determined using the data presented here.",http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med3&NEWS=N&AN=2114656,,1990,,Journal Article,"Animals;Cobalt Radioisotopes;Dose-Response Relationship, Radiation;*Fast Neutrons;Female;Male;*Neutrons;Particle Accelerators;*Radiation Injuries, Experimental/et [Etiology];Radiation Tolerance;*Radiotherapy, High-Energy;*Skin/re [Radiation Effects];Swine;Time Factors",,,2023-09-20 11:18:52,ac813d6e-775e-41d1-8e84-c6d079ebe111,export 20092023,,,,,InsufficientlyScreened
fa676134-4529-43b4-b48c-1951ff4ee818,Toxicity Related to Radiotherapy Dose and Targeting Strategy: A Pooled Analysis of Cooperative Group Trials of Combined Modality Therapy for Locally Advanced Non-Small Cell Lung Cancer,,,,"OBJECTIVE: Concurrent chemoradiotherapy (CRT) was the standard treatment for locally advanced NSCLC (LA-NSCLC). This study was performed to examine thoracic radiotherapy (TRT) parameters and their impact on adverse events (AEs)., METHODS: We collected individual patient data from 3600 patients with LA-NSCLC who participated in 16 cooperative group trials of concurrent CRT. The TRT parameters examined included field design strategy (elective nodal irradiation [ENI] versus involved-field [IF] TRT [IF-TRT]) and TRT dose (60 Gy versus >=60 Gy). The primary end point of this analysis was the occurrence of AEs. ORs for AEs were calculated with univariable and multivariable logistic models., RESULTS: TRT doses ranged from 60 to 74 Gy. ENI was not associated with more grade 3 or higher AEs than IF-TRT was (multivariable OR = 0.77, 95% confidence interval [CI]: 0.543-1.102, p = 0.1545). Doses higher than 60 Gy (high-dose TRT) were associated with significantly more grade 3 or higher AEs (multivariable OR = 1.82, 95% CI: 1.501-2.203, p < 0.0001). In contrast, ENI was associated with significantly more grade 4 or higher AEs (multivariable OR = 1.33, 95% CI: 1.035-1.709, p = 0.0258). Doses higher than 60 Gy were also associated with more grade 4 or higher AEs (multivariate OR = 1.42, 95% CI: 1.191-1.700, p = 0.0001). Grade 5 AEs plus treatment-related deaths were more frequent with higher-dose TRT (p = 0.0012) but not ENI (p = 0.099)., CONCLUSIONS: For patients with LA-NSCLC treated with concurrent CRT, IF-TRT was not associated with the overall risk of grade 3 or higher AEs but was associated with significantly fewer grade 4 or higher AEs than ENI TRT. This is likely the result of irradiation of a lesser amount of adjacent critical normal tissue. Higher TRT doses were associated significantly with grade 3 or higher and grade 4 or higher AEs. On the basis of these findings and our prior report on survival, CRT using IF-TRT and 60 Gy (conventionally fractionated) were associated with more favorable patient survival and less toxicity than was the use of ENI or higher radiotherapy doses. Copyright © 2018 International Association for the Study of Lung Cancer. Published by Elsevier Inc. All rights reserved.",,,,,,,,,2023-09-20 11:18:52,ac813d6e-775e-41d1-8e84-c6d079ebe111,export 20092023,,,,,InsufficientlyScreened
42a9dd1b-d707-4df9-897e-c37d13971033,A prospective quality of life study of patients with oral or pharyngeal carcinoma treated with external beam irradiation with or without brachytherapy,,,,"The aim of this longitudinal quality of life (QL) study, was to study tumour-related symptoms and treatment side-effects of patients with oral or oropharyngeal cancer and to determine whether an increased local dose of irradiation (brachytherapy affected QL. The European Organisation for Research and Treatment of Cancer Quality of Life Core Questionnaire (EORTC QLQ-C30), a tumour-specific Head and Neck questionnaire and the Hospital Anxiety and Depression scale (HAD) were used repeatedly during 1 year. There were 105 patients, with a cumulative response rate of 89%. Most symptoms and problems were at their peak 2 or 3 months after the start of treatment. Nutrition and pain were found to be the major problems, and as many as 19-40% reported psychiatric distress. Patients having received additional brachytherapy did not report any increase in QL problems (except for pain) compared with those having had external radiation only. Quality of life does not seem to be affected by the increased irradiation local dose given when brachytherapy is included in the treatment regimen.",,,,,,,,,2023-09-20 11:18:52,ac813d6e-775e-41d1-8e84-c6d079ebe111,export 20092023,,,,,InsufficientlyScreened
a9bc1245-d3fa-4154-ae2c-d0b3805cc5ca,Mesenchymal stem cell therapy for cutaneous radiation syndrome,Sadanori Akita;Akiyoshi Hirano;Kozo Akino;Akira Ohtsuru;Shunichi Yamashita,Health Physics,Health Physics,"Systemic and local radiation injuries caused by nuclear power reactor accidents, therapeutic irradiation, or nuclear terrorism should be prevented or properly treated in order to improve wound management and save lives. Currently, regenerative surgical modalities should be attempted with temporal artificial dermis impregnated and sprayed with a local angiogenic factor such as basic fibroblast growth factor, and secondary reconstruction can be a candidate for demarcation and saving the donor morbidity. Human mesenchymal stem cells and adipose-derived stem cells, together with angiogenic and mitogenic factor of basic fibroblast growth factor and an artificial dermis, were applied over the excised irradiated skin defect and were tested for differentiation and local stimulation effects in the radiation-exposed wounds. The perforator flap and artificial dermal template with growth factor were successful for reconstruction in patients who were suffering from complex underlying disease. Patients were uneventfully treated with minimal morbidities. In the experiments, the hMSCs are strongly proliferative even after 20 Gy irradiation in vitro. In vivo, 4 Gy rat whole body irradiation demonstrated that sustained marrow stromal (mesenchymal stem) cells survived in the bone marrow. Immediate artificial dermis application impregnated with cells and the cytokine over the 20 Gy irradiated skin and soft tissues demonstrated the significantly improved fat angiogenesis, architected dermal reconstitution, and less inflammatory epidermal recovery. Detailed understanding of underlying diseases and rational reconstructive procedures brings about good outcomes for difficult irradiated wound healing. Adipose-derived stem cells are also implicated in the limited local injuries for short cell harvesting and processing time in the same subject. Copyright © 2010 Health Physics Society.",http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=emed11&NEWS=N&AN=358774919,"S. Akita, Department of Plastic and Reconstructive Surgery, Nagasaki University Hospital, 1-7-1 Sakamoto, Nagasaki 852-8501, Japan. E-mail: akitas@hf.rim.or.jp",2010,http://dx.doi.org/10.1097/HP.0b013e3181d3d52c,Journal Article,adipose tissue;aged;animal;conference paper;cytology;female;human;male;*mesenchymal stem cell;metabolism;methodology;middle aged;radiation exposure;*radiation injury/th [Therapy];radiation response;rat;*skin;*skin disease/th [Therapy];stem cell;*stem cell transplantation;cytokine;fibroblast growth factor 2,,,2023-09-20 11:18:52,ac813d6e-775e-41d1-8e84-c6d079ebe111,export 20092023,,,,,InsufficientlyScreened
702764a8-09df-47b7-bf91-95095db020fa,Does Vacuum-assisted Closure Reduce the Risk of Wound Complications in Patients With Lower Extremity Sarcomas Treated With Preoperative Radiation?,Meena Bedi;David M. King;John DeVries;Donald A. Hackbarth;John C Neilson,Clinical orthopaedics and related research,Clinical orthopaedics and related research,"BACKGROUND: Although preoperative radiation followed by wide local excision yields excellent local control in soft tissue sarcomas, the risk of wound complications is reported to be higher compared with the incidence in patients who were administered postoperative radiation therapy. Vacuum (vac)-assisted closure may improve wound healing, but it is unknown whether vac-assisted closure during soft tissue sarcoma resection may reduce the risk of wound complications or impair local disease control., QUESTIONS/PURPOSES: (1) Does the use of a wound vac application at the time of soft tissue sarcoma resection reduce the risk of developing wound complications after lower extremity sarcoma resection? (2) Is vac-assisted closure associated with an increased risk of local relapse?, METHODS: From 2000 to 2016, 312 patients with stage I to III soft tissue sarcomas were treated. Of these, 123 were treated with preoperative radiation +/- chemotherapy followed by limb-sparing resection based on tumor location, size, grade, histology, and patient age. There was a minimum followup of 12 months. Radiation was delivered generally based on tumor size, grade, superficial versus deep nature, and proximity to neurovascular structures. Chemotherapy was administered in patients < 70 years old with high-grade tumors and tumors > 5 cm. Patient, demographic, and treatment variables, including incisional vac application and wound outcomes, were retrospectively evaluated. Incisional vac-assisted closure took place at the time of primary resection in 32% (46 of 123) of patients. Vac-assisted closure was considered when there was a concern for risk of external contamination such as instances in which fixation of adhesives would be difficult or regions where there was a high risk of contamination. Vac-assisted closure may have also been used in instances with increased wound tension at closure or with heightened concern for shearing on the wound such as buttock wounds. Ten patients were lost to followup, two in the vac group and eight in the non-vac group. Potential factors associated with wound complications were evaluated using Fisher's exact test for univariate analysis and logistic regression for multivariate analysis. Local recurrence-free survival was evaluated using the Kaplan-Meier estimate., RESULTS: After taking into consideration factors such as tumor size, location, age, and patient comorbidities, it was shown that patients who underwent vac-assisted closure were less likely to experience wound complications compared with patients who did not undergo vac-assisted closure (odds ratio, 0.129; 95% confidence interval [CI], 0.041-0.398; p = 0.004). The local control incidence in the entire cohort was 98%. With the numbers available, Kaplan-Meier survivorship free from local recurrence did not differ between patients treated with or without the vac (100% [95% CI, 154.09-154.09] versus 96% [95% CI, 152.21-169.16]; p = 0.211), respectively., CONCLUSIONS: Vac-assisted closure at the time of resection of proximal lower extremity soft tissue sarcomas is associated with a lower risk of wound complications, and its use apparently did not compromise local control. We show that the use of vac-assisted closure may be worth considering in surgeons' attempts to reduce the risk of wound complications among patients with soft tissue sarcomas of the proximal lower extremities., LEVEL OF EVIDENCE: Level III, therapeutic study.",http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med16&NEWS=N&AN=30811365,,2019,https://dx.doi.org/10.1097/CORR.0000000000000371,Journal Article,"Adult;Aged;Aged, 80 and over;Female;Humans;Lower Extremity;Male;Middle Aged;Negative-Pressure Wound Therapy/ae [Adverse Effects];*Negative-Pressure Wound Therapy;Neoadjuvant Therapy/ae [Adverse Effects];*Neoadjuvant Therapy;Neoplasm Recurrence, Local;Neoplasm Staging;Osteotomy/ae [Adverse Effects];*Osteotomy;Progression-Free Survival;Radiotherapy, Adjuvant;Retrospective Studies;Risk Factors;Sarcoma/dg [Diagnostic Imaging];Sarcoma/pa [Pathology];*Sarcoma/th [Therapy];Soft Tissue Neoplasms/dg [Diagnostic Imaging];Soft Tissue Neoplasms/pa [Pathology];*Soft Tissue Neoplasms/th [Therapy];Surgical Wound Infection/di [Diagnosis];Surgical Wound Infection/et [Etiology];*Surgical Wound Infection/pc [Prevention & Control];Time Factors;*Wound Healing;Young Adult",,,2023-09-20 11:18:52,ac813d6e-775e-41d1-8e84-c6d079ebe111,export 20092023,,,,,InsufficientlyScreened
61278ddd-34cf-4973-a9ea-895ad5324c5f,Initial evaluation of safety of wide-field irradiation in the treatment of hematopoietic neoplasia in the cat,,Veterinary Radiology and Ultrasound,Veterinary Radiology and Ultrasound,"Localized radiation therapy is well tolerated in cats with confined tumors; however, the use of wide-field radiation therapy to treat disseminated neoplasia has not been evaluated systematically in this species. Wide-field external beam radiation therapy, which we define as irradiation of cranial or caudal halves of the body either individually or sequentially, was undertaken as an experimental option to treat cats with either chemotherapy-refractory or naive hematopoietic neoplasia considered to have a poor prognosis. Fifteen cats with hematopoietic malignancies received wide-field external beam radiation therapy between 2003 and 2006. Cats received 8Gy delivered in 4Gy fractions with 60Co photons. Treatment-related toxicity was scored according to criteria established by the Veterinary Cooperative Oncology Group. Animals without preexisting abnormalities on hemograms exhibited no or mild (Grade 1 or 2) hematopoietic toxicity. Although most cats (14 of 15) had preexisting gastrointestinal (GI) signs, these signs were stable (29%) or improved (42%) following irradiation. Worsening GI signs following irradiation occurred transiently in two cats and in association with progressive disease in two others. No pulmonary, renal, hepatic, or dermatologic toxicities were detected. In summary, wide-field external beam radiation therapy can be administered safely to, and may provide therapeutic benefit for, cats with disseminated hematopoietic neoplasia. © 2010 Veterinary Radiology & Ultrasound.",http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=emed11&NEWS=N&AN=359973896,"B.D. Husbands, Veterinary Medical Center, College of Veterinary Medicine, University of Minnesota, St. Paul, MN 55108, United States. E-mail: husba002@umn.edu",2010,http://dx.doi.org/10.1111/j.1740-8261.2010.01728.x,Journal Article,animal;animal disease;article;blood;*blood disease/dt [Drug Therapy];*blood disease/rt [Radiotherapy];cat;*cat disease/dt [Drug Therapy];*cat disease/rt [Radiotherapy];evaluation;female;male;methodology;radiation dose;radiation injury/ep [Epidemiology];*radiotherapy/ae [Adverse Drug Reaction];standard;treatment outcome,,,2023-09-20 11:18:52,ac813d6e-775e-41d1-8e84-c6d079ebe111,export 20092023,,,,,InsufficientlyScreened
30a76d9e-69db-4f89-8371-32aaae8325d7,Comparison of three fractionation schedules in radiotherapy for early glottic squamous cell carcinoma,,,,"Background/Aim: Radiotherapy is widely accepted as the treatment of choice for early glottic squamous cell carcinoma (EGSCC), although it varies greatly with respect to dose, dose per fraction, and treatment techniques. The study aim was to evaluate the use of accelerated fractionation strategy (AFS) for EGSCC in standard clinical practice. Patients and Methods: Patients treated with definitive radiotherapy for EGSCC between 2008 and 2019 were retrospectively identified and received either conventional fractionation, hypofractionation, or hyperfractionation. Result(s): One hundred six patients were analyzed, and 19, 71, and 16 patients underwent conventional fractionation, hypofractionation, and hyperfractionation, respectively. The median follow-up was 56 months. The 5-year local control and overall survival rates were 79% and 83%; 78% and 79%; and 87% and 77%, respectively, and no significant difference was observed between the fractionation schedules. Conclusion(s): Our findings confirmed the utility of AFS in standard clinical practice and support its use for patients with EGSCC.Copyright © 2020 International Institute of Anticancer Research. All rights reserved.",,,,,,,,,2023-09-20 11:18:52,ac813d6e-775e-41d1-8e84-c6d079ebe111,export 20092023,,,,,InsufficientlyScreened
ce80542d-be4e-40c1-9cd9-0a575f95efdf,A system for focal intracavitary irradiation of bladder cancer with remote iridium-192 afterloading,A. Bex;H. Rubben;H. J. Feldmann;J Ammon,European urology,European urology,"An afterloading system for remote-control focal intracavitary irradiation of bladder cancer is presented. With 192Ir as radiation source, we demonstrated the practicability of the method in 23 chinchilla rabbits. A system for focal intracavitary irradiation of bladder cancer in humans was developed. A guiding tube with an inflatable balloon led to a reproducible vesical diameter. The intravesical part of the tube was shielded with lead and had a slit for focal radiation exposure. Three variant guiding tubes with different positions of the slit were designed to allow irradiation of any part of the bladder. The application is planned in patients with locally advanced tumors who refuse radical cystectomy or who are medically inoperable.",http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med3&NEWS=N&AN=1499634,,1992,,Journal Article,Animals;*Brachytherapy/is [Instrumentation];Catheterization/is [Instrumentation];Female;*Iridium Radioisotopes/tu [Therapeutic Use];Male;Rabbits;Radiotherapy Dosage;*Urinary Bladder Neoplasms/rt [Radiotherapy],,,2023-09-20 11:18:52,ac813d6e-775e-41d1-8e84-c6d079ebe111,export 20092023,,,,,InsufficientlyScreened
