,Unnamed: 0,titles,abstracts,decision,titleabstract
0,0,The degeneration adjacent intervertebral discs negatively influence union rate osteoporotic vertebral fracture: A multicenter cohort study,"Background: With increasing aging population developed countries, associated increased prevalence osteoporotic vertebral fracture (OVF). Many previous reports attempted predict risk delayed union associated OVF. However, role endplate failure degeneration adjacent intervertebral discs, association delayed union received little attention. The aim study evaluate endplate fracture disc degeneration rank risk factors delayed union. Material(s) Method(s): Two hundred eighteen consecutive patients fresh OVF enrolled study. MRI X-ray performed time enrollment  months follow-up. The MR images used assess degeneration grade adjacent intervertebral discs (using modified Pfirrmann grading system), endplate failure. Supine weight-bearing radiographs used define angular motion compression ratio anterior vertebral body wall. Result(s): A total  patients ( female,  male) completed  month follow-up (a .% follow-up rate). The study revealed  cases delayed union (.%). A healthier adjacent caudal disc low grade degeneration found associated increased risk delayed union (P = .). Bi-endplate injury significant compression anterior vertebral body wall significantly associated delayed union (P = ., P = . respectively). Rapid progression adjacent cranial disc degeneration observed end  month follow-up period (P = .). Conclusion(s): Modified Pfirrmann grading system revealed healthier adjacent intervertebral disc caudal level bi-endplate fracture significantly associated increased risk delayed union. These findings may influence management strategy patients OVF.Copyright © ",Excluded,"The degeneration adjacent intervertebral discs negatively influence union rate osteoporotic vertebral fracture: A multicenter cohort study. Background: With increasing aging population developed countries, associated increased prevalence osteoporotic vertebral fracture (OVF). Many previous reports attempted predict risk delayed union associated OVF. However, role endplate failure degeneration adjacent intervertebral discs, association delayed union received little attention. The aim study evaluate endplate fracture disc degeneration rank risk factors delayed union. Material(s) Method(s): Two hundred eighteen consecutive patients fresh OVF enrolled study. MRI X-ray performed time enrollment  months follow-up. The MR images used assess degeneration grade adjacent intervertebral discs (using modified Pfirrmann grading system), endplate failure. Supine weight-bearing radiographs used define angular motion compression ratio anterior vertebral body wall. Result(s): A total  patients ( female,  male) completed  month follow-up (a .% follow-up rate). The study revealed  cases delayed union (.%). A healthier adjacent caudal disc low grade degeneration found associated increased risk delayed union (P = .). Bi-endplate injury significant compression anterior vertebral body wall significantly associated delayed union (P = ., P = . respectively). Rapid progression adjacent cranial disc degeneration observed end  month follow-up period (P = .). Conclusion(s): Modified Pfirrmann grading system revealed healthier adjacent intervertebral disc caudal level bi-endplate fracture significantly associated increased risk delayed union. These findings may influence management strategy patients OVF.Copyright © "
3,3,Low-dose semi-coronal CT sacroiliac joints early diagnosis ankylosing spondylitis,"Background: Imaging modalities essential diagnosis ankylosing spondylitis (AS). Radiographic sacroiliitis requirement  modified New York (mNY) criteria AS disadvantage low sensitivity. MRI advantage detecting active inflammatory lesions criticized low specificity. Computerized tomography (CT) higher diagnostic accuracy radiography detecting structural changes, application limited high radiation dose. The reduction radiation dose achieved decreasing tube current[] previous study demonstrated effective dose (ED) semi-coronal sacroiliac joint (SIJ) CT least six times lower female nearly four times lower male axial SIJ CT[]. Objective(s): To evaluate value low-dose semi-coronal SIJ CT early diagnosis AS. Method(s): Thirty-three patients diagnosed mNY criteria pre-existing axial SIJ CT past two years visible structural damage enrolled. These patients underwent low-dose semi-coronal SIJ CT examination obtained -mm slices,  kV  mAs, gantry tilted -degree cranially. The ED low-dose semi-coronal CT pre-existing conventional axial CT compared. Image qualities low-dose semicoronal CT blind-graded separately  rheumatologists poor, fair, good excellent. And correlation image quality body mass index (BMI) analyzed. The CT scans read blinded manner  rheumatologists trained radiologists. CT scans two groups graded respectively mNY criteria, criteria established Lee[] Innsbruck criteria[]. The kappa coefficient used assess consistency grading two groups. Result(s): Thirty-three patients received low-dose semi-coronal CT examination average ED . mSv, meant % reduction radiation compared pre-existing CT. The quality images male patients BMI< kg/m female patients good excellent. Image qualities assessed poor fair % (/) male patients whose BMI> kg/m. There significant negative correlation image quality BMI (r=-.,P=.). The grading low-dose semi-coronal CT showed differences compared pre-existing CT mNY criteria (see below). For two classification criteria, consistency grading two groups satisfactory (kappa=. Lee criteria; kappa=. Innsbruck criteria; P>.). Conclusion(s): The radiation dose low-dose semi-coronal SIJ CT reduced significantly compared conventional axial SIJ CT acceptable diagnostic efficacy. (Figure Presented).",Excluded,"Low-dose semi-coronal CT sacroiliac joints early diagnosis ankylosing spondylitis. Background: Imaging modalities essential diagnosis ankylosing spondylitis (AS). Radiographic sacroiliitis requirement  modified New York (mNY) criteria AS disadvantage low sensitivity. MRI advantage detecting active inflammatory lesions criticized low specificity. Computerized tomography (CT) higher diagnostic accuracy radiography detecting structural changes, application limited high radiation dose. The reduction radiation dose achieved decreasing tube current[] previous study demonstrated effective dose (ED) semi-coronal sacroiliac joint (SIJ) CT least six times lower female nearly four times lower male axial SIJ CT[]. Objective(s): To evaluate value low-dose semi-coronal SIJ CT early diagnosis AS. Method(s): Thirty-three patients diagnosed mNY criteria pre-existing axial SIJ CT past two years visible structural damage enrolled. These patients underwent low-dose semi-coronal SIJ CT examination obtained -mm slices,  kV  mAs, gantry tilted -degree cranially. The ED low-dose semi-coronal CT pre-existing conventional axial CT compared. Image qualities low-dose semicoronal CT blind-graded separately  rheumatologists poor, fair, good excellent. And correlation image quality body mass index (BMI) analyzed. The CT scans read blinded manner  rheumatologists trained radiologists. CT scans two groups graded respectively mNY criteria, criteria established Lee[] Innsbruck criteria[]. The kappa coefficient used assess consistency grading two groups. Result(s): Thirty-three patients received low-dose semi-coronal CT examination average ED . mSv, meant % reduction radiation compared pre-existing CT. The quality images male patients BMI< kg/m female patients good excellent. Image qualities assessed poor fair % (/) male patients whose BMI> kg/m. There significant negative correlation image quality BMI (r=-.,P=.). The grading low-dose semi-coronal CT showed differences compared pre-existing CT mNY criteria (see below). For two classification criteria, consistency grading two groups satisfactory (kappa=. Lee criteria; kappa=. Innsbruck criteria; P>.). Conclusion(s): The radiation dose low-dose semi-coronal SIJ CT reduced significantly compared conventional axial SIJ CT acceptable diagnostic efficacy. (Figure Presented)."
6,6,Contrast Enhanced Ultrasound Radiation-Free Alternative Fluoroscopic Nephrostogram Evaluating Ureteral Patency,"PURPOSE: We compared contrast enhanced ultrasound fluoroscopic nephrostography evaluation ureteral patency following percutaneous nephrolithotomy., MATERIALS AND METHODS: This prospective cohort, noninferiority study performed obtaining institutional review board approval. We enrolled eligible patients kidney proximal ureteral stones underwent percutaneous nephrolithotomy center. On postoperative day  patients received contrast enhanced ultrasound fluoroscopic nephrostogram within  hours evaluate ureteral patency, primary outcome study., RESULTS: A total  pairs imaging studies performed  patients study period. Five study pairs excluded due technical errors prevented imaging interpretation. Females slightly predominated males mean +/- SD age . +/- . years mean body mass index . +/- . kg/m. Of remaining  sets studies  (.%) demonstrated concordant findings regarding ureteral patency  imaging techniques  (.%) discordant. The nephrostomy tube removed day   patients demonstrated antegrade urine flow contrast enhanced ultrasound subsequent adverse events. No adverse events noted related ultrasound contrast injection. While contrast enhanced ultrasound used ionizing radiation, fluoroscopic nephrostograms provided mean radiation exposure dose . +/- . mGy., CONCLUSIONS: A contrast enhanced ultrasound nephrostogram safely performed evaluate ureteral patency following percutaneous nephrolithotomy. This imaging technique mostly concordant fluoroscopic findings. Most discordance likely attributable higher sensitivity patency contrast enhanced ultrasound compared fluoroscopy. Copyright ©  American Urological Association Education Research, Inc. Published Elsevier Inc. All rights reserved.",Excluded,"Contrast Enhanced Ultrasound Radiation-Free Alternative Fluoroscopic Nephrostogram Evaluating Ureteral Patency. PURPOSE: We compared contrast enhanced ultrasound fluoroscopic nephrostography evaluation ureteral patency following percutaneous nephrolithotomy., MATERIALS AND METHODS: This prospective cohort, noninferiority study performed obtaining institutional review board approval. We enrolled eligible patients kidney proximal ureteral stones underwent percutaneous nephrolithotomy center. On postoperative day  patients received contrast enhanced ultrasound fluoroscopic nephrostogram within  hours evaluate ureteral patency, primary outcome study., RESULTS: A total  pairs imaging studies performed  patients study period. Five study pairs excluded due technical errors prevented imaging interpretation. Females slightly predominated males mean +/- SD age . +/- . years mean body mass index . +/- . kg/m. Of remaining  sets studies  (.%) demonstrated concordant findings regarding ureteral patency  imaging techniques  (.%) discordant. The nephrostomy tube removed day   patients demonstrated antegrade urine flow contrast enhanced ultrasound subsequent adverse events. No adverse events noted related ultrasound contrast injection. While contrast enhanced ultrasound used ionizing radiation, fluoroscopic nephrostograms provided mean radiation exposure dose . +/- . mGy., CONCLUSIONS: A contrast enhanced ultrasound nephrostogram safely performed evaluate ureteral patency following percutaneous nephrolithotomy. This imaging technique mostly concordant fluoroscopic findings. Most discordance likely attributable higher sensitivity patency contrast enhanced ultrasound compared fluoroscopy. Copyright ©  American Urological Association Education Research, Inc. Published Elsevier Inc. All rights reserved."
9,9,Radiation-induced malignancies intensity-modulated versus conventional mediastinal radiotherapy small animal model,"A long-standing hypothesis radiotherapy intensity-modulated radiotherapy (IMRT) increases risk second cancer due low-dose exposure large volumes normal tissue. Therefore, young patients still treated conventional techniques rather modern IMRT. We challenged hypothesis first-of-its-kind experiments using animal model. Cancer-prone Tp+/CX knockout rats received mediastinal irradiation x xGy using volumetric-modulated arc therapy (VMAT, advanced IMRT) conventional anterior-posterior/posterior-anterior (AP/PA) beams using non-irradiated rats controls (n=/group, ntotal=). Tumors assigned volumes receiving -%, -%, -%, <% target dose characterized histology loss-of-heterozygosity (LOH). Irradiated rats predominantly developed lymphomas sarcomas areas receiving -% (n=) rather -% (n=) target dose. Latency significantly shortened xGy vs. controls (p<.). The frequency (/ vs. /; p=.) latency ( vs.  days; p=.) radiation-associated tumors similar VMAT vs. AP/PA. LOH strongly associated sarcoma treatment. The support hypothesis IMRT increases risk second cancer. Thus current practice withholding dose-sparing IMRT young patients may need re-evaluated.",Included,"Radiation-induced malignancies intensity-modulated versus conventional mediastinal radiotherapy small animal model. A long-standing hypothesis radiotherapy intensity-modulated radiotherapy (IMRT) increases risk second cancer due low-dose exposure large volumes normal tissue. Therefore, young patients still treated conventional techniques rather modern IMRT. We challenged hypothesis first-of-its-kind experiments using animal model. Cancer-prone Tp+/CX knockout rats received mediastinal irradiation x xGy using volumetric-modulated arc therapy (VMAT, advanced IMRT) conventional anterior-posterior/posterior-anterior (AP/PA) beams using non-irradiated rats controls (n=/group, ntotal=). Tumors assigned volumes receiving -%, -%, -%, <% target dose characterized histology loss-of-heterozygosity (LOH). Irradiated rats predominantly developed lymphomas sarcomas areas receiving -% (n=) rather -% (n=) target dose. Latency significantly shortened xGy vs. controls (p<.). The frequency (/ vs. /; p=.) latency ( vs.  days; p=.) radiation-associated tumors similar VMAT vs. AP/PA. LOH strongly associated sarcoma treatment. The support hypothesis IMRT increases risk second cancer. Thus current practice withholding dose-sparing IMRT young patients may need re-evaluated."
12,12,Baseline MAPK signaling activity confers intrinsic radioresistance KRAS-mutant colorectal carcinoma cells rapid upregulation heterogeneous nuclear ribonucleoprotein K (hnRNP K),"Heterogeneous nuclear ribonucleoprotein K (hnRNP K) overexpressed malignant tumors involved DNA damage response upon ionizing radiation (IR). Here, investigate role radioresistance colorectal carcinoma (CRC) evaluate pharmacological approach enhance CRC radiosensitivity via downregulation hnRNP K. We show hnRNP K overexpressed CRC tissue specimens upregulated response IR vitro, occurs faster KRAS-mutant CRC cells. HnRNP K knockdown impairs cell survival, cell cycle progression KRAS-dependent radioresistance increases apoptosis. Using chicken chorioallantoic membrane assay, decrease xenograft tumor growth radioresistance upon hnRNP K depletion could verified vivo, comparable effects achieved suppression hnRNP K expression using MEK inhibitor MEK (Binimetinib). In summary, KRAS-mutant CRC shows intrinsic radioresistance along rapid upregulation hnRNP K response IR effectively targeted MEK inhibition. Our point towards possible use MAPK pathway inhibitors decrease radioresistance KRAS-mutant CRC via downregulation hnRNP K.Copyright ©  Elsevier Ireland Ltd",Excluded,"Baseline MAPK signaling activity confers intrinsic radioresistance KRAS-mutant colorectal carcinoma cells rapid upregulation heterogeneous nuclear ribonucleoprotein K (hnRNP K). Heterogeneous nuclear ribonucleoprotein K (hnRNP K) overexpressed malignant tumors involved DNA damage response upon ionizing radiation (IR). Here, investigate role radioresistance colorectal carcinoma (CRC) evaluate pharmacological approach enhance CRC radiosensitivity via downregulation hnRNP K. We show hnRNP K overexpressed CRC tissue specimens upregulated response IR vitro, occurs faster KRAS-mutant CRC cells. HnRNP K knockdown impairs cell survival, cell cycle progression KRAS-dependent radioresistance increases apoptosis. Using chicken chorioallantoic membrane assay, decrease xenograft tumor growth radioresistance upon hnRNP K depletion could verified vivo, comparable effects achieved suppression hnRNP K expression using MEK inhibitor MEK (Binimetinib). In summary, KRAS-mutant CRC shows intrinsic radioresistance along rapid upregulation hnRNP K response IR effectively targeted MEK inhibition. Our point towards possible use MAPK pathway inhibitors decrease radioresistance KRAS-mutant CRC via downregulation hnRNP K.Copyright ©  Elsevier Ireland Ltd"
15,15,"Effect proton-pump inhibitors risk lower gastrointestinal bleeding associated NSAIDs, aspirin, clopidogrel, warfarin","BACKGROUND: We investigated effects proton-pump inhibitors (PPIs) lower gastrointestinal bleeding (LGIB) interactions nonsteroidal anti-inflammatory drugs (NSAIDs), low-dose aspirin, clopidogrel, warfarin LGIB risk., METHODS: We prospectively studied  patients emergently hospitalized LGIB , nonbleeding patients. All patients underwent colonoscopy. Smoking, alcohol drinking, drug exposure, Charlson comorbidity index score assessed colonoscopy. Adjusted odds ratios (AOR) LGIB estimated., RESULTS: LGIB significantly associated older age, higher comorbidity index, NSAID, aspirin, clopidogrel, warfarin use. PPI use significantly associated older age, male sex, current alcohol drinker, higher comorbidity index, NSAID, aspirin, clopidogrel, warfarin, acetaminophen, corticosteroid use. Multivariate analysis adjusted confounding factors revealed LGIB significantly associated PPI use (AOR .;  % confidence interval .-.; p = .), specifically omeprazole (AOR .; p = .), esomeprazole (AOR .; p = .), lansoprazole (AOR .; p = .), rabeprazole (AOR .; p = .). In interaction model, significant interactions observed PPIs NSAIDs (AOR .; p = .), aspirin (AOR .; p = .), clopidogrel (AOR ., p = .), warfarin (AOR .; p = .)., CONCLUSIONS: This large case-control study demonstrated PPI use lead increased risk LGIB, regardless type PPI used. Further, LGIB risk affected PPI use, irrespective concomitant therapy NSAIDs, low-dose aspirin, clopidogrel, warfarin.",Excluded,"Effect proton-pump inhibitors risk lower gastrointestinal bleeding associated NSAIDs, aspirin, clopidogrel, warfarin. BACKGROUND: We investigated effects proton-pump inhibitors (PPIs) lower gastrointestinal bleeding (LGIB) interactions nonsteroidal anti-inflammatory drugs (NSAIDs), low-dose aspirin, clopidogrel, warfarin LGIB risk., METHODS: We prospectively studied  patients emergently hospitalized LGIB , nonbleeding patients. All patients underwent colonoscopy. Smoking, alcohol drinking, drug exposure, Charlson comorbidity index score assessed colonoscopy. Adjusted odds ratios (AOR) LGIB estimated., RESULTS: LGIB significantly associated older age, higher comorbidity index, NSAID, aspirin, clopidogrel, warfarin use. PPI use significantly associated older age, male sex, current alcohol drinker, higher comorbidity index, NSAID, aspirin, clopidogrel, warfarin, acetaminophen, corticosteroid use. Multivariate analysis adjusted confounding factors revealed LGIB significantly associated PPI use (AOR .;  % confidence interval .-.; p = .), specifically omeprazole (AOR .; p = .), esomeprazole (AOR .; p = .), lansoprazole (AOR .; p = .), rabeprazole (AOR .; p = .). In interaction model, significant interactions observed PPIs NSAIDs (AOR .; p = .), aspirin (AOR .; p = .), clopidogrel (AOR ., p = .), warfarin (AOR .; p = .)., CONCLUSIONS: This large case-control study demonstrated PPI use lead increased risk LGIB, regardless type PPI used. Further, LGIB risk affected PPI use, irrespective concomitant therapy NSAIDs, low-dose aspirin, clopidogrel, warfarin."
18,18,First-line chemo-radiotherapy neoadjuvant treatment locally advanced (T) epidermoid carcinoma esophagus,"In period - performed two phase II pilot studies first-line chemo-radiotherapy patients locally advanced (T) SCC esophagus. The first protocol ( cycles DDP-VP +  Gy) used  patients: toxicity negligible; clinical tumor downstaging obtained % cases; R resection surgery performed % patients. The overall median survival whole group  patients  months, >  months patients undergoing R resection. The second protocol ( cycles DDP-FU +  Gy) used  patients: clinical tumor downstaging obtained % cases, R resection surgery performed % patients. The overall median survival whole group  months. To date, patients one (who died  months) alive median follow  months. The prognosis groups patients improved compared patients T SCC esophagus undergo chemo and/or radiotherapy. The survival advantage especially evident able undergo R resection. First line chemo-radiotherapy considered standard treatment locally advanced esophageal SCC.",Excluded,"First-line chemo-radiotherapy neoadjuvant treatment locally advanced (T) epidermoid carcinoma esophagus. In period - performed two phase II pilot studies first-line chemo-radiotherapy patients locally advanced (T) SCC esophagus. The first protocol ( cycles DDP-VP +  Gy) used  patients: toxicity negligible; clinical tumor downstaging obtained % cases; R resection surgery performed % patients. The overall median survival whole group  patients  months, >  months patients undergoing R resection. The second protocol ( cycles DDP-FU +  Gy) used  patients: clinical tumor downstaging obtained % cases, R resection surgery performed % patients. The overall median survival whole group  months. To date, patients one (who died  months) alive median follow  months. The prognosis groups patients improved compared patients T SCC esophagus undergo chemo and/or radiotherapy. The survival advantage especially evident able undergo R resection. First line chemo-radiotherapy considered standard treatment locally advanced esophageal SCC."
21,21,Boron neutron capture therapy using cyclotron-based epithermal neutron source borofalan (B) recurrent locally advanced head neck cancer (JHN): An open-label phase II trial,"Background purpose: Boron neutron capture therapy (BNCT) performed without reactors due development cyclotron-based epithermal neutron source (C-BENS), optimized treatment deeper-seated tumors. The study evaluate efficacy safety cyclotron-based BNCT borofalan (B) recurrent locally advanced head neck cancer. Material(s) Method(s): In open-label, phase II JHN trial BNCT using C-BENS borofalan (B), patients recurrent squamous cell carcinoma (R-SCC) recurrent/locally advanced non-squamous cell carcinoma (R/LA-nSCC) head neck intravenously administered  mg/kg borofalan (B), followed neutron irradiation. The tumor dose determined passively mucosal maximum dose  Gy-Eq. The primary endpoint objective response rate (ORR). Post-trial observational JHN Look Up study planned evaluating locoregional progression-free survival (LRPFS). Result(s): Eight R-SCC  R/LA-nSCC patients enrolled. All R-SCC patients prior radiotherapy median dose . Gy (range, .-. Gy). The ORR patients %, complete response/partial response %/% R-SCC %/% R/LA-nSCC. The -year overall survival R-SCC R/LA-nSCC % %, respectively. The median LRPFS . months R-SCC. Frequently observed adverse events included alopecia (%), hyperamylasemia (%), nausea (%). Conclusion(s): These data suggest BNCT using C-BENS borofalan (B) promising treatment option patients R-SCC R/LA-nSCC head neck.Copyright ©  The Authors",Excluded,"Boron neutron capture therapy using cyclotron-based epithermal neutron source borofalan (B) recurrent locally advanced head neck cancer (JHN): An open-label phase II trial. Background purpose: Boron neutron capture therapy (BNCT) performed without reactors due development cyclotron-based epithermal neutron source (C-BENS), optimized treatment deeper-seated tumors. The study evaluate efficacy safety cyclotron-based BNCT borofalan (B) recurrent locally advanced head neck cancer. Material(s) Method(s): In open-label, phase II JHN trial BNCT using C-BENS borofalan (B), patients recurrent squamous cell carcinoma (R-SCC) recurrent/locally advanced non-squamous cell carcinoma (R/LA-nSCC) head neck intravenously administered  mg/kg borofalan (B), followed neutron irradiation. The tumor dose determined passively mucosal maximum dose  Gy-Eq. The primary endpoint objective response rate (ORR). Post-trial observational JHN Look Up study planned evaluating locoregional progression-free survival (LRPFS). Result(s): Eight R-SCC  R/LA-nSCC patients enrolled. All R-SCC patients prior radiotherapy median dose . Gy (range, .-. Gy). The ORR patients %, complete response/partial response %/% R-SCC %/% R/LA-nSCC. The -year overall survival R-SCC R/LA-nSCC % %, respectively. The median LRPFS . months R-SCC. Frequently observed adverse events included alopecia (%), hyperamylasemia (%), nausea (%). Conclusion(s): These data suggest BNCT using C-BENS borofalan (B) promising treatment option patients R-SCC R/LA-nSCC head neck.Copyright ©  The Authors"
24,24,Religious belief coping strategy: An explorative trial patients irradiated head-and-neck cancer,"Purpose: To explore role religious belief coping disease symptoms treatment-related side effects patients head-and-neck cancer radiotherapy. Patients Methods: Prospectively collected data used cohort head-and-neck cancer patients treated radiotherapy epoetin beta placebo within double-blind multicenter trial. All patients divided believers nonbelievers. Answers quality life questionnaire four points time radiotherapy analyzed according groups. Clinical parameters therapy side effects controlled regularly. Result(s): .% patients (/) sent back baseline questionnaire discriminating believers nonbelievers. For .% (/) data four could obtained. On average, believers felt better categories side effects points time before, directly therapy. Conclusion(s): Religious faith seems play important role coping strategies radiotherapy patients. More research area would worthwhile. © Urban & Vogel.",Excluded,"Religious belief coping strategy: An explorative trial patients irradiated head-and-neck cancer. Purpose: To explore role religious belief coping disease symptoms treatment-related side effects patients head-and-neck cancer radiotherapy. Patients Methods: Prospectively collected data used cohort head-and-neck cancer patients treated radiotherapy epoetin beta placebo within double-blind multicenter trial. All patients divided believers nonbelievers. Answers quality life questionnaire four points time radiotherapy analyzed according groups. Clinical parameters therapy side effects controlled regularly. Result(s): .% patients (/) sent back baseline questionnaire discriminating believers nonbelievers. For .% (/) data four could obtained. On average, believers felt better categories side effects points time before, directly therapy. Conclusion(s): Religious faith seems play important role coping strategies radiotherapy patients. More research area would worthwhile. © Urban & Vogel."
27,27,Assessment Jugular Venous Blood Flow Stasis Thrombosis Spaceflight,"Importance: Exposure weightless environment spaceflight chronic headward blood tissue fluid shift compared upright posture Earth, unknown consequences cerebral venous outflow. Objective(s): To assess internal jugular vein (IJV) flow morphology spaceflight investigate lower body negative pressure associated reversing headward fluid shift experienced spaceflight. Design, Setting, Participant(s): This prospective cohort study included  International Space Station crew members participating long-duration spaceflight missions. Internal jugular vein launch approximately  days landing acquired  positions: seated, supine, degree head-down tilt. In-flight IJV acquired approximately  days  days spaceflight normal spaceflight conditions well use lower body negative pressure. Data analyzed June . Exposures: Posture changes Earth, spaceflight, lower body negative pressure. Main Outcomes Measures: Ultrasonographic assessments IJV cross-sectional area, pressure, blood flow, thrombus formation. Result(s): The  healthy crew members included study (mean [SD] age, . [.] years,  [%] men) spent mean (SD)  () days space. Mean IJV area increased . (% CI,-. .) mm preflight seated position . (% CI, .-.) mm spaceflight (P <.). Mean IJV pressure increased preflight seated position measurement . (% CI, .-.) mm Hg . (% CI, .-.) mm Hg spaceflight (P <.). Furthermore, stagnant reverse flow IJV observed  crew members (%) approximate flight day . Notably,  crew member found occlusive IJV thrombus, potential partial IJV thrombus identified another crew member retrospectively. Lower body negative pressure associated improved blood flow   sessions (%) spaceflight. Conclusions Relevance: This cohort study found stagnant retrograde blood flow associated spaceflight IJVs astronauts IJV thrombosis least  astronaut, newly discovered risk associated spaceflight. Lower body negative pressure may promising countermeasure enhance venous blood flow upper body spaceflight.Copyright ©  JAMA Network Open.",Excluded,"Assessment Jugular Venous Blood Flow Stasis Thrombosis Spaceflight. Importance: Exposure weightless environment spaceflight chronic headward blood tissue fluid shift compared upright posture Earth, unknown consequences cerebral venous outflow. Objective(s): To assess internal jugular vein (IJV) flow morphology spaceflight investigate lower body negative pressure associated reversing headward fluid shift experienced spaceflight. Design, Setting, Participant(s): This prospective cohort study included  International Space Station crew members participating long-duration spaceflight missions. Internal jugular vein launch approximately  days landing acquired  positions: seated, supine, degree head-down tilt. In-flight IJV acquired approximately  days  days spaceflight normal spaceflight conditions well use lower body negative pressure. Data analyzed June . Exposures: Posture changes Earth, spaceflight, lower body negative pressure. Main Outcomes Measures: Ultrasonographic assessments IJV cross-sectional area, pressure, blood flow, thrombus formation. Result(s): The  healthy crew members included study (mean [SD] age, . [.] years,  [%] men) spent mean (SD)  () days space. Mean IJV area increased . (% CI,-. .) mm preflight seated position . (% CI, .-.) mm spaceflight (P <.). Mean IJV pressure increased preflight seated position measurement . (% CI, .-.) mm Hg . (% CI, .-.) mm Hg spaceflight (P <.). Furthermore, stagnant reverse flow IJV observed  crew members (%) approximate flight day . Notably,  crew member found occlusive IJV thrombus, potential partial IJV thrombus identified another crew member retrospectively. Lower body negative pressure associated improved blood flow   sessions (%) spaceflight. Conclusions Relevance: This cohort study found stagnant retrograde blood flow associated spaceflight IJVs astronauts IJV thrombosis least  astronaut, newly discovered risk associated spaceflight. Lower body negative pressure may promising countermeasure enhance venous blood flow upper body spaceflight.Copyright ©  JAMA Network Open."
