,titleabstract,decision,prediction
720,"Effects of low-level laser therapy on burning mouth syndrome To investigate low-level laser therapy (LLLT) applied to treat burning mouth syndrome (BMS). This prospective, comparative, partially blinded, single-centre, clinical trial of GaAlAs Laser, with 815 nm wavelength, included 44 BMS patients divided randomly into three groups: Group I (n = 16): GaAlAs laser 815 nm wavelength, 1 W output power, continuous emissions, 4 s, 4 J and fluence rate 133.3 J cm-2 ; Group II (n = 16): GaAlAs infrared laser, 815 nm wavelength, 1 W output power, continuous emissions, 6 s, 6 J and fluence rate 200 J cm-2 ; Group III (n = 12) placebo group, sham laser. All groups received a weekly dose for 4 weeks. Pain intensity was recorded using a 10-cm visual analogue scale; patients responded to the oral health impact profile (OHIP-14), xerostomia severity test and the hospital anxiety-depression scale (HAD). These assessments were performed at baseline, 2 and 4 weeks. LLLT decreased pain intensity and improved OHIP-14 scores significantly from baseline to 2 weeks in groups I and II compared with the placebo group. No statistically significant differences were found from 2 to 4 weeks. Overall improvements in visual analogue scale (VAS) scores from baseline to the end of treatment were as follows: Group I 15.7%; Group II 15.6%; Group III placebo 7.3%. LLLT application reduces symptoms slightly in BMS patients. Copyright © 2016 John Wiley & Sons Ltd.",Included,0.04616166
1153,"Online exhaled gas measurements for radiotherapy patients by proton transfer reaction mass spectrometry The present study assessed whether exhaled breath analysis using proton transfer reaction mass spectrometry (PTR-MS) could screen for radiation exposure. As the intensity of proton transfer reaction reagent ion H3(16)O(+) can be calculated with the intensity of H3(18)O(+), the intensity of H3(18)O(+) was monitored to observe the stability of the PTR-MS instrument during the experiment. The PTR-MS was applied for detecting the volatile organic compounds (VOCs) in the exhaled breath from 42 radiotherapy patients and other 61 patients who had not received radiotherapy. All patients were enrolled in the local cancer hospital. In the experiment, the subjects breathe slowly to the PTR-MS through a direct inlet system without any sampling bag or tube. The breath mass spectrometric data was statistically analyzed using Mann-Whitney U test and stepwise discriminant analysis to find the characteristic ions of radiation exposure. Receiver operating characteristics (ROC) analysis was applied for a combination of the characteristic ions. The PTR-MS instrument was stable as the intensity of reaction ion H3(16)O(+) was maintained in 1.1%. Through statistically analysis, we found 6 kinds of characteristic ions of radiation exposure, specifically mass-to-charge ratio (m/z) 93, m/z 41, m/z 102, m/z 79, m/z 131, and m/z 143. The sensitivity (true positive rate) and specificity (true negative rate) were 78.6% and 82.0% respectively. The integrated area under the ROC curve (AUC) was 0.869. The results in our study demonstrated the potential of the online breath tester PTR-MS as a non-invasive screening for radiation exposure. Copyright © 2016. Published by Elsevier Ltd.",Included,0.047858033
124,"Prophylactic cranial irradiation in elderly patients with small cell lung cancer: Findings from a North Central Cancer Treatment Group pooled analysis Objectives: To examine the efficacy of prophylactic cranial irradiation (PCI) in elderly patients with small cell lung cancer (SCLC) (>=. 70. years of age) from a pooled analysis of four prospective trials. Material(s) and Method(s): One hundred fifty-five patients with SCLC (limited stage, LSCLC, and extensive stage, ESCLC) participated in four phase II or III trials. Ninety-one patients received PCI (30. Gy/15 or 25. Gy/10) and 64 patients did not receive PCI. Survival was compared in a landmark analysis that included only patients who had stable disease or better in response to primary therapy. Result(s): Patients who received PCI had better survival than patients who did not receive PCI (median survival 12.0. months vs. 7.6. months, 3-year overall survival 13.2% vs. 3.1%, HR. =. 0.53 [95% CI 0.36-0.78], p=. 0.001). On multivariate analysis of the entire cohort, the only factor that remained significant for survival was stage (ESCLC vs. LSCLC, p=. 0.0072). In contrast, the multivariate analysis of patients who had ESCLC revealed that PCI was the sole factor associated with a survival advantage (HR. =. 0.47 [95% CI 0.24-0.93], p=. 0.03). Grade 3 or higher adverse events (AEs) were significantly greater in patients who received PCI (71.4% vs. 47.5%, p=. 0.0031), with non-neuro and non-heme being the specific AE categories most strongly correlated with PCI delivery. Conclusion(s): PCI was associated with a significant improvement in survival for our entire elderly SCLC patient cohort on univariate analysis. Multivariate analysis suggested that the survival advantage remained significant in patients with ESCLC. PCI was also associated with a modest increase in grade 3 or higher AEs.Copyright © 2014 Elsevier Inc.",Included,0.048661932
190,"Biological effects of low-dose chest CT on chromosomal DNA Background: Although the National Lung Screening Trial reported a significant reduction in lung cancer mortality when low-dose (LD) CT chest examinations are used for a diagnosis, their biologic effects from radiation exposure remain unclear. Purpose(s): To compare LD CT and standard-dose (SD) CT for DNA double-strand breaks and chromosome aberrations (CAs) in peripheral blood lymphocytes. Material(s) and Method(s): Between March 2016 and June 2018, 209 participants who were referred to a respiratory surgery department for chest CT studies were prospectively enrolled in this study. Individuals were excluded if they had undergone radiography examinations within the last 3 days or had undergone chemotherapy or radiation therapy. Peripheral blood samples were obtained before and 15 minutes after CT. The number of g-H2AX foci and unstable CAs in lymphocytes was quantified by immunofluorescent staining of g-H2AX and by fluorescence in situ hybridization by using peptide nucleic acid probes for centromeres and telomeres, respectively. The Wilcoxon signed rank test was used for statistical analysis. Bonferroni correction was applied for multiple comparisons. Result(s): Of the 209 participants (105 women, 104 men; mean age, 67.0 years 6 11.3 [standard deviation]), 107 underwent chest LD CT and 102 underwent chest SD CT. Sex distribution, age, and body size metrics were similar between the two groups. The median effective dose of LD CT and SD CT was 1.5 and 5.0 mSv, respectively. The number of double-strand breaks and CAs increased after a SD CT examination (g-H2AX, P , .001; CAs, P = .003); the number of double-strand breaks and CAs before and after LD CT was not different (g-H2AX, P = .45; CAs, P = .69). Conclusion(s): No effect of low-dose CT on human DNA was detected. In the same setting, DNA double-strand breaks and chromosome aberrations increased after standard-dose CT.Copyright © RSNA, 2020.",Included,0.049501263
591,"Association between trunk and leg fat and incidence of diabetes Background: General obesity defined by body mass index (BMI) is a major risk factor of diabetes mellitus (DM). Although body fat distribution is also considered to be a predictor of DM, only a few longitudinal studies have examined the association between DM risk and body composition, estimated directly using such methods as DEXA, in particular with reference to Asian populations who have a higher prevalence of DM at lower BMI levels compared with CaucAsians. Objective(s): To determine whether fat distribution is associated with DM incidence, independently of BMI, in an elderly Japanese population. Method(s): We analyzed 1,550 subjects without DM (472 men and 1,078 women, average age of 65.3 years) in the Adult Health Study, consisting of atomic bomb survivors and their controls, whose body composition was measured using DEXA during the period 1994-96. Fat-mass percentages for the trunk and legs were calculated by dividing each of the specific body partTMs fat mass by total soft tissue mass. DM was defined as glucose 126mg/dl fasting or 200mg/dl nonfasting, or physician-diagnosed DM, or the use of medication for DM. We followed-up through the end of 2011. Result(s): During a mean follow-up period of 11.4 years, 85 men and 110 women developed DM. Almost 20% of men and 28% of women were overweight/obese (BMI25kg/m2) at baseline. After multivariate analysis with adjustment made for age, metabolic syndrome risk factors other than central obesity, radiation dose, and smoking and alcohol consumption status, only overweight/obese women had a significant association with DM incidence compared with non-obese women (relative risk [RR] 1.52; 95% CI 1.01-2.27). Percentages of trunk fat and leg fat were associated with incidence of DM, independently of each other, after adjustment for age, BMI, and other risk factors. Increased percentage of trunk fat was a significant risk factor for incidence of DM; the RR for 1% increase in trunk fat were 1.13 (95% CI 1.06-1.20) in men and 1.08 (95% CI 1.02-1.14) in women, whereas, leg fat had protective effects regarding incidence of DM (men RR 0.83; 95% CI 0.71-0.96, women RR 0.87; 95% CI 0.79-0.95, for 1% increase in leg fat). These significant associations were observed for non-obese subjects. Conclusion(s): Trunk and leg fat were associated with incidence of DM, independently of each other. In addition to evaluation of general and abdominal obesity, the assessment of body fat distribution might also be useful in the prevention of DM.",Included,0.05070282
132,"Progress of memory function after radiation therapy in patients with nasopharyngeal carcinoma The authors evaluated the late neurocognitive profile and progress of memory functions in 60 patients with primary nasopharyngeal carcinoma who had been treated with radiation therapy for more than 2 years. Forty had imaging evidence of temporal lobe injury (TLI-positive), and 20 did not (TLI-negative). The patients and 19 healthy control subjects, matched with the patients for age and educational level, underwent extensive memory assessments. Seventeen patients (10 TLI-positive, 7 TLI-negative) were reassessed after an average of 28 months for progress of memory functions. The patient groups performed significantly worse on most memory tests compared with the normal subjects. Patients with memory complaints had lower scores for verbal memory than those without such complaints. The TLI-positive and TLI-negative groups did not differ significantly from each other in cognitive performance. At follow-up, visual memory performance had deteriorated, while verbal memory remained more stable.",Included,0.057601355
719,"Brachytherapy and percutaneous stenting in the treatment of cholangiocarcinoma: A prospective randomised study Purpose: To evaluate the effect of radiation therapy including intraluminal brachyterapy with iridium-192 on survival of patients with malignant biliary strictures (cholangiocarcinoma, histologically improved) treated with metallic stent in a prospective randomised study. Method and materials: In the prospective randomised study, 21 patients with cholangiocarcinoma were treated with implantation of percutaneous stents followed with intraluminal Ir-192 brachytherapy (mean dose 30 Gy) and external radiotherapy (mean dose 50 Gy) and 21 patients were treated only with stents insertion. We did not find any statistically significant differences in age and tumor localization between these two groups of patients. Result(s): All the patients died. In the group of patients treated with brachytherapy and with stent implantation, the mean survival time was 387.9 days. In the group of patients treated only with stent insertion the mean survival was 298 days. In effort to eliminate possible effect of external radiotherapy we treated the control group of eight patients with cholangiocarcinoma by stent insertion and brachyterapy only. Conclusion(s): Our results show that combined radiation therapy could extend the survival in the patients with cholangiocarcinoma obstruction. © 2007 Elsevier Ireland Ltd. All rights reserved.",Included,0.059012685
668,"Expression of vascular endothelial growth factor and its correlation with clinical symptoms and endoscopic findings in patients with chronic radiation proctitis AIM: The aim of this study was to assess the expression of vascular endothelial growth factor (VEGF) as a key proangiogenic factor and determine whether there is any correlation between its expression and clinical symptoms or endoscopic changes in patients with chronic radiation proctitis (ChRP)., METHOD: Fifty patients who had all undergone radiotherapy for prostate, cervical or uterine cancer were included in the study (37 women, 13 men). There was a control group of 20 patients (9 women, 11 men). The Radiation Therapy Oncology Group/European Organization for Research and Treatment of Cancer (RTOG/EORTC) scoring system was used for grading the severity of the proctitis. Endoscopic scoring of late rectal mucosal damage was performed using Gilinsky's classification. Serum levels of VEGF were analysed by the enzyme-linked immunosorbent assay method., RESULTS: Most patients presented with Grade 1 symptoms. Endoscopic assessment showed that most patients had Grade 1 late rectal mucosal damage. The predominant endoscopic finding was the presence of telangiectasia. Assessment of VEGF correlation between the control group and the degrees of endoscopic changes showed statistically significant differences for all three degrees (P < 0.0001, P = 0.0251 and P = 0.0005, respectively). Due to the small numbers of patients with Grades 2 and 3 symptoms using the RTOG/EORTC scoring system, they were grouped with Grades 1 and 4 respectively forming two groups for statistical purposes. VEGF expression differed significantly between controls and group I and between controls and group II (P = 0.0001, P = 0.0009, respectively)., CONCLUSION: A significant increase in VEGF expression was found to correlate with clinical symptoms and endoscopic rectal mucosa changes in patients with ChRP, suggesting that it may play an important role in pathological angiogenesis. Copyright Colorectal Disease © 2017 The Association of Coloproctology of Great Britain and Ireland.",Included,0.059385058
32,"Two radiation-induced chromosomal inversions in mice (Mus musculus) Whole-body x-irradiation of male mice has produced presumptive paracentric inversions in 15 animals, as evidenced by high frequencies of first meiotic anaphase bridges. Two of the highest frequencies observed have been propagated through several generations and found to behave as dominant genes. Acentric fragments were observed associated with about 10% of the bridges. The first inversion, in linkage group XIII, has been designated In(13)1Rk, and the second, in linkage group XVII, In(17)2Rk. For In(13)1Rk, recombination was reduced between loci inside and outside the inverted segment.",Included,0.06541104
2,"The characteristics of the cerebral asthenia syndrome in persons who were victims of the accident at the Chernobyl Atomic Electric Power Station A total of 107 patients (81 males, 26 females), their age ranging between 34 to 45 years, diagnosed as having discirculatory encephalopathy with underlying cerebrasthenic syndrome, were examined. All the examinees took part in the elimination of the Chernobyl accident effects in 1986. It was found out, that cerebrasthenia which is present in the structure of all clinical variants of organic affection of the brain is the most mobile (functional) link of the morbid process when a disorder sets in rather than the failure of the organ to perform its function. It ranks among other asthenic syndromes reflecting a specific character of exogenous radiation effect on the organism, being a result of a characteristic interaction between the organism and a health hazard. Measures to dispel the asthenic component at the initial stages of development of the disorder will make for reduction or arrest of progression of organic symptomatology.",Included,0.06821626
